MlabSiteName,State,City,TransitProvider,timeZone
ATL01,GA,Atlanta,Level3,US/Eastern
ATL02,GA,Atlanta,Cogent,US/Eastern
DFW01,TX,Dallas,Cogent,US/Central
IAD01,VA,Reston,XO,US/Eastern
IAD02,VA,Ashburn,Cogent,US/Eastern
LAX01,CA,Los Angeles,Cogent,US/Pacific
LGA01,NY,New York,Voxel,US/Eastern
LGA02,NY,New York,Cogent,US/Eastern
MIA01,FL,Miami,Level3,US/Eastern
MIA02,FL,Miami,Cogent,US/Eastern
NUQ01,CA,Mountain View,Google,US/Pacific
NUQ02,CA,Redwood,ISC,US/Pacific
ORD01,IL,Chicago,Level3,US/Central
ORD02,IL,Chicago,Cogent,US/Central
SEA01,WA,Seattle,Cogent,US/Pacific
NUQ03,CA,San Jose,Cogent,US/Pacific
