month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
1,1,2012,0.003509,228,55,344,96.58,228,8.574,344,0.7874,364
1,2,2012,0.003706,248,45,380,77.18,248,7.692,380,0.7867,399
1,3,2012,0.00303,191,42,293,75.58,191,8.475,293,0.7959,313
1,4,2012,0.002612,183,43,267,81.76,183,8.216,267,0.7939,287
1,5,2012,0.002964,191,45,280,75.46,191,9.021,280,0.7998,298
1,6,2012,0.003245,163,42,266,79.3,163,8.651,266,0.7932,275
1,7,2012,0.003723,220,43,328,81.18,220,8.711,328,0.8034,345
1,8,2012,0.003834,254,54,372,97.07,254,8.453,372,0.7862,394
1,9,2012,0.003147,162,42,296,73.65,162,8.466,296,0.7952,309
1,10,2012,0.002564,177,45,305,80.47,177,8.592,305,0.7926,319
1,11,2012,0.003246,206,42,311,72.13,206,8.715,311,0.7924,331
1,12,2012,0.003218,194,44,304,74.03,194,8.273,304,0.8052,319
1,13,2012,0.003781,178,43,256,80.98,178,8.048,256,0.7895,266
1,14,2012,0.003107,211,39,349,69.19,212,9.112,349,0.8064,360
1,15,2012,0.003281,264,41,372,74.72,264,7.446,372,0.7994,385
1,16,2012,0.00356,192,47,307,76.63,192,7.388,307,0.8022,326
1,17,2012,0.002824,200,40,307,70.04,200,8.772,307,0.8017,318
1,18,2012,0.00241,169,42,281,80.97,169,9.298,281,0.8036,298
1,19,2012,0.002521,166,41,272,73.53,166,9.395,272,0.8034,287
1,20,2012,0.002849,156,41,263,71.72,156,9.833,263,0.804,277
1,21,2012,0.003455,192,44,341,79.49,192,9.295,341,0.8018,357
1,22,2012,0.003062,249,43,380,76.28,250,8.343,380,0.7989,405
1,23,2012,0.003883,196,44,286,85,196,8.09,286,0.8022,305
1,24,2012,0.003392,147,42,242,78.66,147,9.009,242,0.8057,257
1,25,2012,0.002233,174,46,273,78.47,175,9.417,273,0.7981,287
1,26,2012,0.00301,130,41,235,74.4,130,9.79,235,0.8067,251
1,27,2012,0.002862,176,40,291,69.07,176,9.107,291,0.8037,299
1,28,2012,0.004047,179,43,297,79.91,179,8.985,297,0.8018,311
1,29,2012,0.0042,149,58,243,111.3,149,7.907,243,0.7864,255
1,30,2012,0.003941,155,44.5,252,86.79,155,8.862,252,0.7966,268
1,31,2012,0.002746,154,42,240,86.2,154,9.895,240,0.8064,248
2,1,2012,0.004068,150,44,261,78.82,150,9.88,261,0.8021,274
2,2,2012,0.003052,147,42,240,80.5,147,9.433,240,0.8009,250
2,3,2012,0.002677,169,41,280,75.15,169,9.445,280,0.8037,298
2,4,2012,0.003306,186,41,273,76.24,186,8.842,273,0.8029,286
2,5,2012,0.002729,209,38,337,60.95,209,10.27,337,0.8042,359
2,6,2012,0.003315,164,44,279,80.53,164,8.511,279,0.7997,299
2,7,2012,0.003033,203,43,319,83.73,203,8.415,319,0.7987,333
2,8,2012,0.003118,217,44,352,85.05,217,8.698,352,0.7985,368
2,9,2012,0.002683,194,40,323,73.16,194,9.697,323,0.8035,343
2,10,2012,0.003145,193,40.5,312,73.25,193,9.097,312,0.8062,325
2,11,2012,0.003777,211,42,329,87.53,211,8.827,329,0.8028,339
2,12,2012,0.003164,223,46,353,84.47,223,9.045,353,0.7999,370
2,13,2012,0.002796,174,40,311,69.95,174,9.517,311,0.8024,330
2,14,2012,0.003058,163,40,273,74.9,163,9.697,273,0.8052,292
2,15,2012,0.003629,156,44,257,81.43,156,8.659,257,0.8036,274
2,16,2012,0.003424,179,40,316,81.55,179,9.658,316,0.8101,329
2,17,2012,0.002923,183,41,307,72.5,183,9.392,307,0.802,320
2,18,2012,0.002916,262,42,435,85.07,262,9.445,435,0.8035,458
2,19,2012,0.00371,203,45,399,95.58,203,8.409,399,0.7996,427
2,20,2012,0.002941,210,43,348,92.44,210,8.552,348,0.8003,363
2,21,2012,0.002886,201,42,324,90.14,201,8.631,324,0.8035,336
2,22,2012,0.003102,217,40,341,71.71,217,8.958,341,0.8043,361
2,23,2012,0.002287,155,41,283,79.61,155,9.906,283,0.8037,299
2,24,2012,0.002675,179,39,289,63.98,179,9.683,289,0.7982,297
2,25,2012,0.002711,208,38,360,63.74,208,10.61,360,0.8033,373
2,26,2012,0.002775,240,38,366,65.01,240,9.389,366,0.8034,388
2,27,2012,0.002343,170,38,318,68.29,170,10.94,318,0.8049,334
2,28,2012,0.002487,216,37,344,68.14,216,9.436,344,0.8128,358
2,29,2012,0.002617,202,40,344,72.03,202,9.522,344,0.8055,351
3,1,2012,0.003456,214,38,351,66.48,214,9.682,351,0.8071,361
3,2,2012,0.003056,221,38,336,67.39,221,9.517,336,0.8044,352
3,3,2012,0.00317,226,38,374,61.22,226,9.764,374,0.807,384
3,4,2012,0.002888,237,39,396,68.32,237,9.505,396,0.8036,416
3,5,2012,0.002515,197,39,347,67.25,197,10.44,347,0.8081,362
3,6,2012,0.00277,179,39,285,66.82,179,9.613,285,0.8043,299
3,7,2012,0.00308,201,39,343,67.61,201,9.645,343,0.8074,352
3,8,2012,0.002106,174,36,289,70.09,174,9.34,289,0.7998,299
3,9,2012,0.003606,197,38,320,75.62,197,9.41,320,0.8054,330
3,10,2012,0.003228,191,39,328,70.92,191,9.726,328,0.8044,343
3,11,2012,0.002851,187,40,288,73.48,187,9.198,288,0.8009,303
3,12,2012,0.002405,191,40,288,65.82,191,10.12,288,0.8041,298
3,13,2012,0.002632,171,38,277,68.1,171,9.414,277,0.8059,285
3,14,2012,0.002309,176,36,318,65.86,176,10.99,318,0.809,330
3,15,2012,0.002749,147,39,253,69.66,147,9.848,253,0.8042,266
3,16,2012,0.002142,148,38,250,63.17,148,9.593,250,0.8054,265
3,17,2012,0.002925,170,38,277,71.99,170,10.24,277,0.8044,288
3,18,2012,0.00258,187,38,301,71.72,187,9.213,301,0.8052,318
3,19,2012,0.003671,162,41,274,64.86,162,9.263,274,0.8058,280
3,20,2012,0.002969,140,39,240,73.36,140,9.828,240,0.8048,253
3,21,2012,0.002303,154,39,269,66.33,154,9.629,269,0.8031,283
3,22,2012,0.00217,164,38,259,67.57,164,9.468,259,0.8006,269
3,23,2012,0.00257,164,38,275,68.35,164,9.775,275,0.805,291
3,24,2012,0.003573,189,39.5,314,73.14,189,9.497,314,0.8026,329
3,25,2012,0.002923,226,40,348,73.45,226,10.98,348,0.8031,362
3,26,2012,0.003038,151,38,256,78.61,151,9.81,256,0.8039,266
3,27,2012,0.002134,175,37,257,64.99,175,9.437,257,0.8056,265
3,28,2012,0.003118,153,38,235,72.97,153,9.112,235,0.8015,245
3,29,2012,0.002914,133,38,242,61.66,133,10.55,242,0.8057,253
3,30,2012,0.002713,131,39,202,64.95,131,9.839,202,0.8053,212
3,31,2012,0.002435,167,40,286,76.31,167,10.09,286,0.8049,297
4,1,2012,0.00246,219,39,348,71.57,219,9.526,348,0.8048,368
4,2,2012,0.00266,164,38,310,64.6,164,9.55,310,0.8041,320
4,3,2012,0.002361,137,38,232,65.6,137,9.612,232,0.8036,252
4,4,2012,0.002311,147,38,236,68.12,147,9.488,236,0.8037,259
4,5,2012,0.002965,153,35,270,61.91,153,10.4,270,0.8106,293
4,6,2012,0.002003,168,38,285,62.97,168,9.397,285,0.8044,297
4,7,2012,0.002956,175,38,322,64.93,175,10.18,322,0.804,344
4,8,2012,0.002552,188,39,333,71.46,188,9.505,333,0.7993,355
4,9,2012,0.002727,170,39,289,69.39,170,9.623,289,0.8054,300
4,10,2012,0.002993,181,39,289,66.52,181,9.373,289,0.8037,299
4,11,2012,0.003127,153,38,286,67.59,153,10.63,286,0.8063,291
4,12,2012,0.002294,148,35,234,57.92,148,11.03,234,0.808,240
4,13,2012,0.002069,102,38,200,57.97,102,11.09,200,0.803,214
4,14,2012,0.002666,157,39,256,68.33,157,8.895,256,0.8006,266
4,15,2012,0.002754,219,41,355,80.64,219,9.089,355,0.8024,369
4,16,2012,0.002505,156,40,255,64.87,156,9.4,255,0.8023,269
