month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.002563,157,38,206,61.31,157,8.044,206,1.156,231
11,1,2013,0.00265,108,34.5,136,61.27,108,7.83,136,1.113,167
11,2,2013,0.002495,86,38,105,65.94,86,6.496,105,0.8402,127
11,3,2013,0.003195,63,39,78,77.21,63,5.53,78,0.9939,93
11,4,2013,0.002821,56,39,81,68.05,56,5.621,81,0.7936,102
11,5,2013,0.002172,37,40,51,74.34,37,10.23,51,1.157,60
11,6,2013,0.001859,66,38.5,78,68.34,66,9.013,78,1.2,89
11,7,2013,0.002493,99,35,131,60.72,99,9.625,131,1.159,145
11,8,2013,0.002637,124,38,159,68.72,124,9.259,159,1.193,173
11,9,2013,0.002437,202,35,258,59.94,202,8.232,258,1.15,292
11,10,2013,0.002058,162,36,212,62,162,9.51,212,1.153,269
11,11,2013,0.003268,213,39.5,278,65.59,213,7.812,278,1.037,343
11,12,2013,0.002459,189,38,253,69.47,189,6.537,253,1.036,327
11,13,2013,0.003147,175,40,229,70.25,175,5.589,229,0.8029,276
11,14,2013,0.002729,213,38,265,72.24,213,7.541,265,1.071,300
11,15,2013,0.003534,197,41,259,78.16,197,5.324,259,1.062,300
11,16,2013,0.003162,267,38,313,68.38,267,7.369,313,1.129,366
11,17,2013,0.002934,264,38,321,61.48,264,9.217,321,1.093,382
11,18,2013,0.003322,284,38,340,68.72,284,7.35,340,1.077,367
11,19,2013,0.002893,286,42,380,66.26,286,7.477,380,1.146,435
11,20,2013,0.003033,363,60,490,87.28,363,6.594,490,0.9842,574
11,21,2013,0.003295,352,71,450,104.1,352,5.574,450,1.126,509
11,22,2013,0.003463,337,64,434,101.6,337,5.408,434,1.094,486
11,23,2013,0.003394,237,45,296,75.76,237,8.334,297,1.144,324
11,0,2012,0.004197,124,43,167,68.69,123,6.194,168,0.7999,187
11,1,2012,0.005508,82,43,100,68.21,82,7.104,100,0.8042,114
11,2,2012,0.004562,54,40,78,68.44,54,5.553,78,0.7552,98
11,3,2012,0.005393,33,44,47,64.09,33,8.578,47,0.8249,59
11,4,2012,0.005888,27,47,38,83.1,27,8.657,38,0.9627,42
11,5,2012,0.005918,22,49,35,68.62,22,6.661,35,0.7974,40
11,6,2012,0.006152,35,42,54,70.06,35,8.938,54,1.103,58
11,7,2012,0.004699,37,40,56,68.45,37,9.533,56,1.104,68
11,8,2012,0.004843,45,42,75,76.33,45,8.828,75,1.005,85
11,9,2012,0.002835,69,39,103,67.53,69,8.424,103,1.082,115
11,10,2012,0.00418,101,42,143,64.79,101,8.413,143,1.126,158
11,11,2012,0.004493,86,41,125,64.98,86,9.093,125,0.8623,145
11,12,2012,0.00496,89,43,128,62.67,89,8.331,128,1.03,139
11,13,2012,0.004972,104,47,150,79.06,104,5.516,150,0.8067,173
11,14,2012,0.005126,118,43,151,66.81,118,7.011,151,0.9794,161
11,15,2012,0.004439,120,43,170,72.09,120,5.6,170,0.8383,192
11,16,2012,0.003893,139,42,195,70.74,139,7.152,195,0.9645,213
11,17,2012,0.004003,113,43,145,66.98,113,10.14,145,1.094,168
11,18,2012,0.00473,156,45,206,66.46,157,9.563,206,1.012,238
11,19,2012,0.00544,147,48,193,74.48,147,5.427,193,0.7984,216
11,20,2012,0.005846,157,46,213,70.82,157,8.344,213,1.05,246
11,21,2012,0.005407,207,49.5,266,78.54,207,6.333,266,1.086,301
11,22,2012,0.005594,163,46,204,78.03,163,6.46,204,0.8838,228
11,23,2012,0.004717,160,45.5,198,72.65,160,7.971,198,1.045,219
10,0,2012,0.005204,132,43,183,70.06,132,8.057,183,0.9243,209
10,1,2012,0.004853,86,43,122,62.29,86,7.086,122,0.8042,147
10,2,2012,0.003887,81,42,102,74.11,81,8.291,102,0.8219,108
10,3,2012,0.004211,55,45,69,68.35,55,6.989,69,0.8071,77
10,4,2012,0.005493,37,43.5,46,71.51,37,5.613,46,0.7944,56
10,5,2012,0.005418,26,47,39,86.77,26,7.84,39,1.082,43
10,6,2012,0.003292,24,39,35,70.12,24,8.584,35,0.7986,43
10,7,2012,0.003572,46,41.5,60,58.6,46,11.05,60,1.164,71
10,8,2012,0.003899,47,40,59,60.26,47,10.66,59,1.036,65
10,9,2012,0.004223,58,43,74,62.98,58,10.45,74,0.8014,83
10,10,2012,0.004605,72,42,100,65.55,72,9.882,100,1.045,105
10,11,2012,0.004611,99,42,143,75.22,99,5.363,143,0.7995,158
10,12,2012,0.004685,106,41,143,64.46,106,9.312,143,0.9323,158
10,13,2012,0.004757,97,42.5,124,62.11,97,9.896,124,1.125,142
10,14,2012,0.004659,96,44,127,70.13,96,5.555,127,0.801,143
10,15,2012,0.004558,98,42,135,68.85,98,5.585,135,0.8036,147
10,16,2012,0.004289,120,43,166,69.72,120,7.675,166,0.9527,184
10,17,2012,0.003909,136,44,201,64.72,136,9.803,201,1.045,226
10,18,2012,0.005034,131,38,168,61.63,131,7.495,168,0.8001,195
10,19,2012,0.004512,177,43,238,63.85,177,8.717,238,1.065,263
10,20,2012,0.004961,193,46,233,71.25,193,7.755,233,0.8974,258
