month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,2,2013,0.001922,3,31,3,69.42,3,11,3,3.569,4
11,3,2013,0.001505,12,29,14,40.06,12,21.32,14,11.74,14
11,4,2013,0.0005176,3,28,3,47.97,3,15.67,3,1.235,3
11,5,2013,0.00543,1,34,1,80.82,1,2.717,1,0.5454,1
11,6,2013,0.00106,1,31,1,37.3,1,35.58,1,5.899,1
11,7,2013,nan,0,26,1,nan,0,37.86,1,3.873,1
11,8,2013,0.003875,2,30.5,2,39.66,2,60.36,2,7.054,2
11,9,2013,0.01269,4,61.5,4,152,4,4.511,4,2.231,4
11,10,2013,0.001315,3,28,5,41.41,3,3.684,5,3.23,5
11,11,2013,0.02439,1,26,2,39.29,1,10.94,2,4.072,2
11,12,2013,0.001184,1,29.5,2,48.22,1,17.58,2,2.954,2
11,13,2013,0.00465,4,28,4,36.07,4,23.92,4,3.982,4
11,14,2013,0.001238,3,28,4,31.84,3,13.54,4,2.033,5
11,15,2013,0.002043,1,24,1,37.45,1,15.59,1,2.826,1
11,16,2013,0.0005247,3,29,3,52.54,3,15.73,3,3.907,3
11,17,2013,0.00507,2,28,3,54.99,2,14.43,3,2.595,3
11,18,2013,0.0002335,1,28.5,2,31.98,1,28.4,2,3.528,2
11,19,2013,0.003103,4,23.5,4,30.29,4,5.639,4,1.817,4
11,20,2013,0.006578,4,27,4,36.45,4,10.36,4,6.359,4
11,21,2013,0.001174,4,24,4,58.22,4,20.25,4,3.954,5
11,22,2013,0.01862,6,28.5,8,54.48,6,12.47,8,3.068,8
11,23,2013,0.002918,1,29,1,58.9,1,50.82,1,0.7596,1
11,24,2013,0.0008207,4,23,7,39.79,4,14.09,7,2.784,7
11,25,2013,0.003339,4,27,4,53.71,4,4.326,4,1.692,5
11,26,2013,0.009321,2,37.5,2,334.6,2,3.403,2,0.3169,4
11,27,2013,0.00163,1,32,1,91.36,1,7.679,1,0.4186,3
11,28,2013,6.87e-05,1,29,1,72.78,1,32.82,1,9.815,2
11,29,2013,nan,0,26,1,nan,0,37.46,1,4.262,1
11,30,2013,0.0007408,6,28,6,38.37,6,18.98,6,3.868,6
11,2,2012,0.001032,1,30,1,43.42,1,17.87,1,1.649,2
11,3,2012,0.001262,2,25.5,2,43.22,2,41.86,2,7.579,2
11,4,2012,0.001173,1,28.5,2,45.5,1,10.87,2,1.587,2
11,5,2012,0.0003888,2,26.5,2,74.39,2,20.48,2,2.831,2
11,6,2012,0.0004433,1,28,2,57.72,1,12.4,2,1.812,2
11,7,2012,0.08267,2,31,2,78.57,2,15.17,2,2.771,2
11,8,2012,0.001185,1,24,1,46.39,1,17.53,1,1.689,2
11,9,2012,0.004023,1,30,1,58.28,1,11.66,1,1.686,1
11,10,2012,0.001459,2,28,2,74.17,2,14.5,2,4.013,2
11,11,2012,0.007721,1,29.5,2,94.64,1,12.68,2,2.711,2
11,12,2012,0.0007683,1,23,1,31.03,1,13.03,1,2.146,1
11,13,2012,0.003939,2,28,3,42.53,2,13.34,3,1.566,3
11,15,2012,0.001492,1,29,1,47.65,1,15.49,1,1.688,1
11,16,2012,0.001113,1,28,1,48.5,1,17.66,1,4.023,2
11,17,2012,0.005173,2,28.5,2,70.48,2,5.386,2,0.8501,2
11,18,2012,0.08941,1,32,1,73.93,1,0.454,1,1.609,1
11,19,2012,0.000618,2,24,3,43.52,2,17.46,3,1.369,3
11,20,2012,0.06643,1,28,3,64.31,1,4.163,3,1.612,3
11,21,2012,0.0001655,4,24,5,52.17,4,83.11,5,4.198,7
11,22,2012,0.0006673,1,36,1,139.2,1,3.241,1,1.686,1
11,23,2012,0.001199,2,28,3,111.6,2,8.653,3,1.489,3
11,24,2012,0.007946,1,29,1,47.69,1,11.29,1,1.686,1
11,26,2012,0.001463,1,27,5,38.41,1,15.21,5,1.44,5
11,27,2012,0.0006113,4,27,6,50.16,4,13.41,6,1.481,6
11,28,2012,0.006843,2,27,3,71.62,2,15.18,3,0.2013,3
11,29,2012,0.04,2,31,2,61.98,2,6.948,2,4.615,3
11,30,2012,0.009602,1,32.5,2,126.6,1,10.9,2,1.3,2
10,2,2012,0.001351,1,22,1,49.7,1,49.64,1,8.114,1
10,3,2012,0.002675,3,25,3,40.65,3,56.9,3,9.565,3
10,4,2012,0.0009294,2,28.5,2,74.88,2,16.72,2,1.684,2
10,5,2012,0.003864,3,28,3,37.67,3,13.23,3,2.949,3
10,6,2012,0.0002435,2,26,2,32.33,2,14.12,2,4.071,2
10,7,2012,0.001365,2,30,2,44.91,2,14.5,2,1.676,2
10,8,2012,0.002064,1,26,1,33.02,1,54,1,3.145,1
10,9,2012,0.007699,1,31,1,76.44,1,36.78,1,6.25,1
10,10,2012,0.000637,1,28,2,50.44,1,15.58,2,1.346,3
10,11,2012,0.0005787,3,27.5,4,35.81,3,37.66,4,6.355,5
10,12,2012,0.02802,1,27,4,39.67,1,14.84,4,2.955,4
10,13,2012,0.001668,1,30,1,75.39,1,20.64,1,6.372,1
10,14,2012,nan,0,27,1,nan,0,15.29,1,1.107,1
10,15,2012,8.281e-05,1,26.5,2,35.85,1,22.76,2,3.979,3
10,16,2012,0.0006866,2,27,3,175.7,2,22.33,3,1.544,3
10,17,2012,0.0005127,3,27,5,31.46,3,50.57,5,1.595,5
10,18,2012,nan,0,28,2,nan,0,28.41,2,4.314,2
10,19,2012,0.001123,2,26,2,181.9,2,24,2,4.047,3
10,20,2012,2.378e-05,3,27,3,35.22,3,48.54,3,6.377,3
10,21,2012,9.276e-05,1,31,3,41.56,1,12.36,3,1.688,3
10,22,2012,0.004521,2,24.5,4,63.47,2,19.28,4,1.689,4
10,23,2012,nan,0,26,1,nan,0,15.46,1,1.512,1
10,24,2012,0.0001433,4,25,4,33.32,4,46.78,4,4.547,4
10,25,2012,0.001111,2,27,3,33.96,2,15.73,3,1.448,3
10,26,2012,nan,0,nan,0,nan,0,nan,0,1.406,1
10,27,2012,0.0008237,4,26.5,6,44.61,4,12.86,6,1.707,8
10,28,2012,0.005899,1,32,1,56.92,1,14.76,1,1.707,1
10,29,2012,nan,0,nan,0,nan,0,nan,0,1.205,1
10,1,2013,0.001085,3,24,3,34.39,3,14.64,3,4.095,3
10,2,2013,0.001691,2,28,3,76.5,2,15.76,3,3.037,3
10,3,2013,0.001072,9,27,15,36.21,9,19.24,15,3.195,15
10,4,2013,0.001141,11,29.5,12,64.33,11,12.42,12,2.826,13
10,5,2013,9.194e-05,3,28.5,4,47.05,3,52.61,4,7.3,4
10,6,2013,0.0005876,1,31,1,70.99,1,15.57,1,2.887,1
10,7,2013,0.0001688,3,25,3,41.59,3,15.18,3,1.333,3
10,8,2013,0.00201,5,28,6,36.91,5,33.62,6,14.25,6
10,9,2013,0.001563,2,28.5,6,46.49,2,15.86,6,3.937,6
10,10,2013,0.001096,1,26,2,49.88,1,15.3,2,3.71,2
10,11,2013,nan,0,27,1,nan,0,17.97,1,4.082,1
10,13,2013,0.002357,3,28,3,42.86,3,17.84,3,4.054,3
10,14,2013,0.0001916,3,28,4,109.2,3,17.75,4,4.043,4
10,15,2013,0.001865,3,29,3,43.81,3,6.138,3,1.055,4
10,16,2013,0.001849,1,31,1,36.94,1,27.28,1,4.848,2
10,17,2013,0.0001268,1,27.5,2,103.7,1,16.83,2,4.013,3
10,18,2013,0.0001503,1,32,1,36.58,1,21.52,1,7.031,1
