month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.0007337,3,32,3,91.36,3,9.216,3,0.4112,7
11,1,2013,0.001184,1,29,1,48.22,1,17.37,1,2.717,3
11,2,2013,nan,0,nan,0,nan,0,nan,0,2.311,1
11,5,2013,0.00193,2,30,2,47.09,2,10.79,2,3.91,3
11,7,2013,0.000878,4,28.5,4,55.82,4,20.93,4,3.607,4
11,8,2013,0.0005247,1,32,1,52.54,1,8.608,1,4.092,1
11,9,2013,0.001238,5,24,5,38.81,5,17.12,5,3.461,6
11,10,2013,0.001894,9,27,9,34.78,9,15.73,9,3.482,10
11,11,2013,0.001874,2,23.5,2,32.41,2,13.73,2,2.826,3
11,12,2013,0.003143,4,24.5,4,33.08,4,6.732,4,1.442,4
11,13,2013,0.006922,6,28,6,119.3,6,8.179,6,2.121,6
11,14,2013,0.002663,2,29,2,39.68,2,15.92,2,10.86,2
11,15,2013,0.001173,5,29,5,42.71,5,25.07,5,12.59,7
11,16,2013,0.0009626,7,29,7,45.61,7,17.56,7,3.769,9
11,17,2013,0.001903,1,29,1,38.26,1,34.15,1,5.656,1
11,18,2013,0.005524,2,30.5,2,103.3,2,5.098,2,3.056,4
11,19,2013,0.0006669,7,27,7,38.48,7,10.18,7,3.907,9
11,20,2013,0.01473,8,29,8,54.48,8,3.777,8,2.692,10
11,21,2013,0.01569,1,29,1,68.85,1,14.28,1,1.001,4
11,22,2013,0.003831,5,29,5,75.87,5,28.79,5,5.105,5
11,23,2013,0.001977,6,29,6,36.89,6,11.01,6,4.061,7
11,0,2012,0.0005021,3,29,3,111.6,3,8.968,3,1.124,3
11,6,2012,0.0002557,1,27,1,47.2,1,54.23,1,4.842,1
11,7,2012,0.001459,2,28,2,74.17,2,14.5,2,4.013,2
11,8,2012,0.001113,1,28,1,48.5,1,17.66,1,1.568,3
11,9,2012,0.001185,5,28,5,53.16,5,15.63,5,1.627,10
11,10,2012,0.003712,6,26,6,55.66,6,30.47,6,2.218,9
11,11,2012,nan,0,nan,0,nan,0,nan,0,4.023,2
11,12,2012,0.0002215,2,28,2,37.03,2,12.4,2,1.384,2
11,13,2012,0.0008496,2,33,2,91.31,2,10.55,2,1.608,3
11,14,2012,0.002269,1,24,1,39.24,1,29.5,1,1.726,3
11,15,2012,0.0006971,5,28,5,45.5,5,17.65,5,1.508,6
11,16,2012,0.0007683,3,27,3,47.65,3,15.49,3,1.872,4
11,17,2012,0.0003637,3,27,3,40.21,3,22.23,3,1.561,4
11,18,2012,0.006119,2,31,2,44.93,2,26.67,2,6.372,3
11,19,2012,0.0343,2,28.5,2,65.5,2,3.97,2,1.523,2
11,20,2012,0.07934,3,32,3,72.85,3,1.811,3,2.067,4
11,21,2012,0.001896,1,30,1,76.86,1,8.653,1,3.751,2
11,22,2012,nan,0,nan,0,nan,0,nan,0,1.437,1
11,23,2012,0.004023,1,30,1,58.28,1,11.66,1,1.563,2
10,0,2012,9.807e-05,1,25,1,32.21,1,10.06,1,1.647,3
10,1,2012,nan,0,nan,0,nan,0,nan,0,1.565,1
10,2,2012,0.00141,1,30,1,79.53,1,12.93,1,1.641,1
10,4,2012,nan,0,nan,0,nan,0,nan,0,3.68,2
10,6,2012,0.001064,1,28,1,49.02,1,17.28,1,1.725,1
10,7,2012,2.32e-05,2,27,2,34.49,2,49.82,2,6.397,2
10,9,2012,0.003408,4,28,4,56.26,4,10.42,4,2.828,8
10,10,2012,0.002064,3,26,3,40.65,3,54,3,3.145,5
10,11,2012,0.001009,4,28.5,4,36.42,4,15.08,4,1.731,5
10,12,2012,0.005899,1,32,1,56.92,1,14.76,1,1.698,2
10,13,2012,0.0008076,3,24,3,195.8,3,29.7,3,4.205,4
10,14,2012,0.0006238,3,25,3,39.67,3,14.25,3,3.505,3
10,15,2012,0.001351,1,22,1,49.7,1,49.64,1,4.88,2
10,16,2012,0.0001755,4,26.5,4,36.58,4,33.15,4,1.706,7
10,17,2012,0.0005894,1,23,1,28.62,1,15.73,1,4.18,6
10,18,2012,nan,0,nan,0,nan,0,nan,0,1.359,2
10,19,2012,0.0005836,7,27,7,32.23,7,50.57,7,2.45,9
10,20,2012,0.000449,5,30,5,51.79,5,17.3,5,1.687,5
10,21,2012,0.007699,1,31,1,76.44,1,36.78,1,6.25,1
10,22,2012,0.000404,3,26,3,32.55,3,14.31,3,4.054,3
10,23,2012,0.000637,1,27,1,50.44,1,18.24,1,1.529,1
10,0,2013,0.000208,3,29,3,59.52,3,18.4,3,5.499,4
10,1,2013,nan,0,nan,0,nan,0,nan,0,0.09414,2
10,2,2013,9.194e-05,2,27,2,54.56,2,88.16,2,11.56,2
10,5,2013,0.0001369,3,23,3,28.85,3,16.87,3,2.826,5
10,6,2013,0.002469,1,28,1,40.83,1,11.51,1,3.908,1
10,7,2013,0.001141,2,31,2,34.87,2,43.85,2,9.857,3
10,8,2013,0.001014,2,30,2,45.92,2,31.39,2,4.268,3
10,9,2013,0.009819,3,44,3,127.2,3,3.559,3,1.878,4
10,10,2013,0.0001268,5,31,5,103.7,5,17.83,5,6.04,8
10,11,2013,0.001565,15,28,15,64.33,15,8.344,15,2.726,25
10,12,2013,0.0009252,12,27,12,35.9,12,12.85,12,2.863,14
10,13,2013,0.00161,7,28,7,49.24,7,3.029,7,2.489,8
10,14,2013,0.0001916,5,28,5,41.59,5,17.73,5,2.173,8
10,15,2013,6.513e-05,7,29,7,47.05,7,17.46,7,4.065,8
10,16,2013,0.0001905,3,27,4,48.32,3,17.86,3,4.015,6
10,17,2013,0.001865,7,28,7,107.1,7,7.952,7,3.046,9
10,18,2013,0.0008247,7,27.5,8,34.98,7,14.64,7,4.072,8
10,19,2013,0.0005097,6,28,6,64.3,6,17.93,6,4.01,8
