month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.022,26,52,41,65.08,26,2.724,41,0.5351,47
11,2,2013,0.01046,29,63,45,120.5,29,2.19,45,0.4255,50
11,3,2013,0.00786,29,56.5,40,92.01,29,3.428,40,0.428,50
11,4,2013,0.005768,20,59.5,30,92.89,20,3.723,30,0.5276,37
11,5,2013,0.004624,34,59,55,151.8,34,3.746,55,0.4931,59
11,6,2013,0.001441,29,54,58,144,29,3.758,58,0.3777,62
11,7,2013,0.007731,38,42,69,85.94,38,5.538,69,0.4094,82
11,8,2013,0.01019,25,58,47,100.4,25,4.167,47,0.4073,63
11,9,2013,0.008033,30,57,44,97.75,30,4.821,44,0.5257,55
11,10,2013,0.01304,46,55.5,54,101.5,46,2.685,54,0.4004,67
11,11,2013,0.006675,33,65,54,117.8,33,3.901,54,0.4678,64
11,12,2013,0.008545,40,64,57,112,40,3.104,57,0.5503,62
11,13,2013,0.006626,25,60,37,102.9,25,2.796,37,0.3875,46
11,14,2013,0.007473,42,55,55,104.4,41,3.697,56,0.5508,61
11,15,2013,0.00696,22,57,28,94.02,22,3.962,28,0.3803,42
11,16,2013,0.006122,30,52,43,84.09,30,3.522,43,0.5059,47
11,17,2013,0.005411,45,52,59,89.15,45,3.462,59,0.5106,67
11,18,2013,0.01153,49,57,59,88.01,49,2.623,59,0.5,72
11,19,2013,0.01134,39,74,47,127.8,39,2.357,47,0.4311,56
11,20,2013,0.007179,26,61,43,142,26,2.227,43,0.5154,50
11,21,2013,0.009978,40,63.5,52,136.2,40,3.409,52,0.3999,66
11,22,2013,0.00795,37,59,52,96.6,37,2.73,52,0.5442,57
11,23,2013,0.009775,45,73,55,114.6,45,2.372,55,0.5087,65
11,24,2013,0.005996,29,58,43,111.3,29,4.482,43,0.5516,48
11,25,2013,0.009829,34,55,40,105.7,34,3.814,40,0.5045,47
11,26,2013,0.009128,46,57,71,107.3,46,2.917,71,0.3819,88
11,27,2013,0.0135,39,54.5,44,87.37,39,2.158,44,0.4693,54
11,28,2013,0.008915,40,60,53,112.4,40,3.347,53,0.3351,74
11,29,2013,0.01253,21,54.5,44,146.5,21,4.548,44,0.3769,61
11,30,2013,0.01076,30,66,45,115.2,30,2.679,45,0.3788,57
11,1,2012,0.01275,38,61.5,60,89.86,38,4.58,60,0.5258,69
11,2,2012,0.01147,32,55.5,50,89.39,32,4.391,50,0.5029,54
11,3,2012,0.009014,34,64,49,114.1,34,3.681,49,0.4844,63
11,4,2012,0.006637,34,67,50,101.7,34,3.346,50,0.5265,61
11,5,2012,0.02653,24,71,35,131.5,24,2.662,35,0.4016,48
11,6,2012,0.01318,31,56,47,98.35,31,3.377,47,0.4441,50
11,7,2012,0.01035,25,63,36,109.4,25,2.542,36,0.4247,42
11,8,2012,0.0149,19,78,30,106.1,19,1.46,30,0.4097,38
11,9,2012,0.009,38,64,57,113.5,38,3.619,57,0.5246,70
11,10,2012,0.01354,27,64,46,112.9,27,2.518,46,0.4152,53
11,11,2012,0.007279,31,59,45,75.68,31,4.337,45,0.5631,61
11,12,2012,0.01321,36,64,49,95.24,36,2.226,49,0.5035,57
11,13,2012,0.01171,26,63,41,116.6,26,3.758,41,0.4023,58
