month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.0115,38,65,56,86.68,38,2.809,56,0.4131,78
11,1,2013,0.01039,18,55.5,22,85.23,17,3.288,23,0.5251,29
11,2,2013,0.006028,20,52,31,112.6,20,5.257,31,0.436,36
11,3,2013,0.006089,15,60.5,20,108.9,15,2.448,20,0.5194,27
11,4,2013,0.01335,7,42,18,110,7,8.362,18,0.5946,20
11,5,2013,0.004137,12,51.5,14,81.82,12,5.708,14,0.5945,15
11,6,2013,0.003874,13,49,19,72.12,13,7.49,19,0.5412,23
11,7,2013,0.00666,22,67,28,108.2,22,2.741,28,0.3816,32
11,8,2013,0.008913,40,64,51,108.7,40,3.432,51,0.3832,66
11,9,2013,0.01008,37,52,56,91.92,37,3.609,56,0.4871,72
11,10,2013,0.009194,51,60,68,122.2,51,3.077,68,0.5318,76
11,11,2013,0.007095,45,58,65,109.1,45,3.639,65,0.4126,79
11,12,2013,0.01046,48,66,70,130.5,48,2.92,70,0.3994,79
11,13,2013,0.007011,29,51.5,42,108,29,3.713,42,0.5503,53
11,14,2013,0.0107,39,57,63,138.9,39,2.816,63,0.4458,77
11,15,2013,0.004005,35,55,53,96.77,35,4.347,53,0.5117,64
11,16,2013,0.009211,64,57,96,110.9,64,3.824,96,0.4205,113
11,17,2013,0.007729,49,62,75,104.8,49,2.924,75,0.4114,90
11,18,2013,0.01043,70,61.5,94,105.8,70,2.43,94,0.4076,111
11,19,2013,0.01261,81,67,106,126.7,81,2.646,106,0.4365,128
11,20,2013,0.007417,74,58,107,103.9,74,2.937,107,0.3898,121
11,21,2013,0.01152,82,55,126,83.56,82,2.924,126,0.5091,141
11,22,2013,0.007048,65,57,97,96.21,65,2.93,97,0.4859,118
11,23,2013,0.006894,64,52,87,115.4,64,5.545,87,0.4486,108
11,0,2012,0.007003,35,53,59,80.41,35,5.363,59,0.5423,72
11,1,2012,0.006981,51,62,67,102.8,51,5.028,67,0.4461,85
11,2,2012,0.01235,30,69.5,44,102.4,30,2.72,44,0.3349,65
11,3,2012,0.01026,19,64,32,91.3,19,3.309,32,0.3513,55
11,4,2012,0.01436,11,63,21,88.42,11,2.927,21,0.4682,27
11,5,2012,0.0173,9,74,17,101.7,9,1.894,17,0.3715,18
11,6,2012,0.004329,10,58,21,93.37,10,2.929,21,0.3928,26
11,7,2012,0.01338,19,63,38,72.1,19,2.929,38,0.4698,49
11,8,2012,0.01331,26,55,39,99.17,26,3.208,39,0.5732,42
11,9,2012,0.01005,28,63,51,113.2,28,4.796,51,0.5468,59
11,10,2012,0.01021,32,61,57,92.29,32,4.134,57,0.4122,69
11,11,2012,0.01342,49,58,79,107.9,50,3.864,79,0.4557,96
11,12,2012,0.00823,60,63,84,106.3,60,4.694,84,0.5624,100
11,13,2012,0.01252,57,67,85,105,57,3.871,85,0.4053,103
11,14,2012,0.00795,41,66,63,95.11,41,2.897,63,0.4739,77
11,15,2012,0.01099,56,61,86,109.9,56,4.132,86,0.4057,107
11,16,2012,0.01073,62,68,88,94.44,62,3.059,88,0.4738,107
11,17,2012,0.0143,62,63.5,88,98.84,61,2.873,89,0.4107,114
11,18,2012,0.01048,55,66,85,132,55,2.754,85,0.3993,102
11,19,2012,0.01359,86,65,108,107.4,86,2.543,108,0.4748,131
11,20,2012,0.01177,86,71,109,106.3,86,2.28,109,0.4093,146
11,21,2012,0.01136,81,69,116,106,81,2.473,116,0.51,142
11,22,2012,0.01106,76,72,95,105.7,76,2.584,95,0.4451,111
11,23,2012,0.007886,73,62.5,96,103.4,73,3.89,96,0.5173,129
10,0,2012,0.008636,35,65,53,102.4,35,2.311,53,0.4018,82
10,1,2012,0.01066,46,58,69,105.4,46,3.941,69,0.513,92
10,2,2012,0.01345,13,64,24,87.28,13,3.09,24,0.2212,46
10,3,2012,0.0254,16,60.5,22,77.53,16,5.213,22,0.4963,29
10,4,2012,0.02324,27,53.5,32,112.6,27,2.66,32,0.5238,31
10,5,2012,0.01364,18,55.5,24,84.22,18,2.901,24,0.4672,36
10,6,2012,0.009274,14,62,24,86.22,14,3.782,24,0.4122,29
10,7,2012,0.007249,19,57.5,32,116.3,19,3.945,32,0.403,42
10,8,2012,0.007356,25,54,43,83.83,25,2.881,43,0.4229,48
10,9,2012,0.01582,24,72,51,109.8,24,2.69,51,0.4014,71
10,10,2012,0.01647,37,68,53,109.5,37,2.709,53,0.3977,71
10,11,2012,0.0102,51,58,67,96.13,51,3.544,67,0.4103,88
10,12,2012,0.01348,58,57,85,86.54,58,3.841,85,0.4429,120
10,13,2012,0.01129,49,60,79,89.74,49,4.536,79,0.4308,98
10,14,2012,0.008107,42,53.5,62,91.2,42,4.277,62,0.477,81
10,15,2012,0.01174,55,72,74,138.8,55,2.512,74,0.4022,90
10,16,2012,0.01593,53,59,82,107.1,53,4.445,82,0.5495,96
10,17,2012,0.01068,52,58,76,92.49,52,4.489,76,0.4768,100
10,18,2012,0.01009,85,62,119,106.1,85,2.903,119,0.4103,143
10,19,2012,0.008969,72,65.5,98,106.6,72,2.695,98,0.493,120
10,20,2012,0.00714,92,66,113,93.37,92,3.225,113,0.5231,139
10,21,2012,0.01181,83,73,104,96.47,83,1.94,104,0.5204,144
10,22,2012,0.01073,88,68,112,106.5,88,3.532,112,0.4993,148
10,23,2012,0.01241,59,62,77,113,59,3.663,77,0.4011,108
10,0,2013,0.008967,44,61,63,104,44,4.439,63,0.4971,82
10,1,2013,0.008471,33,70.5,44,105.6,33,5.226,44,0.548,50
10,2,2013,0.01089,17,67,22,135.8,17,4.978,22,0.4851,25
10,3,2013,0.01667,15,62,22,115.9,15,3.258,22,0.4217,24
10,4,2013,0.01506,12,52,15,80.64,12,1.667,15,0.4612,20
10,5,2013,0.006259,5,60,15,81.74,5,2.879,15,0.3191,25
10,6,2013,0.00682,18,48.5,26,69.94,18,3.543,26,0.4094,30
10,7,2013,0.005896,22,50,29,80.09,22,4.327,29,0.5849,31
10,8,2013,0.008475,48,62,67,93.62,48,3.191,67,0.5084,74
10,9,2013,0.01262,38,54,53,85.04,38,2.811,53,0.5577,57
10,10,2013,0.01212,40,49,55,79.75,40,4.019,55,0.5331,62
10,11,2013,0.008958,56,49,81,78.01,56,2.908,81,0.5275,88
10,12,2013,0.0106,59,49,75,87.04,59,4.545,75,0.544,88
10,13,2013,0.01154,47,52,67,86,46,2.607,68,0.5205,82
10,14,2013,0.009319,44,52.5,60,82.25,44,2.686,60,0.5712,67
10,15,2013,0.01088,54,50,65,78.92,54,2.923,65,0.557,78
10,16,2013,0.0103,70,54,90,95.65,70,3.214,90,0.5167,99
10,17,2013,0.01296,52,60,83,117.8,52,2.723,83,0.5302,95
10,18,2013,0.01049,61,55,92,92.73,61,2.665,92,0.5831,100
10,19,2013,0.007674,84,60,109,100.5,84,2.609,109,0.474,137
10,20,2013,0.01078,97,61,122,94.56,97,2.518,122,0.5358,147
10,21,2013,0.008225,97,59,119,93.33,97,2.849,119,0.5254,136
10,22,2013,0.008262,80,61,104,96.82,80,2.392,104,0.4916,112
10,23,2013,0.01675,51,63,77,139.6,51,1.471,77,0.4005,87
4,0,2014,0.006414,76,60,96,142.1,76,2.913,96,0.5697,95
4,1,2014,0.007806,24,55,36,108.1,24,8.74,36,0.559,44
4,2,2014,0.008799,35,58,41,102.4,35,5.811,41,0.5506,46
4,3,2014,0.00547,18,59.5,30,97.57,18,5.564,30,0.5386,34
4,4,2014,0.01298,19,61,27,100.6,19,2.934,27,0.42,30
4,5,2014,0.01412,9,53,30,184.5,9,2.901,30,0.3998,45
4,6,2014,0.02974,18,66,21,132,18,1.435,21,0.3517,26
4,7,2014,0.006494,27,60,46,107.2,27,4.511,46,0.5194,58
4,8,2014,0.006397,35,58,49,94.26,35,6.937,49,0.5373,60
4,9,2014,0.007017,38,59,58,101.3,38,4.691,58,0.5201,63
4,10,2014,0.01045,65,54.5,88,113.3,65,3.708,88,0.4919,108
4,11,2014,0.01497,53,58,82,99.11,53,3.87,82,0.5258,91
4,12,2014,0.007335,69,54,95,108.3,69,4.92,95,0.5682,108
4,13,2014,0.006039,64,57,83,99.92,64,4.166,83,0.5253,87
4,14,2014,0.01033,55,65,77,127.1,55,2.836,77,0.4056,92
4,15,2014,0.004386,53,56,89,88.12,53,4.144,89,0.4395,123
4,16,2014,0.007254,47,64,71,96.72,47,4.323,71,0.4128,92
4,17,2014,0.00714,73,54,98,87.1,73,5.171,98,0.4957,122
4,18,2014,0.01187,68,61,94,113.8,68,3.459,94,0.4282,110
4,19,2014,0.008279,98,61,129,129.4,98,3.311,129,0.4927,146
4,20,2014,0.01049,76,75,108,119.1,76,2.853,108,0.3866,137
4,21,2014,0.003571,108,66,130,113.9,108,5.042,130,0.5038,156
4,22,2014,0.00837,102,63,129,100.9,102,3.812,129,0.5508,149
4,23,2014,0.01032,46,70.5,76,106.8,46,3.545,76,0.4077,89
4,0,2013,0.01202,26,63,43,94.46,26,3.918,43,0.4077,62
4,1,2013,0.008578,24,68,41,100.7,24,3.85,41,0.5329,52
4,2,2013,0.005474,17,74,26,144.7,17,2.325,26,0.2516,43
4,3,2013,0.01105,14,73,18,109.1,14,3.332,18,0.3891,28
4,4,2013,0.009506,17,64,21,93,17,6.607,21,0.5703,25
4,5,2013,0.01299,16,64.5,26,147.8,16,2.813,26,0.5269,33
4,6,2013,0.01381,19,77,26,110.4,19,2.586,26,0.4934,30
4,7,2013,0.01688,18,63,29,88.76,18,2.879,29,0.4004,38
4,8,2013,0.008537,13,59,22,89.81,13,3.462,22,0.4216,27
4,9,2013,0.005773,41,63,55,97.24,41,4.248,55,0.5366,63
4,10,2013,0.007626,27,68,40,105.7,27,2.864,40,0.4084,48
4,11,2013,0.01062,23,64,46,126.6,23,2.774,46,0.3928,71
4,12,2013,0.01178,40,67,63,109.2,40,2.857,63,0.4542,71
4,13,2013,0.008122,44,63,77,108.3,44,4.04,77,0.4624,87
4,14,2013,0.008479,33,60,49,103.5,33,2.961,49,0.4553,61
4,15,2013,0.009101,42,64,62,120.2,42,2.639,62,0.3973,75
4,16,2013,0.007326,56,62,75,102.7,56,4.401,75,0.5767,81
4,17,2013,0.007609,52,66,73,104,52,3.434,73,0.4876,91
4,18,2013,0.01379,60,68,85,127.7,60,2.789,85,0.4011,107
4,19,2013,0.009197,50,64,77,102.2,50,2.896,77,0.4603,89
4,20,2013,0.01256,60,67,84,109.6,60,2.776,84,0.468,101
4,21,2013,0.008202,67,77,91,125.5,67,2.291,91,0.4135,112
4,22,2013,0.0119,52,69,74,113.6,52,3.065,74,0.5601,91
4,23,2013,0.0121,40,68,61,97.88,40,3.386,61,0.3975,73
4,0,2012,0.01297,62,61,80,100.3,62,2.812,80,0.4104,102
4,1,2012,0.007391,39,57,61,74,39,2.954,61,0.4235,73
4,2,2012,0.008923,25,67,39,99.93,25,2.864,39,0.4412,50
4,3,2012,0.008394,22,58,29,85.94,22,2.893,29,0.4988,38
4,4,2012,0.01269,20,69,29,145.2,20,2.908,29,0.4202,34
4,5,2012,0.009713,12,67.5,16,154.7,12,4.57,16,0.5879,20
4,6,2012,0.008333,24,53,43,91.76,24,5.505,43,0.6009,47
4,7,2012,0.01931,11,56,24,91.66,11,3.841,24,0.5701,32
4,8,2012,0.007871,29,55.5,42,91.21,29,2.906,42,0.5336,49
4,9,2012,0.01121,30,70,43,111.4,30,2.833,43,0.4776,52
4,10,2012,0.01653,41,66.5,60,103.4,41,2.773,60,0.4212,77
4,11,2012,0.0119,33,62,54,102,33,3.696,54,0.5545,68
4,12,2012,0.008435,46,57,68,90.13,46,2.823,68,0.4467,90
4,13,2012,0.008208,40,57,60,91.86,40,4.858,60,0.5287,79
4,14,2012,0.01231,54,57,72,86.39,54,3.416,72,0.4935,82
4,15,2012,0.01332,55,66,84,102,55,2.84,84,0.4752,98
4,16,2012,0.008739,61,63,77,112.6,61,2.932,77,0.4565,96
4,17,2012,0.01203,76,63.5,106,101.2,76,2.651,106,0.5069,124
4,18,2012,0.00966,74,71,90,100.8,74,2.431,90,0.4377,118
4,19,2012,0.007934,95,64.5,130,105.4,95,2.615,130,0.4819,153
4,20,2012,0.00955,85,71,113,109.7,85,2.616,113,0.5008,141
4,21,2012,0.01032,85,66,110,107.9,85,2.615,110,0.4915,139
4,22,2012,0.01057,94,64,121,98.7,94,2.894,121,0.4867,151
4,23,2012,0.007231,76,60,107,100.4,76,2.937,107,0.5274,131
12,0,2012,0.01014,48,67,74,113.5,48,3.216,74,0.4126,84
12,1,2012,0.01655,32,67,44,98.89,32,2.591,44,0.3958,64
12,2,2012,0.01299,27,73,47,117.4,27,2.8,47,0.3978,57
12,3,2012,0.02079,27,66,45,101.5,27,2.774,45,0.4053,51
12,4,2012,0.01313,12,68,19,94.9,12,3.488,19,0.3776,25
12,5,2012,0.01341,11,60,18,89.16,11,4.522,18,0.487,25
12,6,2012,0.009705,11,68,24,216.7,11,2.927,24,0.4701,30
12,7,2012,0.004579,8,63,30,93.65,8,3.25,30,0.4689,40
12,8,2012,0.01117,23,65.5,40,94.67,23,2.928,40,0.47,47
12,9,2012,0.007587,33,59,58,104,33,3.831,58,0.3949,75
12,10,2012,0.008426,39,55,62,102.2,39,2.976,62,0.3906,81
12,11,2012,0.009549,41,59,69,95.71,41,4.347,69,0.5024,89
12,12,2012,0.008847,59,68,87,105.3,59,2.561,87,0.4123,103
12,13,2012,0.009899,50,73,84,112.9,50,2.897,84,0.3923,106
12,14,2012,0.01363,48,73,71,129,48,2.861,71,0.5104,77
12,15,2012,0.008874,65,61,89,105.4,65,3.042,89,0.4467,115
12,16,2012,0.01089,73,70,111,114.7,73,2.867,111,0.4908,134
12,17,2012,0.009467,55,65,103,104.8,55,3.176,103,0.4774,125
12,18,2012,0.01266,86,61.5,120,100.6,86,2.856,120,0.4675,154
12,19,2012,0.007843,78,65,105,105.1,78,2.54,105,0.4966,134
12,20,2012,0.008897,86,70.5,112,99.2,86,2.131,112,0.5125,148
12,21,2012,0.008679,95,68,114,103.8,95,2.598,114,0.4223,142
12,22,2012,0.01207,73,65.5,102,105.5,73,2.703,102,0.4912,135
12,23,2012,0.008379,75,65,107,97.67,75,2.768,107,0.4723,138
12,0,2013,0.008088,41,66,56,106.6,41,3.516,56,0.4253,64
12,1,2013,0.005407,22,66,26,101.8,22,3.735,26,0.3593,33
12,2,2013,0.00568,27,68.5,32,164.8,27,2.788,32,0.3349,45
12,3,2013,0.003471,10,48,14,93.98,10,8.567,14,0.6222,15
12,4,2013,0.007117,9,61,13,111.6,9,5.355,13,0.3652,16
12,5,2013,0.009544,11,59,20,108.8,11,3.948,20,0.5704,23
12,6,2013,0.008826,19,65.5,26,128.8,19,4.418,26,0.4012,32
12,7,2013,0.005009,13,61,22,159.5,13,2.918,22,0.4219,28
12,8,2013,0.007821,27,65,42,116.2,27,2.784,42,0.3835,48
