month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.002345,182,43.5,182,86.46,182,9.838,182,4.317,327
11,2,2013,0.002069,215,42,215,78.21,215,10.06,215,4.425,332
11,3,2013,0.00217,211,57,211,99.66,211,8.711,211,4.307,345
11,4,2013,0.001887,197,46,197,90.88,197,11.49,197,4.353,327
11,5,2013,0.001665,195,36,195,66.05,195,12.36,195,4.415,339
11,6,2013,0.001751,146,34,146,62.32,146,14.52,146,4.438,279
11,7,2013,0.002111,152,33.5,152,68.87,152,12.2,152,4.463,269
11,8,2013,0.001585,150,36,150,71.24,150,14.87,150,4.441,289
11,9,2013,0.001484,214,38,214,68.32,214,10.23,214,4.423,377
11,10,2013,0.002432,203,38,203,67.22,203,12.76,203,4.422,372
11,11,2013,0.001785,207,38,207,72.92,207,13.12,207,4.424,390
11,12,2013,0.001153,206,34,206,68.24,206,14.51,206,4.456,355
11,13,2013,0.002004,185,34,185,57.64,185,12.23,185,4.464,347
11,14,2013,0.001516,166,36,166,60.43,166,9.703,166,4.375,313
11,15,2013,0.001225,150,32,150,62.06,150,12.63,150,4.458,287
11,16,2013,0.001661,159,34,159,71.15,159,12.27,159,4.466,311
11,17,2013,0.001852,251,40,251,69.79,251,10.23,251,4.422,438
11,18,2013,0.001953,192,33,192,64.65,192,9.408,192,4.467,328
11,19,2013,0.001441,187,39,187,72.34,187,11.94,187,4.429,332
11,20,2013,0.002261,216,38,216,74.78,216,10.86,216,4.382,368
11,21,2013,0.00152,194,34,194,64.11,194,13.59,194,4.454,333
11,22,2013,0.001581,138,34.5,138,59.6,138,15.09,138,4.424,265
11,23,2013,0.001453,244,38,244,71.68,244,14.32,244,4.385,426
11,24,2013,0.002334,260,40,260,72.35,260,8.598,260,4.368,458
11,25,2013,0.002247,237,37,237,65.87,237,8.899,237,4.362,408
11,26,2013,0.00208,219,37,219,68.71,219,12.15,219,4.43,389
11,27,2013,0.001285,197,35,197,63.34,197,12.54,197,4.446,394
11,28,2013,0.001699,156,37.5,156,68.27,156,10.78,156,4.462,314
11,29,2013,0.003004,204,36,204,65.86,204,10.78,204,4.455,348
11,30,2013,0.002196,185,37,185,68.18,185,9.642,185,4.465,311
11,1,2012,0.003152,113,34,113,56.86,113,10.54,113,2.954,226
11,2,2012,0.001108,131,31,131,59.55,131,13.69,131,3.254,266
11,3,2012,0.001612,133,29,133,57.6,133,14.24,133,3.094,274
11,4,2012,0.002638,127,32,127,69.03,127,9.617,127,3.251,266
11,5,2012,0.001966,116,30,116,68.9,116,13.3,116,3.152,230
11,6,2012,0.002117,118,28,118,53.91,118,12.36,118,3.214,261
11,7,2012,0.002438,118,22.5,118,79.43,118,11.37,118,2.837,270
11,8,2012,0.001467,88,29.5,88,56.48,88,14.41,88,3.21,170
11,9,2012,0.0009971,137,22,137,51.61,137,14.05,137,2.971,239
11,10,2012,0.001672,151,27,151,59.14,151,11.79,151,3.128,272
11,11,2012,0.002096,141,27,141,60.26,141,13.55,141,3.021,294
11,12,2012,0.001768,141,34,141,62.2,141,10.98,141,3.168,302
11,13,2012,0.00299,106,32,106,65.23,106,9.947,106,3.213,268
11,14,2012,0.002007,117,25,117,50.42,117,13.61,117,3.177,237
