month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.002086,47,37.5,58,56.97,47,12.83,58,3.59,66
11,1,2013,0.001704,28,35,32,50.01,28,11.95,32,3.623,31
11,2,2013,0.001232,17,36,19,55.7,17,15.46,19,3.59,21
11,3,2013,0.00229,13,20,15,43.25,13,4.527,15,3.59,15
11,4,2013,0.001534,11,38,17,40.9,11,10.08,17,2.774,21
11,5,2013,0.003271,11,36,11,96.94,11,6.467,11,3.063,10
11,6,2013,0.001122,8,34,13,37.3,8,18.23,13,3.63,15
11,7,2013,0.0009333,16,36.5,18,52.78,16,11.99,18,5.801,20
11,8,2013,0.001222,7,28.5,10,45.39,7,18.75,10,3.696,11
11,9,2013,0.001891,18,39,19,49.41,18,15.69,19,3.625,21
11,10,2013,0.001897,26,30,32,49.89,26,13.23,32,3.63,39
11,11,2013,0.002034,34,38,35,54.01,34,12.22,35,3.648,38
11,12,2013,0.001609,35,38,47,60.79,35,13.47,47,3.631,48
11,13,2013,0.001776,50,35,57,53.84,50,15.9,57,3.619,60
11,14,2013,0.002584,35,38,38,49.08,35,9.734,38,3.695,42
11,15,2013,0.001662,42,26.5,48,42.23,42,14.89,48,3.67,48
11,16,2013,0.002285,36,37.5,40,56.21,36,15.78,40,3.698,41
11,17,2013,0.001141,49,35,62,49.66,49,13.55,62,3.7,68
11,18,2013,0.001857,59,36,67,50.66,59,11.41,67,3.55,81
11,19,2013,0.001655,40,38,53,48.89,40,10.11,53,3.637,62
11,20,2013,0.002427,64,37,71,56.58,64,12.88,71,3.618,82
11,21,2013,0.003875,61,37,72,57.36,61,7.546,72,3.627,79
11,22,2013,0.001864,74,43,95,66.72,74,8.541,95,3.614,105
11,23,2013,0.002417,57,38.5,68,58.55,57,11.96,68,3.474,71
11,0,2012,0.003807,229,66,304,100.1,229,8.501,304,3.326,316
11,1,2012,0.002908,180,70,238,104.5,180,7.317,238,3.393,248
11,2,2012,0.003041,124,67,149,96.02,124,8.077,149,3.503,156
11,3,2012,0.003849,90,69,120,94.43,90,10.82,120,3.477,125
11,4,2012,0.003778,82,63,111,95.59,82,10.44,111,3.601,112
11,5,2012,0.002449,50,69,72,90.73,50,10.37,72,3.648,77
11,6,2012,0.002243,46,43,55,54.35,46,11.92,55,3.625,57
11,7,2012,0.003871,46,48.5,70,93.36,46,12.96,70,3.579,72
11,8,2012,0.001838,66,38,82,81.4,66,10.09,82,3.589,88
11,9,2012,0.001569,68,33,95,52.48,68,12.84,95,3.529,97
11,10,2012,0.00242,101,38,138,72.46,101,11.42,138,3.516,147
11,11,2012,0.003504,139,40,192,88.83,139,11.14,192,3.269,202
11,12,2012,0.00308,139,42,196,80.58,139,10.23,196,3.259,199
11,13,2012,0.002835,162,53.5,224,88.76,162,9.77,224,3.53,237
11,14,2012,0.003266,191,54,259,82.99,191,9.841,259,3.328,270
11,15,2012,0.002738,198,46,273,82.42,198,9.359,273,3.273,286
11,16,2012,0.002873,207,46,282,84.23,207,9.101,282,3.29,295
11,17,2012,0.002617,229,42,311,80.2,229,9.731,311,3.438,323
11,18,2012,0.002196,221,51,287,83.08,221,10.76,287,3.578,297
11,19,2012,0.003649,215,49,280,86.57,215,8.78,280,3.523,295
11,20,2012,0.003047,255,44,332,83.61,255,8.515,332,3.428,350
11,21,2012,0.002792,254,54.5,336,88.54,254,8.04,336,3.335,355
11,22,2012,0.002877,261,69,348,93.76,261,7.227,348,3.437,364
11,23,2012,0.002833,234,64,304,98.82,234,7.451,304,3.197,324
10,0,2012,0.00351,140,62,181,93.37,140,8.292,181,3.216,190
10,1,2012,0.003243,151,68,197,94.11,152,8.813,197,3.267,203
10,2,2012,0.002587,114,69,153,88.44,114,9.22,153,3.552,159
10,3,2012,0.003492,57,67,87,88.17,57,7.682,87,3.218,96
10,4,2012,0.003471,54,66.5,82,97.52,54,5.843,82,2.885,91
10,5,2012,0.002939,39,61,65,82.42,39,9.439,65,3.464,71
10,6,2012,0.004768,36,64,51,102.1,36,8.332,51,3.538,54
10,7,2012,0.001673,34,42,48,81.91,34,12.23,48,3.654,49
10,8,2012,0.001546,38,39,51,65.25,38,12.8,51,3.579,54
10,9,2012,0.002068,53,38,77,71.61,53,11.2,77,3.373,79
10,10,2012,0.003413,76,42,107,68.91,76,8.067,107,3.214,114
10,11,2012,0.002446,117,39,143,77.33,117,11.66,143,3.401,151
10,12,2012,0.002701,111,45,157,80,111,9.502,157,3.399,162
10,13,2012,0.00249,133,48,182,77.18,133,10.7,182,3.302,189
10,14,2012,0.002525,111,52,155,84.29,111,10.05,155,3.322,161
10,15,2012,0.002685,140,48,210,83.24,140,8.948,210,3.046,219
10,16,2012,0.003104,137,46,184,84.15,137,8.518,184,3.198,196
10,17,2012,0.002935,162,46,225,79.13,162,8.446,225,3.407,232
10,18,2012,0.003423,168,45,234,83.1,168,7.888,234,3.376,248
10,19,2012,0.002645,171,49,241,85.18,171,7.573,241,3.401,253
10,20,2012,0.002554,173,44,229,77.78,173,7.765,229,3.379,243
10,21,2012,0.003212,193,53,260,83.35,193,7.958,260,3.414,269
10,22,2012,0.002956,198,60,265,88.14,198,7.265,265,3.508,281
10,23,2012,0.003217,183,56.5,256,87.73,184,6.911,256,3.311,270
10,0,2013,0.002825,69,46,80,78.83,69,8.526,80,3.974,82
10,1,2013,0.003847,56,58.5,64,97.87,56,9.735,64,3.58,69
10,2,2013,0.002658,34,42,44,80.07,34,6.798,44,3.627,46
