month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.001643,93,28,93,58.51,93,13.83,93,0.9061,215
11,2,2013,0.002531,127,26,127,59.25,127,10.77,127,1.395,229
11,3,2013,0.001622,130,28,130,66.05,130,10.48,130,0.9027,257
11,4,2013,0.001891,120,26,120,57.55,120,10.14,120,0.9054,247
11,5,2013,0.002031,77,32,77,81.54,77,9.541,77,0.9045,172
11,6,2013,0.001649,83,30,83,60.41,83,14.74,83,0.9984,177
11,7,2013,0.00182,84,26.5,84,57.4,84,12.4,84,1.677,184
11,8,2013,0.002054,87,29,87,54.89,87,13.03,87,1.24,179
11,9,2013,0.001607,78,29,78,57.24,78,14.57,78,0.906,174
11,10,2013,0.002667,75,26,75,64.47,75,13.59,75,0.9174,178
11,11,2013,0.001843,115,32,115,64.98,115,11.23,115,0.9025,222
11,12,2013,0.001766,103,28,103,58.52,103,13.84,103,0.9122,187
11,13,2013,0.00259,88,31,88,75.77,88,11.98,88,0.8941,191
11,14,2013,0.002237,127,31,127,61.73,127,10.52,127,0.9047,276
11,15,2013,0.002509,85,28,85,63.61,85,10.6,85,0.9038,197
11,16,2013,0.00243,97,32,97,66.92,97,10.93,97,0.9024,184
11,17,2013,0.001979,105,27,105,62.43,105,11.74,105,0.9012,220
11,18,2013,0.001705,74,32,74,64.02,74,10.38,74,0.901,187
11,19,2013,0.002138,122,31.5,122,67.82,122,11.64,122,0.9045,220
11,20,2013,0.002086,64,31.5,64,66.6,64,8.971,64,0.9058,173
11,21,2013,0.00166,125,27,125,58.68,125,11.26,125,0.9069,232
11,22,2013,0.002257,88,28.5,88,73.43,88,11.91,88,0.914,194
11,23,2013,0.00171,119,26,119,55.4,119,11.94,119,1.297,214
11,24,2013,0.001613,148,29,148,66.03,148,8.37,148,0.9019,298
11,25,2013,0.0034,112,29.5,112,59.65,112,7.542,112,0.9078,227
11,26,2013,0.001155,88,31,88,63.86,88,13.22,88,0.908,204
11,27,2013,0.002176,113,31,113,68.08,113,11.1,113,0.9029,227
11,28,2013,0.001805,122,25,122,52.96,122,12.54,122,0.8982,232
11,29,2013,0.002036,117,24,117,55.96,117,11.36,117,0.904,213
11,30,2013,0.001611,94,25,94,61.83,94,13.24,94,0.8933,214
11,1,2012,0.002919,117,33,117,72.85,117,10.46,117,0.9135,217
11,2,2012,0.003174,108,32,108,59.98,108,10.82,108,0.8294,208
11,3,2012,0.003265,125,32,125,63,125,10.28,125,0.8177,238
11,4,2012,0.003422,121,32,121,60.82,121,11.35,121,0.8196,240
11,5,2012,0.001976,107,35,107,59.47,107,10.83,107,0.823,195
11,6,2012,0.00258,83,32,83,55.72,83,14.47,83,0.818,196
11,7,2012,0.003275,88,34,88,70.98,88,11.03,88,0.8214,160
11,8,2012,0.00425,97,35,97,69.09,97,8.438,97,0.8257,206
11,9,2012,0.003488,103,31,103,59.24,103,10.51,103,0.8214,187
11,10,2012,0.001859,118,29,117,60,117,11.45,118,0.8246,206
11,11,2012,0.002174,113,31,113,59.98,113,12.83,113,0.8275,219
11,12,2012,0.002996,118,31,118,63.84,118,11.23,118,0.823,232
11,13,2012,0.002119,116,29,116,51.85,116,12.88,116,0.8256,214
11,14,2012,0.003129,112,31,112,54.92,112,9.655,112,0.8244,222
11,15,2012,0.002702,105,30,105,52.77,105,14.72,105,0.8282,212
11,16,2012,0.002103,102,28,102,59.66,102,13.72,102,0.8289,199
11,17,2012,0.002099,180,31,180,61.14,180,11.46,180,0.8186,339
11,18,2012,0.002438,184,30,184,68.9,184,10.21,184,0.8271,375
11,19,2012,0.00182,139,28,139,52.97,139,12.04,139,0.8564,308
11,20,2012,0.002305,130,33,130,60.54,130,11.56,130,0.826,297
11,21,2012,0.002589,138,31,138,55.96,138,10.84,138,0.8264,285
11,22,2012,0.002741,147,31,147,55.92,147,12.28,147,0.8226,277
11,23,2012,0.002062,146,28,146,59.68,146,11.44,146,0.8251,310
11,24,2012,0.002332,179,30,179,54.07,179,12.97,179,0.8222,305
11,25,2012,0.003051,196,30,196,56,196,10.34,196,0.8253,354
11,26,2012,0.001971,135,29,135,53.78,135,13.3,135,0.8227,285
11,27,2012,0.002202,136,29,136,57.33,136,10.26,136,0.8262,243
11,28,2012,0.001707,127,32,127,60.51,127,10.87,127,0.8255,266
11,29,2012,0.001944,108,31,108,56.18,108,11.48,108,0.8175,214
11,30,2012,0.002374,167,30,167,60.69,167,9.478,167,0.8201,285
10,1,2012,0.002833,100,34.5,100,73.03,100,9.588,100,0.8181,229
10,2,2012,0.003609,97,46,97,87.6,97,11.68,97,0.8196,204
10,3,2012,0.002659,102,29.5,102,76.61,102,8.694,102,0.8266,208
10,4,2012,0.002751,108,38.5,108,64.94,108,8.809,108,0.816,236
10,5,2012,0.003883,115,34,115,74.59,115,10.49,115,0.8249,236
10,6,2012,0.002042,114,39,114,71.55,114,9.586,114,0.8209,239
10,7,2012,0.002249,98,43.5,98,79.35,98,8.382,98,0.8238,186
10,8,2012,0.001647,75,44,75,77.43,75,8.575,75,0.8194,151
10,9,2012,0.002177,121,42,121,80.46,121,11.21,121,0.8255,238
10,10,2012,0.002745,109,37,109,64.47,109,9.488,109,0.8229,219
10,11,2012,0.002835,115,30,115,58.31,115,10.2,115,0.8217,210
10,12,2012,0.002845,99,32,99,63.77,99,9.451,99,0.825,197
10,13,2012,0.002335,113,32,113,62.97,113,11.91,113,0.8242,211
10,14,2012,0.001758,142,33.5,142,64.08,142,9.145,142,0.8174,271
10,15,2012,0.003074,140,32,140,59.56,140,11.36,140,0.8205,253
10,16,2012,0.004367,111,32,112,58.01,112,10.58,112,0.8222,207
10,17,2012,0.005139,109,31,109,65.06,109,9.498,109,0.8164,212
10,18,2012,0.003624,83,30,83,51.96,83,12.38,83,0.8183,194
10,19,2012,0.003475,95,35,95,61.38,95,8.23,95,0.8174,182
10,20,2012,0.004004,113,35,113,65.97,113,8.981,113,0.823,221
10,21,2012,0.002731,113,34,113,64.57,113,11.98,113,0.824,215
10,22,2012,0.003424,98,32.5,98,65.09,98,8.926,98,0.8165,197
10,23,2012,0.002864,87,33,87,64.94,87,10.55,87,0.8237,168
10,24,2012,0.004154,102,29,102,56.83,102,10.78,102,0.8205,208
10,25,2012,0.001653,115,29,115,56.19,115,11.83,115,0.8231,217
10,26,2012,0.002796,100,28.5,100,55.87,100,11.9,100,0.8236,200
10,27,2012,0.002561,153,30,153,55.18,153,10.19,153,0.8196,260
10,28,2012,0.00346,116,33.5,116,63.54,116,9.855,116,0.8202,216
10,29,2012,0.003865,118,33,118,62.81,118,8.652,118,0.817,247
10,30,2012,0.00334,104,33,104,60.26,104,8.621,104,0.8231,217
10,31,2012,0.002845,105,33,105,60.5,105,12.89,105,0.8246,218
10,1,2013,0.002168,239,26,241,58.68,241,12.19,241,0.9058,502
10,2,2013,0.002304,276,31.5,276,75.48,276,7.62,276,1.069,518
10,3,2013,0.002719,239,31,239,62.84,239,10.9,239,0.906,528
10,4,2013,0.002745,217,31,217,58.67,217,12.22,217,0.9956,380
10,5,2013,0.002132,268,29.5,268,55.93,268,11.6,268,0.9611,517
10,6,2013,0.001926,310,26,310,60.92,310,11.44,310,0.9057,603
10,7,2013,0.001639,258,29,258,64.85,258,11.14,258,0.9052,500
10,8,2013,0.001868,212,28,212,57.67,212,10.77,212,0.9109,432
10,9,2013,0.002338,130,34,130,60.84,130,11.96,130,1.181,240
10,10,2013,0.001945,74,30,74,57.01,74,10.19,74,0.9095,175
10,11,2013,0.001889,95,28,95,54.39,95,13.6,95,0.9061,202
10,12,2013,0.001716,93,30,93,61.97,93,11.57,93,0.9089,191
