month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.001332,130,28,248,67.66,130,13.93,248,0.9987,269
11,1,2013,0.002403,86,30.5,164,62.31,86,14.16,164,0.9098,176
11,2,2013,0.002647,78,26,139,59.23,78,13.92,139,0.9029,146
11,3,2013,0.002994,62,33.5,104,59.86,62,14.58,104,0.9012,108
11,4,2013,0.002236,41,37,98,70.79,41,14.76,98,0.8929,101
11,5,2013,0.00166,33,32,90,61.21,33,15.02,90,0.8933,92
11,6,2013,0.001519,43,32,113,49.07,43,15,113,0.8964,118
11,7,2013,0.001539,55,27,111,50.09,55,13.26,111,0.8981,123
11,8,2013,0.002002,93,27.5,190,64.47,93,13.99,190,1.037,197
11,9,2013,0.00189,103,29,194,62.14,103,14.02,194,0.9114,205
11,10,2013,0.001806,111,29,250,58.82,111,13.56,250,0.9017,262
11,11,2013,0.001278,119,30.5,244,55.14,119,15.02,244,1.258,258
11,12,2013,0.001781,113,28,220,65.35,113,14.7,220,0.9054,234
11,13,2013,0.002057,136,32,258,59.03,136,13.97,259,0.904,271
11,14,2013,0.002179,137,29,257,61.78,137,13.63,257,0.9091,275
11,15,2013,0.002153,156,29.5,270,65.41,156,13.79,270,0.9122,281
11,16,2013,0.001923,142,29,284,57.95,142,14.07,284,0.9062,305
11,17,2013,0.001732,141,28,297,55.89,141,14.42,297,0.9077,328
11,18,2013,0.001654,174,28,328,64.19,174,14.24,328,0.9066,353
11,19,2013,0.001879,261,29,452,69.62,261,13.08,452,0.9099,481
11,20,2013,0.002342,275,29,496,65.84,275,12.31,496,0.9098,532
11,21,2013,0.001612,212,28,428,58.6,212,12.96,428,0.9008,464
11,22,2013,0.002321,192,30,372,64.53,192,12.18,372,0.9041,400
11,23,2013,0.001726,167,29,319,61.89,167,13.72,319,0.9057,345
11,0,2012,0.002635,173,32,331,59.89,173,12.53,331,0.8309,345
11,1,2012,0.003228,101,30,198,51.25,101,13.98,198,0.8277,213
11,2,2012,0.00298,95,30,188,58.03,95,14.22,188,0.9446,196
11,3,2012,0.001859,58,32,119,54.77,58,12.89,119,0.822,126
11,4,2012,0.002773,56,33,92,56.81,56,12.31,92,0.8228,93
11,5,2012,0.002281,28,32,85,55.57,27,13.77,86,0.8206,95
11,6,2012,0.00351,50,31,91,49.65,50,13.98,91,0.8082,101
11,7,2012,0.002623,72,30,121,54.6,72,13.65,121,0.826,131
11,8,2012,0.002707,64,30,165,54.6,64,14.55,165,0.8282,181
11,9,2012,0.003087,120,31,228,53.79,120,13.77,228,0.8267,234
11,10,2012,0.002672,134,32,262,56.45,134,13.33,262,0.8243,277
11,11,2012,0.00234,135,29,259,59.18,135,13.64,259,0.82,275
11,12,2012,0.002386,163,31,309,54.21,163,14.4,309,0.8225,328
11,13,2012,0.002335,166,29,318,55.29,166,13.7,318,0.8236,334
11,14,2012,0.002483,178,28,337,56.86,178,12.64,337,0.824,352
