month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.001176,44,39,89,94.12,44,11.22,89,3.069,101
11,2,2013,0.003289,45,43.5,72,126.7,45,10.81,72,4.009,83
11,3,2013,0.003397,47,38,72,105.5,47,12.85,72,4.735,79
11,4,2013,0.001089,40,37,53,111.4,40,11.73,53,6.432,57
11,5,2013,0.004823,46,41,78,142.1,46,6.995,78,1.635,85
11,6,2013,0.001602,38,33,66,97.22,38,22.68,66,6.484,71
11,7,2013,0.00216,52,43,89,125.4,52,10.96,89,3.069,103
11,8,2013,0.003274,47,43,78,118.3,47,5.21,78,0.7562,91
11,9,2013,0.002596,56,40,93,100.5,56,10.18,93,3.793,112
11,10,2013,0.003665,69,42,96,134.2,69,14.22,96,4.198,109
11,11,2013,0.002198,53,39.5,82,123.4,53,9.454,82,1.197,103
11,12,2013,0.003277,45,36,85,122.8,45,9.274,85,3.432,99
11,13,2013,0.003734,58,37,89,115,58,15.41,89,5.432,98
11,14,2013,0.0009747,61,36.5,80,103.8,61,10.14,80,3.397,89
11,15,2013,0.001529,42,40.5,66,110.4,42,9.836,66,1.076,92
11,16,2013,0.003524,40,41.5,72,141.4,40,15.14,72,3.721,79
11,17,2013,0.004954,65,42.5,102,134.5,65,9.433,102,4.047,106
11,18,2013,0.005496,35,40,57,118,35,13.39,57,3.263,67
11,19,2013,0.004185,50,42,76,111.4,50,5.255,76,2.695,92
11,20,2013,0.003489,51,38,74,120.7,51,10.48,74,2.967,87
11,21,2013,0.001597,48,37,76,94.72,48,16,76,3.328,86
11,22,2013,0.003385,58,44,96,131,58,11.3,96,0.9208,115
11,23,2013,0.00528,64,46,89,109.6,64,9.332,89,3.064,99
11,24,2013,0.00245,73,40,122,124.7,73,10.93,122,3.896,135
11,25,2013,0.002151,52,40,79,107.3,52,19.59,79,8.131,84
11,26,2013,0.003288,47,39,74,110.7,47,12.94,74,3.606,80
11,27,2013,0.00502,61,40,96,108.4,61,12.38,96,3.97,106
11,28,2013,0.003086,57,43,93,132.9,57,11.93,93,2.134,116
11,29,2013,0.005175,41,41.5,64,135.8,41,6.62,64,2.667,70
11,30,2013,0.001994,46,40,71,103.5,46,15.4,71,4.004,80
11,1,2012,0.006184,28,29,69,114.5,28,20.65,69,11.79,74
11,2,2012,0.006571,40,34,66,113.7,40,22,66,10.15,70
