month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.002669,48,41.5,98,125.6,48,12.4,98,4.05,106
11,1,2013,0.004655,47,37,79,100.7,47,19.49,79,5.491,88
11,2,2013,0.004586,24,39.5,44,103.3,24,19.73,44,7.761,50
11,3,2013,0.005313,26,33,37,105.3,26,23.75,37,13.56,40
11,4,2013,0.006583,22,42,31,105.9,22,20.72,31,11.38,34
11,5,2013,0.005374,19,39,26,105.5,19,24.24,26,13.44,27
11,6,2013,0.004988,44,34,61,104,44,18.83,61,4.657,72
11,7,2013,0.005051,41,41,58,121,41,17.87,58,5.639,62
11,8,2013,0.001764,64,39,101,112.4,64,8.499,101,3.732,109
11,9,2013,0.003995,45,37,75,103.2,45,14.73,75,4.181,81
11,10,2013,0.005073,62,39,98,106.4,62,11.92,98,3.43,113
11,11,2013,0.005364,73,38,115,120,73,14.1,115,3.829,135
11,12,2013,0.004611,70,41,114,132.4,70,10.95,114,3.096,129
11,13,2013,0.003664,67,44,105,120.7,67,9.548,105,0.6413,133
11,14,2013,0.002268,76,40,117,129,76,9.707,117,1.772,150
11,15,2013,0.0025,69,44,138,135.2,69,7.33,138,1.939,162
11,16,2013,0.002304,82,38,136,106.1,82,7.523,136,2.333,158
11,17,2013,0.001727,74,40,124,106.1,74,10.86,124,3.632,149
11,18,2013,0.001561,100,36,143,108.3,100,11.59,143,4.109,157
11,19,2013,0.004632,90,40,137,131.9,90,11.08,137,2.937,155
11,20,2013,0.001483,119,41,163,117.5,119,10.26,163,3.927,176
11,21,2013,0.002814,97,46.5,152,114.9,97,9.392,152,3.072,173
11,22,2013,0.003333,92,44,147,140.2,92,8.782,147,3.783,163
11,23,2013,0.003381,80,39,130,113.3,80,16.93,130,4.216,152
11,0,2012,0.005763,41,33,81,108.9,41,20.13,81,7.294,88
11,1,2012,0.006799,44,42,69,113.9,44,14.98,69,4.7,74
11,2,2012,0.005835,40,29.5,60,98.66,40,23.76,60,10.3,66
11,3,2012,0.005777,38,32,46,105.2,38,23.88,46,20.42,49
11,4,2012,0.005929,27,31,46,109.9,27,24.25,46,18.96,56
11,5,2012,0.008039,27,32,43,112.7,27,23.84,43,16.16,51
11,6,2012,0.006365,25,34.5,42,118.2,25,24.06,42,9.476,52
11,7,2012,0.006033,28,39,43,110.5,28,19.91,43,4.938,49
11,8,2012,0.005675,45,30,80,103.1,45,23.53,80,10.41,91
11,9,2012,0.00619,44,29,98,119.7,44,23.09,98,4.309,105
11,10,2012,0.006185,50,30,104,122,50,19.39,104,4.414,115
11,11,2012,0.005562,56,32,101,108.4,56,21.34,101,4.394,114
11,12,2012,0.005889,65,32.5,96,110.2,65,22.8,96,12.98,105
11,13,2012,0.002857,73,33,112,109,73,16.12,112,4.418,127
11,14,2012,0.006604,53,32,99,128.3,53,22.54,99,4.594,108
11,15,2012,0.003078,68,30,109,92.18,68,15.84,109,2.766,132
11,16,2012,0.004585,66,37,116,109.7,66,15.64,116,4.22,130
11,17,2012,0.002664,66,35,121,92.89,66,13.62,121,3.9,135
11,18,2012,0.005651,71,35,131,118.1,71,15.01,131,3.795,156
11,19,2012,0.005812,75,37.5,130,112.1,75,15.87,130,3.977,157
11,20,2012,0.006765,76,44,142,131.7,76,13.36,142,3.81,167
11,21,2012,0.004686,63,45,123,121.8,63,14.08,123,3.733,145
11,22,2012,0.006159,70,41,135,122,70,16.46,135,4.331,160
11,23,2012,0.006024,59,35.5,108,109.6,59,14.9,108,4.812,120
10,0,2012,0.006024,36,36,74,115.9,36,23.18,74,5.872,84
10,1,2012,0.006927,57,35,91,121.8,57,22.96,91,9.186,97
10,2,2012,0.005955,42,31,66,110.6,43,24.44,66,20.35,76
10,3,2012,0.007399,41,31,59,114.5,41,23.89,59,19.24,66
10,4,2012,0.006794,22,36,37,108.8,22,23.27,37,4.832,42
10,5,2012,0.007816,30,38.5,42,135.2,30,23.68,42,20.19,43
10,6,2012,0.006671,31,32,51,112.4,31,24.12,51,18.38,56
10,7,2012,0.006123,25,32,43,115.7,25,23.95,43,14.47,48
10,8,2012,0.006732,39,34.5,50,111.5,39,24.06,50,19.06,53
10,9,2012,0.006276,50,39,76,119.3,50,23.67,76,3.927,81
10,10,2012,0.004752,42,32,89,110,42,21.64,89,3.607,96
10,11,2012,0.005592,56,35,86,120.1,56,17.91,86,3.874,95
10,12,2012,0.005555,54,31,88,115.4,54,23.66,88,9.591,101
10,13,2012,0.006583,55,36.5,94,124.7,55,16.53,94,2.903,110
10,14,2012,0.005512,46,31,95,108.9,46,17.56,95,3.668,111
10,15,2012,0.00522,58,34,111,124.7,58,20.77,111,3.574,133
10,16,2012,0.00437,44,38,85,113.6,44,19.37,85,4.208,93
10,17,2012,0.006075,61,34,101,116.1,61,19,101,4.911,112
10,18,2012,0.005905,62,38.5,110,111.7,62,14.92,110,3.628,132
10,19,2012,0.004904,68,37,125,116,68,17.54,125,4.071,147
10,20,2012,0.0065,78,48,127,124.4,78,16.57,127,6.713,133
10,21,2012,0.004299,53,46,107,123.4,53,14.47,107,4.354,130
10,22,2012,0.004965,60,47,118,133.1,60,12.57,118,3.68,131
10,23,2012,0.006126,56,40,106,113.1,56,14.6,106,4.016,122
10,0,2013,0.005052,66,34,125,110.9,66,16.98,125,4.099,142
10,1,2013,0.005304,45,39,76,102.5,45,11.25,76,3.633,88
10,2,2013,0.006041,44,38,83,123.4,44,20.52,83,5.246,93
10,3,2013,0.007174,30,34,46,112.3,30,24.08,46,9.441,55
10,4,2013,0.007543,26,41,37,116.3,26,22.42,37,12.97,40
10,5,2013,0.005763,36,33,52,103.1,36,23.84,52,19.9,57
10,6,2013,0.006098,27,34,47,98.53,27,23.48,47,15.72,49
10,7,2013,0.00678,43,37,65,109.3,43,22.97,65,11.01,76
10,8,2013,0.002383,56,34,88,104.7,56,16.04,88,4.382,97
10,9,2013,0.002365,72,34,101,115,72,19.42,101,4.843,108
10,10,2013,0.004741,72,39,123,114.3,72,12.6,123,3.075,139
10,11,2013,0.002337,61,36.5,98,116.6,61,13.82,98,3.555,110
10,12,2013,0.001392,76,42,111,116.7,76,12.35,111,3.229,133
10,13,2013,0.002051,87,41,133,116.9,87,11.75,133,3.213,154
10,14,2013,0.00266,82,36,114,108.5,82,18.03,114,5.421,129
10,15,2013,0.003227,73,40,125,105.3,73,12.06,125,2.848,140
10,16,2013,0.002258,93,39,131,112.4,93,10.08,131,3.64,146
10,17,2013,0.002217,69,37,119,100.7,69,16.43,119,4.036,150
10,18,2013,0.001238,95,39.5,146,132.7,95,8.836,146,1.879,174
10,19,2013,0.005073,73,37.5,116,121.1,73,8.863,116,3.762,142
10,20,2013,0.003044,128,41,198,125.3,128,8.74,198,2.921,224
10,21,2013,0.004699,103,41,181,123.3,103,11.61,181,3.912,206
10,22,2013,0.004432,93,41,152,116.1,93,10.51,152,3.559,180
10,23,2013,0.004268,80,39,123,105.5,80,13.76,123,3.968,140
4,0,2014,0.005445,42,37,71,97.72,42,16.03,71,5.918,90
4,1,2014,0.005851,37,40,53,107.1,37,18.29,53,10.34,64
4,2,2014,0.005007,37,34,54,93.83,37,24.34,54,18.05,54
4,3,2014,0.004908,35,36,47,104.8,35,21.3,47,7.282,52
4,4,2014,0.005783,20,39,36,111.3,20,24.36,36,8.338,40
4,5,2014,0.00564,35,40.5,60,107.1,35,22.85,60,15.04,62
4,6,2014,0.004781,28,32,43,86.95,28,24.53,43,16.53,46
4,7,2014,0.0049,40,39,56,105.4,40,15.94,56,5.894,61
4,8,2014,0.00549,47,36,64,108.1,47,20.43,64,9.825,69
4,9,2014,0.005148,60,40,87,107.7,60,10.57,87,3.987,94
4,10,2014,0.005461,63,42.5,92,101.5,63,16.25,92,5.105,101
4,11,2014,0.004136,63,44,114,109.5,63,11.68,114,2.314,125
4,12,2014,0.004996,84,44,123,101.4,84,14.08,123,3.264,132
4,13,2014,0.004505,63,51,106,118.3,63,11.75,106,2.581,115
4,14,2014,0.005483,79,37,108,96.41,79,18.75,108,5.002,124
4,15,2014,0.003293,82,41,122,102.1,82,13.08,122,3.504,129
4,16,2014,0.002195,77,43,137,118.6,77,11.59,137,3.337,148
4,17,2014,0.004985,75,40,117,115.9,75,12.45,117,3.299,132
4,18,2014,0.002467,72,45,109,127.6,72,9.317,109,5.067,125
4,19,2014,0.00266,89,41,134,123.3,89,11.75,134,2.752,158
4,20,2014,0.002265,91,42,173,131.1,91,9.37,173,4.87,194
4,21,2014,0.001589,120,43,176,115.7,120,11.04,176,4.277,195
4,22,2014,0.002169,99,49,160,143.3,99,7.46,160,2.509,188
4,23,2014,0.002667,53,36.5,100,134,53,14.03,100,4.099,116
4,0,2013,0.005032,70,34,117,113.6,70,18.61,117,4.166,141
4,1,2013,0.005198,48,32.5,70,100.2,48,20.84,70,11,84
4,2,2013,0.005059,46,38,69,133.1,46,17.58,69,4.693,81
4,3,2013,0.00638,47,42,67,119.2,47,16.27,67,7.789,73
4,4,2013,0.006009,36,42,48,131.9,36,23.46,48,5.202,59
4,5,2013,0.009656,50,49,61,159.7,50,22.95,61,14.9,62
4,6,2013,0.007032,41,43,67,129.7,41,21.43,67,5.384,72
4,7,2013,0.005801,42,37,67,107.5,42,20.53,67,5.506,76
4,8,2013,0.005627,45,41,75,111.4,45,18.49,75,8.724,87
4,9,2013,0.005891,61,38.5,94,116.3,61,19.03,94,7.453,98
4,10,2013,0.005501,80,33,116,113.6,80,18.12,116,4.266,132
4,11,2013,0.005247,66,32,119,100.3,66,20.15,119,5.713,138
4,12,2013,0.005978,73,38.5,120,103.8,73,11.37,120,4.12,137
4,13,2013,0.005184,76,34,116,103.6,76,16.41,116,6.129,127
4,14,2013,0.005725,60,37,97,117.7,60,15.15,97,3.637,110
4,15,2013,0.004328,66,33,108,100.4,66,19.16,108,3.721,119
4,16,2013,0.003145,83,37.5,118,104.9,83,18.41,118,5.674,133
4,17,2013,0.004771,86,38,137,104.2,86,16.59,137,4.325,158
4,18,2013,0.002433,65,39,120,108.3,65,12.73,120,3.041,144
4,19,2013,0.005143,85,36.5,146,93.73,85,14.91,146,3.801,177
4,20,2013,0.004741,98,42,142,101,98,14.74,142,3.94,164
4,21,2013,0.00409,87,41,132,114.5,87,10.45,132,2.401,151
4,22,2013,0.006288,94,42,147,131.4,94,14.33,147,3.519,173
4,23,2013,0.005207,76,40,121,131,76,14.52,121,4.722,139
4,0,2012,0.006273,50,30,94,113.2,50,22.64,94,9.093,108
4,1,2012,0.006,38,31,63,109.2,38,18.06,63,4.446,72
4,2,2012,0.006327,20,27.5,40,136.5,20,23.13,40,6.697,47
4,3,2012,0.006539,37,32,58,140.5,37,23.98,58,18.3,62
4,4,2012,0.00674,32,37,51,122.5,32,23.72,51,17.39,55
4,5,2012,0.006367,35,34,45,127.1,35,24.48,45,20.59,53
4,6,2012,0.006238,35,30.5,48,120,35,24.52,48,20.73,51
4,7,2012,0.006479,30,32,41,114.1,30,24.51,41,20.3,45
4,8,2012,0.008341,35,30,61,107.1,35,23.2,61,14.24,65
4,9,2012,0.006444,58,30,89,117.9,58,23.82,89,16.55,93
4,10,2012,0.006206,44,29,77,111.1,44,23.32,77,16.32,80
4,11,2012,0.006542,55,29,99,105.8,55,21.86,99,4.43,112
4,12,2012,0.006674,68,34,107,116.2,68,18.2,107,4.444,120
4,13,2012,0.005921,51,29,95,111.7,51,19.82,95,4.55,106
4,14,2012,0.007035,59,29,108,125.5,59,16.37,108,4.419,120
4,15,2012,0.006631,56,30,100,106.9,56,18.82,100,8.753,109
4,16,2012,0.005828,67,29,102,111.6,67,23.26,102,5.252,118
4,17,2012,0.006318,58,30,107,117.3,58,20.66,107,4.693,116
4,18,2012,0.006182,53,34,100,119.8,53,15.41,100,4.008,120
4,19,2012,0.005772,57,30,97,104.9,57,17.27,97,4.103,118
4,20,2012,0.006318,64,31,120,114.4,64,21.75,120,4.733,134
4,21,2012,0.006719,48,45,105,156.9,48,14.91,105,3.656,126
4,22,2012,0.006143,63,33.5,122,119.8,63,14.72,122,3.855,142
4,23,2012,0.006009,66,31.5,122,114.1,66,14.88,122,3.697,139
12,0,2012,0.006095,68,39,115,107.9,68,22.42,115,7.41,128
12,1,2012,0.006089,62,37,99,117.2,62,18.33,99,3.977,113
12,2,2012,0.005781,42,34,63,104.4,42,23.62,63,19.56,70
12,3,2012,0.006611,32,37,59,136.8,32,18.61,59,3.614,71
12,4,2012,0.006067,45,31,57,112.3,45,24.41,57,15.7,64
