month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.01215,421,64,459,95.17,421,1.513,459,0.7804,505
11,2,2013,0.01793,385,63,392,85.44,385,0.9564,392,0.8395,442
11,3,2013,0.02632,416,66,422,95.17,416,0.6977,422,0.7945,475
11,4,2013,0.02354,419,64,442,91.58,419,0.7974,442,0.9815,489
11,5,2013,0.01764,404,64,430,92.45,404,1.018,430,0.7612,468
11,6,2013,0.01865,297,63.5,328,95.62,297,1.01,328,0.7717,374
11,7,2013,0.0146,426,61,466,86.84,426,1.401,466,1.033,502
11,8,2013,0.01814,440,64,470,91.69,440,1.081,470,0.7783,490
11,9,2013,0.02147,412,66,421,93.95,412,0.8191,421,0.766,459
11,10,2013,0.02536,479,66,500,95.47,479,0.7299,500,0.7454,549
11,11,2013,0.01809,441,65,459,92.74,441,0.9481,459,0.8552,503
11,12,2013,0.02075,559,64,606,92.81,559,0.974,606,0.7483,587
11,13,2013,0.01835,480,65,532,96.9,480,0.9233,532,0.755,574
11,14,2013,0.01882,484,65,539,99.07,484,0.9653,539,0.7425,571
11,15,2013,0.01793,495,65,538,90.46,495,1.124,538,0.7839,587
11,16,2013,0.02289,544,70,563,101.3,544,0.7393,563,0.999,584
11,17,2013,0.02454,495,68,520,94.66,495,0.7658,520,0.789,563
11,18,2013,0.02312,451,65,489,94.68,451,0.8735,489,0.7988,556
11,19,2013,0.02464,443,68,493,99.71,443,0.8431,493,0.7746,535
11,20,2013,0.01876,403,65,439,95.5,403,1.034,439,0.775,464
11,21,2013,0.01987,434,66,470,96.59,434,0.9425,470,0.7597,501
11,22,2013,0.02574,401,70,430,102.9,401,0.7992,430,0.7349,458
11,23,2013,0.03306,475,68,484,97.6,475,0.5887,484,0.7685,513
11,24,2013,0.0363,657,69,684,97.49,657,0.5685,684,0.7767,727
11,25,2013,0.02727,529,66,558,96.6,529,0.7121,558,0.7454,641
