month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.01539,616,70,619,100.8,616,1.07,619,0.772,640
11,1,2013,0.008065,381,62,424,93.88,381,2.135,424,0.7565,466
11,2,2013,0.005036,228,52,277,85.15,228,4.422,277,0.7617,289
11,3,2013,0.00451,171,41.5,234,85.33,171,4.826,234,0.7005,271
11,4,2013,0.00341,156,37,189,80.17,156,4.907,189,0.742,212
11,5,2013,0.004299,160,34,216,83.36,160,4.859,216,0.7527,232
11,6,2013,0.003169,200,31,244,66.56,200,5.336,244,0.7788,273
11,7,2013,0.003604,251,35,350,76.48,251,4.848,350,0.7443,381
11,8,2013,0.00392,318,42.5,402,79.44,318,5.005,402,0.7794,442
11,9,2013,0.004359,484,52,579,84.12,484,3.579,579,0.7907,623
11,10,2013,0.007534,488,57,541,83.26,488,2.057,541,0.7784,601
11,11,2013,0.01148,477,60,554,83.06,477,1.64,554,0.7953,594
11,12,2013,0.01134,531,63,581,88.46,531,1.522,581,0.7725,679
11,13,2013,0.01267,557,66,585,95.72,557,1.325,585,0.7511,657
11,14,2013,0.01537,564,65,576,93.84,564,1.119,576,0.7696,628
11,15,2013,0.01519,648,64,656,90.16,648,1.111,656,0.791,736
11,16,2013,0.01873,722,67,733,92.01,722,0.9081,733,0.7785,796
11,17,2013,0.02009,875,67,880,93.82,875,0.8457,880,0.7708,953
11,18,2013,0.02614,1043,67,1049,93.38,1043,0.7128,1049,0.7796,1122
11,19,2013,0.03333,1011,71,1015,100.4,1011,0.5612,1015,0.7872,1070
11,20,2013,0.03992,1148,71,1152,102.3,1148,0.4825,1152,0.825,1237
11,21,2013,0.04167,1171,73,1182,104.1,1171,0.4638,1182,0.7769,1237
11,22,2013,0.03609,1027,73,1035,101,1027,0.5323,1035,0.799,1088
11,23,2013,0.02482,865,70,870,97.58,865,0.6811,870,0.7678,910
11,0,2012,0.006277,220,44,287,81.6,220,2.829,287,0.644,335
11,1,2012,0.006079,201,33,272,74.58,201,4.115,272,0.7639,322
11,2,2012,0.007341,141,30,183,74.68,141,4.337,183,0.5883,205
11,3,2012,0.004998,105,31,142,68.82,105,4.736,142,0.5825,167
11,4,2012,0.004321,51,36,61,84.45,51,4.017,61,0.5277,69
11,5,2012,0.005634,67,32,92,71.67,67,5.261,92,0.7966,107
11,6,2012,0.005333,69,29,96,72.72,69,4.359,96,0.6319,114
