month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.01539,616,70,616,100.8,616,1.077,616,0.772,640
11,1,2013,0.008065,381,62,381,93.88,381,2.009,381,0.7565,466
11,2,2013,0.005036,228,52,228,85.15,228,4.231,228,0.7617,289
11,3,2013,0.00451,171,45,171,85.33,171,5.291,171,0.7005,271
11,4,2013,0.00341,156,36,156,80.17,156,4.986,156,0.742,212
11,5,2013,0.004299,160,34,160,83.36,160,4.672,160,0.7527,232
11,6,2013,0.003169,200,30,200,66.56,200,6.533,200,0.7788,273
11,7,2013,0.003604,251,32,251,76.48,251,5.214,251,0.7443,381
11,8,2013,0.00392,318,42.5,318,79.44,318,5.397,318,0.7794,442
11,9,2013,0.004359,484,53,484,84.12,484,3.299,484,0.7907,623
11,10,2013,0.007534,488,57,488,83.26,488,2.005,488,0.7784,601
11,11,2013,0.01148,477,59,477,83.06,477,1.593,477,0.7953,594
11,12,2013,0.01134,531,62,531,88.46,531,1.475,531,0.7725,679
11,13,2013,0.01267,557,65,557,95.72,557,1.297,557,0.7511,657
11,14,2013,0.01537,564,65,564,93.84,564,1.118,564,0.7696,628
11,15,2013,0.01519,648,64,648,90.16,648,1.119,648,0.791,736
11,16,2013,0.01873,722,67,722,92.01,722,0.9063,722,0.7785,796
11,17,2013,0.02009,875,67,875,93.82,875,0.8457,875,0.7708,953
11,18,2013,0.02614,1043,67,1043,93.38,1043,0.7128,1043,0.7796,1122
11,19,2013,0.03333,1011,71,1011,100.4,1011,0.5619,1011,0.7872,1070
11,20,2013,0.03992,1148,71,1148,102.3,1148,0.4831,1148,0.825,1237
11,21,2013,0.04167,1171,72,1171,104.1,1171,0.4664,1171,0.7769,1237
11,22,2013,0.03609,1027,73,1027,101,1027,0.5328,1027,0.799,1088
11,23,2013,0.02482,865,70,865,97.58,865,0.6825,865,0.7678,910
11,0,2012,0.006277,220,49,220,81.6,220,2.659,220,0.644,335
11,1,2012,0.006079,201,32,201,74.58,201,3.814,201,0.7639,322
11,2,2012,0.007341,141,30,141,74.68,141,4.337,141,0.5883,205
11,3,2012,0.004998,105,30,105,68.82,105,5.169,105,0.5825,167
11,4,2012,0.004321,51,38,51,84.45,51,4.249,51,0.5277,69
11,5,2012,0.005634,67,32,67,71.67,67,5.552,67,0.7966,107
11,6,2012,0.005333,69,30,69,72.72,69,4.09,69,0.6319,114
11,7,2012,0.003098,88,29,88,71.23,88,5.476,88,0.768,130
11,8,2012,0.004283,137,33,137,75.83,137,5.074,137,0.7693,234
11,9,2012,0.005283,182,34,182,73.77,182,4.696,182,0.7232,277
11,10,2012,0.004127,225,32,225,67.05,225,5.328,225,0.6427,341
11,11,2012,0.005123,229,31,228,72.05,228,4.581,229,0.6018,362
11,12,2012,0.005475,236,31.5,236,64.51,236,5.398,236,0.6833,357
11,13,2012,0.006204,209,33,209,73.06,209,4.224,209,0.7136,343
11,14,2012,0.005388,260,36,260,73.45,260,3.925,260,0.7998,391
11,15,2012,0.004959,275,36,275,73.47,275,4.845,275,0.6606,433
11,16,2012,0.006309,283,40,283,76.33,283,4.699,283,0.7682,408
11,17,2012,0.006023,334,41,334,77.94,334,4.145,334,0.7172,472
11,18,2012,0.007145,360,57,360,90.5,360,2.551,360,0.6018,480
11,19,2012,0.007948,488,63,488,89,488,1.947,488,0.7614,586
11,20,2012,0.01047,496,65,496,88.17,496,1.446,496,0.766,605
11,21,2012,0.01209,513,66,513,88.86,513,1.287,513,0.5917,623
11,22,2012,0.01068,476,66,476,90.78,476,1.363,476,0.5658,605
11,23,2012,0.007858,365,62,365,86.23,365,2.068,365,0.5989,475
10,0,2012,0.004234,256,31,256,63.2,256,5.897,256,0.7761,395
10,1,2012,0.004168,157,30,157,70.98,157,5.451,157,0.7327,253
10,2,2012,0.004464,101,31,101,71.06,101,4.977,101,0.544,193
10,3,2012,0.004333,76,31,76,77,76,5.214,76,0.5974,123
