month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.0007899,1,50,3,75.73,1,18.12,3,9.042,3
11,2,2013,0.002727,1,48,1,78.32,1,15.15,1,4.183,1
11,3,2013,0.001631,1,55,1,82.11,1,17.09,1,6.652,1
11,4,2013,0.0006577,1,47,1,65.2,1,3.437,1,3.957,1
11,5,2013,nan,0,47.5,2,nan,0,5.404,2,6.699,2
11,6,2013,0.003872,2,48,2,56.08,2,10.02,2,3.831,2
11,8,2013,nan,0,49.5,2,nan,0,31.29,2,3.169,2
11,9,2013,0.002831,1,48,1,74.6,1,14.87,1,4.175,1
11,10,2013,0.001537,1,48,1,61,1,16.95,1,2.581,1
11,11,2013,0.00161,2,49,3,84.08,2,16.65,3,3.93,3
11,12,2013,0.002882,1,50,1,68.85,1,2.759,1,0.7196,1
11,13,2013,0.01017,3,40,3,41.75,3,11.23,3,2.544,3
11,14,2013,0.004511,1,44.5,2,41.56,1,12.68,2,1.754,2
11,15,2013,0.001315,2,46,2,57.51,2,6.864,2,2.135,2
11,16,2013,0.003354,1,49,1,56,1,11.11,1,4.224,1
11,17,2013,0.002158,1,44.5,2,135,1,7.413,2,2.082,2
11,18,2013,0.0008556,3,50,5,55.98,3,14.37,5,3.888,5
11,19,2013,0.002221,2,42,2,45.89,2,6.833,2,1.159,3
11,20,2013,0.008333,1,46.5,2,59.79,1,5.469,2,1.451,2
11,21,2013,0.005067,4,50.5,4,79.57,4,9.273,4,3.181,4
11,22,2013,0.002148,1,42,1,45.91,1,7.99,1,0.2386,1
11,24,2013,0.001607,2,44,2,58.41,2,14.7,2,4.011,2
11,25,2013,0.006435,2,44,3,73.77,2,3.821,3,1.204,3
11,27,2013,0.001604,3,45.5,4,61.14,3,13.39,4,1.858,2
11,29,2013,nan,0,47,1,nan,0,0.1557,1,nan,0
11,30,2013,nan,0,50,1,nan,0,32.04,1,3.801,1
11,12,2012,nan,0,55,1,nan,0,5.723,1,0.6682,1
11,17,2012,0.0003655,1,53,1,156.8,1,49.64,1,6.133,1
11,19,2012,0.003684,1,47.5,2,66.96,1,10.98,2,4.708,2
11,20,2012,0.02291,1,48.5,2,52.41,1,3.924,2,5.412,2
11,21,2012,0.0003774,3,46,4,135.6,3,70.58,4,2.267,4
11,22,2012,0.003471,1,47,1,54.42,1,10.24,1,6.784,1
11,23,2012,0.00336,1,48,1,58.23,1,12.29,1,1.609,1
11,26,2012,0.003081,1,47,5,57.26,1,9.426,5,0.9449,6
11,27,2012,0.000693,4,47,8,62.62,4,7.312,8,0.9252,8
11,28,2012,0.0003248,1,47,1,53.42,1,7.105,1,0.9547,1
11,30,2012,0.006859,1,52,1,118.2,1,3.975,1,0.8318,1
10,2,2012,0.002363,1,42,1,54.52,1,38.31,1,8.09,1
10,3,2012,0.0002791,3,47,3,60.25,3,52.62,3,9.306,3
10,4,2012,9.308e-05,1,54,3,97.33,1,13.01,3,1.673,3
10,5,2012,0.001615,3,47,3,60.04,3,7.058,3,2.862,4
10,7,2012,0.0007358,1,54,1,106.4,1,6.08,1,1.695,1
10,8,2012,0.002948,1,161,1,170.3,1,1.917,1,4.417,1
10,9,2012,0.0008125,1,43,1,69.91,1,22.02,1,1.336,1
10,10,2012,nan,0,49,1,nan,0,8.46,1,0.8825,1
10,11,2012,0.000683,1,46,2,179,1,26.68,2,3.744,2
10,12,2012,0.01947,1,48,2,72.83,1,14.21,2,2.636,2
10,15,2012,5.847e-05,1,47,1,136,1,38.48,1,2.236,1
10,16,2012,0.002362,1,44,3,535.5,1,19.61,3,4.098,3
10,17,2012,0.0004801,2,43.5,4,53.72,2,36.03,4,1.029,4
10,18,2012,0.0002022,2,48.5,2,370.5,2,22.97,2,4.116,2
10,19,2012,0.0019,1,47,1,337.8,1,27.51,1,4.079,1
10,22,2012,0.0001357,2,46.5,2,66.76,2,11.89,2,0.9237,2
10,23,2012,nan,0,44,1,nan,0,9.87,1,0.9828,1
10,24,2012,nan,0,48,1,nan,0,8.727,1,0.9247,1
10,1,2013,0.001607,3,43,5,50.52,3,13.96,5,2.443,3
10,2,2013,0.0008459,2,44.5,4,59.05,2,9.669,4,2.103,2
10,3,2013,0.0033,8,46,17,66.76,8,9.794,17,1.956,13
10,4,2013,0.008809,3,45,7,127.8,3,9.719,7,0.9802,7
10,6,2013,nan,0,54,1,nan,0,9.828,1,1.684,1
10,7,2013,0.001051,3,43,3,119.3,3,17.37,3,1.137,3
10,8,2013,nan,0,46,2,nan,0,8.857,2,2.457,2
10,9,2013,nan,0,48,2,nan,0,5.825,2,0.8687,2
10,10,2013,0.001433,3,48,3,59.69,3,16.86,3,2.545,3
10,11,2013,nan,0,47,1,nan,0,17.83,1,3.931,1
10,14,2013,0.01138,2,48.5,4,64.1,2,20.12,4,1.88,4
10,15,2013,0.003408,2,49,3,136.9,2,10.63,3,3.652,3
10,16,2013,0.005445,1,49,1,65.7,1,2.997,1,3.849,1
10,17,2013,nan,0,51,1,nan,0,14.24,1,3.218,1
10,18,2013,nan,0,52,1,nan,0,1.31,1,1.268,2
10,19,2013,0.03802,1,52,1,113.2,1,0.5692,1,1.432,1
10,20,2013,0.01124,2,50,2,81.56,2,18.95,2,5.324,2
10,22,2013,0.000765,1,47,1,57.85,1,4.969,1,2.406,1
10,23,2013,nan,0,44.5,2,nan,0,16.41,2,1.352,2
10,24,2013,nan,0,53.5,2,nan,0,22.2,2,5.232,2
10,26,2013,6.78e-05,1,47,1,118.1,1,16.56,1,3.972,1
10,28,2013,0.001381,3,48,3,112.7,3,17.21,3,3.974,3
10,30,2013,0.01298,1,46,1,54.39,1,23.17,1,11.92,1
10,31,2013,0.00235,2,48,2,65.55,2,30,2,2.978,2
4,1,2014,0.002455,7,51,9,97.83,7,31.51,9,1.822,9
4,2,2014,0.003174,6,47,11,62.65,6,25.67,11,1.841,11
4,3,2014,0.0034,2,45,5,57.45,2,8.648,5,0.9191,4
4,4,2014,0.001837,2,44.5,4,70.17,2,10.02,4,1.445,2
4,5,2014,0.0003333,1,51,1,57.96,1,6.789,1,3.455,1
4,6,2014,nan,0,45,2,nan,0,9.423,2,nan,0
4,7,2014,0.02538,1,43,3,269.9,1,9.778,3,1.797,3
4,8,2014,0.0008549,1,46.5,2,67.04,1,15.9,2,1.293,2
4,9,2014,nan,0,46,1,nan,0,8.651,1,1.857,1
4,11,2014,0.0009729,1,44,3,47.28,1,10.83,3,2.4,3
4,12,2014,nan,0,49,1,nan,0,9.117,1,nan,0
4,13,2014,nan,0,48,1,nan,0,8.869,1,0.8473,1
4,14,2014,0.00328,7,48,9,58.3,7,19.1,9,1.748,9
4,15,2014,0.00223,2,43,3,46.6,2,9.248,3,0.9161,3
4,16,2014,0.001624,7,47,15,60.42,7,15.96,15,1.769,11
4,17,2014,0.008128,1,51.5,2,74.16,1,19.03,2,0.8046,3
4,18,2014,0.02829,1,44,1,60.54,1,0.5473,1,0.03276,1
4,19,2014,0.001155,1,52,2,101.2,1,10.62,2,2.343,2
4,20,2014,0.00056,2,48.5,2,56.22,2,11.5,2,0.8252,2
4,21,2014,0.001553,6,44,7,57.88,6,14.33,7,2.076,7
4,22,2014,nan,0,46,1,nan,0,8.022,1,0.6573,1
4,23,2014,0.00275,6,47,12,53.44,6,12.2,12,1.531,12
4,24,2014,0.005042,4,49,10,52.17,4,9.309,10,1.518,8
4,25,2014,0.002079,4,44.5,4,69.26,4,18.64,4,1.966,4
4,26,2014,nan,0,59,6,nan,0,7.134,6,nan,0
4,27,2014,0.002893,2,50,4,110,2,12.67,4,3.484,4
4,28,2014,0.004444,6,49,12,133.9,6,9.404,12,1.08,12
4,29,2014,0.001767,10,45,14,55.4,10,28.45,14,1.842,14
4,30,2014,nan,0,44,2,nan,0,3.077,2,1.045,2
4,1,2013,0.009259,2,56.5,2,84.78,2,21.02,2,3.012,2
4,2,2013,0.02051,2,48,3,139.9,2,11.03,3,1.94,3
4,3,2013,0.01733,1,48,1,60.82,1,3.192,1,1.341,1
4,4,2013,0.02144,5,45,7,67.11,5,10.47,7,6.019,7
4,10,2013,0.01317,3,50,5,70.54,3,15.77,5,1.796,5
4,11,2013,0.01414,6,47,8,94.14,6,14.64,8,0.8524,8
4,12,2013,0.001707,1,48,3,60.49,1,9.333,3,1.527,3
4,14,2013,0.002571,1,51,2,89.13,1,17.34,2,1.565,2
4,15,2013,0.00726,5,49,9,64.84,5,8.041,9,0.8506,10
4,16,2013,0.004306,3,49,7,68.4,3,9.38,7,1.508,7
4,17,2013,0.00155,5,44,5,57.41,5,15.72,5,1.475,5
4,18,2013,0.001673,7,48,8,69.61,7,14.78,8,1.464,9
4,19,2013,nan,0,47,2,nan,0,9.063,2,0.9411,2
4,20,2013,0.002705,4,48,4,60.64,4,11.7,4,1.078,4
4,21,2013,0.01096,4,52.5,4,71.24,4,29.32,4,0.9566,4
4,22,2013,0.008914,4,52,5,60.83,4,21.84,5,1.4,5
4,23,2013,0.007423,4,53,4,70.32,4,23.17,4,3.572,4
4,24,2013,0.001274,3,47,3,55.57,3,5.918,3,1.52,3
4,25,2013,0.004986,1,46,2,67.19,1,13.26,2,1.198,2
4,26,2013,0.001628,4,46.5,6,69.7,4,9.794,6,1.602,6
4,27,2013,0.001031,2,55,2,147.9,2,15.83,2,3.407,2
4,28,2013,nan,0,48,1,nan,0,37.26,1,6.202,1
4,29,2013,0.002232,2,46.5,6,107.7,2,10.1,6,1.703,6
4,2,2012,nan,0,52,1,nan,0,7.895,1,1.437,1
4,4,2012,0.002282,1,47,1,56.64,1,15.59,1,1.645,1
4,10,2012,nan,0,43,2,nan,0,8.57,2,1.165,3
4,12,2012,nan,0,nan,0,nan,0,nan,0,1.326,1
4,13,2012,nan,0,51,1,nan,0,13.6,1,1.524,1
4,14,2012,0.001492,4,48,4,64.09,4,10.3,4,1.648,5
4,16,2012,nan,0,nan,0,nan,0,nan,0,1.037,7
4,18,2012,nan,0,46,2,nan,0,9.583,2,3.893,2
4,20,2012,0.002892,1,46,1,72.34,1,2.341,1,1.664,1
4,22,2012,0.07843,1,57,1,125.2,1,0.2682,1,0.8417,1
4,26,2012,0.0001385,1,51,1,167,1,8.169,1,1.651,2
12,1,2012,0.003857,1,52,1,107.7,1,4.926,1,1.407,1
12,3,2012,0.0004636,1,45.5,2,50.36,1,39.03,2,1.508,2
12,4,2012,0.006511,1,49,1,83.36,1,6.44,1,1.714,1
12,5,2012,0.005147,2,48,3,75.03,2,32.18,3,0.9822,3
12,6,2012,nan,0,48,1,nan,0,8.09,1,0.4456,2
12,7,2012,5.659e-05,1,48,1,149.7,1,19.08,1,1.86,1
12,8,2012,0.0004955,1,51,1,57.8,1,2.336,1,2.489,1
12,11,2012,0.01072,1,144,1,208,1,6.905,1,0.2796,1
12,12,2012,0.007127,3,44,5,71.1,3,21.32,5,1.88,5
12,15,2012,nan,0,50,1,nan,0,8.221,1,0.8372,1
12,17,2012,0.005035,2,44,3,90.11,2,10.57,3,1.159,3
12,18,2012,nan,0,58,1,nan,0,1.978,1,1.608,1
12,19,2012,0.002034,2,49.5,4,73.68,2,5.92,4,0.8508,4
12,20,2012,nan,0,45,1,nan,0,9.306,1,0.9379,1
12,21,2012,nan,0,45,1,nan,0,10.31,1,1.125,1
12,22,2012,0.001066,1,43,1,70.64,1,31.17,1,1.95,1
12,23,2012,0.001461,1,46,1,58.4,1,15.75,1,1.647,1
12,27,2012,0.001216,1,54.5,2,99.63,1,41.77,2,1.711,2
12,29,2012,0.00237,1,49,1,59.78,1,11.58,1,1.689,1
12,31,2012,nan,0,nan,0,nan,0,nan,0,0.1011,1
12,1,2013,0.003116,1,51,1,59.95,1,2.9,1,3.968,1
12,2,2013,0.001141,2,49,4,68.63,2,6.926,4,2.587,4
12,3,2013,0.0002609,1,46,2,54.27,1,23.79,2,2.943,2
12,4,2013,nan,0,46,2,nan,0,5.349,2,0.8804,2
12,5,2013,0.001067,1,40,6,41.34,1,11.96,6,2.588,6
12,6,2013,0.001395,1,46,3,58.15,1,11.48,3,2.397,3
12,7,2013,nan,0,46,1,nan,0,38.67,1,7.475,1
12,8,2013,0.004756,1,48,3,68.21,1,16.99,3,4.012,3
12,9,2013,nan,0,44.5,2,nan,0,8.967,2,0.9923,2
12,10,2013,0.003396,4,47,7,54.13,4,10.33,7,1.246,7
12,11,2013,nan,0,48,1,nan,0,13.31,1,1.704,1
12,12,2013,0.007012,3,45,5,62.07,3,8.822,5,0.9528,5
12,13,2013,0.004814,3,46,7,68.41,3,9.498,7,0.9,8
12,14,2013,0.008439,3,49,3,95.55,3,9.186,3,0.6412,3
12,15,2013,0.003765,1,40,1,40.98,1,32.66,1,65.34,1
12,16,2013,nan,0,43,3,nan,0,10.01,3,2.583,3
12,17,2013,0.06514,2,46,3,64.72,2,34.62,3,1.035,3
12,18,2013,0.005862,3,44,8,57.8,3,11.94,8,1.517,10
12,19,2013,0.002233,2,44,5,55.8,2,9.381,5,1.008,5
12,22,2013,nan,0,50,1,nan,0,17.15,1,3.931,1
12,23,2013,0.000838,2,47,3,117.2,2,35.23,3,4.207,3
12,24,2013,nan,0,47,1,nan,0,8.492,1,0.8422,1
12,25,2013,0.00602,1,51,1,79.26,1,1.649,1,3.812,1
12,26,2013,0.001263,5,44,6,60.21,5,12.73,6,2.05,6
12,27,2013,0.001626,5,45.5,6,55.92,5,18.61,6,1.744,6
12,29,2013,0.005518,1,50,1,86.65,1,6.065,1,1.452,1
12,30,2013,nan,0,48,1,nan,0,8.109,1,1.684,1
12,31,2013,0.001632,2,43.5,2,51.61,2,42.85,2,1.394,2
9,5,2012,0.004014,4,47,5,76.95,4,7.989,5,0.6639,5
9,6,2012,0.0002774,1,43,1,53.1,1,20.74,1,1.829,1
9,7,2012,0.002132,2,47.5,2,56.81,2,17.85,2,1.797,2
9,8,2012,0.003355,2,47,2,63.24,2,9.276,2,1.466,2
9,9,2012,0.000426,1,46,1,50.76,1,8.123,1,2.892,1
9,10,2012,0.0009867,2,48,2,64.77,2,8.645,2,1.192,2
9,11,2012,0.001046,1,44,1,60.35,1,5.24,1,1.842,1
9,12,2012,0.0001264,1,46,3,58.35,1,9.104,3,0.8898,3
9,13,2012,nan,0,47,1,nan,0,9.951,1,1,1
9,17,2012,nan,0,45.5,2,nan,0,9.492,2,1.408,2
9,18,2012,0.0007836,1,49,1,76.81,1,13.21,1,1.704,1
9,20,2012,0.00709,2,54.5,2,163,2,1.3,2,0.4674,2
9,21,2012,0.005932,1,49,1,93.69,1,6.493,1,1.706,1
9,25,2012,0.04628,11,49,11,74.35,11,1.645,11,1.062,11
9,28,2012,nan,0,48,1,nan,0,9.285,1,0.9214,1
9,29,2012,0.002934,1,49,1,64.18,1,6.581,1,4.481,1
9,30,2012,nan,0,nan,0,nan,0,nan,0,0.8466,1
9,1,2013,nan,0,nan,0,nan,0,nan,0,3.695,2
9,2,2013,nan,0,50,2,nan,0,9.651,2,5.995,2
9,4,2013,0.001313,8,47,10,85.98,8,17.54,10,4.838,12
9,5,2013,0.004829,4,49,8,152.8,4,19.75,8,2.684,8
9,6,2013,0.005346,2,52.5,4,122.8,2,12.23,4,2.18,4
9,7,2013,nan,0,57,2,nan,0,13.27,2,5.577,6
9,8,2013,0.0005659,2,59,2,69.59,2,8.044,2,3.813,2
9,9,2013,0.03297,10,47,12,58.54,10,2.136,12,1.027,12
9,10,2013,0.03123,4,43.5,4,73.79,4,8.97,4,1.714,4
9,11,2013,0.004197,2,48.5,20,132.6,2,9.398,20,0.9994,20
9,12,2013,0.005537,4,41,4,120.8,4,10.77,4,2.042,4
9,13,2013,0.001612,4,45,6,57.3,4,6.539,6,1.034,6
9,15,2013,nan,0,nan,0,nan,0,nan,0,2.267,2
9,16,2013,0.00103,8,44.5,8,57.37,8,20.82,8,0.9255,8
9,17,2013,0.04611,2,50,3,71.03,2,0.7497,3,0.4335,3
9,18,2013,0.01888,2,48,5,97.41,2,12.03,5,0.988,5
9,19,2013,0.0009526,3,43,3,48.81,3,77.65,3,8.86,3
9,20,2013,0.000498,1,49.5,2,58.47,1,10.54,2,4.651,2
9,23,2013,0.001359,5,44,5,71.89,5,41.5,5,2.11,5
9,24,2013,0.0002324,1,45,2,46.23,1,39.46,2,7.969,2
9,25,2013,0.001497,3,48,5,60.55,3,31.83,5,2.427,6
9,26,2013,0.001307,1,48,1,64.27,1,15.58,1,2.66,1
9,27,2013,0.001837,4,48,5,61.84,4,16.69,5,1.709,5
9,28,2013,0.03139,1,47.5,2,95,1,8.79,2,2.123,2
9,29,2013,0.001432,1,44,3,61.84,1,9.797,3,2.289,2
9,30,2013,0.001404,1,45.5,10,60.5,1,11.06,10,1.922,9
2,2,2013,0.001832,3,44,3,53.52,3,14.46,3,0.7917,3
2,4,2013,0.0009729,1,43.5,2,69.76,1,19.99,2,2.008,2
2,5,2013,0.008145,4,48,5,64.96,4,6.477,5,1.684,5
2,6,2013,0.0009027,2,44,3,81.52,2,30.3,3,1.732,4
2,7,2013,0.02458,1,47,1,88.32,1,26.82,1,1.968,1
