month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.008466,340,57,460,96.08,340,5.013,460,4.364,477
11,2,2013,0.006855,274,55,336,81.31,274,2.265,336,4.209,352
11,3,2013,0.01222,326,67,362,93.6,326,1.096,362,4.287,405
11,4,2013,0.01088,245,66,281,99.29,245,1.26,281,4.305,306
11,5,2013,0.01071,334,63,422,95.94,334,2.302,422,4.365,415
11,6,2013,0.008707,260,54,331,83.65,260,3.04,331,4.365,339
11,7,2013,0.009983,394,65,477,93.39,394,2.066,477,4.247,478
11,8,2013,0.009961,396,66,472,94.14,396,1.927,472,3.993,457
11,9,2013,0.008443,403,67,448,93.01,403,1.561,448,4.367,455
11,10,2013,0.01155,414,68,454,97.92,414,1.332,454,4.324,475
11,11,2013,0.0151,362,65,416,93.99,362,1.055,416,4.157,427
11,12,2013,0.01293,446,65,546,93.22,446,1.59,546,4.314,478
11,13,2013,0.01138,424,63,526,97.4,424,2.184,526,4.025,514
11,14,2013,0.008351,449,62,589,95.25,449,3.056,589,4.363,571
11,15,2013,0.008233,403,63.5,506,95.56,403,2.577,506,4.399,500
11,16,2013,0.01034,492,69,550,95.58,492,1.28,550,4.326,542
11,17,2013,0.01515,479,68,554,97.53,479,1.094,554,4.221,560
11,18,2013,0.01077,429,67,514,97.5,429,1.536,514,4.291,502
11,19,2013,0.01866,347,67,411,98.42,347,1.011,411,4.167,386
11,20,2013,0.01242,421,67,529,97.91,421,1.603,529,4.29,527
11,21,2013,0.01409,426,66,537,96.87,426,1.487,537,4.319,535
11,22,2013,0.01063,435,64,518,94.3,435,1.62,518,4.424,521
11,23,2013,0.01538,516,71,556,98.49,516,0.9301,556,4.127,566
11,24,2013,0.0175,492,69,536,99.25,492,0.8669,536,4.288,552
11,25,2013,0.01823,457,66,532,94.18,457,1.053,532,4.322,544
11,26,2013,0.01254,381,67,452,94.28,382,1.359,452,4.323,455
11,27,2013,0.008005,484,71,539,96.43,484,1.501,539,4.168,542
11,28,2013,0.005325,441,68,552,98.3,441,3.554,552,4.286,557
11,29,2013,0.01119,579,76,649,103.2,579,1.163,649,4.323,656
11,30,2013,0.01369,638,69,703,96.83,638,1.028,703,4.124,703
11,1,2012,0.002555,65,32,124,59.58,65,17.21,124,2.868,131
11,2,2012,0.002874,77,28,148,54.22,77,14.96,148,2.987,155
11,3,2012,0.001562,83,31,147,63.09,83,14.79,147,3.06,151
11,4,2012,0.003647,82,30,164,75.47,82,15.35,164,3,169
11,5,2012,0.002259,62,31.5,122,67.73,62,19.56,122,3.073,126
11,6,2012,0.002286,58,31.5,112,55.64,58,15.89,112,2.983,119
11,7,2012,0.001972,65,31,127,58.85,65,15.12,127,3.176,130
11,8,2012,0.001687,67,31,125,57.83,67,16.26,125,2.998,132
11,9,2012,0.001338,50,32,110,62.19,50,15.72,110,3.265,116
11,10,2012,0.002695,63,31,122,63.85,63,15.72,122,3.037,131
11,11,2012,0.001747,74,31,149,60.71,74,17.1,149,3.224,159
11,12,2012,0.00238,54,31,116,59.3,54,16.53,116,3.101,122
11,13,2012,0.003426,60,31,106,66.92,60,12.83,106,2.991,112
11,14,2012,0.00213,67,29.5,112,62.26,67,15.85,112,3.077,118
11,15,2012,0.002623,60,31,111,56.25,60,13.83,111,3.046,116
11,16,2012,0.002117,109,31,222,58.32,109,17.31,222,3.211,232
11,17,2012,0.002415,168,31,330,61,168,16.08,330,3.13,345
11,18,2012,0.003031,232,29,417,64.94,232,16,417,2.967,437
11,19,2012,0.002078,204,32,372,69.21,204,16.26,372,3.013,381
11,20,2012,0.002257,199,31,358,61.86,199,14.48,358,3.012,379
11,21,2012,0.002205,194,29,366,54.64,194,18.19,366,3.011,394
11,22,2012,0.002196,196,30,359,61.16,196,16.07,359,2.982,378
11,23,2012,0.002034,177,30,341,59.36,177,15.25,341,3.015,360
11,24,2012,0.00257,197,29.5,342,66.47,197,15.85,342,2.997,362
11,25,2012,0.002263,204,30,376,58.34,204,15.68,376,3.035,402
11,26,2012,0.003057,171,31,333,62.78,171,16.36,333,2.995,351
11,27,2012,0.002933,126,31,273,66.76,126,14.87,273,3.05,292
11,28,2012,0.002728,185,32,332,68.67,185,12.5,332,2.894,352
11,29,2012,0.002045,183,31,351,67.54,183,16.96,351,3.177,374
11,30,2012,0.001835,175,31,338,70.11,175,15.47,338,2.967,359
10,1,2012,0.001296,291,29,355,50.07,291,10.22,355,3.11,368
10,2,2012,0.002094,323,28,396,51.4,323,9.632,396,2.939,429
10,3,2012,0.002312,254,28,314,49.09,254,8.276,314,3.088,326
10,4,2012,0.002212,237,28.5,296,47.89,237,9.904,296,3.072,321
10,5,2012,0.002367,302,28,362,46.1,302,8.186,362,3.102,382
10,6,2012,0.002483,326,28,376,44.67,326,8.075,376,2.979,394
10,7,2012,0.003725,359,29,399,46.83,359,5,399,3.013,416
10,8,2012,0.01584,217,31,230,52.07,217,2.313,230,3.034,246
10,9,2012,0.004059,138,32,159,52.12,138,5.843,159,2.92,166
10,10,2012,0.006873,121,30,136,50.51,121,4.164,136,2.984,146
10,11,2012,0.003275,105,30,123,47.66,105,6.36,123,2.934,129
10,12,2012,0.002856,107,29,126,47,107,6.825,126,3.057,132
10,13,2012,0.001792,120,31,150,52.16,120,9.735,150,2.925,158
