month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.02062,102,74,122,104.7,103,1.105,122,3.787,123
11,2,2013,0.0181,83,54,99,80.77,83,1.36,99,5.159,113
11,3,2013,0.02484,75,63,88,104.1,75,0.9467,88,2.023,99
11,4,2013,0.02604,94,52,109,103.8,94,1.085,109,5.63,126
11,5,2013,0.02293,108,72,130,101.6,108,0.942,130,4.226,138
11,6,2013,0.02273,93,52,108,94.11,93,1.046,108,4.583,116
11,7,2013,0.0151,97,52,124,80.74,97,1.507,124,3.071,134
11,8,2013,0.01131,121,71,139,110.6,121,1.618,139,2.616,144
11,9,2013,0.02124,95,52,115,95.62,95,1.096,115,2.738,143
11,10,2013,0.02275,115,69.5,130,103.2,115,0.941,130,4.179,138
11,11,2013,0.02399,92,57,107,86.31,92,0.9182,107,4.247,101
11,12,2013,0.01594,110,60,134,92.59,110,1.53,134,4.172,140
11,13,2013,0.02031,114,60,138,97.89,114,1.211,138,4.18,150
11,14,2013,0.008429,106,56,136,89.45,106,1.619,136,3.416,148
11,15,2013,0.01382,111,54,127,91.96,111,1.64,127,3.83,146
11,16,2013,0.01963,129,74,159,100.3,129,1.092,159,3.979,173
11,17,2013,0.02787,101,50,141,97.75,101,1.221,141,3.042,164
11,18,2013,0.01832,83,60.5,104,94.25,83,1.431,104,4.53,108
11,19,2013,0.01796,86,67,111,94.86,86,1.31,111,2.442,118
11,20,2013,0.02315,104,54,140,87.9,104,1.233,140,6.76,150
11,21,2013,0.01022,124,59,145,100.5,124,1.897,145,2.907,160
11,22,2013,0.01133,109,56,124,100.1,109,1.619,124,2.504,136
11,23,2013,0.02329,109,69,125,99.43,109,0.7992,125,3.307,138
11,24,2013,0.02379,131,63,148,95.42,131,0.8543,148,3.831,158
11,25,2013,0.01704,119,52,133,89.42,119,1.129,133,5.847,138
11,26,2013,0.01826,104,51,129,93.73,104,1.795,129,5.096,154
11,27,2013,0.02092,158,71,179,104.8,158,0.8168,179,3.908,198
11,28,2013,0.01095,136,59,154,91.3,136,1.402,154,4.301,168
11,29,2013,0.02554,167,56,189,94.63,167,0.9576,189,4.193,204
11,30,2013,0.02604,145,68,169,95.66,145,0.8248,169,4.334,186
11,1,2012,0.003874,25,15.5,48,126.6,25,23.57,48,7.764,53
11,2,2012,0.005161,23,33,45,121,23,23.65,45,19.59,47
11,3,2012,0.006751,39,43,54,113.6,39,22.32,54,15.34,59
11,4,2012,0.007376,23,34,50,126.7,23,22.91,50,12.8,59
11,5,2012,0.006732,27,50.5,52,115.7,27,12.88,52,4.561,58
11,6,2012,0.007308,31,50,51,117.5,31,20.66,51,3.917,56
11,7,2012,0.007585,26,50,44,113.4,26,22.6,44,17.79,46
11,8,2012,0.006525,30,37,69,116.5,30,20.98,69,10.28,73
11,9,2012,0.007722,35,50,61,132.5,35,21.73,61,6.743,74
11,10,2012,0.006846,33,47,51,120.7,33,18.59,51,10.51,57
11,11,2012,0.007141,32,47,53,114.3,32,20.42,53,7.495,55
11,12,2012,0.006852,35,43,59,117.7,35,22.93,59,15.06,62
11,13,2012,0.007402,32,52,49,127.2,32,21.61,49,14.68,52
11,14,2012,0.002284,28,53,50,124.2,28,12.31,50,3.472,54
11,15,2012,0.006075,40,48,62,122.9,40,21.88,62,11.7,68
11,16,2012,0.003005,51,52,89,102.6,51,15.15,89,7.919,97
11,17,2012,0.003599,68,51.5,110,108.3,68,18,110,4.611,128
11,18,2012,0.003232,80,41,160,88.95,80,15.21,160,4.43,177
11,19,2012,0.00677,67,46,126,121.2,67,18.96,126,7.44,140
11,20,2012,0.006624,90,52,138,93.93,90,8.168,138,3.891,152
11,21,2012,0.002635,62,39.5,122,103,62,19.94,122,4.095,135
11,22,2012,0.006147,52,30.5,124,106.6,52,21.29,124,12.14,132
11,23,2012,0.003547,71,38,127,105.9,71,16.75,127,4.353,142
11,24,2012,0.003368,54,43,117,108.2,54,15.94,117,3.812,127
11,25,2012,0.004829,65,44,135,122,65,12.57,135,3.629,148
11,26,2012,0.006253,60,39.5,136,132.2,60,16.07,136,5.812,145
11,27,2012,0.00552,70,41.5,112,91.18,70,12.3,112,4.322,121
11,28,2012,0.003459,78,49,127,94.35,78,15.18,127,4.217,138
11,29,2012,0.002099,80,48,131,115.2,80,9.498,131,3.853,146
11,30,2012,0.006846,64,51,117,127.9,64,16.77,117,4.471,124
10,1,2012,0.003448,89,41,107,86.96,89,13.62,107,3.878,119
10,2,2012,0.00129,84,42.5,112,64.96,84,14.98,112,3.757,129
10,3,2012,0.002956,112,47,147,96.37,112,12.42,147,1.387,179
10,4,2012,0.001907,89,48.5,106,86.93,89,14.74,106,5.595,116
10,5,2012,0.002057,99,47.5,126,75.01,99,14.71,126,2.248,158
10,6,2012,0.0004668,106,38.5,132,71.39,106,16.83,132,4.725,154
10,7,2012,0.002047,109,42.5,128,72.38,109,10.87,128,4.238,144
10,8,2012,0.001693,71,44,78,67.55,71,13.11,78,3.866,87
10,9,2012,0.002233,38,39,46,65.43,38,17.07,46,11.7,50
10,10,2012,0.005905,45,42,54,70.15,45,11.9,54,8.83,56
10,11,2012,0.0007297,55,42.5,66,87.13,55,12.17,66,3.506,78
10,12,2012,0.007051,48,52,62,110.7,48,21.66,62,8.226,67
10,13,2012,0.005662,50,46,67,92.83,50,23.61,67,19.63,71
10,14,2012,0.005627,42,46,63,114.6,42,20.84,63,5.47,67
10,15,2012,0.007004,40,50,59,106.2,40,22.26,59,8.54,64
10,16,2012,0.005424,46,42,62,107.5,46,23.34,62,13,68
10,17,2012,0.004194,48,45,72,98.55,48,18.57,72,4.021,78
10,18,2012,0.001755,36,43.5,48,107.9,36,22.93,48,9.366,52
10,19,2012,0.0005591,38,43,68,74.33,38,19.74,68,5.497,75
10,20,2012,0.004839,42,50,65,109.9,42,14.97,65,10.57,69
10,21,2012,0.006166,45,42,69,79.57,45,19.04,69,4.094,77
10,22,2012,0.007082,48,47.5,60,109.1,48,19.66,60,4.131,64
10,23,2012,0.005401,34,44,56,89.39,34,23.37,56,6.915,58
10,24,2012,0.004887,36,47.5,68,118.6,36,15.89,68,8.554,72
10,25,2012,0.007097,29,43,47,111.9,29,22.68,47,7.348,51
10,26,2012,0.008045,30,45,60,126.4,30,23.68,60,18.16,65
10,27,2012,0.006459,30,12,63,120.7,30,21.91,63,4.145,67
10,28,2012,0.007871,29,49,51,124.5,29,22.42,51,10.66,55
10,29,2012,0.006306,34,44,53,97.47,34,20.05,53,5.917,60
10,30,2012,0.007758,22,45.5,42,121.4,22,16.77,42,5.458,48
10,31,2012,0.007225,23,37,45,118.7,23,21.44,45,4.067,46
10,1,2013,0.01058,80,63.5,108,93.92,80,2.632,108,4.055,118
10,2,2013,0.01287,97,51,117,95.56,97,2.062,117,3.491,127
10,3,2013,0.01116,82,57,98,106.7,82,2.432,98,4.334,105
10,4,2013,0.01669,94,52,112,89.46,94,1.531,112,3.409,126
10,5,2013,0.01345,104,58,118,96.49,104,1.371,118,3.583,135
10,6,2013,0.02066,93,52,107,93.14,93,1.136,107,4.015,134
10,7,2013,0.02259,68,57,86,99.7,68,1.4,86,3.929,94
10,8,2013,0.01304,78,51,105,92.23,78,1.486,105,3.208,119
10,9,2013,0.01175,65,52,87,103.4,65,1.905,87,3.988,100
10,10,2013,0.01934,92,67,118,105.2,92,1.17,118,3.62,136
10,11,2013,0.01672,97,67,114,97.94,97,1.564,114,4.258,124
10,12,2013,0.0179,107,73,123,103,107,1.139,123,4.184,139
10,13,2013,0.02017,121,71,146,106.3,121,0.9753,146,4.104,155
10,14,2013,0.01821,75,60,87,104.9,75,1.116,87,4.457,94
10,15,2013,0.01961,106,59.5,126,98.74,106,1.16,126,3.845,142
