month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.001031,33,50,54,78.99,33,7.988,54,1.183,64
11,2,2013,0.001734,39,45,49,71.08,39,5.491,49,1.131,54
11,3,2013,0.002782,13,48.5,24,68.28,13,8.734,24,1.166,26
11,4,2013,0.002272,22,43.5,26,59.97,22,10.49,26,1.187,28
11,5,2013,0.005488,15,52,25,61.46,15,4.577,25,1.187,30
11,6,2013,0.002657,29,44.5,44,79.97,29,3.566,44,1.162,51
11,7,2013,0.001511,17,47,22,65.94,17,8.439,22,1.175,25
11,8,2013,0.001606,25,48,36,70.8,25,6.718,36,1.157,37
11,9,2013,0.004274,23,48,31,76.51,23,6.188,31,1.14,35
11,10,2013,0.001344,10,60,20,94.97,10,21.17,20,1.822,24
11,11,2013,0.001873,13,48.5,18,65.34,13,7.98,18,1.195,22
11,12,2013,0.00238,17,45,27,59.66,17,7.387,27,1.199,35
11,13,2013,0.001329,19,50,32,109.4,19,5.281,32,1.166,36
11,14,2013,0.002259,18,47,27,77.59,18,5.606,27,0.7489,30
11,15,2013,0.004435,21,49,29,93.88,21,4.001,29,0.9646,34
11,16,2013,0.006478,15,59,27,96.57,15,4.055,27,0.776,29
11,17,2013,0.002948,18,46.5,24,96.72,18,6.877,24,1.038,29
11,18,2013,0.004109,19,45,25,98.65,19,3.84,25,0.6036,31
11,19,2013,0.002681,19,51,27,71.54,19,4.875,27,1.182,30
11,20,2013,0.003634,17,42.5,22,99.42,17,3.793,22,0.5986,28
11,21,2013,0.00807,32,48,43,116.2,32,5.249,43,0.7095,51
11,22,2013,0.004946,22,48,35,100.8,22,5.272,35,0.786,44
11,23,2013,0.004398,31,51,45,116.4,31,3.783,45,0.7865,49
11,24,2013,0.002505,23,48,29,72.94,23,6.301,29,0.8785,37
11,25,2013,0.006977,34,45,45,66,34,5.053,45,0.9344,49
11,26,2013,0.002375,35,49,55,79.35,35,7.712,55,1.066,57
11,27,2013,0.00322,43,47,66,62.72,43,9.023,66,1.174,68
11,28,2013,0.00253,37,47,45,65.64,37,7.003,45,1.128,50
11,29,2013,0.005185,46,45,50,68.17,46,5.748,50,1.112,56
11,30,2013,0.002706,33,44,48,59.91,33,7.05,48,1.151,56
11,1,2012,0.004897,13,56,23,88.44,13,4.339,23,0.6435,23
11,2,2012,0.007819,12,51,16,74.38,12,4.297,16,0.7923,17
11,3,2012,0.004425,7,38.5,10,89.08,7,3.901,10,0.7882,11
11,4,2012,0.008955,18,37.5,26,90.16,18,4.139,26,0.7686,31
11,5,2012,0.01419,11,48,15,70.77,11,2.427,15,0.5524,15
11,6,2012,0.004027,11,54,17,85.05,11,4.186,17,0.5182,17
11,7,2012,0.00568,14,42,19,65.1,14,6.225,19,1.042,19
11,8,2012,0.008962,16,48,18,96.53,16,3.644,18,0.547,18
11,9,2012,0.002539,11,55.5,18,158.6,11,2.634,18,0.5167,19
11,10,2012,0.003978,15,37,15,65.5,15,5.029,15,0.7926,15
11,11,2012,0.01393,12,46,18,73.21,12,2.746,18,0.7929,19
11,12,2012,0.004452,12,55.5,18,86.54,12,4.117,18,0.5302,18
11,13,2012,0.003438,5,47.5,10,51.16,5,5.466,10,0.625,10
11,14,2012,0.005865,19,56,33,113.4,19,2.816,33,0.7276,34
11,15,2012,0.04,17,63.5,20,127.8,17,2.789,20,0.5229,20
11,16,2012,0.007284,7,57,13,99.51,7,2.609,13,0.6499,14
11,17,2012,0.003743,13,37.5,20,95.29,13,3.297,20,0.6381,20
11,18,2012,0.00879,9,38,13,77.05,9,5.034,13,0.5249,15
11,19,2012,0.01004,13,70,18,124.1,13,3.296,18,0.5376,18
11,20,2012,0.005663,7,46.5,16,87.7,7,2.647,16,0.5545,16
11,21,2012,0.007785,13,52,21,78.72,13,2.515,21,0.4745,22
11,22,2012,0.004431,12,39,13,64.65,12,4.215,13,0.5733,14
11,23,2012,0.005895,12,42.5,24,55.82,12,3.644,24,0.6534,26
11,24,2012,0.007703,12,56,18,89.07,12,3.899,18,0.5142,20
11,25,2012,0.01439,12,46,15,115.3,12,2.091,15,0.4966,16
11,26,2012,0.009305,15,48,27,109.8,15,4.593,27,0.5119,27
11,27,2012,0.006582,16,39,23,74.51,16,4.569,23,0.5284,24
11,28,2012,0.008633,12,55,31,106.4,12,4.903,31,0.8,31
11,29,2012,0.004825,9,53,18,79.69,9,3.556,18,0.4417,17
11,30,2012,0.007732,15,61,15,110.6,15,2.821,15,0.4615,15
10,1,2012,0.008842,53,58.5,64,100.9,53,3.899,64,0.8138,66
10,2,2012,0.006608,51,56.5,74,99.48,51,3.519,74,0.7209,77
10,3,2012,0.005818,71,56,98,99.92,71,3.421,98,0.7374,100
10,4,2012,0.008996,51,63,63,114.9,51,2.563,63,0.7492,64
10,5,2012,0.007113,66,60,78,94.95,66,3.079,78,0.5876,78
10,6,2012,0.008075,54,59,72,83.86,54,4.569,72,0.7741,74
10,7,2012,0.008111,64,59,73,106.3,64,2.782,73,0.597,77
10,8,2012,0.0102,52,58,63,103.7,52,2.802,63,0.5931,64
10,9,2012,0.006652,32,57,42,103.6,32,5.064,42,0.7994,42
10,10,2012,0.006602,16,55,19,105.2,16,3.783,19,0.5971,25
10,11,2012,0.007678,10,51,24,101.2,10,2.585,24,0.3981,27
10,12,2012,0.003378,16,54.5,28,83.2,16,5.188,28,0.5978,28
10,13,2012,0.006074,11,53.5,16,135,11,2.259,16,0.5336,17
10,14,2012,0.00838,17,49.5,22,89.83,17,3.28,22,0.6714,23
10,15,2012,0.00399,8,57.5,22,118.8,8,3.244,22,0.53,22
10,16,2012,0.006001,16,41,19,73.49,16,6.682,19,1.014,19
10,17,2012,0.007263,15,53,26,86.14,15,2.737,26,0.5465,26
10,18,2012,0.005829,15,52,19,82.1,15,5.576,19,0.7997,19
10,19,2012,0.005678,14,42,28,73.87,14,3.557,28,0.9557,28
10,20,2012,0.006082,18,43.5,22,82.46,18,3.741,22,0.7244,24
10,21,2012,0.004436,13,40.5,18,83.56,13,3.813,18,0.7949,18
10,22,2012,0.006793,16,56,23,85.39,16,3.478,23,0.5322,23
10,23,2012,0.005416,7,63,16,166.6,7,1.552,16,0.4938,16
10,24,2012,0.007639,12,52,17,122.2,12,4.758,17,0.5296,19
10,25,2012,0.01168,19,47.5,22,79,19,4.176,22,0.7678,22
10,26,2012,0.006837,25,51,38,94.2,25,3.299,38,0.6814,39
10,27,2012,0.005899,14,52,18,69.35,14,4.105,18,0.7877,18
10,28,2012,0.005726,15,46,18,90.33,15,3.577,18,0.6676,19
10,29,2012,0.007202,23,56,29,102.4,23,2.418,29,0.5429,29
10,30,2012,0.006186,15,45,25,101.5,15,2.911,25,0.5014,25
10,31,2012,0.006817,19,56,33,87.51,19,3.214,33,0.5538,33
10,1,2013,0.005262,39,47,57,72.29,39,4.732,57,0.9953,61
10,2,2013,0.004454,35,52,51,102.5,35,2.432,51,0.7372,56
10,3,2013,0.005693,27,51,48,96.17,27,5.222,48,1.131,50
10,4,2013,0.002224,35,58.5,56,111.3,35,4.486,56,0.7588,64
10,5,2013,0.00146,31,45,42,86.72,31,6.483,42,0.9128,52
10,6,2013,0.003706,31,49,39,84.73,31,7.163,39,0.8627,41
10,7,2013,0.00402,30,47,44,74.76,30,6.511,44,1.158,50
10,8,2013,0.007563,26,55,44,85,26,3.376,44,0.8587,46
10,9,2013,0.004903,31,43,41,171.2,31,3.963,41,0.7076,49
10,10,2013,0.005278,15,54,25,114.8,15,3.26,25,0.7667,26
10,11,2013,0.001464,28,40,42,90.01,28,7.298,42,0.8522,47
10,12,2013,0.005044,14,57,27,114.4,14,4.304,27,1.178,32
10,13,2013,0.002323,19,48,27,78.34,19,7.336,27,1.014,34
10,14,2013,0.002553,20,49.5,30,80.61,20,7.731,30,1.121,38
10,15,2013,0.001012,42,41,64,58.08,42,6.748,64,1.208,67
10,16,2013,0.002875,24,46,38,102.8,24,7.71,38,1.207,44
10,17,2013,0.005714,16,48,35,83.45,16,6.943,35,0.9207,41
10,18,2013,0.001064,14,44,24,77.44,14,13.79,24,1.207,27
10,19,2013,0.003275,22,49,43,87.23,22,4.236,43,1.169,48
10,20,2013,0.001626,20,51,36,96.93,20,5.619,36,0.9853,41
10,21,2013,0.003527,18,48.5,24,105.5,18,2.933,24,1.174,31
10,22,2013,0.001015,20,52,33,107.7,20,10.23,33,2.065,40
10,23,2013,0.004975,12,54.5,26,90.97,12,6.778,26,0.9597,28
10,24,2013,0.01147,11,44,23,78.77,11,3.792,23,0.8394,30
10,25,2013,0.002073,23,54,38,80.19,23,7.223,38,1.143,40
10,26,2013,0.001385,14,52,20,97.08,14,6.284,20,1.074,30
10,27,2013,0.001839,17,46.5,24,68.08,17,5.784,24,1.154,25
10,28,2013,0.003708,12,60,19,117.7,12,4.213,19,0.5764,23
10,29,2013,0.001605,21,50.5,34,91.11,21,7.3,34,1.985,37
10,30,2013,0.001567,21,50,42,71.38,21,8.569,42,1.175,59
10,31,2013,0.001436,26,50,55,65.64,26,8.897,55,1.205,58
4,1,2014,0.005562,20,43,28,78.55,20,4.811,28,1.499,31
4,2,2014,0.004175,19,43,25,93.69,19,4.368,25,0.7822,29
4,3,2014,0.00331,35,46.5,46,91.79,35,4.992,46,1.168,46
4,4,2014,0.006285,19,47,27,82.99,19,4.759,27,0.6038,27
4,5,2014,0.004616,26,42,34,66.47,26,6.943,34,0.9264,38
4,6,2014,0.004324,31,41,43,89.01,31,5.07,43,1.505,45
4,7,2014,0.004524,20,45,27,79.52,20,6.638,27,1.312,27
4,8,2014,0.003565,18,44.5,30,75.34,18,4.752,30,0.7683,32
4,9,2014,0.002808,32,45,45,74.77,32,4.657,45,1.165,51
4,10,2014,0.003582,27,42,43,60.9,27,5.321,43,1.53,47
4,11,2014,0.0008283,20,48,39,62.36,20,4.611,39,0.9485,45
4,12,2014,0.01037,12,47.5,20,94.15,12,2.711,20,0.7709,22
4,13,2014,0.003696,23,43,25,64.15,23,9.827,25,1.206,26
4,14,2014,0.002814,44,48,56,67.03,44,9.046,56,1.523,61
4,15,2014,0.01033,14,67,21,137.3,14,2.727,21,0.4052,22
4,16,2014,0.004557,17,56,31,125.5,17,5.698,31,1.134,33
4,17,2014,0.002804,17,58.5,34,122.6,17,4.259,34,0.6932,37
4,18,2014,0.001405,17,43.5,30,79.23,17,7.355,30,1.526,34
4,19,2014,0.002968,18,43,23,72.88,18,6.408,23,1.162,25
4,20,2014,0.003705,15,48,21,101.9,15,4.984,21,1.147,23
4,21,2014,0.006299,21,48,29,72.77,21,8.638,29,1.048,32
4,22,2014,0.003601,26,46,46,65.54,26,6.194,46,1.025,44
4,23,2014,0.004588,30,52,62,117.5,30,3.962,62,0.619,68
4,24,2014,0.002005,32,51.5,60,83.91,32,7.972,60,1.158,72
4,25,2014,0.002784,44,45,66,84.02,44,6.018,66,0.808,74
4,26,2014,0.00319,34,45,34,70.02,34,7.75,34,1.542,34
4,27,2014,0.003254,30,45.5,52,73.54,30,5.3,52,1.237,56
4,28,2014,0.00274,74,45,98,77.74,74,6.108,98,1.169,102
4,29,2014,0.002343,30,47,66,115,30,8.67,66,2.415,70
4,30,2014,0.0009169,42,43.5,64,87.42,42,4.554,64,1.178,64
4,1,2013,0.004265,14,50.5,20,100.7,14,5.743,20,0.6894,20
4,2,2013,0.003734,5,54.5,10,104.5,5,4.786,10,0.5214,13
4,3,2013,0.003989,4,60,9,104.9,4,2.775,9,0.5113,9
4,4,2013,0.004287,3,46,7,89.42,3,4.28,7,0.497,7
4,5,2013,0.005148,10,40,16,110.5,10,6.979,16,1.551,16
4,6,2013,0.01985,5,44,15,176.7,5,4.101,15,0.7519,15
4,7,2013,0.004277,7,53,10,88.28,7,2.394,10,0.6516,10
4,8,2013,0.008162,6,50,11,100.1,6,2.838,11,0.4141,12
4,9,2013,0.009898,9,52,13,83.49,9,3.921,13,0.5331,13
4,10,2013,0.00608,9,60.5,16,120.2,9,2.982,16,0.5536,16
4,11,2013,0.003996,8,45,17,75.19,8,5.574,17,0.5424,18
4,12,2013,0.007326,5,39.5,12,141.2,5,3.767,12,0.7838,13
4,13,2013,0.002057,4,46.5,6,73.88,4,6.138,6,0.7912,6
4,14,2013,0.006138,6,57,9,102.8,6,3.815,9,0.5428,9
4,15,2013,0.01381,7,41,9,108.8,7,2.726,9,0.7703,9
4,16,2013,0.004199,11,49.5,16,83.12,11,2.57,16,0.3767,16
4,17,2013,0.006743,4,48,9,72.05,4,3.526,9,1.228,9
4,18,2013,0.04714,8,42,11,120.5,8,1.26,11,0.2691,11
4,19,2013,0.008464,7,81,9,147.1,7,2.096,9,0.4741,11
4,20,2013,0.006131,11,50.5,14,122.2,11,3.515,14,0.5264,14
4,21,2013,0.003409,3,39,3,66.39,3,9.224,3,1.185,3
4,22,2013,0.001182,3,58,5,60.04,3,1.065,5,0.9746,5
4,23,2013,0.001435,7,66,17,89.72,7,2.848,17,0.4804,18
4,24,2013,0.007414,12,59,19,90.84,12,4.959,19,0.7738,19
4,25,2013,0.009783,4,51,11,126.2,4,5.485,11,0.5235,11
4,26,2013,0.009322,8,62,16,114.3,8,3.549,16,1.036,17
4,27,2013,0.005251,6,51,7,58.04,6,4.396,7,1.113,7
4,28,2013,0.02292,7,55,9,84.15,7,1.764,9,0.5116,9
4,29,2013,0.001168,5,69,9,104.5,5,2.25,9,0.5253,9
4,30,2013,0.006595,9,48,15,65.08,9,3.345,15,0.4968,15
4,1,2012,0.02719,2,62,3,117.6,2,9.827,3,1.218,3
4,2,2012,0.008949,4,38,4,81,4,4.948,4,0.5867,4
4,3,2012,0.00365,4,36,5,75.92,4,8.043,5,0.974,6
4,4,2012,0.01133,6,51,6,178.2,6,1.821,6,0.8035,6
4,5,2012,0.00588,2,54,2,212,2,3.991,2,0.229,4
4,6,2012,0.01038,3,43,5,108.9,3,4.261,5,0.6796,6
4,7,2012,0.0179,6,57,9,91.43,6,2.496,9,0.438,10
4,8,2012,0.005376,5,44,10,383.7,5,1.082,10,0.3806,10
4,9,2012,0.006465,5,34,5,79.64,5,5.415,5,0.7879,5
4,10,2012,0.03077,4,38,9,172.9,4,2.332,9,0.347,9
4,11,2012,0.02329,2,33,3,115.9,2,2.511,3,0.396,3
4,12,2012,0.03938,2,93,5,546.8,2,0.9065,5,0.2515,5
4,13,2012,0.006714,2,73.5,10,122.9,2,1.429,10,0.7893,10
4,14,2012,0.01133,4,39,5,115.7,4,2.401,5,0.4634,6
4,15,2012,0.01096,2,47,4,97.77,2,2.458,4,0.3518,4
4,16,2012,0.009265,3,34,6,57.45,3,6.149,6,0.95,6
4,17,2012,0.01099,3,60,5,72.13,3,4.889,5,0.4895,6
4,18,2012,0.004242,3,71.5,4,133.4,3,2.295,4,0.4302,4
4,19,2012,0.003804,2,41,5,48.56,2,2.437,5,0.6553,5
4,20,2012,0.01029,3,54,4,111.8,3,1.448,4,0.1986,6
4,21,2012,0.005119,6,58,8,118.2,6,1.906,8,0.6486,8
4,22,2012,0.04134,3,54,5,156.7,3,3.748,5,0.6988,5
4,23,2012,0.01044,6,36,6,111.9,6,2.15,6,0.4551,6
4,24,2012,0.02568,9,58,11,133.6,9,1.411,11,0.3665,11
4,25,2012,0.005848,5,39.5,6,102.9,5,3.315,6,0.7599,6
4,26,2012,0.005034,3,36,3,57.55,3,10.54,3,1.215,3
4,27,2012,0.002837,3,39,3,90.5,3,4.824,3,0.5413,4
4,28,2012,0.07578,5,52,7,154.8,5,1.085,7,0.3618,7
4,29,2012,0.007352,6,36,7,96.54,6,5.065,7,0.3646,7
4,30,2012,0.006366,5,34.5,6,53.21,5,5.71,6,0.8651,6
12,1,2012,0.00209,10,43,12,87.04,10,4.559,12,0.525,12
12,2,2012,0.003823,7,41,7,108.3,7,5.483,7,0.557,11
12,3,2012,0.004318,13,55,20,75,13,3.361,20,0.7329,20
12,4,2012,0.006271,15,58,25,87.45,15,3.842,25,0.5332,26
12,5,2012,0.003508,9,60,17,108,9,4.78,17,0.5201,18
12,6,2012,0.005469,19,57,25,93.4,19,4.658,25,0.545,26
12,7,2012,0.005288,22,49.5,38,77.72,22,4.772,38,0.718,39
12,8,2012,0.00644,12,39,25,70.33,12,2.88,25,0.5423,26
12,9,2012,0.00628,14,40,17,64.84,14,4.351,17,0.5451,17
12,10,2012,0.004275,10,37,13,67.17,10,4.986,13,0.7989,13
12,11,2012,0.01056,11,44,14,101.4,11,2.396,14,0.6878,14
12,12,2012,0.004348,17,55,36,81.95,17,3.109,36,0.734,36
12,13,2012,0.00518,10,34,15,72.69,10,5.345,15,0.9729,15
12,14,2012,0.008523,13,51,17,84.27,13,2.275,17,0.737,17
12,15,2012,0.006857,16,40,20,101.6,16,3.622,20,0.5406,20
12,16,2012,0.004681,8,37,14,70.88,8,7.474,14,0.9325,14
12,17,2012,0.006955,8,37,11,138.3,8,2.323,11,0.5873,12
12,18,2012,0.01445,10,34,16,91.4,10,3.137,16,0.7757,17
12,19,2012,0.006313,8,38.5,16,86.63,8,5.551,16,0.893,16
12,20,2012,0.001813,8,51,12,135,8,2.11,12,0.4451,14
12,21,2012,0.006685,9,45,19,59.24,9,4.945,19,0.7537,19
12,22,2012,0.005842,6,43,12,75.98,6,5.022,12,0.7593,14
12,23,2012,0.007704,19,40,21,102,19,2.362,21,0.7695,23
