month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.003882,18,51,27,79.1,18,8.133,27,1.154,29
11,1,2013,0.004016,5,50,7,85.65,5,5.925,7,1.095,7
11,2,2013,0.003082,7,43,9,65.54,7,8.973,9,1.199,11
11,3,2013,0.001955,4,47,6,58.75,4,10.15,6,1.17,7
11,4,2013,0.001903,6,49.5,12,59.05,6,11.95,12,1.204,14
11,5,2013,0.001816,6,50,10,59.8,6,8.189,10,0.8531,16
11,6,2013,0.001359,4,49.5,10,61.29,4,11.01,10,1.205,11
11,7,2013,0.002155,21,49,37,72.77,21,8.924,37,1.16,41
11,8,2013,0.003569,27,47,41,67.62,27,6.94,41,1.164,47
11,9,2013,0.002961,31,47.5,46,93.88,31,5.61,46,1.077,54
11,10,2013,0.002508,37,45,45,88.4,37,7.062,45,1.167,51
11,11,2013,0.003668,34,46,49,79.53,34,5.38,49,0.8752,53
11,12,2013,0.003151,36,53.5,60,88.95,36,5.277,60,1.099,66
11,13,2013,0.001773,40,50,58,91.85,40,5.038,58,0.8107,71
11,14,2013,0.00253,31,48,49,65.02,31,5.696,49,1.175,52
11,15,2013,0.002693,25,58.5,48,65.04,25,5.315,48,1.169,54
11,16,2013,0.002681,45,45,61,66.66,45,5.315,61,0.8139,70
11,17,2013,0.002935,41,48,57,87.17,41,4.875,57,1.091,65
11,18,2013,0.003414,44,48,63,68.71,44,4.951,63,1.051,73
11,19,2013,0.003511,42,45,59,63.47,42,6.767,59,1.101,68
11,20,2013,0.003311,71,45,91,80.39,71,4.971,91,0.935,100
11,21,2013,0.004109,53,46,70,79.35,53,7.183,70,1.137,86
11,22,2013,0.002314,70,48,85,80.55,70,8.094,85,1.168,94
11,23,2013,0.00461,40,49,50,70.92,40,4.732,50,1.136,55
11,0,2012,0.007626,12,42,17,84.07,12,4.043,17,0.7339,17
11,1,2012,0.01079,8,47,9,108.6,8,2.692,9,0.5262,9
11,2,2012,0.01419,5,48,7,123.3,5,2.45,7,0.6164,8
11,3,2012,0.008262,5,53,8,89.6,5,4.573,8,0.5365,9
11,4,2012,0.03417,5,79.5,6,143.9,5,1.729,6,0.2751,6
11,5,2012,0.02456,4,67,4,169,4,0.6903,4,0.3967,4
11,6,2012,nan,0,38,2,nan,0,5.517,2,0.9657,2
11,7,2012,0.007215,10,56,17,82.37,10,2.827,17,0.7361,17
11,8,2012,0.004511,7,54,11,99.51,7,3.617,11,0.7948,11
11,9,2012,0.003814,10,51,24,75.41,10,4.085,24,0.5644,24
11,10,2012,0.007338,23,46.5,32,110.8,23,2.794,32,0.5709,33
11,11,2012,0.009371,17,48,39,89,17,3.253,39,0.5401,41
11,12,2012,0.006511,16,53,33,115.3,16,4.807,33,0.5284,36
11,13,2012,0.005865,15,44,27,75.38,15,4.291,27,0.7065,29
11,14,2012,0.01956,21,57,29,126,21,2.829,29,0.6643,29
11,15,2012,0.004357,28,54.5,42,76.12,28,2.757,42,0.5202,44
