month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.001031,33,48,33,78.99,33,7.247,33,1.183,64
11,2,2013,0.001734,39,44,39,71.08,39,5.93,39,1.131,54
11,3,2013,0.002782,13,45,13,68.28,13,11.24,13,1.166,26
11,4,2013,0.002272,22,44,22,59.97,22,9.342,22,1.187,28
11,5,2013,0.005488,15,46,15,61.46,15,4.545,15,1.187,30
11,6,2013,0.002657,29,40,29,79.97,29,3.778,29,1.162,51
11,7,2013,0.001511,17,46,17,65.94,17,7.755,17,1.175,25
11,8,2013,0.001606,25,46,25,70.8,25,5.306,25,1.157,37
11,9,2013,0.004274,23,46,23,76.51,23,6.188,23,1.14,35
11,10,2013,0.001344,10,50.5,10,94.97,10,13.3,10,1.822,24
11,11,2013,0.001873,13,45,13,65.34,13,8.169,13,1.195,22
11,12,2013,0.00238,17,43,17,59.66,17,7.809,17,1.199,35
11,13,2013,0.001329,19,48,19,109.4,19,9.011,19,1.166,36
11,14,2013,0.002259,18,46,18,77.59,18,6.187,18,0.7489,30
11,15,2013,0.004435,21,46,21,93.88,21,4.001,21,0.9646,34
11,16,2013,0.006478,15,55,15,96.57,15,4.498,15,0.776,29
11,17,2013,0.002948,18,45.5,18,96.72,18,6.877,18,1.038,29
11,18,2013,0.004109,19,41,19,98.65,19,3.84,19,0.6036,31
11,19,2013,0.002681,19,50,19,71.54,19,4.971,19,1.182,30
11,20,2013,0.003634,17,41,17,99.42,17,3.934,17,0.5986,28
11,21,2013,0.00807,32,46.5,32,116.2,32,4.245,32,0.7095,51
11,22,2013,0.004946,22,47,22,100.8,22,4.843,22,0.786,44
11,23,2013,0.004398,31,47,31,116.4,31,3.125,31,0.7865,49
11,24,2013,0.002505,23,48,23,72.94,23,6.301,23,0.8785,37
11,25,2013,0.006977,34,44.5,34,66,34,5.005,34,0.9344,49
11,26,2013,0.002375,35,47,35,79.35,35,6.869,35,1.066,57
11,27,2013,0.00322,43,45,43,62.72,43,9.549,43,1.174,68
11,28,2013,0.00253,37,45,37,65.64,37,7.085,37,1.128,50
11,29,2013,0.005185,46,45,46,68.17,46,5.748,46,1.112,56
11,30,2013,0.002706,33,41,33,59.91,33,6.94,33,1.151,56
11,1,2012,0.004897,13,56,13,88.44,13,4.111,13,0.6435,23
11,2,2012,0.007819,12,44.5,12,74.38,12,3.98,12,0.7923,17
11,3,2012,0.004425,7,38,7,89.08,7,4.964,7,0.7882,11
11,4,2012,0.008955,18,50.5,18,90.16,18,3.515,18,0.7686,31
11,5,2012,0.01419,11,48,11,70.77,11,2.561,11,0.5524,15
11,6,2012,0.004027,11,38,11,85.05,11,4.461,11,0.5182,17
11,7,2012,0.00568,14,39.5,14,65.1,14,8.638,14,1.042,19
11,8,2012,0.008962,16,41.5,16,96.53,16,4.598,16,0.547,18
11,9,2012,0.002539,11,73,11,158.6,11,1.937,11,0.5167,19
