month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,nan,0,nan,0,nan,0,nan,0,17.83,1
11,5,2013,0.000754,1,20,1,95.63,1,17.76,1,4.116,2
11,6,2013,0.0003967,1,21,1,148.4,1,5.58,1,6.214,3
11,7,2013,nan,0,nan,0,nan,0,nan,0,0.7223,1
11,8,2013,0.002391,2,20.5,2,255.8,2,3.999,2,5.881,3
11,9,2013,0.00403,2,10.5,2,17.18,2,37.93,2,7.747,2
11,10,2013,0.003462,2,13.5,2,22.81,2,35.39,2,3.946,2
11,11,2013,0.003494,2,11.5,2,17.99,2,16.69,2,2.618,2
11,12,2013,0.004005,1,10,1,14.86,1,14.98,1,2.518,2
11,13,2013,0.0001663,1,12,1,33.98,1,41.4,1,5.076,2
11,14,2013,0.004936,4,18,4,59.54,4,16.38,4,4.25,5
11,15,2013,0.006143,1,17,1,90.12,1,6.694,1,7.269,2
11,16,2013,0.0001881,3,18,3,40.8,3,55.31,3,10.9,6
11,18,2013,0.001015,1,22,1,74.76,1,10.01,1,1.724,4
11,19,2013,0.002343,4,20.5,4,87.71,4,6.226,4,3.78,8
11,20,2013,0.0008463,2,19.5,2,173.5,2,8.902,2,10.45,4
11,21,2013,2.009e-05,1,16,1,66.68,1,56.32,1,10.9,3
11,22,2013,0.0004927,2,20,2,54.63,2,16.13,2,4.066,2
11,23,2013,nan,0,nan,0,nan,0,nan,0,8.307,2
11,0,2012,0.001679,80,18,80,43.43,80,13.82,80,1.724,114
11,1,2012,0.00249,46,17,46,43.8,46,13.86,46,1.711,74
11,2,2012,0.0009452,25,16,25,44.56,25,15.1,25,1.761,45
11,3,2012,0.002148,21,17,21,40.39,21,16.4,21,1.744,34
11,4,2012,0.003028,14,17,14,37.96,14,14.64,14,1.749,26
11,5,2012,0.001548,12,16,12,35.46,12,15.57,12,1.67,20
11,6,2012,0.001642,15,17,15,39.55,15,14.93,15,1.74,22
11,7,2012,0.001593,21,18,21,43.53,21,15.64,21,1.745,38
11,8,2012,0.001083,27,17,27,38.43,27,15.6,27,1.752,50
11,9,2012,0.00148,45,16,45,42.15,45,17.16,45,1.747,66
11,10,2012,0.001082,54,17,54,40.64,54,16.36,54,1.757,99
11,11,2012,0.001229,65,17,65,42.7,65,13.04,65,1.689,102
11,12,2012,0.0009288,67,17,67,41.26,67,13.72,67,1.718,110
11,13,2012,0.001328,73,17,73,40.31,73,12.88,73,1.719,117
11,14,2012,0.002094,97,17,97,41.74,97,13.71,97,1.698,149
11,15,2012,0.001134,73,17,73,43.51,73,14.94,73,1.727,116
11,16,2012,0.001141,82,17,82,41.8,82,13.94,82,1.719,122
11,17,2012,0.001261,108,17,108,44.36,108,15.83,108,1.688,179
11,18,2012,0.001351,115,17,115,43.56,115,14.57,115,1.7,169
11,19,2012,0.001402,139,18,139,42.48,139,14.2,139,1.717,206
11,20,2012,0.001081,138,17,138,42.8,138,14.38,138,1.73,197
11,21,2012,0.001653,123,18,123,48.93,123,12.58,123,1.709,179
11,22,2012,0.001397,115,17,115,41.96,115,14,115,1.723,166
11,23,2012,0.001476,105,17,105,38.22,105,14.66,105,1.695,163
10,0,2012,0.001895,67,17,67,41.4,67,15.68,67,1.7,105
10,1,2012,0.001269,38,17,38,44.85,38,15.39,38,1.716,75
10,2,2012,0.001067,37,17,37,40.4,37,16.54,37,1.737,56
10,3,2012,0.001197,18,18,18,36.68,18,17.47,18,1.681,35
10,4,2012,0.0009221,16,17.5,16,36.51,16,17.29,16,1.741,24
10,5,2012,0.005133,8,17.5,8,51.22,8,9.168,8,1.637,15
10,6,2012,0.001643,12,17.5,12,36.48,12,16.07,12,1.751,20
10,7,2012,0.0008009,14,17,14,46.93,14,16.89,14,1.738,29
10,8,2012,0.0009791,28,18,28,43.63,28,13.17,28,1.707,52
10,9,2012,0.001289,56,16,56,45.14,56,16.83,56,1.722,88
10,10,2012,0.0008997,49,16,49,43.94,49,17.67,49,1.746,95
10,11,2012,0.001713,67,17,67,44.77,67,12.51,67,1.742,117
10,12,2012,0.001124,78,17,78,40.67,78,14.35,78,1.724,129
10,13,2012,0.001199,80,16,80,39.43,80,15.37,80,1.735,135
10,14,2012,0.00139,82,17,82,41.25,82,14.02,82,1.731,141
10,15,2012,0.001674,97,18,97,43.44,97,14.59,97,1.735,169
10,16,2012,0.001308,128,17,128,41.39,128,15.04,128,1.744,192
10,17,2012,0.001368,103,18,103,45.28,103,11.72,103,1.675,180
10,18,2012,0.001449,121,17,121,45.21,121,13.03,121,1.715,191
10,19,2012,0.001305,129,17,129,45.58,129,12.44,129,1.716,190
10,20,2012,0.001619,152,17,152,43.76,152,12.62,152,1.716,222
10,21,2012,0.001427,147,17,147,40.71,147,14.03,147,1.72,202
10,22,2012,0.001251,128,18,128,42.92,128,14.28,128,1.701,206
10,23,2012,0.002098,102,17,102,43.32,102,12.37,102,1.723,137
10,0,2013,0.002368,17,18,17,59.53,17,7.409,17,4.243,28
10,1,2013,0.002643,12,17.5,12,40.46,12,9.42,12,4.169,18
10,2,2013,0.002735,2,17,2,31.67,2,48.33,2,4.722,6
10,3,2013,0.007364,7,21,7,37.29,7,3.801,7,2.445,9
10,4,2013,0.001475,2,18,2,32.58,2,17.05,2,4.384,2
10,5,2013,0.0002364,7,19,7,31.4,7,54.71,7,7.409,12
10,6,2013,2.287e-05,2,15,2,32.92,2,99.16,2,15.27,3
10,7,2013,0.001815,4,17,4,55.55,4,23.85,4,4.358,9
10,8,2013,0.002017,13,18,13,41.42,13,8.477,13,4.179,21
10,9,2013,0.001141,11,17,11,35.17,11,16.82,11,4.197,16
10,10,2013,0.0003469,8,19,8,66.37,8,16.79,8,3.506,14
10,11,2013,0.001357,13,17,13,55.79,13,16.9,13,4.146,30
10,12,2013,0.001108,12,14.5,12,20.36,12,21.46,12,4,26
10,13,2013,0.001797,21,17,21,56.97,21,16.96,21,4.134,30
10,14,2013,0.002306,14,18,14,38.23,14,13.94,14,3.532,31
10,15,2013,0.0007272,23,18,23,39.25,23,12.61,23,4.313,25
10,16,2013,0.006915,2,16,2,27.79,2,9.012,2,4.237,14
10,17,2013,0.001673,24,18.5,24,82.08,24,13.74,24,3.93,38
10,18,2013,0.0004888,26,18,26,42.23,26,23.34,26,3.832,44
10,19,2013,0.0009135,19,18,19,42.5,19,14.13,19,4.205,31
10,20,2013,0.0008041,29,18,29,49.85,29,27.93,29,8.435,33
10,21,2013,0.001079,18,18,18,47.46,18,17.51,18,4.277,30
10,22,2013,0.001948,28,17,28,44.93,28,11.8,28,4.104,39
10,23,2013,0.0008532,7,18,7,56.21,7,16.96,7,4.139,24
4,2,2014,nan,0,nan,0,nan,0,nan,0,3.081,1
4,8,2014,0.0008127,5,13,5,26.75,5,13.55,5,3.666,5
4,9,2014,0.0004109,4,24.5,4,133.4,4,14.09,4,2.724,12
4,10,2014,0.00186,10,12,10,25.21,10,13.97,10,2.44,17
4,11,2014,0.0007611,7,13,7,30.13,7,40.42,7,2.813,16
4,12,2014,0.0002263,7,11,7,28.24,7,37.62,7,4.079,15
4,13,2014,0.001176,11,14,11,27.44,11,25.37,11,4.027,17
4,14,2014,0.0003892,4,12,4,29.75,4,33.01,4,3.599,7
4,15,2014,0.0005717,5,12,5,20.85,5,36.73,5,4.574,9
4,16,2014,0.000202,6,15.5,6,39.7,6,47.9,6,4.22,17
4,17,2014,0.002372,5,14,5,22.84,5,32.67,5,3.121,10
4,18,2014,6.919e-05,1,10,1,56.37,1,15.6,1,1.993,3
4,19,2014,0.0007305,1,20,1,60.17,1,38.29,1,10.73,1
4,21,2014,0.0008065,1,18,1,31.66,1,9.831,1,9.582,2
4,22,2014,0.000127,1,17,1,23.36,1,17.8,1,2.141,2
4,23,2014,0.0005509,5,19,5,63.92,5,24.17,5,4.991,5
4,0,2013,0.0009681,33,18,33,41.98,33,15.6,33,1.726,40
4,1,2013,0.002677,19,18,19,53.49,19,16.6,19,1.728,31
4,2,2013,0.001767,14,18,14,40.06,14,15.08,14,1.723,23
4,3,2013,0.0009477,8,17,8,38.11,8,17.15,8,1.706,11
4,4,2013,0.0007533,8,17,8,30.61,8,24.66,8,2.294,14
4,5,2013,0.0009668,2,19,2,42.56,2,30.89,2,1.733,5
4,6,2013,0.0005189,7,18,7,37.43,7,17.72,7,1.749,13
4,7,2013,0.001653,11,18,11,44.64,11,11.64,11,1.614,20
4,8,2013,0.003245,10,17.5,10,51.8,10,8.457,10,2.682,18
4,9,2013,0.0008693,19,17,19,45.46,19,17.23,19,1.665,30
4,10,2013,0.001207,20,16.5,20,46.72,20,14.97,20,1.737,38
4,11,2013,0.0008943,16,15,16,36.67,16,16.69,16,1.653,37
4,12,2013,0.001624,30,17.5,30,49.22,30,12.44,30,1.72,51
4,13,2013,0.001284,21,17,21,55.75,21,16.18,21,1.686,39
4,14,2013,0.001271,33,18,33,42.88,33,13.18,33,1.738,50
4,15,2013,0.001846,27,18,27,52.57,27,12.7,27,1.702,40
4,16,2013,0.001017,37,17,37,41.2,37,17.34,37,1.747,57
4,17,2013,0.001086,34,17.5,34,44.62,34,15.49,34,1.755,41
4,18,2013,0.001114,31,18,31,41.26,31,14.31,31,1.675,49
4,19,2013,0.001678,48,17,48,43.96,48,13.34,48,1.725,62
4,20,2013,0.002334,50,18,50,44.77,50,11.41,50,1.717,61
4,21,2013,0.000937,48,18,48,44.14,48,14.39,48,1.729,67
4,22,2013,0.00101,42,18,42,41.57,42,16.13,42,1.715,56
4,23,2013,0.001462,38,17,38,43.3,38,16.14,38,1.734,53
4,0,2012,0.0005753,31,17,31,46.24,31,14.9,31,1.717,49
4,1,2012,0.001462,14,17.5,14,43.52,14,14.22,14,1.701,19
4,2,2012,0.0005641,13,17,13,45.61,13,14.93,13,1.711,21
4,3,2012,0.0008399,4,16.5,4,46.97,4,19.56,4,1.909,10
4,4,2012,0.003069,3,18,3,28.6,3,13.97,3,1.727,4
4,5,2012,0.001721,3,19,3,38.35,3,32.33,3,1.71,9
4,6,2012,0.002466,6,16.5,6,58.42,6,12.3,6,2.002,10
4,7,2012,0.003818,7,17,7,43.29,7,19.41,7,1.749,11
4,8,2012,0.001748,11,18,11,33.01,11,19.15,11,1.758,19
4,9,2012,0.0009773,15,17,15,40.21,15,18.43,15,1.752,28
4,10,2012,0.001911,24,18,24,39.46,24,13.72,24,1.729,49
4,11,2012,0.00158,28,18,28,41.07,28,14.71,28,1.71,43
4,12,2012,0.001653,22,17.5,22,38.99,22,11.06,22,1.743,40
4,13,2012,0.002803,27,18,27,40.39,27,13.94,27,1.731,41
4,14,2012,0.00184,30,17,30,41.73,30,14.44,30,1.723,51
