month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.00693,8,37,15,109.9,8,1.424,15,0.2732,15
11,1,2013,0.01055,20,33,22,83.06,20,1.984,22,0.399,24
11,2,2013,0.005761,3,65,3,506.4,3,0.6936,3,0.307,4
11,3,2013,nan,0,43,1,nan,0,2.964,1,0.4065,1
11,4,2013,0.007567,3,49,3,68.49,3,4.068,3,0.53,3
11,5,2013,0.02537,4,46,4,84.47,4,2.496,4,0.3366,4
11,6,2013,0.0198,15,43,18,89.27,15,2.692,18,0.3456,21
11,7,2013,0.02257,9,58,11,162.2,9,2.399,11,0.352,11
11,8,2013,0.01134,20,38,24,91.27,20,3.406,24,0.4664,27
11,9,2013,0.005014,28,41,37,83.3,28,2.877,37,0.3601,46
11,10,2013,0.006963,19,27,25,219.1,19,2.804,25,0.5144,25
11,11,2013,0.0258,18,33,27,153.9,18,3.5,27,0.4045,29
11,12,2013,0.006974,26,41.5,30,82.55,26,4.585,30,0.4613,32
11,13,2013,0.007931,17,42,25,139,17,2.889,25,0.3507,27
11,14,2013,0.007581,14,39,24,79.5,14,3.945,24,0.5168,28
11,15,2013,0.01205,18,34,23,99.04,18,3.42,23,0.3835,24
11,16,2013,0.01148,22,41,26,114.3,22,3.566,26,0.4025,27
11,17,2013,0.008326,26,38,28,127.9,26,4.866,28,0.5245,28
11,18,2013,0.004906,29,38,35,192,29,3.12,35,0.4566,41
11,19,2013,0.007276,37,43,40,128.8,37,2.283,40,0.4942,39
11,20,2013,0.007866,51,45,57,70.11,51,2.409,57,0.5883,64
11,21,2013,0.01095,27,47.5,30,91.77,27,2.456,30,0.3881,35
11,22,2013,0.01114,36,47,41,103.7,36,2.687,41,0.3945,49
11,23,2013,0.01734,25,59,28,91.54,25,1.536,28,0.3967,28
11,0,2012,0.01089,8,75,11,145,8,4.82,11,0.6132,11
11,1,2012,0.01336,3,73,7,262.1,3,5.596,7,0.604,7
11,2,2012,0.005346,8,71,9,122.1,8,10.22,9,0.688,11
11,3,2012,0.01006,6,86,7,135.2,6,4.78,7,0.5045,7
11,4,2012,0.0003747,1,73.5,2,81.51,1,6.315,2,0.6181,2
11,5,2012,0.003102,2,47.5,2,106.2,2,4.183,2,0.5761,2
11,6,2012,0.002484,2,73,3,136.2,2,9.624,3,0.5965,3
11,7,2012,0.007363,3,42,5,100.6,3,5.45,5,0.4134,5
11,8,2012,0.02896,3,59,6,90.7,3,6.983,6,1.048,6
11,9,2012,0.0198,9,56,13,150.5,9,2.842,13,0.536,14
11,10,2012,0.004361,12,73,15,89.12,12,4.255,15,0.6059,15
11,11,2012,0.008471,15,71,24,151.3,15,5.5,24,0.5907,24
11,12,2012,0.004073,19,61,25,119.1,19,5.684,25,0.6045,26
11,13,2012,0.01317,14,72.5,22,70.3,14,5.391,22,0.5365,23
11,14,2012,0.008031,8,64.5,16,159,8,6.284,16,0.5886,15
11,15,2012,0.003014,19,59.5,24,144.8,19,3.89,24,0.52,24
11,16,2012,0.009701,13,75,19,223.2,13,2.078,19,0.4213,20
11,17,2012,0.007196,14,66,17,89.84,14,8.757,17,0.5849,18
11,18,2012,0.007118,11,71.5,16,139.3,11,7.058,16,0.5951,17
11,19,2012,0.002436,10,71,13,111,10,5.598,13,0.6065,14
11,20,2012,0.00347,17,71,19,137,17,4.691,19,0.6038,20
11,21,2012,0.00534,9,73.5,16,101.3,9,2.943,16,0.3904,18
11,22,2012,0.004522,14,72.5,18,102.4,14,5.324,18,0.6218,20
11,23,2012,0.006302,19,75,25,132.8,19,3.745,25,0.5984,25
10,0,2012,0.008685,9,87,15,133,9,3.682,15,0.6108,15
10,1,2012,0.005118,5,75,8,137.6,5,5.717,8,0.5347,9
10,2,2012,0.009271,4,76,7,127.4,4,3.257,7,0.4111,9
10,3,2012,0.009175,8,90,9,130.9,8,1.328,9,0.4039,9
10,4,2012,0.01354,2,95,3,127.3,2,1.005,3,0.4022,3
10,5,2012,0.006485,4,69,7,124.1,4,4.577,7,0.5205,7
10,6,2012,0.002715,2,77,4,168.6,2,6.687,4,0.5964,4
10,7,2012,0.00649,2,118,3,204.7,2,4.354,3,0.259,4
10,8,2012,nan,0,53,4,nan,0,4.603,4,0.4407,4
10,9,2012,0.008897,5,49,9,82.12,5,4.656,9,0.5274,9
10,10,2012,0.01613,9,36,9,80.16,9,4.395,9,0.563,9
10,11,2012,0.009342,14,78.5,20,102.8,14,5.337,20,0.5307,22
10,12,2012,0.006103,13,39,17,97.04,13,5.398,17,0.4279,18
10,13,2012,0.00424,13,77,29,92.15,13,4.649,29,0.395,30
10,14,2012,0.02074,7,73,13,178.7,7,5.485,13,0.5714,13
10,15,2012,0.01361,17,76,21,209.7,17,4.292,21,0.5479,21
10,16,2012,0.006287,13,66.5,18,111.2,13,4.854,18,0.5931,19
10,17,2012,0.007039,15,74.5,24,144.3,15,4.009,24,0.5124,24
10,18,2012,0.00603,9,72,18,111.2,9,6.748,18,0.5994,19
10,19,2012,0.006361,15,70,22,168,15,4.532,22,0.601,22
