month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.002907,97,38,150,68.39,97,12.22,150,0.8946,153
11,1,2013,0.003255,62,36,109,88.13,62,12.98,109,0.8877,108
11,2,2013,0.002371,72,37,108,68.05,72,12.71,108,0.8873,110
11,3,2013,0.002699,42,36,70,59.31,42,12.25,70,0.8999,69
11,4,2013,0.001665,27,36,62,65.78,27,14.82,62,0.8965,60
11,5,2013,0.002255,51,36,88,61.18,51,12.24,88,1.549,93
11,6,2013,0.002114,56,35.5,92,77.55,56,13.67,92,1.635,92
11,7,2013,0.00191,86,35,131,57.15,86,12.71,131,0.8948,132
11,8,2013,0.001865,105,31.5,168,61.05,105,10.71,168,0.9508,166
11,9,2013,0.002602,146,34,223,58.12,146,9.247,223,0.8921,222
11,10,2013,0.001753,133,35,210,57.35,133,11.89,210,0.9014,224
11,11,2013,0.003271,128,36,211,61.33,128,11.06,211,0.896,219
11,12,2013,0.002315,95,34,153,65,95,10.31,153,0.8961,160
11,13,2013,0.00238,108,32,181,61.62,108,11.35,181,1.68,181
11,14,2013,0.002704,110,34,166,63.57,110,9.349,166,0.8909,171
11,15,2013,0.002398,132,34,212,59.86,132,11.33,212,1.353,218
11,16,2013,0.002629,145,33,212,64.31,145,8.931,212,0.9085,221
11,17,2013,0.002473,198,34,280,64.28,198,10.46,280,0.8926,283
11,18,2013,0.002322,230,35,325,62.55,230,10.13,325,0.9014,326
11,19,2013,0.002771,252,34,356,63.49,252,8.695,356,0.9054,345
11,20,2013,0.003553,357,41,454,69.58,357,4.06,454,0.8893,448
11,21,2013,0.004206,335,41,419,71.23,335,4.527,419,0.8932,415
11,22,2013,0.00327,303,38,406,66.24,303,6.3,406,0.8921,405
11,23,2013,0.002952,190,35,283,69.71,190,9.328,283,0.8945,281
11,0,2012,0.002458,77,19.5,126,63.19,77,13.79,126,0.8155,127
11,1,2012,0.002479,52,18,73,52.6,52,13.18,73,0.8158,75
11,2,2012,0.002359,36,18,54,48.76,36,12.47,54,0.8168,55
11,3,2012,0.005321,20,18,42,54.19,20,13.2,42,0.8116,43
11,4,2012,0.002352,12,19,36,55.49,12,11.96,36,0.814,37
11,5,2012,0.001852,14,18,21,63.74,14,17.13,21,0.8163,21
11,6,2012,0.001942,13,19,24,59.03,13,15.27,24,1.074,25
11,7,2012,0.003521,14,19.5,26,69.6,14,15.39,26,0.7986,30
11,8,2012,0.001317,30,19,51,47.73,30,12,51,0.817,52
11,9,2012,0.00343,41,24.5,72,69.98,41,11.34,72,0.8136,73
11,10,2012,0.001376,63,19,115,52.34,63,12.47,115,0.8151,118
11,11,2012,0.002318,64,20,114,60.61,64,11.81,114,0.8129,116
11,12,2012,0.003852,83,19,147,49.92,83,12.07,147,0.8085,152
