month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.01233,235,73,235,107.5,235,1.195,235,0.5959,307
11,2,2013,0.01518,277,71,277,100.2,277,1.075,277,0.7303,354
11,3,2013,0.01525,273,72,273,104.5,273,0.9948,273,0.7616,346
11,4,2013,0.01247,232,68,232,96.79,232,1.348,232,0.5838,334
11,5,2013,0.01462,228,68,228,97.24,228,1.202,228,0.6544,323
11,6,2013,0.008104,201,65,201,94.89,201,1.601,201,0.6914,296
11,7,2013,0.01051,262,65,262,102.1,262,1.739,262,0.696,337
11,8,2013,0.01423,246,68,246,99.29,246,1.308,246,0.5905,314
11,9,2013,0.01236,259,68,259,96.53,259,1.114,259,0.7733,334
11,10,2013,0.01908,266,72,266,97.6,266,0.8902,266,0.7692,330
11,11,2013,0.01484,261,70,261,96.6,261,1.001,261,0.7883,337
11,12,2013,0.0106,263,69,263,96.83,263,1.494,263,0.799,347
11,13,2013,0.007819,235,63,235,92.21,235,2.42,235,0.7116,344
11,14,2013,0.009584,232,67,232,93.24,232,1.607,232,0.7579,341
11,15,2013,0.0132,226,65,226,96.35,226,1.515,226,0.6997,296
11,16,2013,0.01288,233,68,233,93.83,233,1.301,233,0.6999,298
11,17,2013,0.01702,319,72,319,103.1,319,0.8905,319,0.5592,416
11,18,2013,0.01152,285,70,285,97.54,285,1.312,285,0.5861,379
11,19,2013,0.01183,233,69,233,97.47,233,1.237,233,0.7287,321
11,20,2013,0.01133,259,69,259,94.94,259,1.342,259,0.7841,346
11,21,2013,0.01326,217,72,217,102.2,217,1.076,217,0.7855,300
11,22,2013,0.01243,218,67.5,218,99.41,218,1.328,218,0.7984,288
11,23,2013,0.01104,236,69,236,96.96,236,1.324,236,0.7876,313
11,24,2013,0.01768,271,74,271,98.3,271,0.912,271,0.7673,350
11,25,2013,0.01036,280,70,280,97.58,280,1.494,280,0.9692,340
11,26,2013,0.01462,237,73,237,100.3,237,1.102,237,0.7694,295
11,27,2013,0.01987,244,72,244,97.71,244,0.801,244,0.6975,320
11,28,2013,0.009501,195,67,195,96.82,195,1.555,195,0.5997,266
11,29,2013,0.01587,257,74,257,108.1,257,0.8851,257,0.7182,303
