month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.0007605,1,78.5,4,83.94,1,1.619,4,2.276,4
11,2,2013,nan,0,77,1,nan,0,16.69,1,3.83,1
11,6,2013,0.007214,2,71.5,2,83.94,2,7.137,2,1.361,2
11,7,2013,0.007069,5,78,5,85.26,5,10.92,5,1.48,5
11,8,2013,0.004264,2,72.5,2,79.93,2,8.573,2,0.8191,2
11,9,2013,0.002286,1,75.5,2,75.34,1,5.581,2,0.5509,2
11,10,2013,0.005483,4,74,5,151,4,5.596,5,0.9363,5
11,11,2013,nan,0,81,2,nan,0,11.62,2,3.862,3
11,12,2013,0.009483,2,90,2,155.4,2,7.343,2,2.812,2
11,13,2013,0.001528,3,77,3,93.81,3,4.381,3,1.282,3
11,14,2013,0.01079,1,79,3,173.6,1,15.31,3,1.548,3
11,15,2013,nan,0,76,2,nan,0,11.86,2,1.347,2
11,16,2013,0.001464,1,76,2,92.13,1,3.009,2,0.8526,2
11,18,2013,0.00271,3,80.5,4,226.4,3,5.591,4,2.507,4
11,19,2013,0.007264,1,84.5,4,167.7,1,2.193,4,1.437,5
11,20,2013,nan,0,nan,0,nan,0,nan,0,0.06436,1
11,21,2013,0.009651,2,82.5,2,160.1,2,8.359,2,2.296,2
11,22,2013,0.01288,1,78.5,2,250.9,1,10.96,2,3.154,3
11,0,2012,0.002896,1,83.5,2,98.16,1,14.27,2,1.501,2
11,2,2012,nan,0,73,1,nan,0,5.608,1,nan,0
11,3,2012,0.001026,1,79,1,177.5,1,8.659,1,0.862,1
11,4,2012,0.008466,2,82,2,95.47,2,21.85,2,3.007,2
11,5,2012,0.001167,1,79,1,95.64,1,2.825,1,0.8451,1
11,6,2012,0.004892,2,80,4,108.8,2,10.61,4,1.22,4
11,7,2012,0.0007103,6,75,6,92.36,6,14.82,6,1.229,6
11,8,2012,0.01856,2,81,4,116.6,2,4.908,4,1.166,3
11,9,2012,0.01192,2,81,3,108.4,2,3.693,3,0.4788,3
11,10,2012,0.0004513,1,83,2,109.1,1,4.23,2,0.5412,2
11,11,2012,0.001412,1,78,2,84.13,1,17.32,2,2.256,2
11,12,2012,0.004162,2,82,3,116.1,2,5.782,3,0.7904,3
11,13,2012,0.002688,1,80,3,104.6,1,5.815,3,0.8047,2
11,14,2012,0.005864,2,89,3,133.9,2,16.29,3,0.7011,3
11,16,2012,0.003366,2,83.5,2,108.5,2,5.541,2,2.911,2
11,17,2012,0.007556,2,90,2,103.2,2,20.19,2,2.351,2
11,19,2012,0.001363,1,93,1,109.4,1,9.117,1,1.607,1
11,20,2012,0.01164,1,79.5,2,98.05,1,3.407,2,1.13,2
11,21,2012,0.002016,1,88,1,102.8,1,9.662,1,1.647,1
11,23,2012,0.00343,5,87,5,97.38,5,14.58,5,1.486,5
10,3,2012,nan,0,nan,0,nan,0,nan,0,0.0964,1
10,6,2012,0.001616,4,79,5,93.89,4,20.39,5,2.877,6
10,7,2012,0.00187,3,81,6,95.77,3,15.66,6,0.916,6
10,8,2012,0.001617,3,78,7,92.72,3,5.93,7,0.6546,7
10,9,2012,0.004989,4,86,5,107.7,4,5.315,5,1.212,5
10,10,2012,0.002581,8,89,9,131.2,8,11.94,9,1.646,9
10,11,2012,0.0198,2,82.5,6,90.99,2,13,6,1.246,6
10,12,2012,0.01002,3,78.5,6,97.79,3,8.347,6,0.6392,7
10,13,2012,0.00465,2,79.5,8,88.17,2,6.809,8,1.206,8
10,14,2012,0.01006,4,80,8,89.62,4,5.369,8,3.346,8
10,15,2012,0.01385,3,85,5,119.5,3,4.796,5,1.565,5
10,16,2012,0.002415,5,80,8,101.2,5,6.578,8,0.6515,8
10,17,2012,0.0002482,3,86.5,4,133.7,3,15.8,4,0.8694,4
10,18,2012,0.002761,1,79,1,95.11,1,9.098,1,1.487,1
10,19,2012,0.002138,4,89,4,103.9,4,7.796,4,1.507,4
10,21,2012,0.01287,2,86,2,130.6,2,13.96,2,2.808,2
10,22,2012,nan,0,85,1,nan,0,21.04,1,5.375,1
10,2,2013,0.0007688,1,75.5,2,81.36,1,5.202,2,0.9392,2
10,3,2013,nan,0,78,1,nan,0,16.69,1,2.155,1
10,6,2013,0.004817,1,89.5,2,154.8,1,3.78,2,1.101,2
10,7,2013,0.003431,1,77,1,86,1,14.8,1,3.414,2
10,8,2013,0.001555,3,75,9,87.53,3,6.016,9,1.211,9
10,9,2013,0.005567,4,76,8,85.83,4,16.54,8,1.285,8
10,10,2013,0.005307,4,82,4,131.3,4,6.546,4,0.9518,4
10,11,2013,0.003567,2,75.5,4,88.07,2,7.412,4,0.6576,6
10,12,2013,0.004023,1,72,1,188.2,1,11.85,1,1.256,1
10,13,2013,0.03258,2,80,3,200.7,2,0.9095,3,0.4038,3
10,14,2013,0.002486,1,78.5,2,150.5,1,12.14,2,1.577,2
10,15,2013,0.001448,3,78,5,127.8,3,11.08,5,2.222,5
10,16,2013,0.004388,1,78,1,86.53,1,13.43,1,2.793,1
10,17,2013,0.01474,2,81,3,152.3,2,4.888,3,2.958,4
10,18,2013,0.00633,2,78,3,151.1,2,5.852,3,2.315,3
10,19,2013,0.008454,1,80.5,2,156.2,1,16.19,2,2.975,2
10,20,2013,nan,0,nan,0,nan,0,nan,0,0.39,1
10,21,2013,0.01241,1,81,1,109.7,1,10.9,1,3.471,1
10,23,2013,0.001267,1,79,2,111.9,1,14.41,2,3.64,2
4,3,2014,nan,0,80,2,nan,0,3.588,2,2.115,2
4,4,2014,0.0006448,2,90,2,107.9,2,12.26,2,3.793,2
4,5,2014,0.003821,6,75,6,86.02,6,26.5,6,0.607,6
4,6,2014,0.001568,4,75.5,8,87.42,4,18.14,8,0.88,8
4,7,2014,0.005333,7,77,13,86.68,7,4.709,13,1.112,13
4,8,2014,0.001571,8,80,17,83.46,8,16,17,1.144,17
4,9,2014,0.01783,4,80,15,106.1,4,5.796,15,0.6595,15
4,10,2014,0.001278,9,78,13,85.75,9,5.673,13,0.9693,13
4,11,2014,0.003934,4,76,6,92.22,4,26.25,6,0.8464,6
4,12,2014,0.001319,6,73,7,86.53,6,29.8,7,1.287,7
4,13,2014,0.00277,8,77,15,95.88,8,5.912,15,1.144,15
4,14,2014,0.003986,8,79,9,86.53,8,14.96,9,1.188,9
4,15,2014,0.002183,5,82,8,130.3,5,3.453,8,1.068,8
4,16,2014,0.003569,3,92.5,4,115.2,3,13.98,4,2.397,4
4,17,2014,0.002146,1,77.5,2,107.4,1,12.69,2,3.035,5
4,18,2014,nan,0,85.5,2,nan,0,13.28,2,0.6739,2
4,19,2014,0.0007796,3,83.5,8,102.2,3,5.704,8,2.256,8
4,20,2014,0.0003243,3,79,6,87.15,3,13.95,6,3.531,6
4,21,2014,0.01778,1,77,1,84.14,1,20.2,1,3.832,1
4,22,2014,0.001918,2,84,2,332.9,2,1.155,2,1.178,4
4,23,2014,0.001761,2,92,2,299.8,2,1.236,2,1.479,2
4,0,2013,0.00379,2,91,3,120.1,2,10.27,3,1.533,4
4,1,2013,nan,0,80,1,nan,0,5.172,1,0.8277,1
4,2,2013,0.0005103,2,76,3,93.17,2,10.17,3,1.603,3
4,4,2013,0.008716,2,78,3,126.3,2,15.33,3,1.566,3
4,5,2013,0.001,1,85,4,234.3,1,17.8,4,3.227,4
4,6,2013,0.001645,3,79,7,83.17,3,9.111,7,1.086,7
4,7,2013,0.005278,5,75.5,8,102.6,5,12.66,8,1.115,8
4,8,2013,0.002223,2,80.5,10,84.48,2,13.57,10,1.562,10
4,9,2013,0.004992,6,80,8,136.6,6,5.74,8,0.6054,8
4,10,2013,0.01738,3,77,5,118.2,3,10.67,5,0.5983,5
4,11,2013,0.001201,4,75,6,92.54,4,11.33,6,1.34,6
4,12,2013,0.04211,1,89,5,420.2,1,5.904,5,0.562,5
4,13,2013,0.000888,1,79,4,86.38,1,10.06,4,1.052,5
4,14,2013,0.002424,4,75,5,102.4,4,6.784,5,0.963,6
4,15,2013,0.001674,1,75,1,88.76,1,30.77,1,1.234,1
4,17,2013,0.003447,6,79.5,6,92.22,6,5.856,6,1.25,7
4,18,2013,0.004493,4,79,7,97.49,4,5.481,7,1.48,7
4,19,2013,0.01651,1,82,1,94.77,1,3.599,1,1.445,1
4,20,2013,0.009254,2,80,2,115.1,2,10.75,2,1.355,3
4,21,2013,nan,0,93,1,nan,0,4.943,1,1.045,1
4,22,2013,0.0006936,1,84,2,82.03,1,7.343,2,1.18,2
4,0,2012,nan,0,77,1,nan,0,5.888,1,1.324,1
4,9,2012,nan,0,80,1,nan,0,15.61,1,1.443,1
4,6,2012,0.00455,1,79,1,89.62,1,11.57,1,1.204,1
4,1,2012,nan,0,85,1,nan,0,5.187,1,0.6384,1
12,2,2012,nan,0,78,1,nan,0,16.3,1,1.006,1
12,6,2012,0.0002811,1,79.5,2,86.38,1,6.657,2,0.902,2
12,7,2012,0.07074,1,79,3,104,1,5.763,3,0.6458,3
12,8,2012,0.02312,2,80,5,127.6,2,3.643,5,1.051,5
12,10,2012,nan,0,78,2,nan,0,5.632,2,0.9091,2
12,11,2012,0.004447,1,79.5,2,80.95,1,30.51,2,5.206,2
12,12,2012,0.009546,3,80,5,123.7,3,24.3,5,1.227,5
12,13,2012,0.02663,2,79,3,109.8,2,5.53,3,1.228,3
12,14,2012,nan,0,83,2,nan,0,10.55,2,0.5854,4
12,15,2012,nan,0,82.5,2,nan,0,6.321,2,1.45,1
12,16,2012,0.00301,1,76,1,115.1,1,8.938,1,3.689,1
12,17,2012,nan,0,121,2,nan,0,4.406,2,1.337,2
12,18,2012,0.04605,1,74,1,99.24,1,4.732,1,0.96,1
12,19,2012,0.002241,1,75,1,81.84,1,69.15,1,1.323,1
12,20,2012,nan,0,80,1,nan,0,16.63,1,1.327,1
12,23,2012,0.004514,2,89.5,2,147.3,2,5.892,2,1.508,2
12,0,2013,nan,0,76,1,nan,0,5.538,1,2.375,2
12,1,2013,nan,0,84,1,nan,0,16.27,1,1.597,1
12,2,2013,nan,0,78,1,nan,0,40.33,1,19.55,1
12,3,2013,nan,0,74,1,nan,0,5.75,1,0.5985,1
12,5,2013,0.0003186,1,77,1,83.93,1,10.64,1,5.023,1
12,6,2013,0.01191,1,76,7,112.9,1,5.952,7,0.7219,7
12,7,2013,0.00321,4,74,9,83.91,4,5.908,9,1.291,9
12,8,2013,0.002781,6,75.5,10,94.1,6,7.915,10,0.9353,10
12,9,2013,0.002289,4,75,7,85.5,4,5.819,7,0.6206,7
12,10,2013,0.001293,5,75,8,83.5,5,10.42,8,0.7498,11
12,11,2013,0.005361,4,74,9,95.38,4,5.512,9,0.7458,9
12,12,2013,0.002604,10,76,19,143.4,10,5.655,19,0.6344,20
12,13,2013,0.001133,4,76,9,84.95,4,8.052,9,2.199,9
12,14,2013,0.01027,1,79.5,4,87.29,1,13.82,4,0.9155,4
12,15,2013,nan,0,83,1,nan,0,7.822,1,3.248,2
12,16,2013,nan,0,831,1,nan,0,0.2721,1,0.127,1
