month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.001562,128,43,128,79.56,128,7.984,128,4.425,240
11,1,2013,0.002237,88,24,88,63.93,88,9.164,88,4.464,195
11,2,2013,0.002943,47,24,47,47.92,47,11.55,47,4.465,115
11,3,2013,0.000979,52,24,52,46.85,52,15.29,52,4.464,132
11,4,2013,0.001295,23,27,23,63.44,23,5.001,23,4.149,93
11,5,2013,0.002223,46,41,46,71.32,46,14.97,46,4.428,109
11,6,2013,0.004315,43,31,43,75.12,43,13.14,43,4.424,131
11,7,2013,0.003135,52,31,52,69.4,52,14.61,52,4.428,168
11,8,2013,0.002299,76,26.5,76,60.2,76,10.29,76,4.465,190
11,9,2013,0.002654,104,28,104,61.52,104,13.08,104,4.466,234
11,10,2013,0.001045,122,45.5,122,75.73,122,9.771,122,4.386,247
11,11,2013,0.001532,144,52,144,81.79,144,11.67,144,4.386,258
11,12,2013,0.001086,147,51,147,83.16,147,7.682,147,4.348,244
11,13,2013,0.001407,134,53.5,134,78.6,134,5.964,134,4.423,244
11,14,2013,0.002297,189,58,189,81.73,189,5.004,189,4.384,323
11,15,2013,0.002565,189,60,189,83.59,189,4.434,189,4.306,275
11,16,2013,0.002184,246,65,246,92.79,246,4.122,246,4.267,320
11,17,2013,0.002333,341,65,341,89.89,341,3.2,341,4.227,388
11,18,2013,0.004849,374,66,374,88.98,374,2.05,374,4.305,413
11,19,2013,0.007963,461,66,461,88.44,461,1.455,461,4.338,512
11,20,2013,0.008587,428,68,428,91.79,428,1.339,428,4.303,473
11,21,2013,0.009037,420,66.5,420,91.32,420,1.244,420,4.265,468
11,22,2013,0.006056,329,66,329,88.1,329,1.701,329,4.268,357
11,23,2013,0.002663,260,62,260,85.32,260,3.105,260,4.344,339
11,0,2012,0.001763,241,28,241,63.03,241,11.11,241,3.169,415
11,1,2012,0.001802,139,27,139,60.85,139,13.33,139,3.212,286
11,2,2012,0.00217,98,27,98,60.37,98,10.78,98,3.211,204
11,3,2012,0.001894,64,27.5,64,64.93,64,12.05,64,3.25,167
11,4,2012,0.00166,68,28,68,62.96,68,12.88,68,3.25,151
11,5,2012,0.003433,56,30.5,56,66.64,56,8.633,56,3.031,134
11,6,2012,0.002872,68,30.5,68,70.36,68,11.04,68,2.871,161
11,7,2012,0.001767,102,42,102,71.81,102,15.05,102,2.889,238
11,8,2012,0.001336,164,43,165,68.64,165,11.87,165,3.246,332
11,9,2012,0.0012,180,38,180,69.08,180,13.03,180,3.181,362
11,10,2012,0.001031,246,35.5,246,65.2,246,12.1,246,3.214,413
11,11,2012,0.0009299,259,32,259,63.28,259,12.25,259,3.212,437
11,12,2012,0.0009475,259,33,259,66.17,259,10.36,259,3.211,449
11,13,2012,0.0009394,258,30.5,258,58.5,258,10.87,258,3.214,417
11,14,2012,0.001285,292,33,292,60.74,292,9.736,292,3.176,477
11,15,2012,0.001259,298,29,298,62.74,298,8.935,298,3.254,468
11,16,2012,0.001482,380,34,380,62.14,380,7.811,380,3.165,577
11,17,2012,0.001612,433,36,433,62.15,433,6.723,433,3.213,666
11,18,2012,0.002515,463,37,463,63.3,463,4.998,463,3.213,681
11,19,2012,0.00339,512,37,512,61.51,512,3.969,512,3.057,747
11,20,2012,0.003425,505,39,505,64.9,505,3.706,505,3.123,707
11,21,2012,0.00352,484,36,484,60.68,484,3.896,484,3.214,702
11,22,2012,0.002214,432,34,432,60.47,432,6.105,432,3.17,639
11,23,2012,0.001727,339,30,339,60.76,339,8.811,339,3.129,521
10,0,2012,0.002455,167,28,167,73.81,167,10.61,167,3.206,374
10,1,2012,0.002408,136,27,136,72.03,136,11.97,136,3.215,329
10,2,2012,0.00286,91,28,91,66.29,91,13.28,91,3.206,209
10,3,2012,0.002893,89,28,89,63.52,89,9.931,89,3.225,222
10,4,2012,0.002546,67,28,67,72.05,67,7.795,67,3.093,157
10,5,2012,0.001903,73,26,73,64.86,73,10.34,73,2.924,175
10,6,2012,0.003668,56,37,56,77.95,56,11.94,56,2.808,163
10,7,2012,0.001927,101,41,101,84.76,101,13.85,101,3.25,242
10,8,2012,0.002378,112,29,113,73.6,113,13.31,113,2.869,299
10,9,2012,0.002277,124,40,126,74.13,126,11.21,126,3.051,345
10,10,2012,0.001814,169,36,169,71.61,169,14.63,169,3.204,384
10,11,2012,0.002279,179,36,179,71.14,179,12.84,179,3.213,418
10,12,2012,0.002115,198,29,198,76.34,198,14.93,198,3.21,468
10,13,2012,0.00241,199,31,200,71.6,200,9.774,200,3.091,474
10,14,2012,0.001549,201,28,200,65.36,200,13.11,201,3.207,459
10,15,2012,0.00173,201,28,201,62.64,201,13.83,201,3.252,493
10,16,2012,0.002455,242,29,242,63.44,242,10.67,242,3.246,518
10,17,2012,0.002072,268,30,269,69.3,269,12.38,269,3.251,576
10,18,2012,0.001325,304,27,304,63.86,304,12.92,304,3.248,606
10,19,2012,0.001369,308,36,308,70.06,308,10.96,308,3.205,654
10,20,2012,0.001754,345,29,345,68.02,345,10.6,345,3.211,707
10,21,2012,0.001041,351,31,351,65.53,351,11.85,351,3.214,785
10,22,2012,0.001501,318,29,318,62.88,318,12.15,318,3.208,672
10,23,2012,0.002389,264,27,264,64.04,264,10.96,264,3.213,577
10,0,2013,0.001957,161,31.5,156,72.31,156,9.214,156,4.467,369
10,1,2013,0.003398,105,25,105,57.34,105,11.38,105,4.464,258
10,2,2013,0.002092,93,25.5,88,58.15,88,12.35,88,4.511,200
10,3,2013,0.002661,60,23.5,60,85.33,60,9.69,60,4.429,139
10,4,2013,0.002456,51,25.5,48,76.31,48,6.885,48,4.445,132
10,5,2013,0.00107,59,44,57,74.11,57,16.07,57,4.426,147
10,6,2013,0.001546,92,36,92,75.9,92,12.66,92,4.425,207
10,7,2013,0.002331,79,37,79,71.25,79,10.09,79,4.4,208
10,8,2013,0.001692,112,30,103,61.44,103,14.72,103,4.423,264
10,9,2013,0.001862,147,40,145,77.79,145,14.44,145,4.468,373
10,10,2013,0.001498,151,45,143,76.37,143,14.51,143,4.424,404
10,11,2013,0.001551,182,46,176,76.27,176,12.58,176,4.424,372
10,12,2013,0.001678,165,45.5,160,75.76,160,11.01,160,4.468,403
10,13,2013,0.002706,166,50,154,77.36,154,6.366,154,4.39,347
10,14,2013,0.002526,218,50,203,86.37,203,6.928,203,4.29,420
10,15,2013,0.002874,270,56,266,84.59,266,5.413,267,4.35,471
10,16,2013,0.002799,298,62,292,86.72,292,3.421,292,4.327,444
10,17,2013,0.003322,333,63,327,94.07,327,2.865,327,4.389,494
10,18,2013,0.005483,434,66,428,99.21,428,1.914,428,4.191,534
10,19,2013,0.007445,564,68,552,99.31,552,1.508,552,4.131,666
10,20,2013,0.01002,601,67,577,93.62,577,1.248,577,3.951,671
10,21,2013,0.0118,584,66,580,94.88,580,1.084,580,3.991,674
10,22,2013,0.008586,418,65,413,89.37,413,1.41,413,4.187,518
10,23,2013,0.003373,308,61,306,85.34,306,3.17,306,4.303,441
4,0,2014,0.002034,121,26,121,57.09,121,11.17,121,4.468,292
4,1,2014,0.001666,77,26,77,54.65,77,10.45,77,4.502,191
4,2,2014,0.001661,81,26,81,62.92,81,11.2,81,4.469,167
4,3,2014,0.00168,53,28,53,59.32,53,12.77,53,4.509,117
4,4,2014,0.001225,52,43,52,74.36,52,10.13,52,4.466,127
4,5,2014,0.0009681,63,46,63,82.37,63,12.97,63,4.468,161
4,6,2014,0.004161,84,49.5,84,89.02,84,10.89,84,4.426,199
