month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.004812,299,47,327,66.91,299,2.556,327,0.8957,354
11,1,2013,0.001269,106,35,192,69.67,106,10.71,192,0.8984,219
11,2,2013,0.0009517,64,14,155,47.24,64,15.29,155,0.9068,159
11,3,2013,0.002538,52,15,151,70.95,52,15.17,151,0.9063,161
11,4,2013,0.001345,37,15,96,63.16,37,15.22,96,0.9028,104
11,5,2013,0.001357,53,15,120,67.05,53,15.2,120,1.387,130
11,6,2013,0.002196,93,15,200,48.23,93,15.41,200,0.9037,210
11,7,2013,0.00147,119,14,266,48.25,119,15.37,266,0.8965,284
11,8,2013,0.001045,139,16,307,57.86,139,15.41,307,0.9076,318
11,9,2013,0.001206,206,35,323,68.13,206,10.13,323,0.914,341
11,10,2013,0.002044,296,42,387,70.84,296,5.571,387,0.8993,417
11,11,2013,0.003124,324,44,411,67.4,324,4.12,411,0.8988,436
11,12,2013,0.003267,366,45,438,69.27,366,3.528,438,0.9001,468
11,13,2013,0.004071,366,46,437,68.87,366,2.981,437,0.9014,471
11,14,2013,0.0045,388,47,434,68.36,388,2.582,434,0.8928,458
11,15,2013,0.0056,430,48,445,68.43,430,2.278,445,0.9107,477
11,16,2013,0.005758,501,48,509,67.57,501,2.163,509,0.8935,532
11,17,2013,0.007609,536,48,541,68.12,536,1.82,541,0.8931,597
11,18,2013,0.01255,588,50,590,69.12,588,1.293,590,0.8975,635
11,19,2013,0.02,637,51,639,71.39,637,0.9859,639,0.8877,691
11,20,2013,0.02773,613,52,615,72.74,613,0.8327,615,0.8947,699
11,21,2013,0.028,660,53,660,73.99,660,0.7896,660,0.8919,718
11,22,2013,0.02444,598,51,599,71.26,598,0.8736,599,0.8956,644
11,23,2013,0.01571,433,51,434,69.81,433,1.174,434,0.8927,474
11,0,2012,0.001817,212,14,473,61.48,212,13.13,473,0.8145,513
11,1,2012,0.002001,157,15,338,70.57,157,12.86,338,0.8149,359
11,2,2012,0.002773,104,14,266,61.47,104,14.51,266,0.8167,273
11,3,2012,0.001551,78,13,194,80.29,78,16.44,194,0.8195,206
11,4,2012,0.001975,66,13,139,52.79,66,15.83,139,0.8181,154
11,5,2012,0.00208,66,15,141,70.49,66,14.35,141,0.8215,148
11,6,2012,0.002478,51,13,164,53.67,51,16.25,164,0.815,188
11,7,2012,0.002438,109,12,306,55.44,109,16.96,306,0.8154,318
11,8,2012,0.003665,141,12,374,57.63,141,16.97,374,0.8199,389
11,9,2012,0.002329,157,12,436,63.87,157,16.94,436,0.8192,456
11,10,2012,0.002184,175,13,505,54.75,175,16.82,506,0.8199,537
11,11,2012,0.002251,208,12.5,550,64.73,208,16.37,550,0.8184,579
11,12,2012,0.00186,217,13,594,68.02,217,15.76,594,0.819,630
11,13,2012,0.001738,249,13,666,54.57,253,16.03,666,0.8173,707
11,14,2012,0.001368,255,13,653,64.22,258,15.15,653,0.8176,694
11,15,2012,0.00188,226,13,547,51.65,226,14.63,547,0.8187,588
11,16,2012,0.001888,256,14,541,56.61,256,13.34,541,0.8197,572
11,17,2012,0.001782,335,13,657,56.44,335,13.13,657,0.8191,717
11,18,2012,0.001342,300,15,691,53.85,300,13.12,691,0.817,726
11,19,2012,0.002302,367,15,710,53.6,367,11.98,710,0.8144,752
11,20,2012,0.001437,383,14,792,54.82,383,11.9,792,0.817,834
11,21,2012,0.001757,373,14,792,56.21,373,11.99,792,0.8172,834
11,22,2012,0.00161,347,15,768,70.85,348,11.39,768,0.8123,837
11,23,2012,0.002021,274,15,612,55.74,274,12.05,612,0.8172,635
10,0,2012,0.001547,222,14,514,51.85,222,14.14,514,0.8232,540
10,1,2012,0.001991,154,14,375,54.73,154,16.48,375,0.8237,405
10,2,2012,0.001882,136,13,347,53.96,136,15.63,347,0.8203,376
10,3,2012,0.00194,108,13.5,220,64.1,108,14.61,220,0.8175,241
10,4,2012,0.001356,65,13,157,42.34,66,16.78,157,0.8212,172
10,5,2012,0.002156,78,13,166,54.24,78,15.77,166,0.8145,183
10,6,2012,0.002703,76,13,161,45.01,76,16.42,161,0.8196,178
10,7,2012,0.001598,92,13,202,62.14,92,16.71,202,0.8202,224
10,8,2012,0.001827,121,13,298,49.7,121,13.36,298,0.8189,333
10,9,2012,0.002013,167,13,366,54.7,169,15.1,366,0.82,387
10,10,2012,0.001864,168,13,399,53.27,169,15.26,399,0.8173,426
10,11,2012,0.001365,222,13,488,51.62,222,13.27,488,0.8151,526
10,12,2012,0.001486,215,13,505,48.63,216,13.68,505,0.8139,543
10,13,2012,0.001662,232,13,545,58.38,233,14.34,545,0.8192,583
10,14,2012,0.00164,246,13,577,52.67,246,14.53,577,0.8166,615
10,15,2012,0.001916,243,13,572,53.36,243,13.7,572,0.8184,611
10,16,2012,0.001961,267,14,616,54.41,267,13.38,616,0.8194,665
10,17,2012,0.001284,275,13,617,56.31,277,13.78,617,0.8169,670
10,18,2012,0.001821,316,15,719,57.67,316,12.93,719,0.8166,765
10,19,2012,0.001981,373,13,800,58.81,373,12.34,800,0.8158,844
10,20,2012,0.001655,373,13,890,55.55,373,12.32,890,0.8159,946
10,21,2012,0.001582,379,14,849,63.06,380,11.8,849,0.8177,906
10,22,2012,0.002173,338,13,797,61.44,338,11.43,797,0.8136,843
10,23,2012,0.001632,302,14,690,57.51,302,14.01,690,0.8168,743
10,0,2013,0.004592,331,47,357,66.69,331,2.617,357,0.8996,371
10,1,2013,0.00202,172,32,279,67.39,173,9.71,279,0.8966,295
10,2,2013,0.00169,69,16,189,52.78,69,14.56,189,0.9053,199
10,3,2013,0.003668,49,15,154,57.74,49,15.18,154,0.9051,160
10,4,2013,0.002868,52,15,107,49.47,51,15.2,108,0.8959,115
10,5,2013,0.002017,58,15,133,50.03,58,14.93,133,0.8934,136
10,6,2013,0.001348,100,13,192,49.94,100,15.24,192,0.9078,201
10,7,2013,0.001643,100,15,223,63.81,100,14.39,223,0.9041,230
10,8,2013,0.00119,145,15,338,63.82,145,14.16,338,0.8993,355
10,9,2013,0.001045,180,17,387,64.84,181,14.6,387,0.9732,413
10,10,2013,0.002001,234,18,398,67.71,234,11.48,398,0.8979,430
10,11,2013,0.002535,247,29,363,67.52,247,6.674,363,0.899,381
10,12,2013,0.003544,251,40,371,67.08,251,6.352,371,0.9054,394
10,13,2013,0.004318,308,44,391,70,308,4.367,391,0.8981,413
10,14,2013,0.004001,357,46,426,70.06,357,3.927,426,0.8944,455
10,15,2013,0.004742,478,48,497,70.4,478,2.646,497,0.8879,530
10,16,2013,0.006158,557,48,568,66.93,557,2.161,568,0.8971,610
10,17,2013,0.006785,574,48,586,67.67,574,1.901,586,0.8928,618
10,18,2013,0.009685,585,48,596,66.38,585,1.618,596,0.8963,635
10,19,2013,0.0165,658,50,661,68.49,658,1.148,661,0.8913,709
10,20,2013,0.02336,727,51,727,71.24,727,0.9035,727,0.8896,781
10,21,2013,0.02774,827,51,828,71.56,826,0.8279,829,0.8881,900
10,22,2013,0.02339,708,51,708,70.9,708,0.9177,708,0.8983,745
10,23,2013,0.01478,555,50,555,68.75,555,1.258,555,0.8987,586
4,0,2014,0.001553,234,16,437,51.12,234,14.22,437,0.9056,474
4,1,2014,0.001706,121,15,269,59.32,121,15.31,269,1.1,287
4,2,2014,0.0026,104,16,227,60.66,104,14.22,227,0.9088,245
4,3,2014,0.002641,71,16,158,74.09,71,14.6,158,0.8994,167
4,4,2014,0.001256,72,16,148,56.59,72,14.93,148,0.901,160
4,5,2014,0.001067,95,16,189,55.9,95,15.25,189,0.9099,196
4,6,2014,0.001767,96,16,238,55.05,96,14.9,238,0.8999,261
4,7,2014,0.001336,145,16,297,61.69,145,15.22,297,1.114,324
4,8,2014,0.00117,148,16,331,53.63,148,14.94,331,0.9058,349
4,9,2014,0.001948,185,16,351,66.32,186,14.62,351,0.928,386
4,10,2014,0.001287,163,16,364,63.72,163,14.16,364,0.9038,378
4,11,2014,0.001942,190,16,426,52.08,190,15.26,426,0.9077,454
4,12,2014,0.00165,202,17,408,83.12,202,13.26,408,0.91,431
4,13,2014,0.001871,212,16,463,75.46,212,13.14,463,0.9125,494
4,14,2014,0.001296,234,16,476,58.49,234,13.86,476,0.9115,500
4,15,2014,0.002051,229,16,438,55.7,229,12.86,438,0.8958,484
4,16,2014,0.001917,270,16,468,56.42,270,12.53,468,0.9047,513
4,17,2014,0.001702,279,16,603,51.61,279,13.25,603,0.9058,667
4,18,2014,0.001776,314,16,648,52.06,314,14.62,648,0.9167,689
4,19,2014,0.001702,349,16,737,56.66,349,13.54,737,0.909,797
4,20,2014,0.001308,428,16,837,55.78,428,13.7,837,0.9153,902
4,21,2014,0.001675,446,16,838,52.39,446,13.1,838,0.9033,911
4,22,2014,0.001784,339,16,684,55.65,339,12.68,684,0.9015,755
4,23,2014,0.001312,303,16,569,57.32,304,13.75,569,0.9063,611
4,0,2013,0.001451,204,19,397,71.8,204,14.01,397,0.8242,415
4,1,2013,0.001566,129,15,312,63.69,129,14.49,312,0.8264,339
4,2,2013,0.001372,77,15,199,60.66,77,14.76,199,0.8194,211
4,3,2013,0.002119,59,15,169,55.92,59,16.4,169,0.8271,177
4,4,2013,0.0007141,60,16,144,51.91,60,14.5,144,0.8228,158
4,5,2013,0.001489,51,16,119,65.39,51,14.52,119,0.8296,132
4,6,2013,0.001799,57,15,155,73.21,56,14.53,156,0.8295,166
