month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.004865,98,42,136,82.36,98,4.049,136,4.636,153
11,1,2013,0.003528,61,27,116,102,61,15.08,116,4.154,135
11,2,2013,0.00304,39,27,91,131.9,39,13.44,91,3.074,106
11,3,2013,0.003194,43,24.5,80,100.8,43,21.63,80,10.2,93
11,4,2013,0.007187,36,39.5,62,107,36,13.25,62,4.329,66
11,5,2013,0.005789,40,41,63,116.7,40,16.51,63,9.648,73
11,6,2013,0.003297,70,35.5,126,122.6,70,13.64,126,4.009,137
11,7,2013,0.003848,77,38,143,134,77,8.303,143,3.298,155
11,8,2013,0.002266,92,33,186,109.3,92,8.399,186,1.764,212
11,9,2013,0.001666,110,31,193,108.9,110,8.924,193,4.25,219
11,10,2013,0.002352,96,37.5,176,121,96,10.77,176,3.982,197
11,11,2013,0.002717,137,43,202,107.9,137,6.381,202,3.874,236
11,12,2013,0.003161,134,44,197,101.3,134,5.783,197,3.875,229
11,13,2013,0.004397,128,48,175,90.78,128,3.241,175,2.687,203
11,14,2013,0.003852,148,44.5,196,89.72,148,3.393,196,3.703,221
11,15,2013,0.005021,179,48.5,210,90.57,179,2.778,210,3.491,242
11,16,2013,0.008482,213,54,221,83.98,213,1.915,221,3.399,260
11,17,2013,0.01471,225,56.5,238,80.11,225,1.253,238,3.537,283
11,18,2013,0.01828,319,57,325,85.82,319,0.9404,325,3.236,375
11,19,2013,0.02706,302,60,315,85.18,302,0.7723,315,3.625,357
11,20,2013,0.02997,318,59,333,87.57,318,0.7291,333,4.028,370
11,21,2013,0.02927,290,60,301,86.36,290,0.6871,301,3.153,336
11,22,2013,0.02177,206,58,212,75.7,207,0.9407,212,3.072,259
11,23,2013,0.008395,183,52,197,80.22,183,1.884,197,4.339,214
11,0,2012,0.004978,140,32.5,260,111,140,12.98,260,3.812,289
11,1,2012,0.004113,110,35.5,220,105,110,12.78,220,3.85,248
11,2,2012,0.007975,64,40,161,139.9,64,13.98,161,3.37,189
11,3,2012,0.008668,66,47,125,140.1,66,17.38,125,4.534,132
11,4,2012,0.005748,50,40,105,109.7,50,14.47,105,3.609,121
11,5,2012,0.005949,59,53,116,127.5,59,15.12,116,3.859,127
11,6,2012,0.007631,67,73,125,131.4,68,10.77,125,2.553,138
11,7,2012,0.005448,86,44,159,139.4,86,12.53,159,2.348,190
11,8,2012,0.00267,87,35,152,94.7,87,15.12,152,3.57,167
11,9,2012,0.002545,113,27,211,90.94,113,12.63,211,3.954,228
11,10,2012,0.002875,151,28.5,266,92.07,151,13.31,266,3.725,303
11,11,2012,0.002961,153,36,259,101.4,153,10.76,259,3.604,294
11,12,2012,0.002365,172,35,284,96.79,172,11.05,284,3.656,317
11,13,2012,0.002488,185,33.5,276,102.3,185,11.68,276,3.619,318
11,14,2012,0.002366,169,34,268,80.9,169,10.4,268,3.697,295
11,15,2012,0.003078,188,31,299,74.09,188,6.406,299,2.952,337
