month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.002107,29,43,52,110.6,29,2.592,52,0.5883,63
11,2,2013,0.004149,43,39,67,68.48,43,6.076,67,0.956,89
11,3,2013,0.001836,40,44,70,100,40,5.707,70,1.164,80
11,4,2013,0.003727,40,51,76,91.04,40,4.313,76,0.8173,88
11,5,2013,0.007444,36,57.5,68,120.7,36,4.191,68,0.7168,81
11,6,2013,0.005496,51,34,78,80.64,51,5.505,78,1.051,86
11,7,2013,0.004993,39,33,58,69.65,39,4.551,58,0.7587,71
11,8,2013,0.002187,29,38,46,64.38,29,10.22,46,1.191,55
11,9,2013,0.003506,41,32,65,86.76,41,5.753,65,0.9297,85
11,10,2013,0.002264,54,37,79,88.15,54,5.033,79,0.5966,99
11,11,2013,0.002669,43,32,63,75.4,43,5.812,63,0.7949,71
11,12,2013,0.001858,40,37,82,82.5,40,7.121,82,1.112,97
11,13,2013,0.002976,43,32.5,68,62.94,43,4.234,68,0.8333,87
11,14,2013,0.003017,65,36,94,71.74,65,5.584,94,0.785,102
11,15,2013,0.003992,46,44.5,68,81.31,46,5.483,68,1.02,78
11,16,2013,0.002457,35,50,53,81.59,35,4.776,53,0.7749,62
11,17,2013,0.001987,40,36,57,88.15,40,5.731,57,0.915,68
11,18,2013,0.003255,50,50,69,86.81,50,6.29,69,1.059,82
11,19,2013,0.004193,36,36,63,66,36,4.261,63,1.027,78
11,20,2013,0.005863,30,49,43,85.32,30,5.457,43,0.756,58
11,21,2013,0.001876,29,48,48,66.43,29,5.583,48,0.8934,58
11,22,2013,0.002538,45,36,63,69.75,45,5.783,63,0.8689,73
11,23,2013,0.002032,52,34,61,72.23,52,6.433,61,0.7899,73
11,24,2013,0.004282,50,37,61,80.21,50,3.587,61,0.599,77
11,25,2013,0.003549,48,37,60,87.43,48,4.967,60,0.7863,79
11,26,2013,0.001093,43,33.5,64,89.67,43,8.048,64,1.177,68
11,27,2013,0.003464,30,35,48,88.99,30,6.434,48,1.154,59
11,28,2013,0.002075,39,46,59,72.47,39,6.162,59,0.8299,66
11,29,2013,0.002985,42,31,61,74.83,42,5.805,61,1.138,73
11,30,2013,0.001708,39,48,52,76.58,39,4.051,52,0.7701,57
11,1,2012,0.006057,30,56,35,85.1,31,2.402,35,0.5709,46
11,2,2012,0.006826,26,49,33,88.08,26,2.871,33,0.5412,37
11,3,2012,0.004638,26,35,29,57.66,26,5.471,29,0.6816,35
11,4,2012,0.004945,37,47,48,104.8,37,2.815,48,0.5417,58
11,5,2012,0.003084,31,50,49,78.45,31,2.83,49,0.5773,56
11,6,2012,0.003169,33,48.5,44,78.93,33,4.963,44,0.762,53
11,7,2012,0.003727,14,48,25,73.04,14,3.682,25,0.6203,32
11,8,2012,0.003522,24,40,30,74.21,24,7.533,30,0.8018,39
11,9,2012,0.002722,20,50,29,71.07,20,5.54,29,0.6052,33
11,10,2012,0.004921,25,32,41,65.21,25,8.055,41,1.098,44
11,11,2012,0.01072,22,46,43,112.9,22,4.754,43,0.5151,62
11,12,2012,0.003884,30,46,46,92.03,30,2.79,46,0.5304,52
11,13,2012,0.007585,27,63.5,28,99.17,27,2.476,28,0.4875,37
11,14,2012,0.01944,31,48,35,100.8,31,1.628,35,0.8959,41
11,15,2012,0.007106,27,46,31,75.89,27,4.021,31,0.6834,40
11,16,2012,0.005702,30,39,35,60.4,30,4.506,35,0.9429,42
11,17,2012,0.004597,46,35,68,93,46,4.846,68,0.6954,78
11,18,2012,0.005904,43,47,55,75.88,43,3.541,55,0.5227,61
11,19,2012,0.006025,47,50,65,98.99,47,4.183,65,0.5088,82
11,20,2012,0.002478,46,33.5,74,87.33,46,3.725,74,0.6643,76
11,21,2012,0.00572,52,46,70,98.96,52,2.881,70,0.5341,89
11,22,2012,0.005861,56,46,73,88.2,56,4.423,73,0.6867,90
11,23,2012,0.005413,57,47,87,68.59,57,3.378,87,0.7644,105
11,24,2012,0.003387,54,45,67,70.19,54,4.593,67,0.7684,88
11,25,2012,0.006895,50,52.5,72,86.76,50,3,72,0.7864,89
11,26,2012,0.004444,39,49,53,88.04,39,3,53,0.6342,61
11,27,2012,0.00338,28,41.5,52,84.96,28,2.788,52,0.4168,63
11,28,2012,0.006964,41,48,61,105.1,41,2.923,61,0.5257,75
11,29,2012,0.004702,39,47,54,77.19,39,5.566,54,0.8047,64
11,30,2012,0.006753,41,46,55,77.17,41,4.208,55,0.5265,68
10,1,2012,0.005867,111,50,138,83.06,110,4,139,0.5569,150
10,2,2012,0.006364,107,50,142,93.16,107,2.946,142,0.5343,154
10,3,2012,0.00635,116,52,160,87.28,116,4.367,160,0.6008,176
10,4,2012,0.006064,100,50,123,87.49,100,4.162,123,0.6329,130
10,5,2012,0.004639,119,52.5,184,84.78,119,3.713,184,0.5973,183
10,6,2012,0.007973,119,50,148,90.25,119,3.201,148,0.5442,160
10,7,2012,0.007305,105,51,136,100.5,105,3.505,136,0.5726,150
10,8,2012,0.00611,85,47,112,94.03,85,3.675,112,0.5671,124
10,9,2012,0.005291,47,55,61,92.97,47,2.563,61,0.7643,66
10,10,2012,0.006016,51,41,69,79.06,51,4.619,69,0.6003,78
10,11,2012,0.007113,28,38,67,66.63,28,3.596,67,0.7754,46
10,12,2012,0.005284,32,36.5,62,68.96,32,3.468,62,0.6256,73
10,13,2012,0.005483,29,46.5,32,83.92,29,3.591,32,0.7326,42
10,14,2012,0.00534,36,48,55,71,36,5.632,55,0.806,66
10,15,2012,0.00643,29,45,39,88.01,29,4.525,39,0.4944,46
10,16,2012,0.004011,29,29,40,57.11,29,5.623,40,0.8005,42
10,17,2012,0.005747,27,45,38,65,27,4.754,38,1.162,43
10,18,2012,0.05426,25,46.5,36,98.56,25,1.826,36,0.4118,47
10,19,2012,0.004634,21,41,29,73.57,21,4.741,29,0.658,33
10,20,2012,0.002502,23,48,57,86.41,23,5.467,57,0.7946,53
10,21,2012,0.004547,18,40,27,68.69,18,4.567,27,0.3996,40
10,22,2012,0.005515,34,34,43,90.24,34,4.314,43,0.5952,49
10,23,2012,0.004091,24,34.5,38,85.29,24,2.771,38,0.3987,45
10,24,2012,0.003954,22,41,25,64.54,22,5.054,25,0.5391,27
10,25,2012,0.01034,10,65,19,133.7,10,2.453,19,0.3723,24
10,26,2012,0.005186,26,43,42,85.91,26,3.386,42,0.445,46
10,27,2012,0.006031,30,37,41,72.74,30,3.438,41,0.7383,46
10,28,2012,0.006804,29,47.5,40,106.7,29,2.798,40,0.5903,41
10,29,2012,0.003795,38,35,47,78.98,38,4.712,47,0.6205,56
10,30,2012,0.009615,19,53,27,98.06,19,3.126,27,0.6211,29
10,31,2012,0.01476,31,52,45,80.72,31,2.476,45,0.4753,53
10,1,2013,0.004052,54,49,93,89.81,54,4.109,93,0.5374,115
10,2,2013,0.004831,37,41,53,66.42,37,5.702,53,1.022,63
10,3,2013,0.008651,28,48.5,46,104,28,3.937,46,0.449,61
10,4,2013,0.003521,36,55,65,81.45,36,2.82,65,0.621,74
10,5,2013,0.007413,38,50.5,74,92.97,38,2.446,74,0.588,91
10,6,2013,0.003302,46,58.5,74,104.8,46,4.643,74,0.7259,95
10,7,2013,0.003523,41,39,85,99.3,41,5.058,85,0.8875,99
10,8,2013,0.004899,40,44,76,94.44,40,5.008,76,0.8015,89
10,9,2013,0.003881,36,42,56,82.55,36,4.458,56,0.7985,65
10,10,2013,0.002434,105,32,142,96.68,105,4.675,142,1.757,156
10,11,2013,0.003062,36,33,62,64.29,36,6.737,62,1.174,80
10,12,2013,0.003402,71,40,124,91.99,71,4.949,124,0.7852,141
10,13,2013,0.005512,42,44,73,90.75,42,4.991,73,0.7652,82
10,14,2013,0.003809,46,48,77,73.34,46,4.718,77,1.083,88
10,15,2013,0.004324,39,46,68,96.7,39,6.256,68,0.6549,86
10,16,2013,0.004332,39,43,62,119.3,39,4.765,62,1.038,70
10,17,2013,0.00375,51,42,72,98.91,51,5.355,72,0.992,80
10,18,2013,0.004477,33,40,71,70.26,33,4.308,71,0.7892,87
10,19,2013,0.002408,33,33,58,79.62,33,5.678,58,0.9588,68
10,20,2013,0.002376,49,42,77,113.7,49,3.567,77,0.5547,90
10,21,2013,0.001538,45,41,65,89.47,45,3.974,65,0.7907,77
10,22,2013,0.001656,47,47,81,79.25,47,6.331,81,1.039,95
10,23,2013,0.00412,29,44,54,78.95,29,5.564,54,0.8204,69
10,24,2013,0.005149,29,58.5,52,119.5,29,3.164,52,0.8794,63
10,25,2013,0.003228,18,38,35,106.7,18,4.934,35,0.8412,49
10,26,2013,0.00243,28,36,45,64.35,28,7.277,45,1.222,49
10,27,2013,0.005171,36,45,58,83.19,36,4.591,58,0.785,64
10,28,2013,0.002358,18,49,31,82.7,18,6.376,31,0.7768,44
10,29,2013,0.002428,17,37,37,68.78,17,4.695,37,0.7602,48
10,30,2013,0.002437,22,33,39,89.83,22,4.738,39,0.9788,45
10,31,2013,0.003378,25,41,39,94.13,25,5.506,39,0.8678,42
4,1,2014,0.01636,43,45,55,87.38,43,2.464,55,0.5125,62
4,2,2014,0.002657,41,48.5,58,106.4,41,5.454,58,0.592,80
4,3,2014,0.004126,54,50,75,104.8,54,4.221,75,0.9319,81
4,4,2014,0.002382,33,46,55,86.83,33,6.626,55,1.401,64
4,5,2014,0.005407,48,47,65,91.68,48,4.955,65,1.318,75
4,6,2014,0.004098,27,49,57,76.1,27,3.844,57,0.7683,64
4,7,2014,0.004427,36,44,48,63.43,36,7.408,48,1.413,54
4,8,2014,0.004356,45,45,63,71.98,45,5.38,63,0.7825,68
4,9,2014,0.004234,52,48,75,96.68,52,5.192,75,0.5932,89
4,10,2014,0.007072,30,46.5,50,84.67,30,5.325,50,0.9034,61
4,11,2014,0.003189,39,46.5,56,92.69,39,4.553,56,0.8833,60
4,12,2014,0.004319,37,50,53,83.62,37,5.362,53,1.056,62
4,13,2014,0.005755,43,46,62,66.27,43,4.792,62,0.8902,71
4,14,2014,0.003639,34,53,49,91.15,34,7.189,49,0.6394,63
4,15,2014,0.007075,35,50,50,103.3,35,3.34,50,0.6936,64
4,16,2014,0.003025,27,48.5,48,70.73,27,4.926,48,0.7747,55
4,17,2014,0.005344,25,46,47,104.3,25,5.453,47,0.6856,56
4,18,2014,0.003577,38,44,52,76.16,38,8.62,52,1.296,60
4,19,2014,0.003453,23,49,38,87.57,23,5.064,38,0.6346,45
4,20,2014,0.004507,33,47,47,89.06,33,5.375,47,1.072,62
4,21,2014,0.005061,49,44.5,72,100.7,49,5.113,72,0.5678,88
4,22,2014,0.005906,50,45,72,74.44,50,6.416,72,1.45,77
4,23,2014,0.004496,40,44.5,92,82.83,40,6.102,92,0.6611,120
4,24,2014,0.003787,94,38,164,100.2,94,4.682,164,0.8925,180
4,25,2014,0.007846,94,46.5,136,100.7,94,5.197,136,0.5932,164
4,26,2014,0.005572,74,43,102,92.77,74,7.339,102,0.7211,120
4,27,2014,0.005861,70,48,104,99.96,70,3.892,104,0.9593,116
4,28,2014,0.004736,72,58,110,121.5,72,3.691,110,1.096,122
4,29,2014,0.004879,42,47,84,101.3,42,2.99,84,0.4249,124
4,30,2014,0.006761,64,57,104,132.2,64,4.772,104,0.5309,128
4,1,2013,0.006536,30,45,45,84.1,30,4.918,45,0.8191,47
4,2,2013,0.004861,20,34,28,78.64,20,5.425,28,0.5919,43
4,3,2013,0.004316,42,31,53,67.97,42,2.351,53,0.3623,71
4,4,2013,0.005312,20,47,33,109.4,20,3.825,33,0.5027,40
4,5,2013,0.005718,24,42.5,40,92.9,24,3.535,40,0.6225,52
4,6,2013,0.009159,30,30,43,63.7,30,2.996,43,0.5508,55
4,7,2013,0.004163,36,49.5,50,69.97,36,4.894,50,0.5309,61
4,8,2013,0.003443,30,38,44,123.2,30,2.824,44,0.7955,53
4,9,2013,0.006532,21,37,30,93.25,21,4.693,30,0.7972,34
4,10,2013,0.005009,19,40,31,93.38,19,2.931,31,0.5246,42
4,11,2013,0.002374,16,62,31,95.7,16,2.723,31,0.512,35
4,12,2013,0.003221,24,44,47,114.6,24,2.833,47,0.7522,48
4,13,2013,0.004862,24,35.5,30,73.62,24,5.778,30,0.7942,35
4,14,2013,0.003358,32,33,35,59.24,32,6.533,35,0.7956,41
4,15,2013,0.003422,16,39,29,69.47,16,4.774,29,1.096,34
4,16,2013,0.00154,15,37.5,26,92.18,15,3.026,26,0.524,27
