month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.002107,29,41,29,110.6,29,4.276,29,0.5883,63
11,2,2013,0.004149,43,35,43,68.48,43,7.259,43,0.956,89
11,3,2013,0.001836,40,48,40,100,40,4.765,40,1.164,80
11,4,2013,0.003727,40,41.5,40,91.04,40,4.058,40,0.8173,88
11,5,2013,0.007444,36,36,36,120.7,36,4.387,36,0.7168,81
11,6,2013,0.005496,51,30,51,80.64,51,5.516,51,1.051,86
11,7,2013,0.004993,39,30,39,69.65,39,4.913,39,0.7587,71
11,8,2013,0.002187,29,31,29,64.38,29,10.39,29,1.191,55
11,9,2013,0.003506,41,30,41,86.76,41,5.753,41,0.9297,85
11,10,2013,0.002264,54,37,54,88.15,54,5.467,54,0.5966,99
11,11,2013,0.002669,43,32,43,75.4,43,6.792,43,0.7949,71
11,12,2013,0.001858,40,35,40,82.5,40,9.431,40,1.112,97
11,13,2013,0.002976,43,30,43,62.94,43,4.228,43,0.8333,87
11,14,2013,0.003017,65,35,65,71.74,65,6.227,65,0.785,102
11,15,2013,0.003992,46,38,46,81.31,46,5.483,46,1.02,78
11,16,2013,0.002457,35,48,35,81.59,35,5.731,35,0.7749,62
11,17,2013,0.001987,40,30.5,40,88.15,40,6.687,40,0.915,68
11,18,2013,0.003255,50,50.5,50,86.81,50,5.518,50,1.059,82
11,19,2013,0.004193,36,33,36,66,36,4.678,36,1.027,78
11,20,2013,0.005863,30,33.5,30,85.32,30,5.618,30,0.756,58
11,21,2013,0.001876,29,34,29,66.43,29,7.237,29,0.8934,58
11,22,2013,0.002538,45,34,45,69.75,45,6.566,45,0.8689,73
11,23,2013,0.002032,52,34,52,72.23,52,6.467,52,0.7899,73
11,24,2013,0.004282,50,33.5,50,80.21,50,4.481,50,0.599,77
11,25,2013,0.003549,48,35,48,87.43,48,4.881,48,0.7863,79
11,26,2013,0.001093,43,32,43,89.67,43,8.947,43,1.177,68
11,27,2013,0.003464,30,33.5,30,88.99,30,8.236,30,1.154,59
11,28,2013,0.002075,39,31,39,72.47,39,6.934,39,0.8299,66
11,29,2013,0.002985,42,30.5,42,74.83,42,5.437,42,1.138,73
11,30,2013,0.001708,39,38,39,76.58,39,4.891,39,0.7701,57
11,1,2012,0.006057,30,56,31,85.1,31,2.268,31,0.5709,46
11,2,2012,0.006826,26,49,26,88.08,26,2.657,26,0.5412,37
11,3,2012,0.004638,26,33.5,26,57.66,26,8.016,26,0.6816,35
