month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.0008826,146,13,255,42.14,146,16.87,255,4.147,279
11,1,2013,0.001041,104,12,221,41.85,104,17.61,221,4.108,241
11,2,2013,0.001013,52,12,108,44.97,52,16.99,108,3.988,112
11,3,2013,0.001381,28,12,58,38.39,28,14.49,58,3.951,60
11,4,2013,0.0004526,30,12,51,42.55,30,17.62,51,4.088,54
11,5,2013,0.001667,38,12,66,43.86,38,14.57,66,4.261,69
11,6,2013,0.0009491,52,12,90,44.7,52,17.66,90,4.307,92
11,7,2013,0.0009093,108,13,175,43.35,108,17.26,175,4.21,192
11,8,2013,0.001137,162,13,251,43.33,162,17.38,251,4.281,261
11,9,2013,0.001153,163,13,289,40.8,163,17.66,289,4.11,295
11,10,2013,0.0009066,152,12,259,40.9,152,17.62,259,4.17,273
11,11,2013,0.00108,148,12,250,42.43,148,17.46,250,4.027,276
11,12,2013,0.0007281,142,13,243,42.59,142,17.48,243,4.033,268
11,13,2013,0.0007562,144,13,245,48.53,144,16.34,245,4.029,267
11,14,2013,0.0009682,163,13,282,46.13,163,17.01,282,4.103,302
11,15,2013,0.001141,174,12,300,52.63,174,17.07,300,4.062,319
11,16,2013,0.0009663,193,13,323,47.02,193,17.42,323,4.057,343
11,17,2013,0.0007799,177,13,297,47.35,177,17.26,297,4.031,325
11,18,2013,0.0008801,225,13,375,43.78,225,17.25,375,4.105,399
11,19,2013,0.0009867,270,13,439,45.51,270,16.34,439,4.068,468
11,20,2013,0.001045,252,13,415,50.16,252,17.51,415,4.221,442
11,21,2013,0.0009957,271,13,452,49.21,271,16.46,452,4.071,486
11,22,2013,0.001175,331,13,502,55.3,331,15.31,502,4.029,527
11,23,2013,0.0009061,239,13,406,47.88,239,17.05,406,4.205,436
11,0,2012,0.001402,169,12,291,40.03,169,16.67,291,1.686,309
11,1,2012,0.001202,112,12,201,40.26,112,16.68,201,1.688,214
11,2,2012,0.001088,64,12,123,32.76,64,16.63,123,1.688,124
11,3,2012,0.001006,62,11,97,38.78,62,17.62,97,1.688,102
11,4,2012,0.0007775,39,10,69,35.74,39,18.01,69,1.727,71
11,5,2012,0.001049,30,10.5,54,36.13,30,18.07,54,1.687,61
11,6,2012,0.0008512,60,12,103,50.33,60,12.35,103,1.647,116
11,7,2012,0.00138,41,12,92,36.59,41,17.63,92,1.688,96
11,8,2012,0.0007921,79,11,151,36.27,79,17.95,151,1.688,162
11,9,2012,0.0009379,85,11,166,34.07,85,17.78,166,1.728,179
11,10,2012,0.0009868,113,12,223,38.29,114,17.56,223,1.689,235
11,11,2012,0.0007895,158,12,261,36.82,158,17.4,261,1.69,279
11,12,2012,0.001162,124,12,222,40.65,124,16.13,222,1.688,241
11,13,2012,0.0009447,127,12,249,35.75,127,17.17,249,1.688,265
11,14,2012,0.0008879,122,11,251,35.9,122,17.35,251,1.689,266
11,15,2012,0.001007,156,12,302,37.02,156,16.98,302,1.689,316
11,16,2012,0.0009499,225,12,346,36.24,225,16.75,346,1.689,361
11,17,2012,0.0009859,236,12,367,37.07,236,16.7,367,1.689,386
11,18,2012,0.001148,211,12,375,37.39,211,16.09,375,1.687,400
11,19,2012,0.001108,258,12,390,38.18,258,15.86,390,1.688,417
11,20,2012,0.0008688,254,12,392,35.99,254,16.33,392,1.688,426
11,21,2012,0.0008516,268,12,426,37.09,268,16.39,426,1.688,450
11,22,2012,0.0009427,249,12,405,40.72,249,15.51,405,1.687,443
11,23,2012,0.001126,222,12,374,37.26,222,17.1,374,1.688,411
10,0,2012,0.0008869,165,12,288,38.51,165,17.56,288,1.69,303
10,1,2012,0.0007767,119,12,215,37.9,119,18.15,215,1.688,234
10,2,2012,0.001135,76,11,160,34.18,76,18.17,160,1.721,164
10,3,2012,0.0008165,58,11,118,36.16,58,19.32,118,1.687,129
10,4,2012,0.0009707,36,11,70,31.84,36,18.12,70,1.725,75
10,5,2012,0.0004896,27,11,72,32.7,27,20.75,72,1.726,56
10,6,2012,0.0009372,33,12,91,36.61,33,18.03,91,1.688,98
10,7,2012,0.0009328,27,12,91,34.36,27,20.1,91,1.722,97
10,8,2012,0.0007535,61,11,135,33.99,61,18.16,135,1.722,135
10,9,2012,0.0009342,97,12,177,35.97,97,18.16,177,1.688,197
10,10,2012,0.0009342,100,11,217,34.55,100,18.33,217,1.722,212
10,11,2012,0.0006865,118,12,227,36,118,18.06,227,1.718,243
10,12,2012,0.001039,144,12,237,34.48,144,17.45,237,1.689,261
10,13,2012,0.001004,161,12,257,37.63,161,16.88,257,1.726,271
10,14,2012,0.00122,157,12,258,36.02,157,17.69,258,1.687,272
10,15,2012,0.00127,168,12,285,37.9,168,16.65,285,1.685,305
10,16,2012,0.001104,210,12,367,35.51,210,17.61,367,1.688,388
10,17,2012,0.001225,247,12,398,40.21,247,16.13,398,1.688,423
10,18,2012,0.0009355,241,12,398,36.82,241,16.89,398,1.687,418
10,19,2012,0.0008298,219,12,397,35.48,219,17.23,397,1.687,410
10,20,2012,0.000739,263,12,408,34.22,263,16.72,408,1.687,414
10,21,2012,0.0008856,274,12,426,36.76,274,15.3,426,1.686,450
10,22,2012,0.001185,253,12,396,39.11,253,14.76,396,1.687,423
10,23,2012,0.001115,180,12,321,38.25,180,15.44,321,1.686,350
10,0,2013,0.001056,181,13,314,49.18,181,16.89,314,4.105,337
10,1,2013,0.0008613,135,13,233,37.36,135,17.51,233,4.229,251
10,2,2013,0.0007781,71,13,150,38.24,71,17.69,150,4.171,160
10,3,2013,0.0008196,48,12,101,45.63,48,17.68,101,4.109,105
10,4,2013,0.0006911,30,12,68,41.93,30,17.94,68,4.083,76
10,5,2013,0.0009627,35,13,80,55.71,35,17.65,80,3.992,88
10,6,2013,0.001029,29,12,78,55.99,29,17.98,78,4.183,81
10,7,2013,0.001154,92,13,157,54.07,92,17.34,157,4.155,167
10,8,2013,0.001192,126,12,223,56.97,126,17.71,223,4.221,235
10,9,2013,0.0009853,122,12,228,42.44,122,17.83,228,4.071,244
10,10,2013,0.001001,163,12,259,40.95,163,17.79,259,4.228,281
10,11,2013,0.001022,190,13,320,39.6,190,17.81,320,4.269,334
10,12,2013,0.0007658,154,12,286,43.5,155,17.53,286,4.124,309
10,13,2013,0.0006997,133,12,260,46.86,133,17.55,260,4.062,277
10,14,2013,0.001087,157,13,299,55.69,157,16.97,299,4.062,315
10,15,2013,0.0009588,174,13,286,50.43,174,17.05,286,4.029,307
10,16,2013,0.001393,194,13,334,46.58,194,16.47,334,4.032,359
10,17,2013,0.000926,204,12,364,40.98,204,17.25,364,4.065,387
10,18,2013,0.0008329,221,13,405,42.13,221,16.36,405,4.064,423
10,19,2013,0.0009684,277,13,482,43.78,277,17.26,482,4.103,525
10,20,2013,0.001226,344,13,534,51.18,344,16.35,534,4.068,569
10,21,2013,0.001101,366,13,596,44.63,366,16.14,596,4.067,646
10,22,2013,0.000986,303,13,504,53.69,302,16.43,505,4.063,564
10,23,2013,0.0009358,235,13,410,45.5,235,17.17,410,4.159,445
4,0,2014,0.0009515,203,13,340,50.88,203,17.07,340,4.03,363
4,1,2014,0.001004,98,12,203,39.36,98,18.09,203,4.11,220
4,2,2014,0.0009334,78,12,137,38.11,78,16.2,137,4.066,155
4,3,2014,0.002194,57,12,74,40.2,57,13.67,74,4.029,74
4,4,2014,0.0007152,29,12,52,30.14,29,17.45,52,9.227,55
4,5,2014,0.001232,33,13,64,57.49,33,17.67,64,4.647,68
4,6,2014,0.001097,72,13,138,63.11,72,18.03,138,4.142,153
4,7,2014,0.0007946,95,12,168,40.05,95,18.11,168,4.336,178
4,8,2014,0.0006584,142,12,222,42.62,142,17.72,222,4.21,238
4,9,2014,0.0009947,182,12,277,47.41,182,17.45,277,4.23,301
4,10,2014,0.0009961,179,12,273,43.29,179,17.64,273,4.102,281
4,11,2014,0.001055,190,12,321,45.68,190,17.79,321,4.219,343
4,12,2014,0.0006995,185,12,294,39.55,185,17.85,294,4.093,320
4,13,2014,0.001086,201,12,338,46.6,201,17.63,338,4.073,362
4,14,2014,0.001208,224,12,325,42.43,224,17.49,325,4.08,342
4,15,2014,0.0007599,211,12,320,40.54,211,17.15,320,4.151,341
4,16,2014,0.001002,231,12,381,40.14,231,17.51,381,4.126,412
4,17,2014,0.001034,284,12,466,45.31,284,16.9,466,4.081,507
4,18,2014,0.001317,345,13,531,42.91,345,16.76,531,4.115,569
4,19,2014,0.0009935,302,13,472,45.17,302,17.14,472,4.069,510
4,20,2014,0.0008451,396,13,576,46.92,396,16.97,576,4.065,630
4,21,2014,0.001269,367,13,542,46.47,367,16.68,542,4.07,606
4,22,2014,0.00119,318,13,510,41.17,318,17.24,510,4.164,543
4,23,2014,0.001135,298,13,491,45.66,298,17.18,491,4.068,531
4,0,2013,0.0007925,152,12,261,38.98,152,17.11,261,1.687,279
4,1,2013,0.001252,90,12,163,42.85,90,17.73,163,1.721,172
4,2,2013,0.001657,68,12,130,38.66,68,18.01,130,1.724,134
4,3,2013,0.0006643,28,12,71,37.26,28,17.76,71,1.684,70
4,4,2013,0.001031,29,12,73,35.56,29,17.74,73,1.688,71
4,5,2013,0.001127,24,12,45,33.52,24,17.96,45,1.722,45
4,6,2013,0.0009787,27,12,60,40.18,27,17.94,60,1.721,61
4,7,2013,0.000757,25,12,72,34.36,25,18.04,72,1.685,74
4,8,2013,0.0009183,54,12,108,38.17,54,17.83,108,1.682,110
4,9,2013,0.0009577,75,12,171,34.47,75,17.8,171,1.684,181
4,10,2013,0.00108,98,12,181,37.45,98,17.85,181,1.687,187
4,11,2013,0.0007608,102,12,201,35.09,102,17.94,201,1.726,210
4,12,2013,0.0009885,89,12,191,37.25,89,17.97,191,1.722,206
4,13,2013,0.0006466,99,12,206,36.25,100,17.93,206,1.72,217
4,14,2013,0.001337,106,12,187,33.74,106,17.34,187,1.713,194
4,15,2013,0.0005522,138,12,256,35.86,138,17.26,256,1.684,269
4,16,2013,0.0006078,148,12,259,37.45,148,17.32,259,1.686,266
4,17,2013,0.0008017,146,12,262,38.12,146,17.42,262,1.684,278
4,18,2013,0.0006293,172,12,268,35.88,172,17.31,268,1.684,278
4,19,2013,0.0007675,218,12,317,37.76,218,16.69,317,1.684,340
4,20,2013,0.0006931,238,12,343,38.37,238,16.58,343,1.685,353
