month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.006759,16,51,16,84.43,16,5.037,16,0.5849,19
11,1,2013,0.004283,10,41.5,10,88.06,10,4.958,10,0.4842,19
11,2,2013,0.0148,3,41,3,45.8,3,5.879,3,0.5641,8
11,3,2013,0.004754,1,44,1,96.98,1,5.721,1,0.3912,1
11,4,2013,0.01078,3,65,3,82.87,3,8.166,3,0.3733,10
11,5,2013,0.0004075,1,56,1,150,1,2.755,1,0.515,3
11,6,2013,0.01029,3,64,3,152.2,3,1.177,3,0.5838,5
11,7,2013,0.007667,6,80.5,6,103.3,6,4.457,6,0.4015,9
11,8,2013,0.006123,11,38,11,68.77,11,5.818,11,0.5963,15
11,9,2013,0.01004,19,48,19,92.51,19,4.374,19,0.5783,29
11,10,2013,0.01159,14,60,14,85.98,14,2.571,14,0.5951,17
11,11,2013,0.01427,12,59,12,127.5,12,2.947,12,0.4038,25
11,12,2013,0.01139,17,41,17,95.26,17,4.265,17,0.5462,23
11,13,2013,0.01113,8,77.5,8,149.8,8,2.501,8,0.3798,15
11,14,2013,0.006672,14,55,14,101.9,14,2.364,14,0.5097,19
11,15,2013,0.008921,15,34,15,73.18,15,5.798,15,0.631,24
11,16,2013,0.009081,9,37,9,96.33,9,6.138,9,0.4493,22
11,17,2013,0.006273,17,33,17,89.1,17,6.006,17,0.5194,28
11,18,2013,0.01076,29,37,30,81.87,30,4.491,30,0.593,44
11,19,2013,0.008402,24,43,25,118.4,25,1.87,25,0.5949,41
11,20,2013,0.003171,18,80,18,129.4,18,2.6,18,0.5036,43
11,21,2013,0.01072,10,63,10,103.6,10,5.489,10,0.6263,18
11,22,2013,0.007362,32,59,32,100.1,32,4.027,32,0.594,41
11,23,2013,0.004809,22,59.5,22,97.37,22,4.815,22,0.5604,33
11,0,2012,0.008264,29,48,29,93.08,29,2.709,29,0.4947,60
11,1,2012,0.007001,23,42,23,88.37,23,2.845,23,0.5196,37
11,2,2012,0.008744,9,50,9,72.72,9,2.456,9,0.4131,18
11,3,2012,0.01472,11,50,11,134.6,11,2.372,11,0.4108,22
11,4,2012,0.009123,9,53,9,147.4,9,2.549,9,0.3903,15
11,5,2012,0.02126,8,48.5,8,89.41,8,2.819,8,0.4777,17
11,6,2012,0.005483,7,62,7,111.3,7,8.218,7,0.4716,12
11,7,2012,0.01054,6,58,6,89.96,6,1.474,6,0.5544,18
11,8,2012,0.01095,22,42.5,22,105.3,22,1.5,22,0.5362,31
11,9,2012,0.01506,33,39,33,64.45,33,4.078,33,0.5134,52
11,10,2012,0.01193,35,39,35,75.46,35,2.831,35,0.5158,75
11,11,2012,0.01142,47,48,47,97.56,47,3.926,47,0.5778,69
11,12,2012,0.007333,40,53.5,40,95.55,40,2.975,40,0.4682,62
11,13,2012,0.01136,27,48,27,80.42,27,2.398,27,0.5399,60
11,14,2012,0.01645,41,47,41,97.37,41,2.687,41,0.5149,61
11,15,2012,0.008058,55,48,55,97.86,55,3.81,55,0.5463,84
11,16,2012,0.01575,55,49,55,80.13,55,2.837,55,0.5365,82
11,17,2012,0.01211,39,51,39,98.02,39,4.716,39,0.5627,69
11,18,2012,0.01274,49,50,49,78.93,49,3.437,49,0.5436,75
11,19,2012,0.009947,53,51,53,81.18,53,3.472,53,0.4353,84
11,20,2012,0.009738,63,56,63,85.84,63,2.558,63,0.5093,92
11,21,2012,0.008322,77,59,77,93.94,77,2.636,77,0.4929,106
11,22,2012,0.009025,47,61,47,103.5,47,2.254,47,0.5562,66
11,23,2012,0.0114,40,51.5,40,99.28,40,2.746,40,0.4416,63
10,0,2012,0.02022,46,44,46,89.3,46,1.593,46,0.412,68
10,1,2012,0.01596,23,52,23,101.2,23,1.472,23,0.5028,41
10,2,2012,0.01356,15,60,15,110.7,15,2.836,15,0.5132,28
10,3,2012,0.008818,16,61.5,16,118.8,16,1.73,16,0.4066,26
10,4,2012,0.009904,10,68.5,10,95.32,10,3.225,10,0.5263,15
10,5,2012,0.01492,8,70.5,8,174,8,2.053,8,0.5612,14
10,6,2012,0.007899,11,79,11,97.09,11,3.609,11,0.529,27
10,7,2012,0.01233,18,43.5,18,97.99,18,5.569,18,0.5453,31
