month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.003914,203,35,203,67.3,203,6.066,203,5.557,346
11,2,2013,0.009684,322,56,322,96.3,322,1.804,322,4.105,475
11,3,2013,0.009945,410,52,410,75.24,410,1.639,410,5.758,586
11,4,2013,0.006777,336,48,336,79.45,336,2.879,336,5.111,471
11,5,2013,0.004629,314,43.5,314,72.83,314,3.297,314,6.047,451
11,6,2013,0.005464,303,50,303,74.44,303,3.239,303,4.426,466
11,7,2013,0.003975,333,47,333,76.96,333,4.397,333,4.708,549
11,8,2013,0.005102,308,52,308,93.41,308,3.527,308,4.572,488
11,9,2013,0.009024,558,77,558,95.31,558,1.378,558,5.682,738
11,10,2013,0.005539,385,50,385,75.1,385,2.759,385,6.635,565
11,11,2013,0.006853,364,47,364,70.83,364,2.63,364,5.493,532
11,12,2013,0.006854,332,45,331,83.02,331,3.697,332,4.777,512
11,13,2013,0.003959,332,40,332,76.01,332,4.805,332,7.233,515
11,14,2013,0.002764,496,36,496,71.34,496,6.1,496,7.278,752
11,15,2013,0.00433,404,43.5,404,78.03,404,4.105,404,4.133,596
11,16,2013,0.007354,402,57,402,91.62,402,1.982,402,4.263,621
11,17,2013,0.01009,379,52,379,85.1,379,1.767,379,4.457,573
11,18,2013,0.005112,306,41.5,306,90.32,306,4.376,306,6.539,468
11,19,2013,0.005506,314,42,314,73.63,314,4.63,314,4.623,489
11,20,2013,0.005291,315,46,315,89.94,315,2.902,315,4.588,506
11,21,2013,0.004196,298,42.5,298,80.18,298,4.441,298,4.587,485
11,22,2013,0.003571,319,45,319,78.25,319,4.523,319,6.194,476
11,23,2013,0.007138,396,55,396,90.91,396,2.19,396,5.696,617
11,24,2013,0.007018,427,50,427,74.19,427,2.679,427,6.731,657
11,25,2013,0.005615,359,42,359,73.76,359,4.748,359,6.571,569
11,26,2013,0.006259,350,47,350,87.22,350,2.665,350,3.969,560
11,27,2013,0.005628,349,45,349,84.63,349,3.306,349,6.384,519
11,28,2013,0.003772,292,45,292,87.15,292,4.618,292,5.415,442
11,29,2013,0.006341,414,52,414,86.59,414,2.384,414,4.638,631
11,30,2013,0.006947,412,54,412,94.91,412,1.956,412,4.089,590
11,1,2012,0.02538,237,33,237,70.3,237,1.332,237,4.176,416
11,2,2012,0.01868,240,32.5,240,69.13,240,1.731,240,3.935,380
11,3,2012,0.005525,283,27,283,69.97,283,5.861,283,3.614,579
11,4,2012,0.003046,196,23,196,77.58,196,12.32,196,3.937,458
11,5,2012,0.002602,201,27,201,69.03,201,6.591,201,3.932,492
11,6,2012,0.00247,163,23,163,73.57,163,15.18,163,4.181,346
11,7,2012,0.002538,176,22,175,92.39,175,12.39,176,2.894,441
11,8,2012,0.003483,166,24.5,166,71.67,166,10.56,166,3.988,388
11,9,2012,0.002976,199,25,199,75.65,199,11.82,199,3.993,422
11,10,2012,0.001521,177,25,177,69.32,177,9.567,177,3.936,413
11,11,2012,0.002453,213,26,213,72,213,8.643,213,3.414,478
11,12,2012,0.003203,198,21,198,61.19,198,10.75,198,3.865,446
11,13,2012,0.002425,147,20,147,79.44,147,14.75,147,4.196,409
11,14,2012,0.002715,178,21,178,69.58,178,14.78,178,3.574,415
11,15,2012,0.004569,201,25,201,93.87,201,11.2,201,3.415,502
11,16,2012,0.002063,257,22,257,63.04,257,14.4,257,4.059,570
11,17,2012,0.002086,447,19,447,66.08,447,14.95,447,4.013,991
11,18,2012,0.002222,393,20,393,69.16,393,14.49,393,4.108,877
11,19,2012,0.002956,344,22,344,67.85,344,10.63,344,3.838,838
