month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.006931,361,43,504,86.34,361,4.303,504,5.975,562
11,1,2013,0.004038,228,35,350,85.86,228,8.625,350,6.232,392
11,2,2013,0.002629,138,33,262,78.92,138,12.76,262,6.355,292
11,3,2013,0.003212,75,30,163,93.02,75,19.53,163,9.864,176
11,4,2013,0.003143,85,20,165,90.46,85,21.1,165,11.52,180
11,5,2013,0.00413,99,21.5,198,84.54,99,22.33,198,12.71,202
11,6,2013,0.003289,122,23,224,84.35,122,18.4,224,9.24,243
11,7,2013,0.00372,172,31,321,87.8,172,13.36,321,4.345,349
11,8,2013,0.001543,231,31,470,74.45,231,14.11,470,6.127,505
11,9,2013,0.001697,353,33,559,74.22,353,12.69,559,6.166,605
11,10,2013,0.00196,409,35,583,71.38,408,9.394,584,5.657,651
11,11,2013,0.00335,415,40,566,75.99,415,6.563,566,5.065,603
11,12,2013,0.00327,441,43,597,85.28,441,5.786,597,4.461,662
11,13,2013,0.004092,543,40,697,87.15,543,4.905,697,6.019,757
11,14,2013,0.002303,567,36,743,72.16,567,6.318,743,5.616,813
11,15,2013,0.004431,607,41,816,82.04,607,4.932,816,4.978,896
11,16,2013,0.005255,559,45,725,81.73,559,3.703,725,5.655,800
11,17,2013,0.006603,640,48.5,842,81.14,640,2.997,842,4.979,914
11,18,2013,0.009175,678,48,878,79.16,678,2.72,878,5.335,954
11,19,2013,0.01096,813,46,1055,84.69,813,2.543,1055,5.051,1154
11,20,2013,0.01351,923,49,1173,89.24,923,2.178,1173,4.413,1277
11,21,2013,0.01545,954,49,1204,87.72,954,1.789,1204,4.342,1313
11,22,2013,0.01786,737,51,958,84.06,737,1.683,958,4.309,1059
11,23,2013,0.01324,582,47,757,85.6,582,2.11,757,4.54,886
11,0,2012,0.002879,329,20,681,65.06,329,14.11,681,4.171,783
11,1,2012,0.003458,247,21,577,68.58,247,12.75,577,4.091,631
11,2,2012,0.003697,184,24,397,94.71,184,13.1,397,3.855,438
11,3,2012,0.003904,143,20,310,79.5,143,14.87,310,4.419,334
11,4,2012,0.005311,102,19,228,100.1,102,14.74,228,4.317,260
11,5,2012,0.005272,89,20,186,101.8,90,21.87,186,4.652,211
11,6,2012,0.004927,90,22,221,96.32,90,18.43,221,4.343,251
11,7,2012,0.004936,152,22,335,90.94,152,13.29,335,3.45,385
11,8,2012,0.005216,156,20,413,76.81,156,15.18,413,4.056,481
11,9,2012,0.003384,240,22,530,66.87,240,14.68,530,3.814,603
