month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.002604,82,40.5,110,71.34,82,8.286,110,1.19,120
11,2,2013,0.002566,126,40,142,71.06,126,7.437,142,0.95,160
11,3,2013,0.001637,83,42,101,67.55,83,9.122,101,1.195,107
11,4,2013,0.003023,85,43,101,72.29,85,7.541,101,1.153,114
11,5,2013,0.002854,71,38,91,69.55,71,9.176,91,1.179,103
11,6,2013,0.002685,94,35,117,61.04,94,10.69,117,1.192,126
11,7,2013,0.004236,60,41,83,66.63,60,5.458,83,1.029,94
11,8,2013,0.001811,70,39,95,54.82,70,9.492,95,1.116,106
11,9,2013,0.002441,67,42,91,88.32,67,7.805,91,1.185,103
11,10,2013,0.003055,72,41,100,63.85,72,7.022,100,0.8821,113
11,11,2013,0.00228,76,45,93,72.79,76,7.398,93,1.105,117
11,12,2013,0.001449,61,42,87,67.88,61,7.53,87,1.085,97
11,13,2013,0.001698,94,46,130,82.65,94,7.146,130,1.179,142
11,14,2013,0.002567,91,40,113,58.49,91,9.103,113,1.167,142
11,15,2013,0.002535,87,40,103,76.71,87,8.255,103,1.155,117
11,16,2013,0.002627,95,42,112,65.72,95,9.671,112,1.165,122
11,17,2013,0.003992,106,41,130,69.51,106,6.334,130,1.189,143
11,18,2013,0.003786,78,41,93,70.14,78,6.904,93,1.153,107
11,19,2013,0.002113,84,42,108,69.26,84,8.866,108,1.187,112
11,20,2013,0.001471,95,44,139,67.89,95,11.15,139,1.194,151
11,21,2013,0.003005,97,42,114,73.89,97,6.87,114,0.7974,126
11,22,2013,0.00404,82,47,108,70.2,82,7.341,108,1.088,115
11,23,2013,0.002891,109,45,140,78.7,109,6.24,140,0.7793,150
11,24,2013,0.002977,104,45,127,79.12,104,6.715,127,1.115,133
11,25,2013,0.003131,103,41,137,67.76,103,9.636,137,1.075,158
11,26,2013,0.002799,106,44,128,68.15,106,7.29,128,1.122,132
11,27,2013,0.00292,82,40,102,63.21,81,10.65,103,1.192,116
11,28,2013,0.002861,84,43.5,100,62.32,84,9.302,100,1.169,112
11,29,2013,0.002457,97,41.5,122,61.59,97,10.89,122,1.162,135
11,30,2013,0.002767,82,41.5,102,65.68,82,7.174,102,1.115,118
11,1,2012,0.003672,66,41.5,84,67.33,66,8.538,84,1.096,94
11,2,2012,0.005122,62,41,85,66.67,62,8.439,85,1.008,92
11,3,2012,0.004788,113,41,130,72.49,113,6.897,130,0.8769,139
11,4,2012,0.005316,79,43,100,68.44,79,9.317,100,1.123,110
11,5,2012,0.004112,65,39,94,65.72,65,6.757,94,0.8061,109
11,6,2012,0.003535,50,41,80,66.48,50,10.29,80,1.123,87
11,7,2012,0.003791,73,40,102,61.38,73,8.144,102,1.08,108
11,8,2012,0.004426,69,48,85,67.44,69,8.807,85,1.038,88
11,9,2012,0.004488,60,48,84,79.31,60,4.481,84,0.8017,90
11,10,2012,0.003278,54,41,73,75.54,54,9.457,73,1.055,82
11,11,2012,0.004549,96,39,124,78.6,96,5.646,124,0.8072,133
11,12,2012,0.005772,99,40,129,70.92,99,5.595,129,1.005,134
11,13,2012,0.005088,57,40,72,69.22,57,8.325,72,1.044,75
11,14,2012,0.005258,57,43,87,89.48,57,4.479,87,0.7829,95
11,15,2012,0.003661,80,39,102,59.11,80,10.4,102,1.148,111
11,16,2012,0.00503,55,41,67,71.92,55,8.179,67,0.9962,79
11,17,2012,0.004962,71,38,85,59.81,71,8.43,85,1.086,93
11,18,2012,0.004786,78,52,102,76.76,78,9.154,102,1.044,114
11,19,2012,0.004566,71,41,91,70.55,71,5.623,91,1.036,96
