month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.00277,1,44,1,72.54,1,21.37,1,2.732,2
11,2,2013,0.0003558,2,42,3,109,2,17.32,3,0.1249,5
11,3,2013,0.00168,2,42.5,2,81.53,2,11.85,2,6.927,2
11,4,2013,0.002553,3,41,3,53.3,3,8.355,3,3.965,3
11,5,2013,nan,0,41,1,nan,0,2.525,1,2.781,1
11,6,2013,0.002534,1,41,1,55.69,1,14.28,1,3.892,1
11,7,2013,0.01268,1,40,1,93.64,1,73.53,1,3.574,2
11,10,2013,nan,0,37,1,nan,0,1.69,1,1.274,1
11,12,2013,0.001386,1,41,1,50.15,1,16.44,1,2.508,1
11,13,2013,0.00504,3,36,3,37.55,3,24.96,3,2.878,3
11,14,2013,0.01076,2,41,3,57.37,2,11.07,3,2.919,3
11,15,2013,0.007714,1,40,2,53.56,1,4.424,2,2.485,2
11,16,2013,0.002294,1,39.5,2,127.9,1,6.16,2,2.345,2
11,17,2013,0.003818,2,41,3,90.44,2,13.2,3,1.937,3
11,18,2013,0.000934,4,41.5,4,115.7,4,27.4,4,2.634,4
11,19,2013,0.001916,3,37,3,41.47,3,6.783,3,1.658,3
11,20,2013,0.0003233,1,42,1,46.59,1,10.52,1,1.16,1
11,21,2013,0.001281,2,43.5,2,126,2,22.15,2,1.686,2
11,22,2013,0.0009435,5,40,5,59.19,5,9.68,5,3.502,5
11,23,2013,0.004264,3,41,3,50.07,3,11.41,3,3.818,4
11,24,2013,0.01228,9,42,10,127.8,9,3.957,10,1.303,12
11,25,2013,0.003994,3,37,3,49.33,3,5.428,3,1.32,3
11,27,2013,0.00157,1,46,1,102.8,1,13.03,1,0.6949,1
11,28,2013,0.002008,2,90,2,118.8,2,9.063,2,0.9658,4
11,29,2013,nan,0,nan,0,nan,0,nan,0,0.007984,1
11,30,2013,0.01451,2,46,2,106,2,1.043,2,2.537,2
11,2,2012,0.0003384,1,40.5,2,54.49,1,24.95,2,3.826,2
11,3,2012,0.00308,1,38,1,56.48,1,6.281,1,1.648,1
11,4,2012,0.006439,4,41.5,4,95.39,4,9.875,4,1.572,4
11,5,2012,0.009663,1,41,1,62.75,1,37.85,1,6.276,1
11,6,2012,0.0002009,1,39,2,53.39,1,18.22,2,1.643,2
11,7,2012,0.003326,3,40.5,4,61.22,3,17.27,4,1.561,4
11,9,2012,0.02289,12,37,13,41.36,12,3.575,13,0.9317,3
11,10,2012,0.002064,2,47,3,92.85,2,7.529,3,2.822,4
11,11,2012,nan,0,39,1,nan,0,38.71,1,6.252,1
11,12,2012,0.003999,3,39,4,54.93,3,9.319,4,1.473,4
11,13,2012,0.004725,2,40,4,46.7,2,10.54,4,2.102,4
11,14,2012,0.0007529,1,43,1,70.6,1,12.25,1,1.684,1
11,15,2012,0.002347,2,39.5,2,100.7,2,16.09,2,1.666,2
11,16,2012,nan,0,39,1,nan,0,11.49,1,3.873,1
11,17,2012,0.001018,1,41,1,73.06,1,10.23,1,1.719,1
11,18,2012,0.0003597,3,40,4,73.99,3,10.26,4,1.607,4
11,19,2012,0.0007608,1,42,3,61.77,1,11.52,3,1.646,3
11,20,2012,0.0004886,7,40,10,61.37,7,13.2,10,5.786,10
11,21,2012,0.0004117,4,37,6,59.65,4,51.01,6,2.773,7
11,22,2012,0.001658,1,508,1,788.3,1,0.477,1,0.2029,1
11,23,2012,0.001354,1,41,1,61.2,1,9.307,1,1.415,1
11,24,2012,0.01362,1,41,1,54.71,1,8.399,1,1.691,1
11,25,2012,0.03764,2,45,3,78.57,2,2.886,3,2.111,3
11,26,2012,0.0008671,1,40,4,48.62,1,11.9,4,1.088,4
11,27,2012,0.0007954,5,41,10,70.42,5,11.4,10,1.069,10
11,28,2012,nan,0,39.5,2,nan,0,10.7,2,1.078,3
11,29,2012,0.0005322,2,54,2,115.5,2,10.78,2,0.758,2
11,30,2012,0.004779,2,43.5,2,105.6,2,10.09,2,1.298,2
10,1,2012,nan,0,71,2,nan,0,11.64,2,0.6681,2
10,2,2012,0.001875,2,40,3,130.3,2,7.727,3,1.433,3
10,3,2012,0.002394,4,38.5,6,48.17,4,11.65,6,2.467,7
10,4,2012,0.001379,2,41,3,90.19,2,14.5,3,1.686,3
10,5,2012,0.002844,5,41,5,65.74,5,9.871,5,1.972,6
10,7,2012,0.003302,1,43,1,55.96,1,11.78,1,1.738,1
10,8,2012,0.00248,2,42,2,51.11,2,32.6,2,1.938,2
10,9,2012,0.003935,6,41.5,8,75.96,6,19,8,2.471,8
10,10,2012,0.007743,3,41.5,4,72.66,3,24.2,4,5.043,5
10,11,2012,0.00012,2,39.5,2,96.55,2,31.05,2,2.985,2
10,12,2012,0.02594,1,39,4,49.39,1,17.04,4,2.681,4
10,13,2012,0.0003858,1,42,1,67.45,1,23.94,1,2.129,2
10,14,2012,0.0184,3,41,3,52.41,3,1.102,3,0.9247,3
10,15,2012,0.008759,3,41,4,53.17,3,19.95,4,1.844,4
10,16,2012,0.002447,6,40,9,67.51,6,14.06,9,1.606,9
10,17,2012,0.001274,4,40,8,47.46,4,11.34,8,1.325,8
10,18,2012,0.001102,2,40,5,47.14,2,29.24,5,4.244,5
10,19,2012,0.0007857,6,39.5,6,68.12,6,11.47,6,3.075,6
10,20,2012,0.001368,3,40.5,4,64.84,3,16.67,4,1.43,4
10,21,2012,0.007105,2,41,3,128.8,2,14.94,3,1.747,3
10,22,2012,0.01154,3,39,5,44.26,3,12.17,5,1.196,5
10,23,2012,0.0005167,1,39,1,43.12,1,11.21,1,1.021,1
10,24,2012,0.004813,4,40,7,55.45,4,10.42,7,2.008,7
10,25,2012,0.0003562,3,43,4,63.51,3,13.57,4,1.67,5
10,26,2012,0.003705,4,37.5,4,47.51,4,11.19,4,4.188,5
10,27,2012,0.001656,3,41,4,55.29,3,9.509,4,1.608,4
10,28,2012,0.001704,1,41,2,68.39,1,12.3,2,1.235,2
10,29,2012,0.001698,4,41.5,4,59.78,4,8.861,4,2.451,4
10,30,2012,0.01656,2,81.5,2,478.5,2,0.5604,2,0.7952,2
10,31,2012,0.0003059,1,46,1,166.1,1,11.12,1,1.363,1
10,1,2013,0.00149,5,40,7,56.98,5,17.23,7,3.691,7
10,2,2013,0.001456,1,42,1,55.53,1,17.29,1,2.643,1
10,3,2013,0.001715,7,39.5,12,55.63,7,10.94,12,2.068,13
10,4,2013,0.003776,6,41.5,6,60.49,6,7.776,6,1.425,7
10,7,2013,0.0007528,3,37,3,137.1,3,10.01,3,1.461,4
10,8,2013,nan,0,nan,0,nan,0,nan,0,0.3509,1
10,9,2013,0.0003316,1,44,5,44.52,1,39.42,5,5.358,5
10,10,2013,0.0004429,1,41,1,162.5,1,17.8,1,3.92,1
10,13,2013,0.008571,3,45,3,106.2,3,18.98,3,7.46,3
10,14,2013,0.002137,2,43.5,2,90.34,2,14.72,2,8.08,2
10,16,2013,0.004042,1,42,2,69.37,1,28.13,2,3.735,2
10,17,2013,0.009749,1,47,1,79.44,1,21.58,1,8.325,2
10,18,2013,0.002672,4,45,4,74.67,4,11.71,4,2.978,5
10,19,2013,0.003871,1,41,3,200.5,1,0.8319,3,0.5556,5
10,20,2013,0.006372,2,43,2,355.3,2,22.98,2,0.3576,4
10,21,2013,nan,0,40,1,nan,0,42.39,1,2.621,1
10,22,2013,0.0009524,4,43.5,4,63.87,4,3.916,4,4.107,4
10,23,2013,0.005186,2,44,3,79.93,2,34.97,3,8.438,2
10,24,2013,0.00463,1,44,1,107.7,1,0.9721,1,0.03105,1
10,25,2013,0.004471,1,44.5,2,57.59,1,4.232,2,3.963,1
10,26,2013,0.009793,3,42,3,103.6,3,13.3,3,3.571,3
10,27,2013,0.001623,10,42.5,20,83.4,10,7.601,20,3.912,20
10,28,2013,0.0005171,5,42.5,6,61.63,5,18.29,6,4.183,6
10,29,2013,0.001139,4,41,5,54.39,4,20.6,5,7.295,5
10,30,2013,0.003789,1,43,1,56.5,1,11.68,1,0.1178,3
10,31,2013,nan,0,42.5,2,nan,0,2.596,2,3.858,2
4,1,2014,0.0008307,5,39,9,75.59,5,31.22,9,2.451,9
4,2,2014,0.00237,6,37.5,10,52.4,6,28.12,10,2.231,10
4,3,2014,0.006215,5,37,9,52.85,5,11.81,9,1.239,8
4,4,2014,0.001916,3,39.5,4,55.68,3,18.96,4,2.483,4
4,5,2014,0.000125,1,42,1,63.09,1,9.08,1,3.701,1
4,6,2014,0.004906,2,42.5,2,100.9,2,13.99,2,5.456,2
4,7,2014,0.003589,3,40.5,6,50.93,3,19.2,6,3.309,6
4,8,2014,0.003374,1,36.5,2,55.9,1,22.92,2,1.673,2
4,9,2014,nan,0,42.5,2,nan,0,11.74,2,1.187,2
4,10,2014,0.001443,1,43,1,63.3,1,27.7,1,4.759,1
4,11,2014,nan,0,35,3,nan,0,15.06,3,3.051,3
4,12,2014,nan,0,179.5,2,nan,0,3.641,2,2.707,2
4,13,2014,0.01118,1,39,3,113.8,1,11.59,3,1.063,4
4,14,2014,0.01282,2,37,4,48.09,2,18.64,4,1.039,5
4,15,2014,0.002872,2,35,3,38.97,2,12.51,3,1.016,3
4,16,2014,0.001268,6,41,11,79.12,6,17.79,11,1.114,11
