month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.0008969,1,41,1,52.76,1,2.538,1,0.1249,3
11,1,2013,0.00157,3,44,3,72.54,3,16.44,3,3.285,4
11,2,2013,nan,0,nan,0,nan,0,nan,0,0.1158,1
11,3,2013,0.0009435,1,37,1,44.6,1,22.8,1,3.942,1
11,4,2013,0.0005713,1,44,1,189,1,17.6,1,4.012,1
11,5,2013,0.0003235,1,41,1,109,1,17.46,1,3.847,1
11,6,2013,0.0007285,1,37,1,46.57,1,15.67,1,3.98,1
11,7,2013,0.0263,6,42,6,152.2,6,1.064,6,0.7148,8
11,9,2013,0.002761,1,35,1,36.56,1,21.42,1,2.919,1
11,10,2013,0.004652,4,36,4,43.81,4,18.19,4,2.882,4
11,11,2013,0.001469,3,38,3,53.56,3,5.544,3,2.069,3
11,12,2013,0.001506,2,39.5,2,44.03,2,8.652,2,0.4693,4
11,13,2013,0.002028,6,38.5,6,68.42,6,10.26,6,1.414,8
11,14,2013,0.01986,1,46,1,149,1,0.6088,1,0.9945,1
11,15,2013,0.004146,2,41,2,58.16,2,28.69,2,4.858,2
11,16,2013,0.002534,5,41,5,69.97,5,14.28,5,3.094,6
11,17,2013,0.002228,3,42,3,108.7,3,17.32,3,3.741,4
11,18,2013,0.00755,2,41,2,158.5,2,3.951,2,1.511,3
11,19,2013,0.00658,2,41.5,2,56.19,2,3.452,2,2.05,4
11,20,2013,0.001916,1,43,1,63.39,1,3.505,1,4.134,1
11,21,2013,0.0005102,6,42,6,60.04,6,9.63,6,2.901,9
11,23,2013,0.0015,2,37.5,2,51.38,2,15.75,2,4.039,2
11,0,2012,0.0001133,1,39,1,44.76,1,10.19,1,1.528,1
11,1,2012,0.002081,2,54,2,95.89,2,11.66,2,0.8972,2
11,2,2012,0.0003518,1,39,1,49.05,1,13.06,1,6.649,1
11,3,2012,0.0003587,2,40,2,76.76,2,14.52,2,3.649,2
11,4,2012,0.004465,2,188.5,2,272.8,2,7.502,2,3.225,2
11,5,2012,0.0006979,2,40.5,2,65.9,2,13.86,2,3.71,2
11,6,2012,0.000221,1,39,1,54.53,1,15.7,1,6.505,1
11,7,2012,nan,0,nan,0,nan,0,nan,0,4.008,1
11,8,2012,nan,0,nan,0,nan,0,nan,0,5.738,1
11,9,2012,0.0005022,3,39,3,49.39,3,17.3,3,2.221,5
11,10,2012,0.001906,6,38,6,72.08,6,19.91,6,2.047,9
11,11,2012,0.001995,2,42,2,113.3,2,11.85,2,3.97,2
11,12,2012,0.000449,3,41,3,53.39,3,7.236,3,1.685,5
11,13,2012,0.002069,2,39,2,51.35,2,9.319,2,1.338,4
11,14,2012,nan,0,nan,0,nan,0,nan,0,1.099,1
11,15,2012,0.007112,5,46,5,132.6,5,4.693,5,1.431,8
11,16,2012,0.0005842,4,39,4,52.46,4,13,4,1.566,7
11,17,2012,0.02599,9,37,9,41.09,9,3.49,9,3.531,4
