month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.001662,8,50,8,71.23,8,14.24,8,3.622,23
11,2,2013,0.001787,7,53,7,71.11,7,15.15,7,3.66,15
11,3,2013,0.0005877,12,55,12,73.79,12,10.65,12,2.686,22
11,4,2013,0.002385,9,46,9,64.57,9,11.98,9,3.581,17
11,5,2013,0.001603,13,54,13,63.7,13,14.97,13,3.62,17
11,6,2013,0.005798,8,43,8,61.06,8,13.17,8,0.8824,14
11,7,2013,0.002351,12,48,12,63.39,12,17.37,12,2.664,17
11,8,2013,0.001938,10,54.5,10,78.55,10,8.854,10,4,20
11,9,2013,0.002073,8,43.5,8,60.02,8,13.05,8,1.805,17
11,10,2013,0.002791,6,48,6,67.9,6,13.78,6,1.822,9
11,11,2013,0.002045,24,47.5,24,64.14,24,10.15,24,3.619,27
11,12,2013,0.00343,18,53.5,18,64.2,18,9.007,18,3.602,23
11,13,2013,0.00194,10,48,10,71.33,10,8.179,10,3.144,31
11,14,2013,0.00352,18,46,18,83.54,18,10.47,18,0.8824,31
11,15,2013,0.00152,13,47,13,65.52,13,14.85,13,2.418,18
11,16,2013,0.005512,13,49,13,87.12,13,6.214,13,3.56,20
11,17,2013,0.002933,8,47,8,72.36,8,9.055,8,3.557,12
11,18,2013,0.001277,6,51,6,76.72,6,8.453,6,3.636,10
11,19,2013,0.002438,16,48.5,16,75.6,16,9.984,16,3.585,25
11,20,2013,0.003419,14,48,14,100.5,14,4.791,14,2.711,18
11,21,2013,0.001443,15,41,15,57.22,15,11.18,15,3.604,19
11,22,2013,0.004205,10,45.5,10,58.07,10,13.36,10,3.631,14
11,23,2013,0.005389,12,44.5,12,113.3,12,2.269,12,1.586,19
11,24,2013,0.001494,23,43,23,67.39,23,9.072,23,3.529,30
11,25,2013,0.002852,21,50,21,76.01,21,10.56,21,3.617,25
11,26,2013,0.002625,10,46,10,64.49,10,7.612,10,4.486,16
11,27,2013,0.001229,16,44.5,16,55.85,16,18.94,16,4.476,24
11,28,2013,0.00337,10,42,10,69.6,10,12.89,10,3.58,13
11,29,2013,0.002497,14,46,14,74.81,14,6.642,14,2.683,20
11,30,2013,0.001535,7,45,7,60.31,7,8.948,7,3.621,12
