month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.001505,18,50,31,99.42,18,8.35,31,4.572,35
11,1,2013,0.001818,11,51,17,62.52,11,15.42,17,3.621,19
11,2,2013,0.001782,7,51,8,87.08,7,12.02,8,1.155,9
11,3,2013,0.004132,3,46,9,62.49,3,13.94,9,3.614,12
11,4,2013,0.0005999,5,53,6,64.66,5,15.69,6,1.766,4
11,5,2013,0.001418,3,49.5,4,58.65,3,19.15,4,3.61,4
11,6,2013,0.0008282,5,39,8,58.24,5,11.94,8,3.613,8
11,7,2013,0.0009932,10,48,10,62.3,10,14.92,10,3.594,10
11,8,2013,0.005047,4,50,7,77.31,4,9.609,7,2.572,7
11,9,2013,0.002852,11,47,16,58.76,11,12.28,16,3.671,17
11,10,2013,0.002714,18,48,23,71.23,18,10.02,23,1.269,28
11,11,2013,0.002209,15,46,20,56.72,15,11.24,20,2.223,21
11,12,2013,0.003053,19,48,25,64.4,19,9.441,25,1.958,27
11,13,2013,0.001253,16,49,23,70.8,16,8.946,23,2.253,24
11,14,2013,0.004192,13,52.5,24,65.68,13,6.848,24,2.237,26
11,15,2013,0.002579,18,48,24,70.38,18,10.18,24,3.621,27
11,16,2013,0.002006,24,45,33,62.61,24,7.359,33,3.593,34
11,17,2013,0.002505,17,50,23,77.49,17,7.08,23,4.268,26
11,18,2013,0.001779,19,49.5,38,62.22,19,10.39,38,3.579,39
11,19,2013,0.001467,17,51,22,64.81,17,12.19,22,3.622,22
11,20,2013,0.002243,16,47,25,67.5,16,10.54,25,3.259,29
11,21,2013,0.001892,34,43,47,65.16,34,7.597,47,3.607,51
11,22,2013,0.002896,33,47,41,74.61,33,5.544,41,0.9509,53
11,23,2013,0.002104,35,49,42,69.75,35,9.022,42,3.58,46
11,0,2012,0.003434,17,41,24,79.21,17,13.85,24,2.127,34
11,1,2012,0.007273,14,42,24,75.14,14,12.92,24,0.8369,40
11,2,2012,0.004438,13,43,18,73.91,13,12.95,18,2.937,19
11,3,2012,0.002286,11,44,24,57.13,11,14.92,24,3.207,25
11,4,2012,0.003841,11,46.5,16,68.34,11,6.741,16,3.165,16
11,5,2012,0.002095,7,44,11,55.19,7,13.69,11,3.612,13
11,6,2012,0.005739,7,45.5,8,59.8,7,7.647,8,3.38,9
11,7,2012,0.01583,3,44.5,6,60.5,3,12.22,6,2.752,6
11,8,2012,0.003375,9,46.5,12,63.65,9,14.4,12,3.229,14
11,9,2012,0.003822,20,44,27,54.01,20,10.76,27,2.405,29
11,10,2012,0.002291,12,43,17,52.48,12,15.48,17,2.298,20
11,11,2012,0.003968,27,44.5,36,72.11,27,10.72,36,1.165,42
11,12,2012,0.005068,21,44,27,54.73,21,9.45,27,2.381,30
11,13,2012,0.004176,13,44,29,82.38,13,10.54,29,2.53,32
11,14,2012,0.005087,21,48,29,79.17,21,9.542,29,2.649,30
11,15,2012,0.002039,31,42,39,48.97,31,15.05,39,2.866,42
11,16,2012,0.003547,25,42,38,70.53,25,8.876,38,2.709,40
11,17,2012,0.002582,39,44,49,66.05,39,10,49,2.72,57
11,18,2012,0.002608,27,44,42,61.3,27,11.32,42,2.371,47
11,19,2012,0.003243,40,42,55,64.22,40,8.249,55,2.765,57
11,20,2012,0.002231,39,43,52,61.71,39,7.044,52,3.054,55
11,21,2012,0.002134,24,42,28,70.53,24,10.61,28,3.128,33
11,22,2012,0.00188,29,40.5,40,62.33,29,11.09,40,3.347,44
11,23,2012,0.002397,38,44,47,72.19,38,9.207,47,3.049,50
10,0,2012,0.00491,74,60,103,101.9,74,8.292,103,3.369,108
10,1,2012,0.002038,49,52,80,104.1,49,8.763,80,3.373,81
10,2,2012,0.002107,48,75.5,62,97.21,48,6.731,62,3.397,66
10,3,2012,0.003106,36,61,48,92.99,36,9.423,48,3.36,51
10,4,2012,0.004298,17,76,29,106,17,6.742,29,3.321,30
10,5,2012,0.001997,16,61.5,24,86.42,16,9.192,24,3.593,26
10,6,2012,0.00179,10,70,22,83.95,10,6.089,22,2.806,24
10,7,2012,0.003995,18,48.5,28,72.51,18,6.995,28,3.653,32
10,8,2012,0.002155,17,46,31,60.65,17,11.38,31,3.256,31
10,9,2012,0.003491,22,44,32,55.08,22,9.805,32,3.366,36
10,10,2012,0.003164,39,44.5,50,56.71,39,7.673,50,3.051,53
10,11,2012,0.002646,35,45,51,55.54,35,10.25,51,3.103,54
10,12,2012,0.004599,38,45,61,85.99,38,6.833,61,2.547,65
10,13,2012,0.001695,45,50,73,93.11,45,7.415,73,2.983,74
10,14,2012,0.002656,64,68,87,95.63,64,7.588,87,3.21,91
10,15,2012,0.004582,54,70,88,97.73,54,7.278,88,3.146,98
10,16,2012,0.002745,59,47.5,96,87.13,59,6.982,96,2.847,97
10,17,2012,0.004158,58,48.5,86,93.29,58,7.348,86,2.746,93
10,18,2012,0.004119,68,46,93,87.11,68,9.473,93,2.988,101
10,19,2012,0.003684,62,45,91,80.56,62,9.845,91,3.213,100
10,20,2012,0.002279,63,46.5,84,88.74,63,7.203,84,3.209,87
10,21,2012,0.00289,74,48,95,93.61,74,7.107,95,3.409,97
10,22,2012,0.004343,87,50,113,93.71,87,6.657,113,3.149,118
10,23,2012,0.0035,78,50,96,94.6,78,6.519,96,3.113,101
10,0,2013,0.003764,27,56,34,78.37,27,8.43,34,2.627,45
10,1,2013,0.005444,21,56.5,26,67.86,21,10.34,26,2.832,26
10,2,2013,0.002054,4,58,7,71.55,4,19.78,7,4.617,8
10,3,2013,0.004076,6,42,11,57.59,6,15.47,11,3.61,12
10,4,2013,0.004877,4,55,5,65.92,4,13.37,5,3.617,5
10,5,2013,0.005987,2,56,3,116.3,2,8.397,3,5.816,3
10,6,2013,0.002127,8,52,12,65.81,8,11.82,12,3.619,13
10,7,2013,0.002629,7,58,9,72.1,7,8.376,9,3.402,9
10,8,2013,0.003452,13,51,16,70.64,13,12.58,16,3.566,17
10,9,2013,0.002083,16,53,16,72.62,16,11.26,16,3.568,19
10,10,2013,0.001972,15,50.5,16,62.4,15,11.04,16,3.612,15
10,11,2013,0.002562,10,52,17,66.53,10,12.03,17,1.176,20
10,12,2013,0.002421,17,47,23,67.41,17,12.26,23,3.615,21
10,13,2013,0.00304,18,56,27,72.23,18,6.902,27,1.647,34
10,14,2013,0.002386,29,48,39,64.04,28,12.84,40,2.867,39
10,15,2013,0.001021,15,49.5,22,68.54,15,10.44,22,3.561,23
10,16,2013,0.002284,20,49.5,26,76.2,20,6.808,26,1.284,27
10,17,2013,0.001845,27,54,31,68.23,27,11.94,31,3.567,35
10,18,2013,0.001362,22,49,24,62.45,22,10.69,24,3.085,27
10,19,2013,0.001956,26,52.5,32,65.89,26,16.28,32,3.623,33
10,20,2013,0.002752,21,52,29,72.24,21,13.03,29,3.593,30
10,21,2013,0.001548,24,46.5,26,70.7,24,11.98,26,3.594,27
10,22,2013,0.002429,29,50,35,68.93,29,9.811,35,3.168,37
10,23,2013,0.002061,27,53,30,69.18,27,12.24,30,3.616,31
4,0,2014,0.002357,28,48.5,28,72.93,28,8.784,28,3.419,30
4,1,2014,0.001048,14,44,17,59.16,14,16.49,17,5.837,18
4,2,2014,0.0009009,9,49,11,53.45,9,10.1,11,5.838,11
4,3,2014,0.001291,16,48,18,66.73,16,17.89,18,5.887,21
4,4,2014,0.001081,7,46,9,60.17,7,17.75,9,5.449,9
4,5,2014,0.003501,15,37.5,18,59.9,15,11.2,18,1.244,19
4,6,2014,0.002052,11,47,13,59.38,11,24.93,13,5.927,14
4,7,2014,0.004432,13,47,14,57.77,13,14.15,14,4.495,16
4,8,2014,0.0005508,5,40,7,49.43,5,11.38,7,1.544,8
4,9,2014,0.002308,43,42.5,46,53.75,43,14.45,46,1.856,49
4,10,2014,0.002911,30,50,39,66.64,30,7.679,39,2.074,40
4,11,2014,0.003567,39,47,47,58.5,39,11.66,47,5.829,49
4,12,2014,0.003297,51,46.5,62,58.89,51,13.13,62,2.306,64
4,13,2014,0.001856,56,43,75,62.4,56,12.64,75,1.395,76
4,14,2014,0.001657,50,53,60,68.03,50,11.58,60,1.663,63
4,15,2014,0.001618,56,48,65,62.83,56,14.04,65,4.566,68
4,16,2014,0.003706,34,52,42,65.69,34,9.514,42,2.031,45
4,17,2014,0.002293,34,46,46,62.07,34,11.35,46,3.249,54
4,18,2014,0.002643,42,48.5,50,62.93,42,11.52,50,4.258,53
4,19,2014,0.002755,46,51,54,70.69,46,10.09,54,2.268,59
4,20,2014,0.003236,28,46.5,40,69.63,28,9.253,40,5.689,42
4,21,2014,0.002113,34,48,38,61.71,34,9.395,38,5.365,45
4,22,2014,0.002554,33,46,37,57.2,33,8.931,37,5.686,41
4,23,2014,0.002234,38,48,42,74.66,38,7.078,42,2.989,46
4,0,2013,0.002549,15,46,17,76.76,15,12.59,17,3.361,19
4,1,2013,0.004713,24,45,31,62.29,24,9.622,31,2.868,36
4,2,2013,0.002726,8,47,12,76.8,8,9.231,12,3.186,13
4,3,2013,0.01546,7,50,9,109.8,7,3.123,9,3.087,10
4,4,2013,0.002195,8,42.5,10,84.49,8,9.969,10,3.101,10
4,5,2013,0.001836,6,41.5,10,104.2,6,11.9,10,3.39,10
4,6,2013,0.004094,12,42,20,54.47,12,12.22,20,4.506,21
4,7,2013,0.007483,5,41.5,6,51.75,5,11.66,6,3.624,8
4,8,2013,0.000815,7,43,9,54.76,7,14.27,9,3.347,10
