month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.003043,11,53,13,62.8,11,12.14,13,0.896,13
11,2,2013,0.002539,7,38,9,76.34,7,11.24,9,0.8555,10
11,3,2013,0.0303,3,52,13,93.5,3,9.326,13,0.892,16
11,4,2013,0.0006373,4,44.5,10,103,4,12.77,10,0.8828,10
11,5,2013,0.003514,3,52,7,104.3,3,11.17,7,0.8349,7
11,6,2013,0.003726,5,42,8,70.52,5,11.72,8,0.8746,11
11,7,2013,0.0007815,1,52,6,70.18,1,13.68,6,1.232,6
11,8,2013,0.003333,8,56,13,70.89,8,12.54,14,0.8772,17
11,9,2013,0.005635,9,42,11,69.04,9,7.229,11,0.7629,12
11,10,2013,0.004333,6,55.5,10,133,6,6.098,10,0.7168,14
11,11,2013,0.004161,5,62.5,14,60.17,5,10.4,14,0.8781,15
11,12,2013,0.00169,3,50,9,87.63,3,10.83,9,0.8691,11
11,13,2013,0.003034,11,47.5,16,65.72,11,12.89,16,0.8888,17
11,14,2013,0.003626,13,42,23,73.29,13,10.22,23,0.9957,25
11,15,2013,0.005763,11,52,20,90.32,11,11.56,20,0.88,20
11,16,2013,0.005527,10,48,19,104.9,10,8.838,19,0.6862,20
11,17,2013,0.002776,3,43,9,73.15,3,8.926,9,0.7509,10
11,18,2013,0.003131,10,57.5,14,74.7,10,9.631,14,0.8837,14
11,19,2013,0.006866,8,54,15,76.56,8,10.84,15,0.874,16
11,20,2013,0.005666,2,43.5,10,152.4,2,9.386,10,0.8009,11
11,21,2013,0.001015,3,44,10,70.54,3,9.559,10,0.6532,11
11,22,2013,0.001346,5,49.5,10,79.84,5,13.13,10,0.9007,12
11,23,2013,0.005718,5,54,11,93.24,6,8.944,11,0.8667,13
11,24,2013,0.002901,10,43,15,73.62,10,11.54,15,0.8344,20
11,25,2013,0.0006576,7,50.5,14,112.2,7,14.03,14,0.8894,17
11,26,2013,0.001587,9,42,19,118.5,9,11.42,19,1.163,20
11,27,2013,0.0006011,13,45,25,69.81,13,11.48,25,0.8875,25
11,28,2013,0.0009233,2,54,13,106.5,2,6.877,13,0.8365,15
11,29,2013,0.003133,9,51,16,82.27,9,12.33,16,0.8766,16
11,30,2013,0.005237,5,44,13,72.93,5,6.963,13,0.5982,21
11,1,2012,0.002164,20,48,27,76.52,20,14.05,27,0.8978,28
11,2,2012,0.004443,11,56.5,22,88.21,11,9.064,22,1.25,23
11,3,2012,0.007388,8,43,20,109,8,9.633,20,0.8277,21
11,4,2012,0.00318,15,51,21,67.78,15,12.23,21,0.8282,27
11,5,2012,0.004482,22,51,33,75.32,22,8.59,33,0.8265,35
11,6,2012,0.007127,5,48,17,72.54,5,11.43,17,0.8019,21
