month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.004191,42,41,42,117.5,42,13.71,42,6.74,85
11,2,2013,0.002817,53,40,53,96.21,53,16.08,53,8.762,102
11,3,2013,0.002937,57,40,57,109.6,57,18.5,57,5.236,117
11,4,2013,0.002673,43,39,43,120.8,43,10.53,43,4.754,79
11,5,2013,0.002897,49,41,49,101.8,49,16.17,49,6.947,97
11,6,2013,0.004077,51,41,51,98.26,51,10.43,51,7.079,75
11,7,2013,0.005823,40,42,40,100.7,40,17.74,40,9.671,69
11,8,2013,0.00585,44,44,44,126.5,44,15.4,44,7.079,90
11,9,2013,0.003396,48,48.5,48,101.7,48,8.849,48,7.038,92
11,10,2013,0.004847,43,42,43,109.3,43,13.9,43,9.867,101
11,11,2013,0.005953,41,54,41,116.2,41,12.86,41,8.887,101
11,12,2013,0.006231,45,49,45,133.5,45,16,45,9.736,91
11,13,2013,0.003224,46,41,46,113.5,46,12.22,46,8.576,68
11,14,2013,0.004919,45,50,45,124.6,45,12.08,45,5.011,97
11,15,2013,0.004351,56,45,56,106.7,56,14.98,56,6.308,99
11,16,2013,0.003642,36,43,36,103.5,36,10.58,36,5.853,74
11,17,2013,0.001413,56,39,56,99,56,13.34,56,5.696,121
11,18,2013,0.002907,45,40,45,96.89,45,9.538,45,5.817,91
11,19,2013,0.001133,39,50,39,120.3,39,15.89,39,7.801,84
11,20,2013,0.002995,40,43,40,122.4,40,21.33,40,12.68,85
11,21,2013,0.003822,47,39,47,85.68,47,12.29,47,7.474,110
11,22,2013,0.004695,51,42,51,127,51,20.02,51,4.181,92
11,23,2013,0.001271,70,39,70,94.6,70,19.3,70,10.63,129
11,24,2013,0.002689,72,47.5,72,104.2,72,15.49,72,8.011,131
11,25,2013,0.001923,71,47,71,109.8,71,16.76,71,11.93,115
11,26,2013,0.003613,70,53.5,70,124.4,70,10.39,70,4.062,127
11,27,2013,0.002457,47,49,47,96.67,47,12.26,47,4.359,116
11,28,2013,0.002521,45,41,45,106.1,45,12.15,45,5.761,74
11,29,2013,0.003723,46,49.5,46,117.8,46,18.47,46,5.732,91
11,30,2013,0.002899,73,47,73,123.1,73,11.63,73,8.167,120
11,1,2012,0.006585,41,42,41,119.7,41,23.12,41,10.23,90
11,2,2012,0.007268,43,44,43,110.4,43,23.5,43,13.05,92
11,3,2012,0.007356,34,46,34,114.9,34,22.95,34,10.15,85
11,4,2012,0.006625,59,44,59,121.6,59,12.38,59,4.332,109
11,5,2012,0.007241,51,44,51,134.9,51,22.98,51,4.178,119
11,6,2012,0.00683,41,41,41,118.4,41,23.99,41,10.25,85
11,7,2012,0.007515,43,47,43,118.9,43,12.73,43,4.983,83
11,8,2012,0.007147,36,42,36,116.2,36,22.55,36,11.68,69
11,9,2012,0.004769,59,48,59,121,59,14.66,59,4.309,96
11,10,2012,0.006783,43,42,43,106.1,43,22.16,43,14.37,87
11,11,2012,0.006425,35,40,35,116.5,35,21.48,35,8.902,80
11,12,2012,0.006858,50,44,50,123.9,50,21.96,50,9.99,123
11,13,2012,0.007068,40,48,40,121.2,40,23.36,40,10.64,105
11,14,2012,0.006155,51,44,51,133.5,51,23.08,51,10.62,104
11,15,2012,0.0068,68,44,68,128.5,68,22.29,68,4.476,118
11,16,2012,0.006376,61,48,61,115.8,61,20.49,61,7.857,109
11,17,2012,0.006399,35,41,35,90.75,35,22.93,35,6.758,96
11,18,2012,0.006479,56,42,56,114.1,56,17.01,56,10.35,106
11,19,2012,0.00635,43,41,43,119.4,43,22.42,43,8.143,93
11,20,2012,0.006752,51,42,51,114.7,51,17.03,51,5.953,99
11,21,2012,0.006979,49,44,49,115.7,49,23.18,49,13.92,93
11,22,2012,0.006336,30,43.5,30,117.4,30,23.28,30,9.042,80
11,23,2012,0.006482,64,44,64,115.1,64,22.63,64,4.155,124
