month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.002989,51,39,81,79.58,51,14.62,81,6.435,90
11,1,2013,0.005657,50,40,77,105.2,50,23.01,77,9.246,83
11,2,2013,0.005996,34,39.5,56,83.61,34,23.75,56,14.11,57
11,3,2013,0.006056,33,40,66,125.1,33,23.04,66,13.54,67
11,4,2013,0.007807,22,48,33,133.8,22,23.39,33,19.71,33
11,5,2013,0.005929,24,40,36,134,24,23.3,36,20.09,37
11,6,2013,0.00612,34,42,49,109.4,34,19.94,49,17.49,50
11,7,2013,0.001333,45,42,63,121.5,45,13.5,63,6.131,67
11,8,2013,0.003368,57,41,110,104.6,57,19.95,110,7.182,120
11,9,2013,0.002872,50,40,100,103.4,50,21.22,100,10.01,106
11,10,2013,0.001803,69,39,129,109.6,69,21.42,129,9.019,134
11,11,2013,0.002688,63,40,101,114.3,63,17.57,101,5.39,116
11,12,2013,0.00294,62,43,103,123.2,62,15.7,103,4.755,111
11,13,2013,0.003603,56,39,111,106.8,56,16.24,111,6.475,114
11,14,2013,0.003265,82,40,138,110.8,82,19.05,138,4.808,145
11,15,2013,0.004333,53,40,116,103.8,53,12.48,116,4.33,136
11,16,2013,0.003984,68,40,130,96.23,68,22.07,130,10.02,136
11,17,2013,0.002117,75,40,140,98.62,75,14.35,140,5.485,149
11,18,2013,0.00173,82,41,157,111.9,82,12.58,157,4.335,181
11,19,2013,0.001411,94,43.5,172,112.7,94,18.28,172,8.022,186
11,20,2013,0.003302,111,53,205,109.3,111,14.1,205,7.381,216
11,21,2013,0.001989,119,58,214,117.6,119,14.8,214,7.506,225
11,22,2013,0.002925,99,50,189,116.7,99,13.04,189,6.28,206
11,23,2013,0.00356,78,40,141,69.88,78,14.77,141,5.73,158
11,0,2012,0.007215,70,44,110,119,70,23.25,110,14.15,118
11,1,2012,0.007129,61,40.5,96,131.6,61,23.22,96,12.24,104
11,2,2012,0.007154,51,42,72,114.3,51,22.26,72,10.89,89
11,3,2012,0.006857,36,42,65,116.4,36,23.85,65,13.31,71
11,4,2012,0.006593,27,42.5,56,119.8,27,23.12,56,12.32,57
11,5,2012,0.008175,22,41.5,42,125.6,22,23.13,42,13.95,46
11,6,2012,0.00757,37,42,62,119.1,37,24.07,62,18.66,69
11,7,2012,0.00663,42,42.5,74,118.3,42,23.11,74,13.81,77
11,8,2012,0.007065,41,40,76,111.2,41,22.94,76,12.54,81
11,9,2012,0.006683,54,42,112,111.3,54,21.95,112,5.025,124
11,10,2012,0.006474,61,44,105,123.6,61,17.34,105,4.923,118
11,11,2012,0.007577,74,42.5,122,118.8,74,22.62,122,5.218,139
11,12,2012,0.006923,60,40,108,110.1,60,19.16,108,4.92,114
11,13,2012,0.006101,57,42,114,149,57,23.39,114,6.43,125
11,14,2012,0.007149,67,40,125,117.1,67,22.93,125,9.627,140
11,15,2012,0.006498,60,42,115,106.4,60,23.13,115,5.129,121
11,16,2012,0.005857,64,40,123,105.7,64,22.09,123,5.729,134
11,17,2012,0.005875,76,41,147,119.9,76,19.96,147,4.053,165
11,18,2012,0.006676,69,41,144,116,69,18.28,144,6.42,151
11,19,2012,0.004756,68,40,149,115.1,68,20.65,149,7.493,158
11,20,2012,0.005155,67,42,147,118.1,67,20.49,147,8.975,172
11,21,2012,0.005158,84,40,175,109.3,84,20.21,175,5.953,195
11,22,2012,0.006463,76,41,149,114,76,20.75,149,7.177,159
11,23,2012,0.006105,81,40,156,126.1,81,18.57,156,4.165,172
10,0,2012,0.006958,72,42,129,117.8,72,16.94,129,4.426,143
10,1,2012,0.007314,55,41.5,88,120.1,55,23.36,88,12.08,95
10,2,2012,0.007236,37,42,73,121.4,37,23.72,73,12.64,76
10,3,2012,0.00812,29,48,43,129,29,23.04,43,12.25,47
10,4,2012,0.007191,36,44,54,120.1,36,23.51,54,19.48,59
10,5,2012,0.007257,34,47,58,120.9,34,23.73,58,19.81,63
10,6,2012,0.00805,34,44.5,64,127.8,34,23.17,64,19.93,69
10,7,2012,0.007028,46,41,77,128.6,46,23.44,77,14.95,81
10,8,2012,0.006646,52,42.5,82,115.6,52,21.93,82,9.576,94
10,9,2012,0.006741,52,39.5,104,109.9,52,23.57,104,10.65,109
10,10,2012,0.006286,59,40,116,116.8,59,22.22,116,10.19,122
10,11,2012,0.006677,58,42,130,117.6,59,14.92,130,4.129,147
10,12,2012,0.006435,75,41,129,117.3,75,20.26,129,8.244,138
10,13,2012,0.007029,60,42,112,131.8,60,22.47,112,4.357,124
10,14,2012,0.006801,82,42,159,119.4,82,20.97,159,3.888,173
10,15,2012,0.006745,71,42,146,123.6,71,18.76,146,4.085,167
10,16,2012,0.007285,64,42,126,109.9,64,20.84,126,9.584,137
10,17,2012,0.006667,64,42,133,110,64,17.46,133,4.447,150
10,18,2012,0.006767,91,40,150,116.4,91,21.41,150,7.748,170
10,19,2012,0.006415,87,40,161,114.6,87,17.25,161,9.474,176
10,20,2012,0.005846,73,44,127,108,73,19.39,127,9.845,134
10,21,2012,0.006422,88,47,171,122,88,17.43,171,5.525,190
10,22,2012,0.006626,77,47,143,134.2,77,14.24,143,4.013,169
10,23,2012,0.006239,68,42,138,115.4,68,20.1,138,8.249,149
10,0,2013,0.005889,58,40,115,106,58,18.53,115,9.868,122
10,1,2013,0.006196,49,42,87,109.7,49,21.93,87,9.632,93
10,2,2013,0.007184,36,42,59,132.2,36,23.13,59,11.39,63
10,3,2013,0.007248,28,40,51,134.4,28,23.75,51,16.06,55
10,4,2013,0.006425,22,47.5,38,127.6,22,22.02,38,11.95,40
10,5,2013,0.006842,32,42.5,50,100.4,32,22.35,50,13.81,52
10,6,2013,0.006414,42,44,62,103.2,42,18.23,62,5.634,63
10,7,2013,0.006345,49,42,83,131.7,49,22.73,83,12.88,89
10,8,2013,0.005565,43,40,72,107.6,43,23.39,72,10.8,80
10,9,2013,0.002137,60,40,111,108.1,60,17.4,111,4.343,118
10,10,2013,0.00409,72,41,119,113.3,72,22.13,119,5.575,133
10,11,2013,0.003205,74,40,143,110.3,74,17.33,143,6.947,158
10,12,2013,0.003604,75,41,127,112.3,75,12.98,127,4.339,137
10,13,2013,0.006042,77,42,121,118,77,14.24,121,5.487,130
10,14,2013,0.005664,77,40,142,107.2,77,21.08,142,8.982,153
10,15,2013,0.003684,81,40,151,111.8,81,18.51,151,6.716,159
10,16,2013,0.002239,87,40,155,105.3,87,17.47,155,6.198,162
10,17,2013,0.005608,95,42,150,125.2,95,16.62,150,8.799,158
10,18,2013,0.003574,95,40,179,102.7,95,18.74,179,4.289,197
10,19,2013,0.0023,111,43,189,112.7,111,20.72,189,4.324,208
10,20,2013,0.002657,103,42,195,126.1,103,13.17,195,4.251,216
10,21,2013,0.005355,116,44,199,130.6,116,14.75,199,5.312,213
10,22,2013,0.004597,117,43,210,126,118,17.75,210,6.855,224
10,23,2013,0.005056,67,40,122,113,67,21.49,122,9.533,133
4,0,2014,0.004021,63,40,91,106.8,63,20.95,91,9.284,103
4,1,2014,0.006579,36,39.5,78,104.9,36,21.44,78,6.396,87
4,2,2014,0.006698,37,41,67,111.8,37,17.09,67,10.84,67
4,3,2014,0.005991,47,43,63,103.9,47,22.93,63,10.44,67
4,4,2014,0.006203,42,44,55,109.6,42,21.64,55,8.369,59
4,5,2014,0.006172,18,40,43,104.6,18,23.95,43,12.94,43
4,6,2014,0.006374,46,42,73,82.24,46,22.49,73,12.22,75
4,7,2014,0.005945,43,42,75,110.8,43,22.68,75,9.505,79
4,8,2014,0.006039,59,40,104,114.7,59,23.63,104,13.55,107
4,9,2014,0.001823,52,39,105,82.8,52,23.31,105,12.8,111
4,10,2014,0.001898,80,40,133,108.1,80,21.16,133,4.137,153
4,11,2014,0.003297,56,41.5,114,104,56,20.08,114,4.594,124
4,12,2014,0.005591,83,41,140,102.3,83,19.01,140,6.599,146
4,13,2014,0.003558,81,42,121,104.6,81,16.64,121,5.963,123
4,14,2014,0.003771,83,40,139,108.8,83,18.2,139,4.719,154
4,15,2014,0.004223,71,40.5,124,98.39,71,15.84,124,3.564,132
4,16,2014,0.003815,75,40,127,124.9,75,18.78,127,8.458,128
4,17,2014,0.005146,96,42,170,101.9,97,17.8,170,5.168,184
4,18,2014,0.005591,86,40,153,115,86,20.23,153,8.699,174
4,19,2014,0.003244,86,40,177,102.6,86,18.13,177,8.062,196
4,20,2014,0.003133,106,42,186,97.95,106,18.41,186,8.606,197
4,21,2014,0.002747,110,42,193,125.9,110,17.65,193,5.766,219
4,22,2014,0.003806,97,40,172,129.3,97,14.66,172,6.777,190
4,23,2014,0.004525,80,40,151,113.3,80,14.05,151,4.128,162
4,0,2013,0.007261,60,41,110,114.8,60,22.8,110,12.39,114
4,1,2013,0.006322,39,42,64,114.1,39,22.03,64,7.109,73
4,2,2013,0.006834,37,42,56,116.5,37,22.49,56,12.65,61
4,3,2013,0.006443,31,40,51,106.7,31,22.62,51,10.06,59
4,4,2013,0.007226,40,42,50,114.6,40,23.52,50,19.37,52
4,5,2013,0.006329,35,41,42,116.2,35,23.7,42,16.38,47
4,6,2013,0.00637,46,44,57,117.6,46,23.11,57,20.06,57
4,7,2013,0.006865,32,44.5,50,116.9,32,23.83,50,19.98,55
4,8,2013,0.006661,39,40,67,110.2,39,22.8,67,9.45,74
4,9,2013,0.007197,40,40,77,118.5,40,21.64,77,9.92,78
4,10,2013,0.005168,60,40,106,108.2,60,22.76,106,12.27,110
4,11,2013,0.007101,52,39,109,111.7,52,20.24,109,7.903,112
4,12,2013,0.005133,57,40,105,107.7,57,21.31,105,9.513,116
4,13,2013,0.004737,55,40,92,105.7,55,21.69,92,11.84,95
4,14,2013,0.00707,64,40,109,125.5,64,22.45,109,7.295,114
4,15,2013,0.006395,66,40,127,107.5,66,21.18,127,5.688,135
4,16,2013,0.00505,77,40.5,130,100.7,77,23.1,130,11.93,140
4,17,2013,0.005152,63,40,115,105.4,63,20.37,115,9.836,125
4,18,2013,0.005778,57,40.5,114,104.3,57,22.71,114,11.43,122
4,19,2013,0.005866,84,41,144,114.7,84,18.6,144,7.771,158
4,20,2013,0.005872,80,46,140,109.3,80,17.51,140,7.27,148
4,21,2013,0.006299,80,42,140,108.9,80,17.86,140,7.032,160
4,22,2013,0.004288,71,40,137,103.3,71,20.36,137,9.291,148
4,23,2013,0.006661,76,40,132,117.1,76,22.23,132,11.62,137
4,0,2012,0.006942,24,42,43,131.4,24,23.24,43,10.17,47
4,1,2012,0.006868,21,42,31,136.4,21,23.49,31,5.158,35
4,2,2012,0.007171,20,39,34,122.5,20,24.3,34,19.78,37
4,3,2012,0.006754,23,43,37,128,23,24.12,37,19.43,40
4,4,2012,0.006821,24,39.5,30,116.4,24,24.37,30,20.7,32
4,5,2012,0.007437,15,44.5,24,125.7,15,23.99,24,20.13,26
4,6,2012,0.007712,22,44,29,128.8,22,23.39,29,20.41,31
4,7,2012,0.007642,17,40,27,132.6,17,24.38,27,20.32,29
4,8,2012,0.007697,21,40,38,125.8,21,23.92,38,13.73,38
4,9,2012,0.007848,16,39,39,149.3,16,23.99,39,15.13,39
4,10,2012,0.00746,19,44,41,107.9,19,22.49,41,7.382,45
4,11,2012,0.006973,34,42,49,122.1,34,23.37,49,20.38,58
4,12,2012,0.006556,21,41,43,128.8,21,23.6,43,13.56,45
4,13,2012,0.006202,24,39,48,104.1,24,23.82,48,11.67,49
4,14,2012,0.007204,23,41.5,58,129.4,23,23.37,58,8.404,64
4,15,2012,0.007424,33,40,60,140.6,33,21.87,60,10.95,60
4,16,2012,0.007877,27,40,48,134.1,27,22.72,48,11.65,55
4,17,2012,0.007183,26,40.5,56,129.2,26,23.4,56,11.79,59
4,18,2012,0.005082,27,39.5,54,125.4,27,23.91,54,13.42,59
4,19,2012,0.007306,37,40,76,133.1,37,14.79,76,4.184,82
4,20,2012,0.007244,21,42,49,137.7,21,15.03,49,3.647,53
4,21,2012,0.007545,28,43,48,114.9,28,16.6,48,4.167,55
4,22,2012,0.006893,30,42,45,104.2,30,19.6,45,4.692,58
4,23,2012,0.006555,36,40,70,120.1,36,21.27,70,4.082,76
12,0,2012,0.006624,55,41,105,118,55,19.03,105,4.47,118
12,1,2012,0.006739,59,42,110,116.1,59,22.55,110,10.33,121
12,2,2012,0.005815,27,39,53,110.3,27,22.82,53,7.805,60
12,3,2012,0.006846,34,40,68,119.6,34,24.02,68,14.26,74
12,4,2012,0.00692,22,42,43,120.2,22,22.81,43,5.397,49
12,5,2012,0.00631,39,42,61,113.8,39,24.13,61,20.25,62
12,6,2012,0.007488,39,47,48,135.7,39,23.45,48,19.45,51
12,7,2012,0.00648,41,41,64,110.8,41,23.83,64,19.83,69
12,8,2012,0.006239,49,41,94,130.8,49,23.03,94,9.702,106
12,9,2012,0.00664,54,40,102,117.9,54,23.06,102,8.101,107
12,10,2012,0.006958,44,43,84,121.2,44,22.62,84,4.962,90
12,11,2012,0.007788,52,40,110,130.9,52,17.7,110,5.958,117
12,12,2012,0.006144,57,40,117,115.8,57,22.93,117,4.135,129
12,13,2012,0.006707,67,40,129,101.5,67,22.9,129,7.973,137
12,14,2012,0.006631,45,43,103,112.1,45,15.79,103,3.771,121
12,15,2012,0.005783,66,39,117,120,66,22.91,117,7.357,126
12,16,2012,0.006172,70,39,138,109.2,70,23.07,138,8.141,151
12,17,2012,0.006773,93,40,141,110.4,93,20.72,141,6.448,157
12,18,2012,0.005992,56,42,111,111.2,56,22.93,111,9.346,127
12,19,2012,0.005562,58,43,141,113.7,58,19.27,141,4.252,160
12,20,2012,0.006289,73,47,150,131.6,73,16.46,150,6.033,165
12,21,2012,0.007029,75,48,137,117.3,75,19.97,137,4.694,156
12,22,2012,0.006308,74,46,153,120.5,74,21.96,153,10.54,166
12,23,2012,0.005708,63,42,123,101.1,63,20.71,123,8.527,131
12,0,2013,0.004391,40,44,97,130.7,40,19.35,97,7.796,105
12,1,2013,0.004302,41,40,77,122.1,41,18.12,77,6.473,80
12,2,2013,0.005776,38,40,61,108.5,38,22.97,61,6.629,61
12,3,2013,0.006038,44,42,62,103.5,44,23.04,62,16.36,62
12,4,2013,0.008016,25,40.5,48,128.6,25,24.2,48,15.32,48
12,5,2013,0.005971,37,41,53,105.9,37,20.95,53,14.32,56
12,6,2013,0.006382,35,40,61,98.38,35,22.88,61,12.4,64
12,7,2013,0.003963,44,40,82,114.6,44,21.85,82,8.347,86
12,8,2013,0.002463,50,42,75,113.9,50,18.69,75,7.197,81
12,9,2013,0.001834,55,39,93,103.4,55,11.81,93,4.561,106
12,10,2013,0.005953,74,40.5,138,104.5,74,14.45,138,4.299,147
12,11,2013,0.002039,81,41,149,106.6,81,17.58,149,4.179,157
12,12,2013,0.001196,81,40,134,112.7,81,16.22,134,4.48,148
12,13,2013,0.005222,67,43,134,113,67,17.84,134,4.16,146
12,14,2013,0.003212,67,42,127,111.4,67,20.52,127,6.155,135
12,15,2013,0.00547,80,46,127,102.2,80,17.65,127,4.691,135
12,16,2013,0.002978,73,40,121,101.7,73,20.52,121,8.895,135
12,17,2013,0.003265,83,42,138,110.5,83,17.91,138,7.9,147
12,18,2013,0.002623,94,42,157,110.4,94,13.65,157,4.003,170
12,19,2013,0.005147,84,52,148,109,84,14.73,148,7.479,161
12,20,2013,0.00428,105,65,159,143.4,105,9.189,159,4.247,172
12,21,2013,0.006724,101,71.5,162,136.8,101,13.15,162,5.101,178
12,22,2013,0.004199,92,65,154,140.2,92,11.86,154,4.478,163
12,23,2013,0.005701,99,55.5,144,140.7,99,7.807,144,3.93,164
9,0,2012,0.007481,54,42,101,128.1,54,23.27,101,7.013,140
9,1,2012,0.007431,46,42,107,133.4,46,21.93,107,5.461,127
9,2,2012,0.006609,45,40,67,104.9,45,23.23,67,13.17,82
9,3,2012,0.006563,47,44,63,117.3,47,23.46,63,14.66,82
9,4,2012,0.007219,32,42,51,130.8,32,23.45,51,13.21,65
9,5,2012,0.007492,33,45,54,128.4,33,23.97,54,13.91,70
9,6,2012,0.007261,36,44.5,58,126.5,36,23.26,58,16.61,72
9,7,2012,0.007516,44,44.5,68,127.4,44,23.34,68,19.76,74
9,8,2012,0.007208,56,42,83,110.1,56,22.16,83,5.016,107
