month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.003155,116,30,142,71.8,116,6.178,142,0.7627,161
11,1,2013,0.003541,56,30,74,85.49,56,5.065,74,0.7865,84
11,2,2013,0.003654,28,32,39,72.33,28,5.328,39,0.5904,53
11,3,2013,0.004344,25,30,34,77.54,25,3.7,34,0.5913,46
11,4,2013,0.001828,26,30.5,30,78.57,26,7.226,30,0.9934,31
11,5,2013,0.004147,36,33,54,88.54,36,4.493,54,0.6179,60
11,6,2013,0.005093,62,30,78,90.61,62,5.048,78,0.7554,87
11,7,2013,0.002738,89,30,112,75.17,89,5.63,112,0.8721,128
11,8,2013,0.003913,119,29,148,65.71,119,5.025,148,0.8871,163
11,9,2013,0.002905,135,30,179,66.6,135,5.594,179,0.8714,195
11,10,2013,0.002972,121,33,149,66.83,121,6.487,149,0.7796,159
11,11,2013,0.003384,140,32,170,74.54,140,5.244,170,0.8799,184
11,12,2013,0.004569,132,32,163,73.28,132,4.992,163,0.7684,185
11,13,2013,0.004766,154,31,186,88.54,154,3.603,186,0.6106,217
11,14,2013,0.005459,150,32,177,89.74,150,4.885,177,0.7257,204
11,15,2013,0.004654,136,33,171,76.24,136,4.92,171,0.7875,202
11,16,2013,0.004507,199,37,260,73.27,199,4.798,260,0.7775,286
11,17,2013,0.004927,202,33,248,84.93,202,4.359,248,0.7789,280
11,18,2013,0.007357,211,41,264,71.53,211,4.278,264,0.8496,290
11,19,2013,0.006929,269,40,314,70.31,269,4.499,314,0.928,339
11,20,2013,0.0077,270,43,307,67.98,270,3.238,307,0.7772,351
11,21,2013,0.005959,286,41.5,330,75.58,286,3.865,330,0.8717,379
11,22,2013,0.007329,304,37,348,62.49,304,4.084,348,1.079,376
11,23,2013,0.005741,182,36,217,66.08,182,4.037,217,0.8687,240
11,0,2012,0.005369,233,34.5,310,87.89,233,3.725,310,0.5414,361
11,1,2012,0.005763,152,31,197,82.54,152,3.88,197,0.5478,223
11,2,2012,0.005037,126,31.5,178,85.51,125,4.301,179,0.5495,211
11,3,2012,0.005328,107,35,133,90.56,107,4.272,133,0.5493,161
11,4,2012,0.004515,95,36,131,93.39,95,4.859,131,0.607,154
11,5,2012,0.003615,137,34.5,170,87.14,137,5.337,170,0.7399,187
11,6,2012,0.003394,142,38,178,85.36,142,4.915,178,0.6186,201
11,7,2012,0.004864,163,38,208,90.26,163,4.17,208,0.5513,253
11,8,2012,0.004566,145,38,218,91.76,145,4.246,218,0.5956,259
11,9,2012,0.005048,241,33,330,83.9,241,4.937,330,0.5721,391
11,10,2012,0.00467,290,32,383,84.59,290,4.604,383,0.64,438
11,11,2012,0.00542,258,35,336,92.62,258,4.929,336,0.5955,392
11,12,2012,0.00489,335,34,431,84.45,335,4.945,431,0.6291,474
11,13,2012,0.005123,292,35,393,94.91,292,4.062,393,0.6736,440
11,14,2012,0.005368,353,37,429,89.6,353,4.696,429,0.5946,495
11,15,2012,0.00491,331,33,401,84.7,331,4.446,401,0.5986,464
11,16,2012,0.0057,399,36.5,472,89.44,399,4.553,472,0.6495,556
11,17,2012,0.005453,386,35,497,90.06,385,4.574,498,0.6027,576
11,18,2012,0.005502,431,34,558,87.06,431,4.763,558,0.6046,643
11,19,2012,0.004881,495,36,593,89.55,495,4.49,593,0.601,691
11,20,2012,0.005045,480,33,606,87.09,479,4.555,607,0.5885,682
11,21,2012,0.005089,443,32,541,84.5,443,4.08,541,0.6017,624
11,22,2012,0.005024,377,36,499,86.09,377,3.477,499,0.6868,578
11,23,2012,0.005975,335,31,435,86.29,335,4.053,435,0.5489,494
10,0,2012,0.004276,206,33,266,86.98,206,4.814,266,0.5491,320
