month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.00616,1,76,1,101.2,1,18.86,1,0.343,1
11,9,2013,0.001081,1,81,1,100.4,1,3.118,1,5.437,1
11,11,2013,0.0005182,1,78,1,84.75,1,17.5,1,4.212,1
11,12,2013,0.002126,2,80,2,87.57,2,24.82,2,0.6097,1
11,13,2013,0.00498,3,73,3,74.52,3,12.81,3,1.452,3
11,14,2013,0.00262,3,81,3,86.53,3,5.422,3,0.8148,3
11,15,2013,0.003632,1,75,1,89.44,1,8.292,1,1.115,1
11,17,2013,0.002203,1,76,2,95.27,1,9.164,2,2.451,2
11,18,2013,0.0002847,1,75,1,81.82,1,19.47,1,1.269,1
11,19,2013,0.00153,3,82,3,123,3,5.002,3,2.183,3
11,24,2013,0.0003857,1,79,1,84.74,1,5.825,1,4.046,1
11,25,2013,0.1197,3,85,4,156.2,3,0.1547,4,0.3222,2
11,26,2013,0.01227,1,79,1,90.06,1,32.88,1,6.253,1
11,29,2013,0.0001544,1,81,1,106.6,1,14.49,1,3.082,1
11,5,2012,0.006787,1,80,1,95.94,1,29.78,1,3.454,1
11,6,2012,nan,0,76,1,nan,0,15.79,1,1.025,1
11,7,2012,8.36e-05,1,84,1,97.24,1,13.74,1,1.72,1
11,8,2012,nan,0,nan,0,nan,0,nan,0,0.974,1
11,12,2012,0.0007657,1,76,2,96.94,1,3.866,2,0.6019,2
11,13,2012,0.0139,1,78,1,85.08,1,7.312,1,1.214,1
11,18,2012,0.0004928,1,82,1,499.1,1,12.84,1,1.414,1
11,19,2012,0.0007174,4,79,4,85.73,4,10.4,4,5.324,4
11,20,2012,nan,0,83,1,nan,0,5.373,1,1.103,1
11,21,2012,0.0004614,1,74,2,80.34,1,24.65,2,1.358,2
11,23,2012,0.002372,1,78,1,99.19,1,19.11,1,5.025,1
11,24,2012,0.00751,2,77.5,2,88.78,2,11.45,2,6.641,2
11,25,2012,0.02935,2,78,2,97.56,2,2.032,2,6.55,2
11,26,2012,0.001273,2,78.5,4,84.06,2,5.892,4,0.6054,4
11,27,2012,0.001083,3,80,6,89.95,3,4.936,6,0.7195,6
11,28,2012,nan,0,79,1,nan,0,5.754,1,0.6028,1
11,30,2012,0.005265,2,86,3,136.7,2,4.325,3,0.5624,3
10,2,2012,0.001842,1,96,1,382.9,1,10.29,1,1.574,1
