month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,6,2013,0.005904,1,73,1,74.81,1,10.9,1,1.439,1
11,7,2013,0.00498,3,73,3,74.52,3,12.81,3,1.452,3
11,8,2013,0.003632,1,75,1,89.44,1,8.292,1,1.115,1
11,9,2013,0.00153,3,79,3,85.56,3,4.626,3,0.6097,3
11,10,2013,nan,0,75,1,nan,0,5.557,1,0.6372,1
11,12,2013,0.003339,2,77,2,92.99,2,18.18,2,2.278,2
11,13,2013,0.0002847,1,75,1,81.82,1,19.47,1,1.269,1
11,14,2013,0.1197,3,86,3,156.2,3,0.07337,3,0.007157,1
11,15,2013,0.0003857,1,75.5,2,84.74,1,6.208,2,2.631,2
11,16,2013,0.0002597,1,82,1,348.3,1,16.91,1,3.777,1
11,17,2013,0.004529,2,82,2,109.1,2,8.369,2,2.934,2
11,18,2013,0.001081,3,81,3,89.58,3,5.422,3,3.025,2
11,19,2013,0.001387,2,81.5,2,101,2,8.533,2,1.948,2
11,0,2012,0.0004928,1,82,1,499.1,1,12.84,1,1.414,1
11,1,2012,0.0006596,1,79,1,86.62,1,10.38,1,5.66,1
11,3,2012,0.0007752,1,340,2,84.84,1,5.594,2,2.906,2
11,4,2012,8.643e-05,1,80,1,125.4,1,13.03,1,0.5624,1
11,5,2012,0.002372,1,78,1,99.19,1,19.11,1,5.025,1
11,6,2012,0.0139,1,78,3,85.08,1,6.302,3,1.214,3
11,7,2012,0.000469,4,75,4,84.69,4,6.84,4,0.8852,4
11,9,2012,0.001083,1,80,1,94.36,1,1.982,1,0.4645,1
11,10,2012,0.02758,2,79,3,98.02,2,1.499,3,0.6028,3
11,11,2012,0.00195,1,78,2,83.89,1,12.3,2,3.768,2
11,12,2012,0.002812,3,83,3,102.6,3,4.325,3,0.7692,3
11,13,2012,0.0043,1,76,3,96.02,1,6.234,3,1.025,3
11,14,2012,0.002187,1,80,3,89.74,1,11.49,3,0.8294,3
11,16,2012,nan,0,80,1,nan,0,4.699,1,0.5893,1
11,17,2012,0.006787,1,80,1,95.94,1,29.78,1,3.454,1
11,19,2012,nan,0,nan,0,nan,0,nan,0,0.974,1
11,20,2012,nan,0,78,1,nan,0,5.783,1,0.6045,1
11,21,2012,8.36e-05,1,84,1,97.24,1,13.74,1,1.72,1
11,23,2012,0.01307,1,78,1,93.66,1,4.047,1,6.351,1
10,0,2012,0.0003201,1,80,1,115.3,1,14.23,1,1.441,1
10,1,2012,0.0001477,1,79,1,178.9,1,15.24,1,1.404,1
10,2,2012,nan,0,79,1,nan,0,17.04,1,1.402,1
10,3,2012,nan,0,79,1,nan,0,16.86,1,1.417,1
10,5,2012,0.0007431,1,83,1,104.4,1,13.75,1,5.926,1
10,6,2012,0.002139,7,78,9,94.28,7,25.02,9,3.348,9
10,7,2012,0.00205,5,77,6,98.3,5,17.73,6,2.599,6
10,8,2012,0.003302,4,77,7,94.83,4,6.384,7,0.757,7
10,10,2012,0.000252,1,75.5,2,348.4,1,34.81,2,5.396,2
10,11,2012,0.0004607,2,82.5,6,180.1,2,6.84,6,1.342,6
10,12,2012,0.003555,3,82,10,96.99,3,3.538,10,1.397,10
10,13,2012,0.0008869,3,80,8,80.95,3,9.953,8,1.332,8
10,14,2012,0.002315,6,79,15,110.2,6,5.553,15,1.436,15
10,15,2012,0.001407,1,78.5,4,88.37,1,5.114,4,2.645,4
10,16,2012,0.00589,2,78,10,91.97,2,5.657,10,1.567,10
10,17,2012,0.001391,4,82,5,188,4,10.29,5,1.399,5
10,18,2012,0.0003811,5,81,8,105.3,5,6.444,8,1.321,8
10,19,2012,0.002868,1,82,5,91.7,1,4.293,5,1.146,5
10,20,2012,nan,0,81,2,nan,0,18.87,2,3.5,2
10,21,2012,0.001938,1,82,3,195.2,1,4.669,3,1.277,4
10,22,2012,nan,0,82,3,nan,0,11.7,3,1.456,3
10,23,2012,0.07779,2,372.5,2,693.8,2,8.136,2,0.7379,2
10,2,2013,0.00044,3,75,3,85.42,3,5.175,3,1.246,3
10,5,2013,0.003947,2,77,2,92.99,2,25.52,2,3.006,2
10,6,2013,0.001003,3,76,3,94.38,3,9.34,3,3.935,3
