month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.00553,26,58,35,115.6,26,4.179,35,0.6185,36
11,2,2013,0.002717,13,51,21,74.89,13,6.294,21,0.5632,25
11,3,2013,0.00646,14,57,19,95.24,14,6.294,19,0.5686,23
11,4,2013,0.01373,10,58.5,14,151.8,10,4.328,14,0.5585,12
11,5,2013,0.003317,20,50,33,90.12,20,2.331,33,0.43,49
11,6,2013,0.003182,5,41,5,91.2,5,8.947,5,0.554,5
11,7,2013,0.002632,5,46,7,132.1,5,1.568,7,0.5155,8
11,8,2013,0.00301,9,60,13,172.3,9,4.568,13,0.6029,14
11,9,2013,0.004068,6,46.5,12,67.58,6,10.73,12,0.6052,17
11,10,2013,0.005131,6,48.5,6,69.67,6,8.035,6,0.5752,9
11,11,2013,0.003638,6,54,13,103.1,6,2.033,13,0.678,16
11,12,2013,0.009555,9,69,16,124.6,9,2.013,16,0.429,16
11,13,2013,0.001895,24,40,28,96.09,24,20.27,28,5.818,30
11,14,2013,0.003134,10,54,17,124.2,10,9.536,17,0.62,17
11,15,2013,0.002261,24,54.5,34,120.7,24,5.908,34,1.777,36
11,16,2013,0.001679,27,40,33,92.88,27,19.5,33,4.092,33
11,17,2013,0.002594,13,48,20,71.43,13,7.456,20,0.6254,23
11,18,2013,0.001393,16,41,26,100.2,16,15.95,26,0.7051,26
11,19,2013,0.004817,28,51,31,90.61,28,7.041,31,0.61,31
11,20,2013,0.003965,6,39,13,140.1,6,5.727,13,0.6096,15
11,21,2013,0.003402,9,49,10,73.72,9,8.38,10,0.6881,10
11,22,2013,0.003873,7,59,18,113.2,7,2.046,18,0.588,23
11,23,2013,0.008527,10,59,14,133.1,10,4.499,14,0.546,14
11,24,2013,0.002299,14,56,17,109.3,14,6.281,17,0.5962,17
11,25,2013,0.009471,11,49,12,116.5,11,3.743,12,0.6136,13
11,26,2013,0.005095,13,39,15,91.24,13,2.638,15,0.5597,15
11,27,2013,0.004801,8,35,9,63.93,8,4.337,9,0.6689,11
11,28,2013,0.009834,13,59.5,18,150.5,13,2.092,18,0.6034,20
11,29,2013,0.006574,5,61,6,94.43,5,1.73,6,0.5665,8
11,30,2013,0.002737,15,52.5,20,88.72,15,7.357,20,0.6143,24
11,1,2012,0.004165,22,56,31,92.44,22,4.878,31,0.5442,37
11,2,2012,0.004726,18,68,32,145.8,18,2.369,32,0.5252,36
11,3,2012,0.005884,35,62,53,119,35,4.37,53,0.5794,58
11,4,2012,0.005794,26,56,39,97.79,26,4.44,39,0.5412,47
11,5,2012,0.01118,18,64,25,92.72,18,3.529,25,0.5126,30
11,6,2012,0.006064,28,50,37,159.1,28,6.273,37,0.6285,39
11,7,2012,0.01053,23,74.5,28,116,23,2.679,28,0.4337,31
