month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.003541,10,41,15,89.58,10,9.311,15,0.6152,21
11,1,2013,0.003452,10,52.5,20,88.93,10,4.078,20,0.6054,23
11,2,2013,0.002727,16,48,19,100.5,16,7.41,19,0.6224,22
11,3,2013,0.002436,5,40,5,84.13,5,21.51,5,10.86,5
11,4,2013,0.002027,10,56,11,120.1,10,6.294,11,0.6252,11
11,5,2013,0.001199,11,44,12,104.5,11,8.942,12,0.668,13
11,6,2013,0.003941,17,52.5,26,77.03,17,8.807,26,0.6753,28
11,7,2013,0.004547,11,41.5,14,98.28,11,13.1,14,0.6767,13
11,8,2013,0.005537,27,57,36,123.4,27,4.17,36,0.6499,40
11,9,2013,0.002876,18,56,25,86.83,18,5.947,25,0.9351,26
11,10,2013,0.001837,15,47,18,92.84,15,9.506,18,0.6496,21
11,11,2013,0.001685,11,55,15,91.49,11,7.36,15,0.6032,15
11,12,2013,0.003096,14,52.5,14,128.8,14,7.75,14,0.6198,14
11,13,2013,0.003687,9,44,11,92.74,9,3.194,11,0.6545,12
11,14,2013,0.001448,10,46,16,106.4,10,6.538,16,0.5902,16
11,15,2013,0.002738,13,44,14,126.6,13,6.447,14,0.5579,17
11,16,2013,0.004886,19,58,27,125.8,19,3.86,27,0.6034,30
11,17,2013,0.007395,21,60,29,132.2,21,3.975,29,0.5428,33
11,18,2013,0.005361,33,51,44,80.5,33,4.468,44,0.5761,49
11,19,2013,0.003584,27,60,33,105.3,27,3.777,33,0.4809,41
11,20,2013,0.003677,23,57,46,85.92,23,2.912,46,0.5384,55
11,21,2013,0.003017,20,54.5,40,128.8,20,5.293,40,0.589,46
11,22,2013,0.00348,17,45,25,79.34,17,12.21,25,0.6836,26
11,23,2013,0.005095,15,43,20,97.44,15,6.965,20,0.5672,19
11,0,2012,0.001954,13,53.5,24,87.95,13,5.311,24,0.5886,31
11,1,2012,0.002148,25,56.5,36,99.65,25,5.374,36,0.5908,39
11,2,2012,0.005869,18,63,27,153.3,18,5.76,27,0.4325,36
11,3,2012,0.005571,14,59.5,24,85.32,14,7.687,24,0.5507,29
11,4,2012,0.01833,14,61,26,129.6,14,4.746,26,0.5436,34
11,5,2012,0.005952,7,51,13,71.21,7,6.434,13,0.6035,17
11,6,2012,0.004575,11,53,15,104.8,11,4.618,15,0.5068,15
11,7,2012,0.009236,19,58,29,127.6,19,4.193,29,0.5904,34
11,8,2012,0.005588,23,65,30,98.84,23,5.261,30,0.521,35
11,9,2012,0.006433,19,57,33,118.5,19,5.67,33,0.6137,33
11,10,2012,0.01627,31,74,42,120.1,31,2.575,42,0.5488,47
11,11,2012,0.004389,27,53.5,42,92.04,27,4.208,42,0.6027,49
11,12,2012,0.005432,37,59,57,132.4,37,5.479,57,0.5622,64
11,13,2012,0.008475,35,54,48,91.24,35,3.241,48,0.5524,52
11,14,2012,0.009711,27,62,39,100,27,5.369,39,0.5848,47
11,15,2012,0.009935,31,53,45,108.9,31,5.589,45,0.5791,52
11,16,2012,0.008279,41,56,55,101.6,41,4.683,55,0.6007,64
11,17,2012,0.008364,44,56,58,119.2,44,3.734,58,0.5629,72
11,18,2012,0.006924,60,54.5,74,97.22,60,5.753,74,0.5765,85
11,19,2012,0.008828,38,56,57,99.69,38,4.115,57,0.4828,73
11,20,2012,0.007164,45,55,61,108.4,45,5.47,61,0.6068,67
11,21,2012,0.005536,62,56,85,95.46,62,4.454,85,0.5816,98
11,22,2012,0.00821,27,55,49,74.78,27,5.675,49,0.5918,63
11,23,2012,0.006035,28,60,43,94.14,28,4.846,43,0.5765,59
10,0,2012,0.00463,25,62,31,111.1,25,4.873,31,0.5345,37
10,1,2012,0.002326,13,51.5,20,101.6,13,5.044,20,0.6308,23
