month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.001971,119,19.5,240,65.56,119,15.43,240,4.656,262
11,2,2013,0.001411,194,19,353,54.16,194,14.05,353,4.601,385
11,3,2013,0.002012,130,23,266,62.01,130,14.75,266,4.445,303
11,4,2013,0.00159,103,19,191,68.88,103,16.41,191,4.678,216
11,5,2013,0.001817,101,20,177,89.71,101,14.13,177,4.544,187
11,6,2013,0.002783,96,19.5,174,72.31,96,14.13,174,4.627,184
11,7,2013,0.001634,91,17,163,69.51,91,11.32,163,4.692,179
11,8,2013,0.001555,78,21,145,57.72,78,18.23,145,4.668,160
11,9,2013,0.001661,137,18,262,57.85,137,13.56,262,4.612,338
11,10,2013,0.001095,116,20,222,60.68,116,17.57,222,5.029,233
11,11,2013,0.002132,114,25,210,66.92,114,16.28,210,4.545,229
11,12,2013,0.001574,111,17,194,64.73,111,15.04,194,4.684,201
11,13,2013,0.001336,137,20,225,62.23,137,17.74,225,4.654,239
11,14,2013,0.00226,132,22,224,62.28,132,16.43,224,4.699,229
11,15,2013,0.001725,134,21,254,67.3,134,13.82,254,4.626,270
11,16,2013,0.001233,144,23,317,66.15,144,14.04,317,4.645,348
11,17,2013,0.001831,169,25.5,310,61.4,169,13.86,310,4.612,325
11,18,2013,0.002124,163,23,300,68.39,163,13.17,300,4.628,316
11,19,2013,0.002067,184,25,332,64.6,184,13.26,332,4.681,351
11,20,2013,0.001352,135,19,253,60.92,135,11.7,253,4.605,269
11,21,2013,0.001323,128,19,226,60.97,128,14.68,226,4.652,252
11,22,2013,0.00158,146,20,229,61.78,146,14.76,229,4.725,244
11,23,2013,0.002262,164,22,319,77.79,164,13.74,319,4.648,349
11,24,2013,0.002369,154,24,261,67.35,154,15.67,261,4.674,283
11,25,2013,0.001521,131,24,248,64.7,131,15.66,248,4.592,288
11,26,2013,0.00151,97,18,175,56.68,97,16.42,175,4.83,198
11,27,2013,0.002389,134,25,230,77.03,134,11.17,230,4.616,250
11,28,2013,0.001517,129,20,237,55.46,129,14.96,237,4.685,255
11,29,2013,0.002341,163,28,273,64.42,163,13.29,273,4.599,293
11,30,2013,0.001871,195,28,335,71.43,195,11.63,335,4.45,363
11,1,2012,0.002727,121,19,295,59.27,121,14.95,295,3.212,316
11,2,2012,0.002356,141,17,303,46.96,141,15.96,303,3.252,323
11,3,2012,0.001979,144,18,329,52.7,144,16.69,329,3.295,348
11,4,2012,0.002252,166,18,363,57.99,166,17.52,363,3.298,387
11,5,2012,0.001711,122,18,283,57.08,122,16.67,283,3.25,308
11,6,2012,0.002491,99,17,222,50.95,99,15.28,222,3.294,235
11,7,2012,0.002432,119,18,263,67.6,119,16.33,263,3.228,280
11,8,2012,0.001443,123,18,284,62.48,123,15.36,284,3.294,299
11,9,2012,0.003154,71,17,180,48.85,71,17.08,180,3.193,188
11,10,2012,0.002454,126,18,296,58.22,126,16.76,296,3.255,307
11,11,2012,0.001946,141,17,339,50.82,141,18,339,3.295,364
11,12,2012,0.001724,111,18,281,53.82,111,16.79,281,3.256,295
11,13,2012,0.003993,107,18,247,68.52,107,15.63,247,3.132,262
11,14,2012,0.001453,92,17,183,46.76,92,16.42,183,3.294,198
11,15,2012,0.001132,144,18,260,43.9,144,14.82,260,3.234,278
11,16,2012,0.001621,148,18,287,49.92,148,16.37,287,3.172,339
11,17,2012,0.001128,219,17,344,48.92,219,14.56,344,3.254,412
11,18,2012,0.00143,322,16,481,37.76,322,11.55,481,3.292,509
11,19,2012,0.001219,265,17,417,36,265,12.67,417,3.292,438
11,20,2012,0.002317,168,18,401,47.08,168,16.59,401,3.255,419
11,21,2012,0.001965,157,17,386,49.89,157,15.49,386,3.294,402
11,22,2012,0.002291,184,17,409,50.72,184,15.73,409,3.297,428
11,23,2012,0.002416,172,17,388,59.22,172,16.92,388,3.212,415
11,24,2012,0.002653,175,18,383,65.84,175,14.96,383,3.216,404
11,25,2012,0.002525,191,17,432,55.9,191,16.22,432,3.255,456
11,26,2012,0.001902,188,19,394,63.28,188,15.27,394,3.133,433
11,27,2012,0.002035,175,18,383,59.45,176,14.81,383,3.212,411
11,28,2012,0.001761,137,18,352,57.02,137,17.72,352,3.216,366
11,29,2012,0.002405,177,19,359,52.76,177,15.6,359,3.135,386
11,30,2012,0.002284,130,18,310,54.16,130,16.68,310,3.251,333
10,1,2012,0.001611,62,18,139,47.47,62,17.72,139,3.289,142
10,2,2012,0.0023,80,18,160,45.3,80,16.05,160,3.257,169
10,3,2012,0.002578,141,17,294,51.23,141,14.3,294,3.213,311
10,4,2012,0.002068,146,17,285,44.28,146,16.38,285,3.214,300
10,5,2012,0.001383,116,18,278,45.82,116,15.99,278,3.252,299
10,6,2012,0.00273,138,18,283,52,138,15.85,283,3.264,304
10,7,2012,0.001832,120,17,271,47.38,120,16,271,3.295,277
10,8,2012,0.002228,139,18,285,56.29,139,15.75,285,3.251,307
10,9,2012,0.0009737,162,17,319,47.35,162,19.07,319,3.29,338
10,10,2012,0.002353,166,18,305,55.35,166,16.65,305,3.253,320
10,11,2012,0.001895,128,18,257,50.65,128,17.25,257,3.153,262
10,12,2012,0.001821,71,19,177,51.09,71,17.08,177,3.231,188
10,13,2012,0.00167,91,17,244,53.88,91,16.75,244,3.293,260
10,14,2012,0.0009421,127,17,312,50.85,127,19.1,312,3.331,325
10,15,2012,0.001906,99,17,273,48.28,99,19.86,273,3.33,286
10,16,2012,0.003514,103,18,252,59.71,103,18.11,252,3.21,264
10,17,2012,0.002104,115,19,237,61.62,115,15.27,237,3.288,251
10,18,2012,0.001903,98,17,250,56.48,98,19.41,250,3.216,259
10,19,2012,0.001565,98,19,213,55.47,98,17.46,213,3.293,220
10,20,2012,0.00147,140,18,308,49.58,140,16.76,308,3.273,326
10,21,2012,0.001419,121,18,327,53.97,121,18.16,327,3.332,350
10,22,2012,0.001637,117,18,270,50.23,117,17.65,270,3.214,292
10,23,2012,0.002485,162,19,314,50.4,161,15.31,315,3.254,340
10,24,2012,0.002087,107,19,268,54.02,107,17.03,268,3.285,284
10,25,2012,0.002807,155,19,283,49.86,155,15.16,283,3.172,294
10,26,2012,0.001912,78,18,161,43.7,78,16.12,161,3.27,170
10,27,2012,0.001959,109,18.5,248,56.82,109,16.37,248,3.253,269
10,28,2012,0.002548,159,18,338,57.67,159,16.34,338,3.248,357
10,29,2012,0.002062,124,19,286,62.72,124,16.67,286,3.294,294
10,30,2012,0.003307,157,19,319,49.98,157,16.22,319,3.292,335
10,31,2012,0.002358,131,18,262,55.42,131,15.6,262,3.252,273
10,1,2013,0.001769,136,18,257,64.04,136,16.78,257,4.552,282
10,2,2013,0.003137,181,26,318,61.65,181,12.38,318,4.646,342
10,3,2013,0.001738,123,19,244,53.87,123,16.04,244,4.61,259
10,4,2013,0.001599,173,18,302,56.55,173,16.76,302,4.723,322
10,5,2013,0.00224,176,23,335,57.26,176,12.26,335,4.616,363
10,6,2013,0.002561,221,26,395,59.75,221,11.78,395,4.48,433
10,7,2013,0.002059,172,21,356,61.44,172,17.58,356,4.489,373
10,8,2013,0.002187,160,25.5,310,58.31,160,14.16,310,4.542,342
10,9,2013,0.001704,151,20,312,58.32,151,14.27,312,4.531,341
10,10,2013,0.001592,158,21,336,61.35,158,13.17,336,4.736,356
10,11,2013,0.00218,230,19,391,57.76,230,16.07,391,4.619,429
10,12,2013,0.001565,220,19,397,56.67,220,16.64,397,4.449,440
10,13,2013,0.002991,194,19,352,58.39,194,16.62,352,4.645,380
10,14,2013,0.001839,175,21,313,63.66,175,18.41,314,4.637,352
10,15,2013,0.00272,167,21,340,72.03,167,13.91,340,4.515,364
10,16,2013,0.001952,191,23.5,326,55.14,191,13.45,326,4.645,350
10,17,2013,0.001316,148,22,281,59.96,148,16.38,281,4.454,317
10,18,2013,0.001192,193,21,320,56.48,193,14.49,320,4.698,351
10,19,2013,0.001802,207,19,354,53.6,207,14.61,354,4.44,379
10,20,2013,0.002148,202,22,381,63.41,202,14.51,381,4.445,397
10,21,2013,0.004755,169,19,382,52.04,169,11.67,382,4.514,402
10,22,2013,0.003447,216,17,392,63.83,216,14.73,392,4.631,410
10,23,2013,0.004264,159,23,295,56.5,159,12.8,295,4.675,323
10,24,2013,0.001959,175,24,285,57.65,175,14.64,285,4.638,308
10,25,2013,0.002692,173,19,325,55.08,173,14.84,325,4.702,339
10,26,2013,0.002192,174,23,337,59.03,174,18.4,337,4.624,352
10,27,2013,0.001917,160,25,302,56.36,160,14.77,302,4.642,326
10,28,2013,0.002128,138,19,234,52.13,139,15.37,234,4.688,251
10,29,2013,0.00244,153,23,303,57.38,153,16.03,303,4.559,322
10,30,2013,0.003138,143,17,248,48.05,143,15.89,248,4.584,267
10,31,2013,0.001503,111,19,231,59.03,111,16.86,231,4.595,264
4,1,2014,0.000905,183,20,296,56.65,183,15.32,296,4.445,313
4,2,2014,0.002332,219,21,328,57.83,219,11.49,328,4.476,363
4,3,2014,0.001882,166,18,270,55.92,166,15.38,270,4.648,287
4,4,2014,0.002755,130,17,232,55.6,130,16.64,232,4.447,247
4,5,2014,0.001375,163,16,254,44.92,163,16.99,254,4.666,267
4,6,2014,0.0008434,138,16,208,56.59,138,17.19,208,4.635,225
4,7,2014,0.001988,132,17,207,55.15,132,17.37,207,4.661,226
4,8,2014,0.002201,100,18,194,80.82,100,16.55,194,4.445,210
4,9,2014,0.001498,119,17,248,58.39,119,16.81,248,4.614,269
4,10,2014,0.002381,145,20,245,62.15,145,16.55,245,4.681,267
4,11,2014,0.001534,116,17,224,48.32,116,17.6,224,4.453,237
4,12,2014,0.001043,114,16,237,47.81,114,16.74,237,4.679,276
4,13,2014,0.001528,143,15.5,248,49.68,143,16.71,248,4.718,259
4,14,2014,0.001665,124,17,214,56.65,124,17.26,214,4.597,227
4,15,2014,0.001923,171,18,264,54.97,171,16.65,264,4.625,296
4,16,2014,0.001235,94,18,192,60.64,94,16.6,192,4.526,199
4,17,2014,0.001609,97,19,208,52.98,97,16.19,208,4.492,215
4,18,2014,0.001075,123,18,248,58.02,123,19.3,248,4.614,260
4,19,2014,0.001885,126,16,255,55.24,126,16.16,255,4.657,264
4,20,2014,0.001393,114,16,229,53.22,114,17.11,229,4.692,243
4,21,2014,0.001475,126,18,254,42.39,126,18.01,254,5.582,266
4,22,2014,0.001408,159,19,360,64.56,159,17.42,360,4.687,375
4,23,2014,0.001432,212,20,434,61.81,212,13.8,434,4.591,456
4,24,2014,0.0008908,232,16,466,44.77,234,17.78,466,4.622,502
4,25,2014,0.002127,232,16,470,56.42,232,15.94,470,4.674,518
4,26,2014,0.00219,312,15,576,53.82,312,16.14,576,4.664,632
4,27,2014,0.001199,374,16,654,52.89,374,14.12,654,4.51,700
4,28,2014,0.00148,266,16,430,55.87,264,20.04,432,4.45,472
4,29,2014,0.001653,208,15,350,49.46,208,16.56,350,4.594,366
4,30,2014,0.001439,228,17,474,62.1,228,18.35,474,4.456,496
4,1,2013,0.001872,156,24,345,52.28,156,15.67,345,4.249,359
4,2,2013,0.002132,153,22,323,49.98,153,18.16,323,4.294,341
4,3,2013,0.002095,144,23,324,53.76,144,17.03,324,4.287,328
4,4,2013,0.003662,155,23,343,57.2,155,17.61,343,4.252,361
4,5,2013,0.003211,86,18,224,47.94,86,19.23,224,4.289,239
4,6,2013,0.001391,11,17,43,49.98,11,16.37,43,4.588,44
4,7,2013,0.003882,13,16,32,49.26,13,13.85,32,4.5,33
4,8,2013,0.001924,97,23,250,62.12,97,18.33,250,4.257,261
4,9,2013,0.003308,102,24,221,64.12,102,13.65,221,4.113,232
4,10,2013,0.002685,96,22,229,49.86,96,18.52,229,4.095,246
4,11,2013,0.00251,86,23,197,68.44,86,18.08,197,4.256,211
4,12,2013,0.001697,97,24,223,51.93,97,18.7,223,4.135,235
4,13,2013,0.003756,63,21,161,44.62,63,15.94,161,4.333,168
4,14,2013,0.00271,95,25,200,69.32,95,15.12,200,4.258,208
4,15,2013,0.002654,97,23,228,53.61,97,18.13,228,4.203,238
4,16,2013,0.003953,72,19,161,53.55,72,16.73,161,4.29,169
4,17,2013,0.002723,64,22.5,166,57.31,64,17.01,166,4.221,181
4,18,2013,0.002236,45,22,109,48.41,45,20.31,109,4.292,118
4,19,2013,0.004263,54,21,117,49.92,54,16.4,117,3.614,123
4,20,2013,0.002091,48,19.5,124,68.45,48,20.51,124,4.295,133
4,21,2013,0.003407,47,23,122,56.9,47,18.82,122,4.251,131
4,22,2013,0.002274,49,21,135,61.03,49,17.43,135,4.292,144
4,23,2013,0.003091,102,24,241,57.66,102,17.11,241,4.239,254
4,24,2013,0.002706,120,22,271,61.68,120,16.96,271,4.256,293
4,25,2013,0.00266,125,19,301,62.02,125,20.09,301,4.332,320
4,26,2013,0.002272,117,21,258,46.98,116,19.01,259,4.289,276
4,27,2013,0.002167,82,19,217,49.03,82,17.8,217,4.295,235
4,28,2013,0.002208,81,20,196,60.77,81,17.11,196,4.29,209
4,29,2013,0.002088,37,24,92,63.61,37,16.1,92,4.238,98
4,30,2013,0.00279,88,22,189,52.82,88,16.62,189,4.294,201
4,1,2012,0.001918,351,19,615,48.65,351,14.24,615,3.242,659
4,2,2012,0.00223,244,18,469,43.41,244,15.2,469,3.249,519
4,3,2012,0.002208,261,19,482,49.69,261,14.75,482,3.246,516
4,4,2012,0.001548,275,17,604,46.97,275,18.78,604,3.331,635
4,5,2012,0.001321,227,19,458,45.78,227,14.91,458,3.228,490
4,6,2012,0.001394,218,18,424,44.38,218,17.57,424,3.246,451
4,7,2012,0.001915,303,18,556,47.11,304,15.76,556,3.239,577
4,8,2012,0.001864,341,18,540,42.84,341,11.59,540,3.247,589
4,9,2012,0.002771,268,19,435,47.42,268,11.42,435,3.244,473
4,10,2012,0.005782,396,18,500,41.4,396,5.759,500,3.243,541
4,11,2012,0.00479,366,17,481,36.12,366,6.374,481,3.25,531
4,12,2012,0.01667,431,18,459,38.03,430,2.045,460,3.247,491
4,13,2012,0.01049,355,19,525,45.42,354,6.402,526,3.26,563
4,14,2012,0.0024,230,18,537,60.68,231,17.56,537,3.254,564
4,15,2012,0.001725,232,18,549,54.11,232,15.74,549,3.184,604
4,16,2012,0.001192,224,17,513,54.13,224,18.43,513,3.276,537
4,17,2012,0.001233,194,18,415,50.04,194,17.65,415,3.205,435
4,18,2012,0.001609,174,19,415,56.37,174,16.64,415,3.282,445
4,19,2012,0.00203,220,18,482,51.5,220,16.34,482,3.246,508
4,20,2012,0.001787,186,18,422,53.85,186,16.12,422,3.289,438
4,21,2012,0.001607,219,18,487,47.64,219,17.22,487,3.274,509
4,22,2012,0.001821,289,18,554,45.74,289,14.88,554,3.291,574
4,23,2012,0.001482,215,18,467,46.68,215,18.64,467,3.267,496
4,24,2012,0.001857,272,18,520,50.76,273,16.06,520,3.207,540
4,25,2012,0.001182,175,18,370,41.69,175,17.23,370,3.281,381
4,26,2012,0.001272,298,18,535,53.4,298,15.57,535,3.069,561
4,27,2012,0.001261,257,18,521,49.91,257,15.78,521,3.212,545
4,28,2012,0.001127,236,18,544,47.14,236,18.4,544,3.289,565
4,29,2012,0.001262,296,17,622,45.54,296,16.81,622,3.246,648
4,30,2012,0.001203,263,19,491,55.34,263,15.34,491,3.251,515
12,1,2012,0.002602,197,18,455,58.25,197,14.63,455,3.254,477
12,2,2012,0.002796,230,19,556,55.8,230,17.86,556,3.291,583
12,3,2012,0.001801,168,18,426,56.14,168,17.97,426,3.296,452
12,4,2012,0.002024,200,19,443,53,200,18.02,443,3.254,466
12,5,2012,0.001706,150,19,405,58.61,150,17.61,405,3.287,431
12,6,2012,0.002352,169,18,414,49.62,169,18.92,414,3.252,427
12,7,2012,0.001965,156,19,355,53.41,156,19.03,355,3.166,371
12,8,2012,0.002168,179,19,443,62.78,180,13.83,443,3.158,465
12,9,2012,0.002548,225,19,521,63.97,225,16.28,521,3.291,535
12,10,2012,0.003005,170,19,425,56.04,169,16.08,426,3.291,461
12,11,2012,0.001699,152,19,389,59.47,152,17.41,389,3.252,415
12,12,2012,0.001799,166,19,413,64.59,166,17.21,413,3.294,438
12,13,2012,0.003518,132,19,316,56.86,131,17.19,317,3.253,333
12,14,2012,0.002812,140,19,344,63.93,140,15.02,344,3.059,359
12,15,2012,0.003274,161,17,365,65.2,161,18.44,365,3.248,383
12,16,2012,0.001921,159,18,414,67.72,159,17.08,414,3.226,441
12,17,2012,0.001773,150,19,332,60.15,150,14.52,332,3.291,354
