month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.0006549,37,62,37,81.75,37,9.012,37,1.68,80
11,2,2013,0.003548,34,65,34,112,34,8.682,34,0.8809,105
11,3,2013,0.0008327,53,25,53,90.33,53,12.48,53,0.9028,113
11,4,2013,0.003368,16,32.5,16,95.16,16,2.547,16,0.8752,46
11,5,2013,0.004046,20,70,20,105.1,20,4.547,20,2.109,39
11,6,2013,0.001328,6,62,6,75.14,6,10.91,6,3.236,15
11,7,2013,0.002813,7,66,7,114.2,7,4.377,7,0.8755,14
11,8,2013,0.0008942,14,68,14,91.99,14,11.09,14,0.9236,26
11,9,2013,0.002091,24,25.5,24,90.62,24,7.055,24,0.8683,69
11,10,2013,0.002494,32,25.5,32,85.21,32,10.83,32,0.9028,69
11,11,2013,0.003423,20,63.5,20,79.89,20,4.398,20,0.8807,43
11,12,2013,0.001475,26,40.5,26,108.1,26,7.28,26,0.8749,37
11,13,2013,0.001208,15,21,15,107.5,15,13.12,15,0.8827,43
11,14,2013,0.002898,24,55,24,91.43,24,9.146,24,1.143,57
11,15,2013,0.003258,27,68,27,94.28,27,9.978,27,0.8961,64
11,16,2013,0.0007389,22,62,22,83.2,22,12.37,22,1.618,63
11,17,2013,0.001332,28,24,28,75.67,28,8.864,28,0.8877,74
11,18,2013,0.001756,46,62,46,84.15,46,6.969,46,0.8753,95
11,19,2013,0.002885,53,64,53,95.8,53,7.195,53,0.8989,129
11,20,2013,0.001552,17,64,17,93.77,17,6.088,17,1.79,56
11,21,2013,0.001424,22,37,22,84.4,22,10.17,22,1.552,53
11,22,2013,0.001067,41,28,41,86.66,41,6.355,41,0.8827,81
11,23,2013,0.001865,49,65,49,104.9,49,5.514,49,0.8805,97
11,24,2013,0.003067,46,50.5,46,87.41,46,6.423,46,0.9269,96
11,25,2013,0.002379,28,69.5,28,101,28,5.68,28,0.8804,70
11,26,2013,0.001958,19,64,19,91.42,19,8.54,19,0.9006,37
11,27,2013,0.001728,18,43.5,18,96.61,18,10.88,18,1.712,55
11,28,2013,0.002301,18,67.5,18,86.51,18,7.299,18,0.8827,56
11,29,2013,0.0008224,30,66,30,85.74,30,7.746,30,1.171,62
11,30,2013,0.001819,34,66,34,93.97,34,6.404,34,0.8849,98
11,1,2012,0.002246,44,24,44,82.97,44,11.47,44,0.8243,89
11,2,2012,0.001923,42,25,42,76.28,42,9.96,42,0.8269,105
11,3,2012,0.002405,51,25,51,77.5,51,10,51,0.8226,125
11,4,2012,0.00247,60,44.5,60,89.44,60,9.025,60,0.8129,152
11,5,2012,0.002112,57,26,57,85.36,57,9.502,57,0.8171,135
11,6,2012,0.003434,44,25.5,44,87.76,44,8.944,44,0.7998,101
11,7,2012,0.004477,41,28,41,86.91,41,9.411,41,0.8132,101
11,8,2012,0.001972,31,60,31,87.33,31,12.67,31,0.8164,87
11,9,2012,0.002608,26,57,26,90.98,26,9.032,26,0.8143,67
11,10,2012,0.003724,49,28,49,83.43,49,9.478,49,0.8172,135
11,11,2012,0.002937,55,26,55,88.12,55,5.983,55,0.8123,149
11,12,2012,0.002505,54,25.5,54,86.27,54,8.921,54,0.8073,133
11,13,2012,0.001463,39,63,39,85.74,39,8.673,39,0.8246,115
11,14,2012,0.000975,26,45.5,26,85.42,26,8.266,26,0.8104,68
11,15,2012,0.0009111,43,22,43,80.12,43,10.24,43,0.8128,92
11,16,2012,0.001191,62,25,62,77.12,62,10.25,62,0.8171,141
11,17,2012,0.0006195,88,25,88,76.63,88,8.56,88,0.8124,202
11,18,2012,0.001247,129,22,129,72.05,129,7.145,129,0.8137,215
11,19,2012,0.001543,98,22,98,59.58,98,6.729,98,0.8269,168
11,20,2012,0.003108,44,35.5,44,95.27,44,8.156,44,0.8113,131
11,21,2012,0.001621,29,22,29,75.31,29,10.16,29,0.8251,91
11,22,2012,0.001919,48,28.5,48,84.66,48,9.545,48,0.8188,131
11,23,2012,0.002608,55,25,55,77.77,55,7.676,55,0.8152,158
11,24,2012,0.002517,79,29,79,83.19,79,11.53,79,0.8196,204
11,25,2012,0.003867,62,30,62,81.79,62,7.992,62,0.8257,197
11,26,2012,0.003358,53,25,53,78.22,53,11.22,53,0.8147,162
11,27,2012,0.0043,55,25,55,84.95,55,7.707,55,0.8127,189
11,28,2012,0.002733,46,25,46,90.13,46,11.24,46,0.8169,140
11,29,2012,0.002726,43,26,43,100.3,43,8.733,43,0.8164,152
11,30,2012,0.003483,46,29.5,46,85.6,46,6.004,46,0.8135,126
10,1,2012,0.001249,30,25,30,74.54,30,12.45,30,0.8247,98
10,2,2012,0.001427,22,48,22,88.18,22,8.509,22,0.8073,62
10,3,2012,0.001248,45,25,45,84.52,45,10.6,45,0.8165,106
10,4,2012,0.001857,42,30.5,42,79.88,42,11.91,42,0.8192,112
10,5,2012,0.002278,52,33,52,80.68,52,10.79,52,0.8048,132
10,6,2012,0.001803,68,26,68,83.35,68,10.34,68,0.8106,139
10,7,2012,0.002209,61,25,61,84.87,61,9.677,61,0.8167,153
10,8,2012,0.003012,55,25,55,83.31,55,8.808,55,0.8126,125
10,9,2012,0.002336,59,26,59,80.67,59,11.68,59,0.8085,132
10,10,2012,0.002096,51,28,51,79.41,51,10.01,51,0.8059,130
10,11,2012,0.003144,45,28,45,91.69,45,8.314,45,0.8242,124
10,12,2012,0.001186,31,26,31,69.85,31,12.54,31,0.8126,57
10,13,2012,0.002964,53,61,53,91.43,53,10.03,53,0.817,153
10,14,2012,0.003525,65,24,65,83.42,65,11.72,65,0.8102,174
10,15,2012,0.002222,54,27,54,81.35,54,9.751,54,0.8142,136
10,16,2012,0.004279,45,29,45,86.62,45,4.503,45,0.8094,105
10,17,2012,0.001909,68,25,68,76.73,68,6.24,68,0.816,151
10,18,2012,0.00272,66,54,66,95.49,66,5.624,66,0.8089,143
10,19,2012,0.003673,50,66.5,50,99.38,50,7.257,50,0.8154,110
10,20,2012,0.001899,59,28,59,95.59,59,8.047,59,0.8069,108
10,21,2012,0.00278,72,28,72,79.62,72,6.716,72,0.8241,156
10,22,2012,0.002236,55,23,55,78.37,55,9.766,55,0.8191,128
10,23,2012,0.002527,45,28,45,82.12,45,7.601,45,0.8141,95
10,24,2012,0.002221,54,60,54,83.04,54,6.413,54,0.805,140
10,25,2012,0.00274,54,34,54,86.85,54,8.297,54,0.815,119
10,26,2012,0.0009972,20,24.5,20,88.78,20,9.031,20,0.8077,52
10,27,2012,0.002369,69,25,69,84.4,69,9.861,69,0.8191,151
10,28,2012,0.00252,80,32,80,80.58,80,9.259,80,0.8064,166
10,29,2012,0.0021,61,28,61,85.62,61,7.232,61,0.8169,145
10,30,2012,0.002356,60,25.5,60,89.93,60,8.179,60,0.8119,136
10,31,2012,0.005008,50,33.5,50,88.52,50,11.47,50,0.8171,110
