month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.002487,38,66.5,84,103.1,38,12.85,84,0.8955,88
11,1,2013,0.001939,18,62,66,146.4,18,13.18,66,0.8776,71
11,2,2013,0.00156,14,62,30,82.22,14,13.28,30,0.8952,36
11,3,2013,0.001647,10,23,37,77.37,10,13.99,37,0.8881,36
11,4,2013,0.0002407,6,65,12,85.56,6,14.38,12,0.9293,16
11,5,2013,0.001853,8,64,16,90.92,8,11.83,16,0.8899,15
11,6,2013,0.002139,19,64,37,94.8,19,15.3,37,0.9006,40
11,7,2013,0.001498,24,25,49,76.5,24,15.37,49,1.514,50
11,8,2013,0.0006756,21,25,49,92.27,21,15.42,49,0.8804,55
11,9,2013,0.002046,32,66,63,90.08,32,13.78,63,0.8993,72
11,10,2013,0.0028,31,62,61,79.73,31,13.86,61,0.9369,66
11,11,2013,0.001525,31,63,63,81.1,31,11.7,63,0.8953,71
11,12,2013,0.003584,25,64,86,101.4,25,12.86,86,1.733,95
11,13,2013,0.004599,34,59,76,94.06,34,13.21,76,0.8924,81
11,14,2013,0.001606,42,26,85,88.77,42,13.37,85,0.8989,89
11,15,2013,0.001033,51,25,112,83.37,51,13.32,112,0.9007,120
11,16,2013,0.002071,47,63,86,104.5,47,13.04,86,0.8886,93
11,17,2013,0.003642,60,63,120,101.6,60,13.93,120,0.903,127
11,18,2013,0.003087,32,28,83,83.74,32,13.14,83,0.8916,86
11,19,2013,0.001865,55,59.5,104,87.59,55,12.94,104,0.8803,118
11,20,2013,0.002547,53,61.5,104,90.29,53,12.69,104,0.8831,115
11,21,2013,0.001031,67,63.5,138,95.13,67,10.3,138,0.8946,144
11,22,2013,0.001135,63,63,149,90.85,63,12.5,149,0.8839,160
11,23,2013,0.002352,45,56,87,119.2,45,11.93,87,0.8896,98
11,0,2012,0.001377,71,25,182,83.21,71,11.04,182,0.809,208
11,1,2012,0.00285,52,28,144,82.55,52,11.78,144,0.8118,164
11,2,2012,0.002101,41,25,107,81.24,41,12.91,107,0.8188,115
11,3,2012,0.002297,18,25,51,83.79,18,13.08,51,0.8163,56
11,4,2012,0.003468,22,25,47,94.5,22,11.21,47,0.8185,50
11,5,2012,0.002737,17,39,50,76.6,17,11.16,50,0.8136,54
11,6,2012,0.001832,18,22,55,89.12,18,12.47,55,0.8221,63
11,7,2012,0.003362,42,28,98,90.63,42,12.34,98,0.8096,104
11,8,2012,0.003425,44,25,84,78.47,44,10.69,84,0.8126,88
11,9,2012,0.002252,45,25,113,77.51,45,12.56,113,0.827,124
11,10,2012,0.004162,49,25,133,81.55,49,13.52,133,0.8216,142
11,11,2012,0.00281,72,25,166,82.05,72,9.859,166,0.8139,187
11,12,2012,0.002305,68,25,161,78.09,68,12.96,161,0.8192,170
11,13,2012,0.002533,73,25,162,87.53,73,10.65,162,0.8065,184
11,14,2012,0.001848,82,25,172,84.48,82,11.77,172,0.822,187
11,15,2012,0.001912,70,24,168,76.8,70,11.95,168,0.8273,182
11,16,2012,0.001976,86,25,176,80.78,86,11.58,176,0.8156,199
11,17,2012,0.002695,94,25,183,81.65,94,10.64,183,0.8155,218
11,18,2012,0.001892,112,25,236,79.7,112,11.78,236,0.8179,255
11,19,2012,0.001558,100,24,224,73.29,100,13.14,224,0.8142,252
11,20,2012,0.001613,131,24,266,83.24,131,9.921,266,0.8245,301
11,21,2012,0.001291,118,25,268,77.93,118,10.69,268,0.8145,294
11,22,2012,0.001561,98,27.5,224,79.94,98,9.693,224,0.8079,249
11,23,2012,0.002243,76,25,197,86.9,76,11.04,197,0.8141,215
10,0,2012,0.001689,70,25,170,89.09,70,11.62,170,0.8127,178
