month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.006944,25,48,25,126.7,25,6.525,25,3.16,50
11,1,2013,0.003071,7,90,7,147.6,7,3.979,7,0.7073,28
11,2,2013,0.008466,18,75,18,143.3,18,5.268,18,0.701,25
11,3,2013,0.005345,12,59.5,12,147.6,12,20.3,12,3.173,21
11,4,2013,0.008464,3,80,3,160.6,3,22.73,3,10.91,12
11,5,2013,0.006223,17,79,17,139.3,17,22.28,17,4.722,35
11,6,2013,0.01396,14,82,14,158.3,14,5.787,14,4.158,29
11,7,2013,0.003081,13,82,13,141,13,4.182,13,0.5833,48
11,8,2013,0.007306,35,79,35,150.9,35,4.747,35,2.19,60
11,9,2013,0.004243,23,77,23,148.9,23,2.34,23,1.658,68
11,10,2013,0.001336,20,73,20,132.1,20,11.74,20,1.729,40
11,11,2013,0.005435,29,79,29,153.5,29,3.357,29,2.277,63
11,12,2013,0.001835,27,79,27,159.5,27,4.608,27,1.666,81
11,13,2013,0.001217,23,55,23,137.9,23,5.859,23,2.447,57
11,14,2013,0.004757,36,79,36,159.1,36,5.789,36,2.902,65
11,15,2013,0.004365,44,77.5,44,157.5,44,8.634,44,2.929,81
11,16,2013,0.002989,48,74.5,48,121.7,48,7.899,48,1.93,88
11,17,2013,0.006733,39,74,39,163.5,39,4.642,39,0.81,84
11,18,2013,0.003147,35,76,35,120.1,35,3.292,35,3.123,78
11,19,2013,0.003139,50,74.5,50,141.8,50,4.606,50,2.278,99
11,20,2013,0.005691,43,77,43,136.5,43,4.061,43,3.226,84
11,21,2013,0.004003,52,57.5,52,124.4,52,7.47,52,3.538,86
11,22,2013,0.006735,45,69,45,139.9,45,5.701,45,0.8356,76
11,23,2013,0.005293,29,75,29,147.5,29,14.36,29,3.866,61
11,0,2012,0.008158,53,78,53,140.6,53,10.43,53,4.78,107
11,1,2012,0.00697,51,75,51,139.8,51,16.04,51,7.174,94
11,2,2012,0.007993,27,83,27,146.8,27,18.95,27,3.287,83
11,3,2012,0.007827,33,78,33,136.5,33,22.12,33,4.895,67
11,4,2012,0.008662,31,87,31,147.1,31,20.86,31,4.534,63
11,5,2012,0.007448,34,84.5,34,129.8,34,15.67,34,2.547,72
11,6,2012,0.009534,35,84,35,154.8,35,19.61,35,9.937,73
11,7,2012,0.008529,49,87,49,136.4,49,19.3,49,2.735,101
11,8,2012,0.008017,53,83,53,135,53,18.14,53,3.814,98
11,9,2012,0.008524,59,84,59,147.8,59,19.54,59,3.832,122
11,10,2012,0.007962,63,82,63,139.6,63,12.6,63,2.208,119
11,11,2012,0.008404,68,79,68,154.2,68,11.11,68,1.481,135
11,12,2012,0.007976,65,60,65,145.6,65,9.25,65,2.598,137
11,13,2012,0.007273,50,85.5,50,148,50,7.855,50,3.296,105
11,14,2012,0.00553,62,58.5,62,141.3,62,8.681,62,2.064,124
11,15,2012,0.006157,49,57,49,137,49,9.316,49,2.854,125
11,16,2012,0.006927,52,71.5,52,139,52,9.512,52,1.898,128
11,17,2012,0.005957,73,59,73,144.9,73,10.87,73,3.496,155
11,18,2012,0.007082,89,68,89,140.7,89,12.33,89,2.34,172
11,19,2012,0.005513,65,51,65,134,65,5.845,65,1.303,154
11,20,2012,0.0053,82,71.5,82,142.7,82,8.399,82,3.298,149
11,21,2012,0.005619,81,57,81,128.9,81,7.557,81,3.573,171
11,22,2012,0.007624,71,51,71,141.7,71,9.311,71,2.502,152
11,23,2012,0.007037,57,73,57,134.2,57,5.413,57,1.81,129
10,0,2012,0.005769,33,80,33,148.1,33,15.8,33,3.326,91
10,1,2012,0.006613,26,56.5,26,125.1,26,11.46,26,0.6635,71
10,2,2012,0.009567,26,80,26,138.9,26,20.99,26,3.025,78
10,3,2012,0.008212,33,85,33,141.4,33,19.2,33,1.266,88
10,4,2012,0.005874,31,84,31,154.5,31,21.37,31,13.65,64
10,5,2012,0.00814,33,84,33,141.9,33,19.8,33,15.49,61
10,6,2012,0.008698,29,82,29,138.6,29,19.6,29,10.91,65
10,7,2012,0.006917,41,86,41,141.3,41,17.32,41,1.097,88
10,8,2012,0.008669,37,82,37,145.5,37,14.66,37,0.7635,109
10,9,2012,0.006232,56,78.5,56,136.8,56,12.99,56,2.106,108
10,10,2012,0.008284,46,82,46,147.4,46,17.78,46,1.797,106
10,11,2012,0.006928,56,79,56,159.6,56,5.195,56,0.6125,108
10,12,2012,0.008306,46,82,46,150.7,46,16.68,46,0.6592,108
10,13,2012,0.008199,51,87,51,146.2,51,11.97,51,1.19,119
10,14,2012,0.008589,62,79,61,148.9,61,12.95,62,1.809,145
10,15,2012,0.008953,54,84,54,156.6,54,15.82,54,1.506,138
10,16,2012,0.008636,67,78,67,160.6,67,5.685,67,0.7869,157
10,17,2012,0.006008,54,77.5,54,144.4,54,5.981,54,2.967,121
10,18,2012,0.007247,73,83,73,159.9,73,12.04,73,3.532,161
10,19,2012,0.006401,58,67.5,58,139.3,58,8.264,58,1.681,143
10,20,2012,0.006154,69,70,69,157.3,69,5.352,69,2.049,176
10,21,2012,0.007096,79,52,79,137.4,79,15.58,79,3.006,173
10,22,2012,0.008686,63,55,63,134.5,63,9.298,63,2.931,155
10,23,2012,0.00556,69,55,69,112.7,69,10.65,69,3.172,139
10,0,2013,0.005776,41,73,41,136.8,41,8.373,41,4.031,82
10,1,2013,0.003763,35,54,35,123.5,35,19.55,37,4.407,64
10,2,2013,0.007457,16,71,16,118.1,16,22.66,17,3.892,39
10,3,2013,0.008404,22,76,22,150.2,22,5.991,22,2.173,48
10,4,2013,0.007986,26,82.5,26,127.5,26,21.97,26,14.75,42
10,5,2013,0.003273,25,33,25,128.1,25,8.826,25,2.878,40
10,6,2013,0.001873,32,65,32,157.1,34,13.65,35,1.132,66
10,7,2013,0.005435,53,77,53,126.5,54,10.07,54,2.031,77
10,8,2013,0.006492,48,71,48,139.9,49,10.14,51,1.25,109
10,9,2013,0.005587,58,78.5,58,137,59,5.517,59,2.487,111
10,10,2013,0.002436,44,53.5,44,152.1,44,6.73,44,2.513,115
10,11,2013,0.006634,54,75.5,54,131.3,54,9.323,56,3.448,101
10,12,2013,0.005702,56,75,56,131.4,56,12.11,56,2.296,134
10,13,2013,0.002605,73,73,73,140.3,74,6.658,74,1.254,144
10,14,2013,0.005722,62,72,62,141.4,62,5.54,63,2.111,140
10,15,2013,0.008893,57,78,57,148.6,57,7.385,57,3.79,108
10,16,2013,0.007925,77,76,77,154.1,75,3.628,76,3.143,150
10,17,2013,0.002435,73,75,73,149.9,73,7.114,75,3.338,139
10,18,2013,0.007814,67,69,67,139.1,68,4.722,73,3.6,138
10,19,2013,0.003118,49,74,49,138.3,49,5.347,49,1.226,102
10,20,2013,0.007361,87,69,87,134.9,87,5.465,88,2.289,157
10,21,2013,0.002403,62,59,62,110.9,62,6.622,64,3.337,138
