month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.001161,4,32.5,4,71.98,4,19.55,4,4.063,7
11,1,2013,0.001964,2,33.5,2,75.26,2,7.314,2,2.792,3
11,2,2013,0.0003326,3,31,3,38.65,3,13.92,3,4.033,5
11,3,2013,0.0001847,1,33,1,805.5,1,5.105,1,1.876,2
11,4,2013,0.01467,1,31,1,40.98,1,9.02,1,9.965,1
11,5,2013,0.0003169,2,28.5,2,35.64,2,40.55,2,2.651,4
11,6,2013,0.002248,2,34,2,69.75,2,12.69,2,9.337,3
11,7,2013,0.004765,3,33,3,70.72,3,33.43,3,4.023,7
11,8,2013,0.00116,10,31,10,68.49,10,16.2,10,3.832,13
11,9,2013,0.001253,11,31,11,43.11,11,17.66,11,4.027,14
11,10,2013,0.001197,7,31,7,49.36,7,15.31,7,3.572,8
11,11,2013,0.003932,4,29,4,36.46,4,6.055,4,1.266,7
11,12,2013,0.001534,6,30,6,50,6,21.08,6,2.594,10
11,13,2013,0.00139,6,33,6,78.93,6,17.43,6,3.781,8
11,14,2013,0.002089,4,32.5,4,58.01,4,11.64,4,6.313,6
11,15,2013,0.00102,8,32,8,56,8,40.14,8,4.219,8
11,16,2013,nan,0,nan,0,nan,0,nan,0,3.157,1
11,17,2013,0.0009787,10,33,10,47,10,18.22,10,3.985,16
11,18,2013,0.001861,6,31,6,43.43,6,22.59,6,4.478,10
11,19,2013,0.002821,1,32,1,104.4,1,6.903,1,3.979,3
11,20,2013,0.007001,16,33.5,16,70.17,16,7.256,16,3.619,25
11,21,2013,0.0006433,5,36,5,77.54,5,8.774,5,4.028,7
11,22,2013,0.0009789,8,32.5,8,49.86,8,10.3,8,3.786,14
11,23,2013,6.386e-05,3,32,3,41.21,3,33.67,3,3.466,6
11,1,2012,nan,0,nan,0,nan,0,nan,0,0.1671,1
11,3,2012,0.002161,1,31,1,61.2,1,56.68,1,6.366,1
11,5,2012,nan,0,nan,0,nan,0,nan,0,0.7628,3
11,6,2012,0.004666,2,32,2,127.2,2,7.56,2,2.888,2
11,7,2012,0.001085,6,29,6,48.98,6,17.58,6,1.686,6
11,8,2012,0.003424,5,31,5,52.47,5,15.46,5,2.621,7
11,9,2012,0.001394,11,31,11,53.24,11,17.3,11,1.685,14
11,10,2012,nan,0,nan,0,nan,0,nan,0,1.607,1
11,11,2012,0.001244,3,31,3,37.77,3,16.73,3,1.547,4
11,12,2012,0.002475,2,30,2,66.87,2,8.194,2,1.377,3
11,13,2012,0.001261,5,32,5,74.29,5,17.35,5,1.587,8
11,14,2012,0.003495,11,33,11,78.11,11,15.75,11,1.708,12
11,15,2012,0.002155,3,34,3,70.26,3,10.22,3,1.841,3
11,16,2012,0.001157,5,32,5,72.11,5,14.82,5,1.608,6
11,17,2012,0.001212,3,32,3,75.08,3,16.11,3,1.603,4
11,18,2012,nan,0,nan,0,nan,0,nan,0,1.315,1
11,19,2012,0.00276,6,31.5,6,60.49,6,10.39,6,5.33,8
11,20,2012,0.001911,7,31,7,47.54,7,17.41,7,1.725,9
11,21,2012,0.000586,4,31.5,4,57.68,4,13.37,4,1.581,7
11,22,2012,0.0002351,2,30.5,2,36.13,2,12.23,2,1.684,5
11,23,2012,0.0007053,3,31,3,36.97,3,31.53,3,5.849,5
10,0,2012,0.01045,5,32,5,91.2,5,11.12,5,1.563,9
10,1,2012,0.00935,2,36.5,2,84.71,2,10.3,2,1.401,3
10,2,2012,0.01752,2,37,2,102.2,2,8.987,2,1.649,3
10,5,2012,0.01134,1,32,1,50.7,1,7.854,1,1.687,1
10,6,2012,nan,0,nan,0,nan,0,nan,0,1.725,1
10,7,2012,0.002371,1,28,1,37.91,1,11.16,1,1.727,1
10,8,2012,0.001324,8,32,8,53.16,8,20.8,8,1.688,11
10,9,2012,0.001334,6,28.5,6,45.13,6,17.46,6,2.671,9
10,10,2012,0.0006711,6,28,6,40.35,6,20.13,6,1.604,9
10,11,2012,0.0002696,5,30,5,51.34,5,14.3,5,1.979,6
10,12,2012,0.001143,4,29,4,113,4,23.06,4,5.948,5
10,13,2012,0.003416,7,33,7,63.32,7,14.55,7,1.687,10
10,14,2012,0.001886,3,26,3,62.56,3,30.1,3,3.116,5
10,15,2012,0.0002572,6,28,6,46.79,6,14.73,6,1.683,11
10,16,2012,0.0007409,4,32.5,4,44.55,4,14.76,4,1.433,11
10,17,2012,0.001813,6,33,6,93.29,6,11.55,6,1.587,8
10,18,2012,0.002744,8,28.5,8,36.88,8,9.899,8,1.565,9
10,19,2012,0.0005523,9,32,9,80.27,9,12.3,9,1.64,13
10,20,2012,0.00319,5,32,5,44.8,5,15.83,5,3.348,10
10,21,2012,0.03593,2,37,2,96.91,2,1.277,2,1.525,6
10,22,2012,0.04179,2,36,2,55.35,2,1.048,2,1.528,5
10,23,2012,0.0002854,3,30,3,75.33,3,15.47,3,1.205,5
10,0,2013,0.00114,5,34,5,123.6,5,15.76,5,3.93,12
10,1,2013,0.001231,6,32,6,52.84,6,17.32,6,4.025,12
10,2,2013,0.00193,3,35,3,39.52,3,46.94,3,4.127,8
10,3,2013,0.009844,1,37,1,114.6,1,17.62,1,4.027,1
10,4,2013,0.0002208,11,30,11,36.48,11,15.71,11,3.044,11
10,5,2013,0.0007364,3,44,3,111.3,3,12.36,3,3.781,1
10,6,2013,nan,0,nan,0,nan,0,nan,0,3.998,4
10,7,2013,0.003031,5,33,5,48.21,5,7.136,5,4.037,10
10,8,2013,0.02342,4,49.5,4,104.2,4,3.47,4,3.966,14
10,9,2013,0.000968,4,32,4,54.4,4,15.29,4,3.968,8
10,10,2013,0.0005378,19,31,19,43.9,19,17.87,19,2.952,26
10,11,2013,0.001061,17,31,17,56.99,17,21.65,17,3.096,21
10,12,2013,0.005299,16,32.5,16,68.06,16,16.2,16,3.315,23
10,13,2013,0.001841,4,29,4,43.46,4,36.8,4,2.583,9
