month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.006745,57,54.5,86,107,57,3.947,86,0.5265,101
11,2,2013,0.00655,83,50,110,97.23,83,5.484,110,0.572,127
11,3,2013,0.008509,92,51,127,106.9,92,5.176,127,0.5718,150
11,4,2013,0.006184,75,44,119,111.8,75,4.282,119,0.5768,137
11,5,2013,0.008263,82,50,116,99.45,83,4.733,116,0.5592,135
11,6,2013,0.004657,78,51,99,110.2,78,5.694,99,0.5847,109
11,7,2013,0.01046,89,47.5,124,92.02,89,4.798,124,0.5864,139
11,8,2013,0.006347,75,49,125,111.9,75,4.947,125,0.585,144
11,9,2013,0.005482,69,48,105,86.67,69,4.207,105,0.5773,123
11,10,2013,0.006295,94,52,145,115.5,94,3.864,145,0.5731,165
11,11,2013,0.005742,95,52,138,105.9,95,3.859,138,0.5673,158
11,12,2013,0.007878,74,56,101,115.6,74,2.972,101,0.524,116
11,13,2013,0.005784,55,45,88,174.8,55,2.811,88,0.4439,118
11,14,2013,0.005529,77,52,104,94.23,77,3.899,104,0.5728,114
11,15,2013,0.003937,79,46,120,76.89,79,5.092,120,0.5734,143
11,16,2013,0.003834,102,50.5,142,104.8,102,5.936,142,0.5848,158
11,17,2013,0.01271,85,54,114,133.1,85,2.067,114,0.5065,134
11,18,2013,0.008082,66,51,106,112.4,66,4.137,106,0.5593,127
11,19,2013,0.005099,79,50,108,88.52,79,3.124,108,0.542,135
11,20,2013,0.01121,54,47,77,98.01,54,4.229,78,0.4732,99
11,21,2013,0.004004,76,49.5,104,84.6,76,5.448,104,0.5864,118
11,22,2013,0.003856,78,50,117,83.34,78,5.205,117,0.5488,136
11,23,2013,0.008052,97,59.5,110,88.85,97,3.852,110,0.5521,127
11,24,2013,0.007356,91,57.5,132,104.4,91,3.487,132,0.5354,146
11,25,2013,0.00953,83,63,121,133.9,83,1.907,121,0.4659,132
11,26,2013,0.007079,59,50,85,127.2,59,2.838,85,0.5669,117
11,27,2013,0.00592,66,49,91,91.71,66,4.798,91,0.5799,102
11,28,2013,0.005529,96,41.5,124,90.65,96,3.751,124,0.5475,160
11,29,2013,0.006939,105,51,149,84.16,105,2.929,150,0.5224,169
11,30,2013,0.01135,120,48.5,158,100.7,120,3.904,158,0.5187,182
11,1,2012,0.00776,106,52,159,94.65,106,3.715,159,0.5128,187
11,2,2012,0.007658,81,52,127,84.06,81,4.791,127,0.5705,144
11,3,2012,0.007295,115,49,166,94.29,115,5.062,166,0.5549,195
11,4,2012,0.007789,120,52,213,92.12,120,3.945,213,0.5514,258
11,5,2012,0.01061,148,65,200,116.2,148,2.439,200,0.4766,234
11,6,2012,0.008275,91,53,145,90.98,91,5.559,145,0.5849,162
11,7,2012,0.006652,87,59,136,101.7,88,3.327,136,0.3988,161
11,8,2012,0.009682,113,54.5,168,107.8,113,4.355,168,0.5468,195
11,9,2012,0.007562,94,52.5,130,106,94,5.636,130,0.5674,160
11,10,2012,0.008398,98,53,173,113.7,98,5.556,173,0.5959,197
11,11,2012,0.008128,146,58,232,109.5,146,3.815,232,0.5769,261
11,12,2012,0.007218,100,58,173,118.5,100,4.394,173,0.5623,205
11,13,2012,0.00789,76,61,138,109.8,76,4.048,138,0.5498,167
11,14,2012,0.008861,112,57,157,114.5,112,3.322,157,0.5622,183
11,15,2012,0.007409,118,55,173,102.8,117,4.084,174,0.5868,213
11,16,2012,0.007831,111,51,181,99.27,111,5.472,181,0.5801,207
11,17,2012,0.007226,129,55,220,116.4,129,3.544,220,0.5227,279
11,18,2012,0.00677,152,55,206,102,152,4.936,206,0.5766,231
11,19,2012,0.008988,112,55,161,102.8,112,3.363,161,0.511,193
11,20,2012,0.008723,104,54,150,91.32,104,4.787,150,0.5889,179
11,21,2012,0.009751,103,56,145,110.1,103,4.621,145,0.5148,183
11,22,2012,0.008253,103,55,163,131.8,103,2.956,163,0.5352,186
11,23,2012,0.01008,130,54,189,116,130,2.901,189,0.4249,230
11,24,2012,0.007823,104,57,160,112.8,104,3.475,160,0.5172,185
11,25,2012,0.009214,112,53.5,164,105.7,112,4.148,164,0.5815,198
11,26,2012,0.007669,115,47.5,188,92.42,115,4.513,188,0.6002,209
11,27,2012,0.009403,128,56,182,105.6,128,2.704,182,0.5259,223
11,28,2012,0.008434,75,58,128,99.36,75,3.273,128,0.4109,169
11,29,2012,0.005388,82,56,135,103.2,82,4.816,135,0.5848,158
11,30,2012,0.008268,92,57,155,104.2,92,3.956,155,0.5485,185
10,1,2012,0.009062,80,52,131,91.06,80,4.563,131,0.5548,153
10,2,2012,0.008982,55,46.5,92,100.2,55,4.433,92,0.5388,114
10,3,2012,0.006382,78,40,126,75.12,78,4.634,126,0.5306,162
10,4,2012,0.006603,88,43,145,79.71,88,5.638,145,0.5966,170
10,5,2012,0.008063,52,47,95,91.1,52,5.108,95,0.6015,115
10,6,2012,0.009211,107,44,145,98.04,107,4.085,145,0.5586,173
10,7,2012,0.005187,68,44.5,108,100.1,68,4.21,108,0.5388,139
10,8,2012,0.007449,76,56,115,100.9,76,4.782,115,0.5533,131
10,9,2012,0.01045,98,44.5,142,97.11,98,3.519,142,0.5634,169
10,10,2012,0.01306,129,51,183,103.5,129,3.687,183,0.4849,224
10,11,2012,0.009359,118,55.5,164,100.8,118,4.142,164,0.5503,197
10,12,2012,0.00974,101,50.5,154,93.08,101,2.857,154,0.5812,183
10,13,2012,0.006991,107,50,162,101.7,107,3.903,162,0.5008,203
10,14,2012,0.009167,153,51,253,103,153,5.161,253,0.5221,293
10,15,2012,0.00849,106,49,161,111.2,106,3.206,161,0.566,193
10,16,2012,0.006781,156,67,223,125.6,156,5.246,223,0.5676,246
10,17,2012,0.007691,123,57.5,188,127.6,123,2.456,188,0.5713,217
10,18,2012,0.00716,130,52,182,101.4,130,5.548,182,0.5217,218
