month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.002153,23,43,23,55.06,23,12.39,23,3.558,35
11,1,2013,0.001021,12,41.5,12,56.56,12,13.71,12,5.997,28
11,2,2013,0.001248,14,41.5,14,56.75,14,11.96,14,3.288,22
11,3,2013,0.0008809,13,42,13,52.52,13,9.251,13,2.912,21
11,4,2013,0.001231,10,40,10,58.16,10,15.49,10,4.959,12
11,5,2013,0.002875,6,43,6,67.48,6,11.88,6,3.114,14
11,6,2013,0.001842,10,42,10,63.9,10,9,10,6.151,16
11,7,2013,0.001093,14,41,14,54.32,14,4.878,14,5.536,31
11,8,2013,0.001504,13,41,13,52.97,13,15.21,13,4.466,20
11,9,2013,0.001973,28,39,28,60.53,28,5.719,28,3.531,35
11,10,2013,0.0021,31,40,31,57.11,31,11.91,31,4.348,39
11,11,2013,0.002205,32,40,32,62.74,32,11.94,32,4.309,49
11,12,2013,0.001413,45,41,45,58.23,45,12.47,45,4.019,53
11,13,2013,0.00165,29,42,29,55.47,29,11.69,29,4.303,35
11,14,2013,0.002034,43,40,43,57.77,43,10.64,43,5.57,60
11,15,2013,0.002423,35,42,35,59.51,35,11.46,35,3.569,45
11,16,2013,0.002057,46,42,46,63.31,46,9.93,46,4.979,83
11,17,2013,0.00168,39,40,39,55.68,39,9.354,39,4.524,59
11,18,2013,0.002133,40,41,40,60.65,40,11.85,40,5.025,65
11,19,2013,0.002268,38,40,38,53.46,38,12.96,38,4.149,61
11,20,2013,0.001666,56,40,56,57.98,56,10.67,56,5.852,80
11,21,2013,0.0025,44,42,44,66.66,44,10.88,44,5.493,69
11,22,2013,0.001795,53,42,53,60.1,53,9.117,53,5.203,74
11,23,2013,0.001721,34,41,34,55.86,34,11.73,34,4.423,54
11,0,2012,0.002704,32,42,32,63.61,32,13.16,32,2.81,62
11,1,2012,0.004363,31,42,31,71.49,31,7.655,31,2.51,60
11,2,2012,0.001419,35,42,35,60.86,35,12.07,35,2.948,48
11,3,2012,0.004852,10,40,10,56.24,10,10.46,10,2.69,16
11,4,2012,0.00277,21,45,21,67.16,21,11.28,21,2.625,32
11,5,2012,0.001076,28,45,28,55.94,28,15.67,28,4.45,34
11,6,2012,0.00247,12,43,12,85.48,12,5.544,12,2.131,24
11,7,2012,0.006736,23,44,23,78.18,23,5.117,23,2.207,28
11,8,2012,0.00163,18,42,18,65.85,18,12.11,18,2.229,26
11,9,2012,0.00351,38,39,38,83.67,38,11.45,38,2.312,52
11,10,2012,0.003374,33,40,33,57.5,33,13.98,33,2.122,50
11,11,2012,0.00354,27,40,27,78.38,27,10.18,27,1.292,51
