month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.001711,224,31,334,55.07,224,14.14,334,1.078,340
11,1,2013,0.001924,165,30,253,57.03,165,13.99,253,0.9047,265
11,2,2013,0.001551,120,32,185,60.57,120,14.08,185,0.905,196
11,3,2013,0.001257,75,31,125,59.74,75,15.21,125,1.421,127
11,4,2013,0.001292,79,30,140,60.23,79,15.05,140,0.9068,142
11,5,2013,0.001656,94,30,156,58.57,94,14.3,156,1.294,160
11,6,2013,0.001476,140,31,219,57.07,140,14.93,219,0.9032,220
11,7,2013,0.00135,184,29,278,51.41,184,14.26,278,0.8976,298
11,8,2013,0.001497,266,30,395,61.01,266,13.94,395,0.9037,418
11,9,2013,0.001599,309,29,472,55.85,309,12.91,472,1.103,489
11,10,2013,0.002246,262,30.5,390,57.01,262,13.56,390,0.9059,417
11,11,2013,0.001612,276,29,431,54.42,276,14.12,431,0.9013,446
11,12,2013,0.001553,283,30,385,56.26,283,12.41,385,0.9787,411
11,13,2013,0.001939,299,30,420,54.58,299,13.22,420,0.906,439
11,14,2013,0.001479,299,29,446,54.54,299,14.07,446,0.9257,462
11,15,2013,0.001761,370,31,543,53.64,370,12.33,543,1.273,560
11,16,2013,0.002017,441,31,633,55.94,441,11.03,633,0.9008,668
11,17,2013,0.002226,449,31,648,60.43,450,10.84,648,0.9022,678
11,18,2013,0.002222,557,32,803,57.24,557,11.7,803,0.9043,824
11,19,2013,0.002551,672,31,958,55.41,672,9.819,958,0.898,995
11,20,2013,0.00224,602,31,848,56.38,602,10.87,848,0.904,880
11,21,2013,0.002302,588,32,866,59.56,588,11.07,866,0.9429,893
11,22,2013,0.002323,457,31,667,58.18,457,12.2,667,0.9053,668
11,23,2013,0.001939,296,32,466,62.44,296,12.37,466,0.9031,479
11,0,2012,0.00327,277,28,461,53.14,277,13.29,461,0.8155,483
11,1,2012,0.003786,211,26,319,48.65,211,14.15,319,0.8116,354
11,2,2012,0.003439,130,27,232,60.4,130,11.24,232,0.8192,250
11,3,2012,0.002981,97,26,182,49.92,97,14.55,182,0.8194,190
11,4,2012,0.002531,72,26,150,51.68,72,15.45,150,0.8225,158
11,5,2012,0.002342,63,27,129,58.35,63,14.15,129,0.818,137
11,6,2012,0.00368,104,27,181,50.38,104,13.54,181,0.8132,193
11,7,2012,0.003261,135,28,254,51.76,135,14.72,254,0.8179,280
11,8,2012,0.002748,208,27,387,52.54,208,13.52,387,0.8169,418
11,9,2012,0.002679,242,26,409,48.67,242,14.2,409,0.8158,432
11,10,2012,0.003087,317,27,506,59.16,317,12.92,506,0.8172,544
11,11,2012,0.003672,295,27,524,52.75,295,13.78,524,0.8186,551
11,12,2012,0.003247,332,27,518,49.57,332,12.35,518,0.8124,555
11,13,2012,0.0032,315,28,518,51.77,315,12.36,518,0.8154,554
11,14,2012,0.002955,335,29,527,54.07,335,12.91,527,0.8136,562
11,15,2012,0.002514,384,29,601,55.06,384,12.09,601,0.8141,645
11,16,2012,0.002649,418,28,671,55.39,419,13.01,671,0.8112,713
11,17,2012,0.002769,456,29,763,55.83,457,12.06,763,0.8113,822
11,18,2012,0.002744,511,31,830,64.27,511,11.39,830,0.8105,880
11,19,2012,0.002736,585,30,909,62.58,586,11.17,909,0.805,971
11,20,2012,0.002617,522,30,847,60.42,522,10.99,847,0.8114,889
11,21,2012,0.002686,563,28,863,55.39,563,11.55,863,0.8091,922
11,22,2012,0.002739,470,28,738,60.03,470,11.19,738,0.8151,783
11,23,2012,0.002935,346,28,563,56.65,346,11.34,563,0.813,597
10,0,2012,0.002642,259,28,488,60.12,259,13.51,488,0.817,515
10,1,2012,0.002991,184,26,320,47.73,184,13.41,320,0.8153,338
10,2,2012,0.003271,127,29,237,54.04,127,13.09,237,0.819,257
10,3,2012,0.002273,94,29,179,50.19,94,15.49,179,0.8172,190
10,4,2012,0.004352,79,30,157,57.46,79,12.93,157,0.8167,168
10,5,2012,0.002234,85,29,161,50.26,85,16.26,161,0.8174,173
10,6,2012,0.00304,127,27,231,49.72,127,13.96,231,0.8176,245
10,7,2012,0.00274,123,29.5,242,51.91,123,14.33,242,0.815,255
10,8,2012,0.001786,194,29,342,50.22,194,13.92,342,0.8168,364
10,9,2012,0.003166,247,30,424,53.62,247,12.86,424,0.8173,457
10,10,2012,0.002757,283,29,466,56.54,283,12.79,466,0.8193,486
10,11,2012,0.002611,274,29,473,58.77,274,11.95,473,0.8126,512
10,12,2012,0.002481,306,28,533,56.23,306,11.81,533,0.8115,570
10,13,2012,0.002658,310,30,502,57.75,310,10.91,502,0.8142,526
10,14,2012,0.002757,364,30,606,58.83,364,11.33,606,0.8145,643
10,15,2012,0.00251,388,29,677,57.33,388,12.65,677,0.814,707
10,16,2012,0.00372,432,30,708,57.21,432,11.98,708,0.8108,751
10,17,2012,0.002784,428,29,705,54.3,428,11.89,705,0.8124,743
10,18,2012,0.003281,512,31,795,66.73,513,10.71,795,0.8088,841
10,19,2012,0.002981,559,31,892,64.64,559,9.473,892,0.8055,944
10,20,2012,0.003173,535,35,833,76.98,535,9.025,833,0.8033,888
10,21,2012,0.002972,612,33,958,68.84,612,9.37,958,0.8046,1032
10,22,2012,0.002933,479,30,808,59.82,479,11.08,808,0.8159,844
10,23,2012,0.002657,434,29,663,58.16,434,11.83,663,0.8159,705
10,0,2013,0.001917,246,31,375,57.41,246,13.97,375,0.902,396
10,1,2013,0.00206,159,32,264,55.35,159,13.87,264,0.9025,283
10,2,2013,0.001657,132,31,212,51.17,132,12.52,212,0.9064,221
10,3,2013,0.001013,75,31,146,52.1,75,15.47,146,1.074,152
10,4,2013,0.0018,80,32,159,72.64,80,15.05,159,0.9813,162
10,5,2013,0.001369,110,30,193,56,111,12.95,193,0.904,199
10,6,2013,0.001451,128,31,204,57.63,128,15.09,204,0.9004,214
