month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.009231,15,87.5,24,195.6,15,3.827,24,0.8981,26
11,2,2013,0.004454,6,111,12,110.4,6,2.5,12,0.5444,19
11,3,2013,0.01426,11,81,14,111.1,11,1.683,14,0.9518,16
11,4,2013,0.01661,8,81.5,10,148,8,0.5278,10,0.3809,11
11,5,2013,0.00574,5,56,11,72.74,5,8.582,11,0.9498,15
11,6,2013,0.008413,6,78,13,167.5,6,1.389,13,0.1608,22
11,7,2013,0.008837,11,78.5,14,94.29,11,2.422,14,0.9714,16
11,8,2013,0.005126,15,72,19,104.5,15,1.522,19,0.4917,21
11,9,2013,0.003311,9,66,13,127.2,9,4.124,13,0.7608,16
11,10,2013,0.01847,7,95,19,112,7,2.057,19,0.9731,18
11,11,2013,0.01266,11,75,13,100.1,11,1.745,13,0.635,22
11,12,2013,0.002617,11,83.5,16,136.3,11,3.534,16,0.8547,21
11,13,2013,0.01398,8,79,15,129.6,8,2.361,15,0.8718,19
11,14,2013,0.002241,8,84,15,107.4,8,7.351,15,0.9893,24
11,15,2013,0.01017,5,86,7,104.5,5,2.202,7,0.8232,10
11,16,2013,0.0096,8,99.5,8,135.3,8,0.8633,8,0.5953,13
11,17,2013,0.01093,16,76,19,127.8,16,1.567,19,0.6019,22
11,18,2013,0.009513,9,64,12,125.3,9,1.791,12,0.4354,16
11,19,2013,0.01152,6,74,14,127.3,6,1.486,14,0.4309,17
11,20,2013,0.009136,9,69,15,109.9,9,2.703,15,0.7021,18
11,21,2013,0.01381,19,92,26,141.9,19,1.303,26,0.5127,29
11,22,2013,0.01106,23,85,29,135.5,23,1.007,29,0.6037,34
11,23,2013,0.005076,9,95,12,138.5,9,3.416,12,0.7419,17
11,24,2013,0.01064,15,84.5,16,119.6,15,1.13,16,1.143,17
11,25,2013,0.007132,15,75,19,91.52,15,1.72,19,1.19,25
11,26,2013,0.006779,19,72.5,22,98.35,19,5.261,22,1.111,26
11,27,2013,0.008141,8,80,14,107.7,8,1.27,14,0.2804,20
11,28,2013,0.004755,11,53,17,100.2,11,2.37,17,0.3887,21
11,29,2013,0.007863,7,96,8,183,7,1.952,8,0.5736,8
11,30,2013,0.001408,1,53,3,83.83,1,8.24,3,5.349,4
11,1,2012,0.008281,14,79,21,179.1,14,2.324,21,0.3254,23
11,2,2012,0.0173,11,61,15,115.5,11,1.291,15,0.6373,18
11,3,2012,0.0101,9,70,11,136.5,9,4.8,11,0.6266,16
11,4,2012,0.01691,6,94,8,216.1,6,2.174,8,0.3543,16
