month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.004937,7,79,9,136.3,7,3.259,9,0.8343,9
11,1,2013,0.00694,4,57,8,135.1,4,3.434,8,1.068,8
11,2,2013,0.001265,1,56,5,176,1,2.703,5,0.2845,8
11,3,2013,0.009382,4,61.5,8,191.9,4,4.392,8,0.6303,11
11,4,2013,0.005308,3,57.5,6,81.05,3,11.85,6,1.122,6
11,5,2013,0.01883,2,44.5,4,512.5,2,22.54,4,8.881,5
11,6,2013,0.00636,6,76,10,204.1,6,3.716,10,0.6042,12
11,7,2013,0.005593,4,68.5,8,82.17,4,6.196,8,0.5856,9
11,8,2013,0.0058,8,57,27,83.38,8,4.124,27,0.7244,35
11,9,2013,0.003714,6,79,15,226.3,6,5.263,15,0.5304,17
11,10,2013,0.005359,8,70,17,100.5,8,3.997,17,0.6763,20
11,11,2013,0.02353,9,79,23,122.9,9,3.244,23,0.5401,27
11,12,2013,0.001033,10,82,31,112.7,10,3.367,31,0.7223,36
11,13,2013,0.00269,12,87,19,135,12,3.097,19,0.5773,26
11,14,2013,0.004758,11,82,16,127.2,11,8.411,16,1.07,18
11,15,2013,0.005188,24,77,33,112,24,3.049,33,0.5307,40
11,16,2013,0.003783,26,68.5,32,127.2,26,2.577,32,0.9918,34
11,17,2013,0.0059,25,84,32,109.4,25,2.077,32,0.6314,48
11,18,2013,0.008961,29,102,30,132.2,29,1.134,30,0.4977,37
11,19,2013,0.01316,25,79,25,115.4,25,0.9197,25,0.5324,38
11,20,2013,0.01471,28,103,28,135.9,28,0.667,28,0.8521,34
11,21,2013,0.01579,20,84,21,107.1,20,0.8008,21,0.7419,29
11,22,2013,0.01111,24,79,24,100.2,24,1.308,24,0.8369,33
11,23,2013,0.007612,15,74.5,18,118,15,1.928,18,0.8662,23
11,0,2012,0.009572,14,58.5,18,209.7,14,0.6137,18,0.3557,29
11,1,2012,0.02946,7,66,10,125,7,0.8084,10,0.4512,13
11,2,2012,0.02118,9,68,12,125.7,9,1.387,12,0.4398,18
11,3,2012,0.006396,4,71,5,188.6,4,2.414,5,0.3613,11
11,4,2012,0.01306,6,75,14,124.1,6,2.749,14,0.4974,17
11,5,2012,0.02083,7,78,13,154.2,7,2.197,13,0.3974,16
11,6,2012,0.03816,10,80,23,142.3,10,2.783,23,0.4751,25
11,7,2012,0.007279,19,87,27,181.6,19,1.438,27,0.4028,35
11,8,2012,0.0148,12,78,23,117.9,12,1.657,23,0.3431,31
11,9,2012,0.006642,15,81.5,34,137.8,15,2.198,34,0.4692,42
11,10,2012,0.0151,8,79,21,142.5,8,1.625,21,0.4591,28
11,11,2012,0.01419,14,78.5,22,129.8,14,1.747,22,0.3624,31
11,12,2012,0.01089,21,81,39,215.2,21,1.479,39,0.4027,46
11,13,2012,0.007282,19,66.5,26,133.5,19,2.613,26,0.3575,40
11,14,2012,0.01759,17,70,27,122.8,17,2.132,27,0.3751,34
11,15,2012,0.01768,14,81,17,155.2,14,2.39,17,0.3536,23
11,16,2012,0.0159,20,88,25,153.5,20,1.42,25,0.3484,35
11,17,2012,0.01746,20,73.5,26,119.9,20,1.928,26,0.5058,34
11,18,2012,0.01306,26,91,31,184.9,26,1.94,31,0.5254,44
11,19,2012,0.02382,20,85,31,174.3,20,1.35,31,0.3472,39
11,20,2012,0.02206,25,67,32,198.9,25,0.8576,32,0.358,48
11,21,2012,0.01905,22,80,33,121,22,0.7984,33,0.5503,45
11,22,2012,0.02157,20,90,23,136.9,20,0.7355,23,0.6084,29
11,23,2012,0.02406,15,77,17,127.2,15,1.039,17,0.3031,24
10,0,2012,0.007166,11,69,15,104.2,11,1.437,15,0.3555,29
10,1,2012,0.007664,8,80,13,233.9,8,3.266,13,0.6873,15
10,2,2012,0.008746,8,60.5,10,152.3,8,3.714,10,0.3802,12
10,3,2012,0.07105,10,76.5,14,249.4,10,0.5731,14,0.3949,22
10,4,2012,0.05568,5,76,12,269.8,5,2.213,12,0.3548,21
10,5,2012,0.00678,9,97,14,175.7,9,2.455,14,0.3641,15
10,6,2012,0.009219,20,77.5,30,163.5,20,2.49,30,0.3716,36
10,7,2012,0.008933,31,75,43,127.6,31,2.763,43,0.5419,49
10,8,2012,0.02381,16,81,31,144.9,16,1.502,31,0.3721,37
10,9,2012,0.0125,18,72,45,164.4,18,4.246,45,0.5241,54
10,10,2012,0.008086,19,72,31,155.7,19,1.642,31,0.4328,39
10,11,2012,0.01145,12,74.5,24,113.4,12,2.46,24,0.4402,30
10,12,2012,0.006264,21,71,38,121.8,21,2.375,38,0.4934,43
10,13,2012,0.009776,17,77,29,118.5,17,2.741,29,0.4264,37
10,14,2012,0.0102,14,85,28,175.2,14,1.888,28,0.3784,43
10,15,2012,0.01096,22,81,29,135.7,22,1.96,29,0.403,37
10,16,2012,0.006702,23,97,33,122.8,23,2.79,33,0.569,41
