month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,6,2013,0.003585,1,85,2,93.12,1,11.99,2,3.607,2
11,10,2013,0.0039,1,211,1,255.2,1,1.226,1,0.3407,1
11,12,2013,0.007297,1,88.5,2,279.6,1,4.376,2,2.398,2
11,13,2013,0.01213,1,81,2,79.45,1,5.846,2,1.62,2
11,14,2013,0.01101,1,83,3,78.7,1,8.829,3,1.34,3
11,15,2013,0.004172,1,81,1,92.26,1,12.39,1,0.7191,1
11,16,2013,nan,0,85,1,nan,0,4.98,1,1.941,1
11,17,2013,nan,0,77,1,nan,0,6.157,1,1.283,1
11,18,2013,0.001143,1,81,1,87.92,1,55.95,1,1.16,1
11,19,2013,0.002106,2,78,2,82.54,2,4.3,2,0.6694,2
11,20,2013,0.003037,1,81,2,92.59,1,3.887,2,0.8734,2
11,21,2013,0.0006277,1,90.5,2,252.2,1,20.9,2,0.8455,2
11,22,2013,0.0002017,1,78,1,81.91,1,4.973,1,0.5251,1
11,25,2013,0.008085,1,80,2,97.23,1,3.466,2,0.6239,2
11,29,2013,nan,0,83,2,nan,0,2.61,2,nan,0
11,1,2012,nan,0,nan,0,nan,0,nan,0,3.011,1
11,3,2012,0.002649,1,86,1,96.25,1,12.93,1,1.644,1
11,6,2012,0.003818,2,84,3,172.8,2,5.791,3,1.644,3
11,7,2012,0.04058,2,88,2,118.9,2,13.12,2,1.564,2
11,12,2012,0.0005666,1,86,2,112.8,1,3.932,2,0.516,2
11,13,2012,0.00937,1,85,1,91.16,1,14.28,1,1.121,1
11,19,2012,0.03448,1,84,2,109.6,1,13.58,2,2.572,2
11,20,2012,0.04229,1,85,1,89.58,1,0.4414,1,1.113,1
11,21,2012,0.0007381,3,82,4,188,3,49.3,4,1.279,4
11,24,2012,0.001918,2,83.5,2,93.43,2,7.105,2,6.422,2
11,25,2012,0.01219,3,84,3,96.56,3,2.717,3,6.453,3
11,26,2012,0.0007244,3,85,5,93.44,3,5.288,5,0.5703,5
11,27,2012,0.001625,3,84,5,99.75,3,5.184,5,0.5706,5
11,28,2012,0.0002184,1,84,1,90.91,1,5.118,1,0.4183,2
11,30,2012,0.003638,1,92,1,144.9,1,3.403,1,0.6927,1
10,2,2012,0.0004755,1,80,1,87.08,1,9.583,1,7.461,1
10,3,2012,0.005881,3,85.5,4,99.88,3,26.25,4,5.391,4
10,4,2012,0.0001439,1,87,1,92.11,1,7.946,1,0.7218,2
10,5,2012,0.0001554,1,97,2,106,1,5.933,2,0.778,2
10,6,2012,nan,0,96,1,nan,0,18.44,1,3.927,1
10,8,2012,0.002646,2,87.5,2,140.9,2,20.44,2,1.297,2
10,9,2012,0.001121,2,88,3,108.1,2,5.279,3,0.5014,3
10,10,2012,nan,0,82.5,2,nan,0,5.287,2,0.5642,2
10,11,2012,0.0001651,2,84.5,2,104.3,2,19.6,2,2.629,2
10,12,2012,0.07086,2,88.5,4,145.9,2,12.56,4,1.976,4
10,14,2012,nan,0,84,1,nan,0,4.892,1,0.5088,1
10,15,2012,0.003094,2,85,3,96.91,2,26.54,3,1.078,3
10,16,2012,0.005011,1,84,5,95.32,1,16.02,5,1.481,5
10,17,2012,0.0004443,3,81.5,6,87.98,3,6.437,6,0.5824,6
10,18,2012,0.0006239,1,84,2,357.8,1,26.06,2,4.137,2
10,19,2012,0.000336,1,82,3,231.7,1,11.3,3,1.224,3
10,21,2012,0.001907,1,83,1,90.22,1,2.977,1,1.684,1
10,22,2012,0.002023,2,80.5,4,99.42,2,8.415,4,0.6526,4
10,23,2012,nan,0,82,1,nan,0,5.183,1,0.588,1
