month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.008929,93,95,106,132.1,93,1.573,106,0.6021,118
11,2,2013,0.009074,104,94.5,110,127.4,104,1.207,110,0.564,121
11,3,2013,0.01051,136,94.5,148,129.1,136,1.064,148,0.5522,167
11,4,2013,0.01207,145,95.5,160,131.1,145,1.044,160,0.5817,191
11,5,2013,0.008835,116,88,131,119.4,116,1.683,131,0.5828,142
11,6,2013,0.009595,99,91.5,108,125.7,99,1.191,108,0.6022,107
11,7,2013,0.01357,81,101,97,154.5,81,1.093,97,0.5566,104
11,8,2013,0.007463,104,90,123,130.2,104,1.707,123,0.5605,136
11,9,2013,0.008667,113,90,125,132.5,113,1.415,125,0.5719,151
11,10,2013,0.01026,135,99,154,134.4,135,1.107,154,0.5687,172
11,11,2013,0.009488,149,95,164,118.7,149,1.187,164,0.5812,178
11,12,2013,0.01122,77,90,89,118.5,77,1.409,89,0.5906,94
11,13,2013,0.006309,119,93,137,132,119,1.712,137,0.5409,150
11,14,2013,0.00703,95,88,119,117.8,95,2.261,119,0.6034,131
11,15,2013,0.008677,119,93,135,122.4,119,1.399,135,0.5709,148
11,16,2013,0.008982,109,93,119,125.9,109,1.256,119,0.597,132
11,17,2013,0.007233,139,93,146,120.4,139,1.419,146,0.5532,182
11,18,2013,0.00831,104,87,122,116.7,104,1.714,122,0.5773,143
11,19,2013,0.00868,110,123,127,160.5,110,1.506,127,0.5645,140
11,20,2013,0.009494,145,90,172,117.7,145,1.549,172,0.5739,186
11,21,2013,0.007657,103,87,117,117.3,103,1.749,117,0.6037,128
11,22,2013,0.0134,75,91,93,121.7,75,1.317,93,0.596,103
11,23,2013,0.01106,92,94,99,124,92,1.202,99,0.4879,132
11,24,2013,0.01169,131,96,139,127.6,131,1.157,139,0.5724,157
11,25,2013,0.01003,75,87.5,90,121.8,75,1.902,90,0.5883,101
11,26,2013,0.009681,86,94,101,125.8,86,1.32,101,0.5725,113
11,27,2013,0.008447,96,93,107,134.1,96,1.213,107,0.5484,129
11,28,2013,0.006822,63,82,77,130.6,63,1.967,77,0.5431,95
11,29,2013,0.01474,63,96,70,146.6,63,0.933,70,0.548,94
11,30,2013,0.007812,57,91.5,66,124.6,57,0.9768,66,0.5434,88
11,1,2012,0.008033,108,77,170,129.9,108,4.572,170,0.5799,188
11,2,2012,0.006867,97,78,156,131,98,4.884,156,0.5802,168
11,3,2012,0.00819,98,81,150,140.2,98,4.03,150,0.5994,171
11,4,2012,0.008417,115,84,180,121.4,115,3.664,180,0.5926,201
11,5,2012,0.008679,90,81,153,126,90,3.328,153,0.5695,173
11,6,2012,0.01037,113,83,139,146.1,113,3.163,139,0.5802,158
11,7,2012,0.01251,86,81,118,147,86,3.692,118,0.5937,122
11,8,2012,0.006627,101,74,171,128.6,101,3.988,171,0.6005,192
11,9,2012,0.008441,85,77,120,125.3,85,4.966,120,0.5969,127
11,10,2012,0.008386,120,77,166,120.5,120,5.218,166,0.596,183
11,11,2012,0.0102,147,80.5,218,134.3,147,4.164,218,0.6014,238
11,12,2012,0.009582,76,81,135,135,76,4.874,135,0.5946,155
11,13,2012,0.007323,108,77,156,120.4,108,5.063,156,0.5898,174
11,14,2012,0.009078,86,75,159,116.9,86,4.258,159,0.579,184
11,15,2012,0.007017,118,79,162,118.7,118,4.704,162,0.5785,179
11,16,2012,0.009717,136,83,176,132.3,136,3.9,176,0.5991,187
11,17,2012,0.01047,137,82,191,134.9,138,3.008,191,0.5561,207
11,18,2012,0.00828,139,81,190,125.3,139,3.527,190,0.5548,220
11,19,2012,0.006993,91,80,153,139.1,91,4.039,153,0.5851,179
11,20,2012,0.01354,128,142.5,166,192.3,128,2.538,166,0.5737,183
11,21,2012,0.006619,89,96,151,160.6,89,3.929,151,0.5852,169
11,22,2012,0.009219,131,83,178,154.6,131,3.277,178,0.5766,198
11,23,2012,0.009756,109,82.5,160,150.3,109,2.999,160,0.575,191
11,24,2012,0.008816,111,77,164,139.3,111,3.746,164,0.5697,175
11,25,2012,0.007257,106,82,162,125.6,106,3.454,162,0.5713,177
11,26,2012,0.01004,88,83.5,140,144.4,88,3.582,140,0.5688,154
11,27,2012,0.009722,93,73,156,140.1,93,5.249,156,0.5631,179
11,28,2012,0.00968,102,83,140,137.6,102,2.62,140,0.5813,155
11,29,2012,0.01095,124,80,173,136.4,125,2.228,173,0.5783,183
11,30,2012,0.00996,107,84,157,130.4,107,3.397,157,0.5701,169
10,1,2012,0.008782,91,74,137,122.6,91,4.564,137,0.5792,146
10,2,2012,0.006686,104,77,151,131.3,104,5.26,151,0.5625,180
10,3,2012,0.01213,107,79,175,139.9,107,3.963,175,0.5988,197
10,4,2012,0.008685,99,82,133,126.8,99,4.841,133,0.6034,142
10,5,2012,0.01006,68,74,147,116.1,68,4.698,147,0.5804,166
10,6,2012,0.01134,87,76,148,125.8,87,4.896,148,0.5894,165
10,7,2012,0.006583,79,77,127,132.2,79,4.875,127,0.5992,146
10,8,2012,0.008684,110,82,153,127.8,110,3.643,153,0.5946,173
10,9,2012,0.009914,106,79,157,133,106,4.404,157,0.5924,165
10,10,2012,0.009423,88,81,149,130.2,88,3.947,149,0.594,165
10,11,2012,0.009196,108,73,167,129.4,108,4.926,167,0.611,184
10,12,2012,0.009791,113,80,189,128.1,114,4.309,189,0.5953,206
10,13,2012,0.008053,126,76,192,117.4,126,4.98,192,0.6018,215
10,14,2012,0.008046,123,79,179,127.6,123,4.507,179,0.5864,205
10,15,2012,0.008576,111,75.5,184,133.4,111,5.348,184,0.5961,206
10,16,2012,0.009483,99,77,149,124.3,99,4.001,149,0.5855,163
10,17,2012,0.008332,115,80,161,122.8,115,4.906,161,0.5716,171
10,18,2012,0.008585,115,78,177,132.3,115,4.723,177,0.5919,193
10,19,2012,0.007149,115,78,175,130.8,115,4.887,175,0.5904,192
10,20,2012,0.01149,121,81,183,141.8,120,4.02,184,0.5715,197
10,21,2012,0.01204,97,84,146,139.8,97,3.499,146,0.5913,170
10,22,2012,0.008816,85,79,119,135.5,85,4.077,119,0.6014,130
10,23,2012,0.006944,81,79,143,133,82,3.924,143,0.5838,156
10,24,2012,0.008821,95,78.5,162,129,95,4.62,162,0.6076,173
10,25,2012,0.01299,107,90,141,139.9,107,3.39,141,0.5856,161
10,26,2012,0.009534,91,82,148,144.7,91,3.366,148,0.5674,160
10,27,2012,0.008567,118,78,177,123.2,118,5.256,177,0.592,206
10,28,2012,0.008866,103,77,162,118,103,5.352,162,0.5835,190
10,29,2012,0.01035,121,86,180,131,121,2.763,180,0.5744,216
10,30,2012,0.01038,129,108,164,167,129,2.553,164,0.5629,180
10,31,2012,0.008811,102,79,161,139.7,102,5.065,161,0.5746,184
10,1,2013,0.01036,112,103,126,149.8,112,1.086,126,0.5397,140
10,2,2013,0.01171,116,100,132,147.7,116,0.9734,132,0.5623,149
10,3,2013,0.01266,121,93.5,136,141.8,121,1.253,136,0.5814,148
10,4,2013,0.007072,129,88,157,121,129,2.396,157,0.5915,181
10,5,2013,0.00852,109,88,124,137.9,109,2.478,124,0.5953,129
10,6,2013,0.01447,130,97,141,132.1,130,0.8984,141,0.5675,155
