month,hour,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,0,2013,0.00707,83,70,83,119.4,83,4.554,83,0.5642,144
11,1,2013,0.00732,86,68,86,104.4,86,2.718,86,0.5653,126
11,2,2013,0.006785,63,64,63,114.3,63,6.426,63,0.5947,101
11,3,2013,0.01124,38,66.5,38,131.7,38,2.754,38,0.5924,69
11,4,2013,0.007922,62,72,62,102.3,62,3.762,62,0.5912,86
11,5,2013,0.006797,49,67,49,129.8,49,4.381,49,0.6173,84
11,6,2013,0.00672,52,73,52,116.7,52,5.45,52,0.5969,82
11,7,2013,0.004323,60,69.5,60,119.8,60,3.423,60,0.604,100
11,8,2013,0.006084,86,70.5,86,106.3,86,6.115,86,0.6098,128
11,9,2013,0.005888,104,82.5,104,141,104,3.6,104,0.5655,147
11,10,2013,0.004682,80,87.5,80,135.2,80,3.48,80,0.5776,120
11,11,2013,0.004373,93,82,93,115.9,93,2.491,93,0.5998,124
11,12,2013,0.004796,108,94.5,108,151.9,108,2.09,108,0.564,142
11,13,2013,0.00481,129,89,129,129.5,129,3.095,129,0.5978,164
11,14,2013,0.005402,135,93,135,118.7,135,1.768,135,0.5393,174
11,15,2013,0.004484,153,94,153,120.7,153,1.975,153,0.5639,189
11,16,2013,0.005591,131,94,131,128.5,131,1.671,131,0.5597,152
11,17,2013,0.007433,193,97,193,125.2,193,1.083,193,0.5554,229
11,18,2013,0.0103,267,99,267,126,267,0.9019,267,0.5703,296
11,19,2013,0.01483,270,101.5,270,136.7,270,0.6871,270,0.5582,315
11,20,2013,0.01582,222,102,222,136,222,0.67,222,0.5473,273
11,21,2013,0.01415,264,99,264,132.2,264,0.7272,264,0.5827,306
11,22,2013,0.008027,234,96,234,126.8,234,1.076,234,0.5723,264
11,23,2013,0.006701,171,89,171,116.5,171,2.041,171,0.5727,218
11,0,2012,0.008537,129,80,129,139,129,3.864,129,0.5928,202
11,1,2012,0.008992,81,78,81,124.1,81,4.5,81,0.5872,154
11,2,2012,0.006488,69,82,69,127.5,69,3.689,69,0.5933,113
11,3,2012,0.009018,48,83,48,136.2,48,3.001,48,0.5765,102
11,4,2012,0.008777,43,87,43,140.7,43,2.056,43,0.5616,87
11,5,2012,0.009305,66,85,66,129.3,66,3.814,66,0.574,101
11,6,2012,0.01309,58,97,58,140,58,1.356,58,0.5653,100
11,7,2012,0.01026,50,88.5,50,131.9,50,3.519,50,0.5881,99
11,8,2012,0.008769,104,87,104,142.6,104,2.663,104,0.5628,170
11,9,2012,0.0083,97,83,97,133.3,97,3.299,97,0.5961,161
11,10,2012,0.009335,123,84,123,145.1,123,2.804,123,0.5768,208
11,11,2012,0.007773,147,81,147,132.5,147,4.074,147,0.5996,227
11,12,2012,0.00933,133,80,133,134.9,133,4.297,133,0.5954,227
11,13,2012,0.01107,145,83,145,129.4,145,2.725,145,0.6002,249
11,14,2012,0.008523,144,81,144,134.1,144,3.198,144,0.5856,249
11,15,2012,0.009478,178,84,178,134,178,3.197,178,0.5667,292
11,16,2012,0.009462,194,80,194,128.3,194,3.795,194,0.5842,319
11,17,2012,0.008932,198,83,198,126.5,198,3.645,198,0.5926,304
11,18,2012,0.008427,184,81,185,129.8,185,4.13,185,0.5894,301
11,19,2012,0.009323,225,84,225,132.4,225,2.959,225,0.5956,392
11,20,2012,0.008375,234,81,235,144.1,235,2.831,235,0.5886,364
11,21,2012,0.007841,254,84,255,146.1,255,2.398,255,0.5619,378
11,22,2012,0.009009,189,80,189,136.2,189,3.026,189,0.5746,291
11,23,2012,0.008953,146,80,146,131.1,146,3.313,146,0.5799,249
10,0,2012,0.008849,114,81,114,132.4,114,4.122,114,0.5838,193
10,1,2012,0.008315,92,82.5,92,116.1,92,3.518,92,0.5923,143
10,2,2012,0.009248,79,84,80,132.7,80,2.443,80,0.5698,130
10,3,2012,0.007666,61,82,61,133.4,61,3.365,61,0.588,116
10,4,2012,0.005909,38,87,38,178,38,2.218,38,0.581,73
10,5,2012,0.01029,46,86.5,46,142.5,46,1.506,46,0.5893,69
10,6,2012,0.01029,38,85,38,137.7,38,2.473,38,0.5976,85
10,7,2012,0.009329,69,89,69,132.4,69,3.035,69,0.5954,117
10,8,2012,0.00991,100,91,100,137.2,100,3.154,100,0.5766,150
10,9,2012,0.009063,94,87.5,94,144.9,94,2.57,94,0.597,167
10,10,2012,0.008635,128,81.5,128,123,128,4.076,128,0.5882,220
10,11,2012,0.009185,148,83,148,134.2,148,3.988,148,0.5864,239
10,12,2012,0.009298,136,81,137,138.2,137,2.995,137,0.5643,242
10,13,2012,0.00973,144,83,144,130.7,144,3.484,144,0.5722,258
10,14,2012,0.008435,137,82,137,123,137,3.569,137,0.5817,265
10,15,2012,0.01031,172,81,172,133.5,172,3.832,172,0.5817,300
