month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.0182,268,49,278,70.31,268,1.104,278,4.282,302
11,2,2013,0.02579,331,50,338,68.82,331,0.864,338,4.356,364
11,3,2013,0.02663,287,50,296,69.1,287,0.8137,296,4.398,314
11,4,2013,0.03322,203,51,212,71.11,203,0.8043,212,4.316,237
11,5,2013,0.02916,187,49,194,67.82,187,0.8991,194,4.398,217
11,6,2013,0.01001,228,47,242,65.38,228,1.955,242,4.436,273
11,7,2013,0.03067,213,51,222,69.92,213,0.7394,222,4.284,251
11,8,2013,0.02439,280,50,290,69.7,280,0.8735,290,4.399,328
11,9,2013,0.0381,321,51,330,74.67,320,0.5905,332,4.358,391
11,10,2013,0.033,304,51,314,73.31,304,0.7516,314,4.357,344
11,11,2013,0.03479,368,51,375,74.15,368,0.6911,375,4.358,395
11,12,2013,0.03153,243,51,249,74.23,243,0.7754,249,4.357,278
11,13,2013,0.02528,223,51,238,73.23,223,0.9301,238,4.363,262
11,14,2013,0.03142,247,54,261,73.83,247,0.7722,261,4.277,276
11,15,2013,0.03474,231,52,243,74.41,231,0.7114,243,4.32,271
11,16,2013,0.04027,297,52,303,72.98,297,0.6246,303,4.575,347
11,17,2013,0.04136,325,52,339,77.22,325,0.6364,339,4.32,376
11,18,2013,0.04223,210,53,213,77.96,210,0.5951,213,4.391,227
11,19,2013,0.03977,272,52,283,75.44,272,0.67,283,4.359,303
11,20,2013,0.02668,238,58,260,83.11,238,0.9857,261,4.318,282
11,21,2013,0.03664,258,53,273,78.62,258,0.699,273,3.993,305
11,22,2013,0.0328,248,52,255,76.08,248,0.7263,255,4.318,275
11,23,2013,0.04459,259,53,267,76.64,259,0.5462,267,4.36,297
11,24,2013,0.04475,332,52,335,74.18,332,0.5627,335,4.357,383
11,25,2013,0.04076,216,51,227,72.08,216,0.6656,227,4.391,259
11,26,2013,0.04656,199,53,205,76.35,199,0.6158,205,4.36,223
11,27,2013,0.03276,190,51,200,72.29,190,0.7818,200,4.361,213
11,28,2013,0.01868,164,50,168,69.29,164,1.138,168,4.399,181
11,29,2013,0.04371,161,52,165,73.9,161,0.5692,165,4.357,187
11,30,2013,0.04883,119,52,121,76.24,119,0.5475,121,4.398,140
11,1,2012,0.0005599,244,12,391,33.52,244,17.89,391,2.89,400
