month,day,year,packet_retransmit_rate,packet_retransmit_rate_n,minimum_rtt,minimum_rtt_n,average_rtt,average_rtt_n,download_throughput,download_throughput_n,upload_throughput,upload_throughput_n
11,1,2013,0.001964,1,91,1,106.8,1,23.63,1,6.947,1
11,2,2013,0.002566,1,91,1,102.8,1,9.186,1,2.488,5
11,3,2013,0.04282,2,338.5,2,401,2,0.3767,2,2.111,2
11,4,2013,nan,0,nan,0,nan,0,nan,0,0.9123,3
11,5,2013,0.0007795,5,52,5,85.37,5,7.88,5,1.805,8
11,6,2013,0.002391,7,55,7,69.1,7,16.55,7,5.85,7
11,7,2013,0.05779,1,106,1,137.6,1,0.385,1,0.2468,4
11,8,2013,0.01773,2,49.5,2,255.1,2,12.27,2,3.486,3
11,9,2013,0.002414,3,50,3,60.33,3,12.97,3,5.855,5
11,10,2013,0.001884,11,50,11,64.77,11,10.71,11,1.666,13
11,11,2013,0.0007635,4,51,4,63.23,4,11.63,4,5.821,5
11,12,2013,0.008874,1,80,1,93.01,1,7.908,1,3.784,2
11,13,2013,0.003001,4,51.5,4,93.32,4,10.82,4,3.353,6
11,14,2013,0.001276,3,71,3,96.42,3,16.5,3,1.033,4
11,15,2013,0.005925,9,58,9,108.5,9,1.59,9,3.472,13
11,16,2013,0.007782,1,125,1,274.1,1,1.945,1,1.558,4
11,17,2013,0.000723,2,55,2,90.83,2,12.84,2,0.5271,6
11,18,2013,0.001256,7,53,7,92.54,7,11.27,7,4.877,11
11,19,2013,nan,0,nan,0,nan,0,nan,0,0.7544,2
11,20,2013,0.0009731,6,52.5,6,75.65,6,11.53,6,5.619,8
11,21,2013,0.001826,2,45.5,2,63.27,2,8.633,2,2.291,6
11,22,2013,0.02062,1,53,1,63.85,1,1.066,1,2.821,2
11,23,2013,0.001143,1,55,1,98.83,1,30.43,1,1.672,5
11,24,2013,0.008673,7,53,7,93.91,7,5.291,7,1.475,9
11,25,2013,0.02362,1,99,1,144.3,1,0.4003,1,7.369,4
11,26,2013,0.005518,5,61,5,80.45,5,9.372,5,1.274,8
11,27,2013,0.001256,3,72,3,93.14,3,18.95,3,0.6611,4
11,28,2013,0.002738,3,42,3,60.49,3,10.18,3,0.8903,4
11,29,2013,0.01647,1,65,1,85.32,1,1.48,1,3.367,3
11,30,2013,nan,0,nan,0,nan,0,nan,0,0.09353,3
11,1,2012,0.003048,4,70,4,92.37,4,14.33,4,0.9837,8
11,2,2012,0.00723,7,55,7,94.29,7,3.174,7,1.12,12
11,3,2012,0.002274,4,56,4,95.26,4,5.279,4,3.36,8
11,4,2012,0.0005838,3,82,3,96.83,3,3.928,3,3.606,13
11,5,2012,0.002699,16,76.5,16,87.77,16,9.861,16,2.784,20
11,6,2012,0.01729,13,82,13,245.1,13,2.073,13,0.5617,19
11,7,2012,0.003601,11,55,11,70.18,11,8.434,11,1.689,13
11,8,2012,0.00481,9,80,9,104.4,9,3.906,9,1.136,10
11,9,2012,0.003622,8,65,8,86.53,8,6.705,8,1.361,13
11,10,2012,0.0004101,4,44.5,4,72.62,4,19.65,4,2.345,6
11,11,2012,0.001022,6,56.5,6,86.65,6,7.618,6,3.457,11
11,12,2012,0.005475,10,51,10,68.44,10,6.482,10,0.9644,19
11,13,2012,0.006886,6,53,6,69.52,6,5.407,6,0.7192,9
11,14,2012,0.0255,5,82,5,102.4,5,0.759,5,0.6932,10
11,15,2012,0.005047,12,54,12,86.03,12,7.684,12,3.292,18
11,16,2012,0.002086,5,53,5,66.21,5,17.26,5,0.8841,15
11,17,2012,0.003509,3,52,3,61.75,3,6.762,3,3.571,5
11,18,2012,0.002162,5,50,5,86.03,5,6.917,5,2.318,8
11,19,2012,0.008148,7,80,7,123,7,8.709,7,3.606,14
11,20,2012,0.004941,5,69,5,102.1,5,10.52,5,0.7928,10
11,21,2012,0.002344,10,62.5,10,90.33,10,12.78,10,1.566,15
11,22,2012,0.004339,3,55,3,107.9,3,4.69,3,2.287,6
11,23,2012,0.003549,6,55.5,6,91.22,6,12.42,6,3.603,10
11,24,2012,0.005086,6,57,6,150,6,3.512,6,0.7047,9
11,25,2012,0.003876,5,56,5,71.19,5,8.267,5,2.864,6
11,26,2012,0.01411,6,69.5,6,100.6,6,11.8,6,1.13,7
11,27,2012,0.005023,2,57.5,2,67.68,2,7.688,2,1.643,6
11,28,2012,0.001526,4,69.5,4,82.06,4,9.997,4,0.512,11
11,29,2012,0.003187,8,48.5,8,72.15,8,6.413,8,2.427,12
11,30,2012,0.002963,7,49,7,63.64,7,11.21,7,0.8283,10
10,1,2012,0.01094,17,70,17,75.29,17,2.516,17,1.455,24
10,2,2012,0.0004402,8,50,8,63.78,8,14.53,8,0.8927,17
10,3,2012,0.005587,7,50,7,61.12,7,9.036,7,1.722,11
10,4,2012,0.001092,8,50.5,8,75.62,8,11.35,8,0.9435,12
10,5,2012,0.002203,3,53,3,79.83,3,2.545,3,1.969,5
10,6,2012,0.0006991,7,58,7,128.1,7,3.238,7,1.174,9
10,7,2012,0.0007669,3,53,3,106.9,3,2.26,3,1.06,4
10,8,2012,0.004708,10,51.5,10,91.69,10,9.588,10,0.9874,13
10,9,2012,0.001571,5,52,5,77.11,5,8.744,5,0.3958,8
10,10,2012,0.003678,4,54.5,4,122.6,4,4.709,4,2.98,10
10,11,2012,0.009264,4,59.5,4,90.92,4,6.67,4,0.9936,6
10,12,2012,0.002273,6,50.5,6,120.4,6,10.75,6,1.025,11
10,13,2012,0.0008101,3,40,3,48.96,3,19.97,3,1.052,6
10,14,2012,0.01454,1,42,1,66.69,1,2.636,1,0.7626,2
10,15,2012,0.002654,7,51,7,69.97,7,3.788,7,1.398,11
10,16,2012,0.003474,11,54,11,81.6,11,3.731,11,1.099,18
10,17,2012,0.002995,12,54,12,85.58,12,14.5,12,0.9073,14
10,18,2012,0.007597,3,72,3,126.7,3,10.44,3,2.303,4
10,19,2012,0.0006849,3,81,3,124.6,3,11.67,3,2.512,4
10,20,2012,0.0146,2,109,2,291.2,2,1.036,2,0.8576,6
10,21,2012,0.003319,10,61.5,10,103.2,10,5.035,10,1.664,18
10,22,2012,0.004364,3,62,3,145,3,8.216,3,0.8582,11
10,23,2012,0.02643,2,62,2,119.5,2,5.701,2,3.642,5
10,24,2012,0.01242,1,57,1,72.08,1,1.275,1,1.441,1
10,25,2012,0.0003494,1,35,1,35.57,1,13.24,1,1.418,10
10,26,2012,0.004102,9,58,9,85.92,9,12.35,9,1.063,17
10,27,2012,0.006147,5,59,5,98.29,5,11.45,5,0.8219,8
10,28,2012,0.01127,2,68.5,2,81.18,2,7.094,2,4.367,5
10,29,2012,0.001459,7,69,7,80.48,7,11.3,7,1.055,14
10,30,2012,0.003886,5,70,5,85.43,5,8.509,5,1.053,12
10,31,2012,0.004829,8,50.5,8,70.19,8,14.1,8,1.261,8
10,1,2013,0.004012,22,70,22,93.18,22,8.427,22,0.9427,32
10,2,2013,0.003569,8,69,8,75.13,8,4.926,8,1.181,16
10,3,2013,0.001816,27,52,27,68.89,27,8.386,27,0.8927,45
10,4,2013,0.001558,10,57,10,69.48,10,11.15,10,1.063,14
10,5,2013,0.001824,6,54,6,70.64,6,7.075,6,3.648,6
10,6,2013,0.004969,10,43,10,60.87,10,5.029,10,2.063,12
10,7,2013,0.02093,8,87,8,120.7,8,4.161,8,0.6162,14
10,8,2013,0.002273,18,47,15,63.62,15,8.388,18,3.605,22
10,9,2013,0.002304,12,50.5,6,73.34,6,11.23,12,1.629,10
10,10,2013,nan,0,nan,0,nan,0,nan,0,0.1137,1
10,11,2013,0.004089,2,57,2,67.84,2,10.78,2,2.562,3
10,12,2013,0.008368,3,60,3,94.45,3,4.572,3,2.706,2
10,13,2013,0.003085,3,56,3,69.97,3,9.848,3,2.102,9
10,14,2013,0.002718,3,70,3,359.2,3,3.372,3,1.045,3
10,15,2013,0.001038,1,51,1,64.02,1,10.77,1,0.6356,2
10,16,2013,0.01256,2,60,2,177.1,2,4.087,2,0.7908,2
10,17,2013,nan,0,nan,0,nan,0,nan,0,0.8726,1
10,18,2013,0.003828,3,58,3,99.68,3,2.616,3,4.19,4
10,19,2013,0.007387,2,52.5,2,75.63,2,8.818,2,5.027,4
10,20,2013,0.004524,1,76,1,98.65,1,5.618,1,5.081,3
10,21,2013,0.001369,4,59,4,70.17,4,14.04,4,3.249,5
10,22,2013,0.001994,1,72,1,79.19,1,17.26,1,1.253,7
10,23,2013,0.005059,3,50,3,71.67,3,12.87,3,3.704,4
10,24,2013,0.004683,2,62,2,106.1,2,5.313,2,2.756,3
10,25,2013,0.005221,4,38,4,53.07,4,17.07,4,3.525,5
10,26,2013,0.01303,2,76,2,246.9,2,0.5193,2,3.758,3
10,27,2013,0.001138,3,55,3,67.24,3,19.88,3,5.677,6
10,28,2013,nan,0,nan,0,nan,0,nan,0,0.2721,1
10,29,2013,0.000915,3,55,3,68.53,3,8.239,3,2.22,5
10,30,2013,0.01187,2,128,2,279.3,2,1.641,2,0.4572,2
10,31,2013,0.0003154,1,51,1,65.34,1,7.11,1,5.012,2
4,1,2014,0.001431,13,53,13,72.75,13,13.97,13,1.971,14
4,2,2014,0.00349,11,50,11,82.83,11,7.338,11,0.9196,19
4,3,2014,0.003222,11,55,11,82.56,11,6.356,11,1.238,15
4,4,2014,0.003275,8,51,8,67.11,8,10.55,8,1.646,12
4,5,2014,0.002339,4,57.5,4,105,4,5.984,4,6.392,8
4,6,2014,0.001491,1,54,1,75.59,1,3.013,1,3.928,2
4,7,2014,0.002928,9,53,9,85.57,9,10.34,9,5.86,30
4,8,2014,0.004214,12,73.5,12,92.81,12,9.618,12,1.153,27
4,9,2014,0.002169,10,74,10,95.81,10,9.129,10,1.359,17
4,10,2014,0.002324,11,84,11,94.96,11,11.53,11,1.043,15
4,11,2014,0.002637,9,78,9,90.2,9,9.286,9,1.603,11
4,12,2014,0.001848,5,57,5,89.83,5,11.4,5,1.15,5
4,13,2014,0.002863,3,57,3,111,3,14.37,3,9.53,6
4,14,2014,0.004786,14,79.5,14,100.9,14,5.596,14,0.7933,23
4,15,2014,0.003027,8,80,8,100.4,8,3.204,8,0.8832,10
4,16,2014,0.00759,10,76,10,97.93,10,4.431,10,1.228,13
4,17,2014,0.00281,7,53,7,75.91,7,13.41,7,5.776,13
4,18,2014,0.004558,11,75,11,84.05,11,4.863,11,1.283,14
4,19,2014,0.004937,4,64.5,4,73.84,4,10.31,4,5.421,7
4,20,2014,0.002121,3,53,3,65.19,3,7.365,3,4.44,6
4,21,2014,0.003204,8,87,8,103.3,8,9.604,8,0.5456,15
4,22,2014,0.001805,6,60.5,6,76.62,6,7.853,6,1.097,14
4,23,2014,0.005952,22,62,24,76.86,24,10.13,24,1.289,34
4,24,2014,0.001082,16,51,16,81.52,16,9.911,16,0.8763,22
4,25,2014,0.003818,20,85,20,105.4,20,9.847,20,1.095,26
4,26,2014,0.001971,4,67.5,4,99.26,4,10.74,4,3.474,6
4,27,2014,0.003177,8,49.5,8,62.25,8,5.657,8,5.537,10
4,28,2014,0.003037,16,81.5,16,95.17,16,8.542,16,0.9614,34
4,29,2014,0.0022,28,68.5,28,82.44,28,13.94,28,1.143,36
4,30,2014,0.002789,28,72,28,81.86,28,11.56,28,1.119,38
4,1,2013,0.001002,8,64.5,8,73.03,8,16.05,8,4.519,19
4,2,2013,0.007387,12,71,12,108.7,12,2.356,12,3.561,23
4,3,2013,0.0007954,8,64,8,76.68,8,8.852,8,4.13,13
4,4,2013,0.001053,18,64,18,76.45,18,11.85,18,4.477,27
4,5,2013,0.003463,6,70,6,86.76,6,7.424,6,1.444,11
4,6,2013,0.007254,3,44,3,174,3,3.101,3,2.161,5
4,7,2013,0.001349,5,66,5,110.2,5,7.622,5,2.245,7
4,8,2013,0.002218,3,52,3,98.68,3,11.81,3,0.6335,6
4,9,2013,0.009545,7,68,7,140.1,7,4.763,7,0.5988,10
4,10,2013,0.001959,8,87,8,102.8,8,6.225,8,3.524,9
4,11,2013,0.00873,3,109,3,136.3,3,6.021,3,1.592,6
4,12,2013,0.003462,7,67,7,90.36,7,11.42,7,2.166,11
4,13,2013,0.004898,8,62.5,8,77.22,8,11.63,8,5.505,15
4,14,2013,0.01101,3,56,3,104.8,3,2.852,3,2.739,4
4,15,2013,0.005368,11,68,11,78,11,5.649,11,1.209,19
4,16,2013,0.001385,7,86,7,93.77,7,11.53,7,2.115,11
4,17,2013,0.01568,4,55.5,4,178.1,4,10.06,4,1.111,6
4,18,2013,0.002085,9,86,9,93.51,9,12.25,9,1.286,15
4,19,2013,0.002816,8,69,8,86.73,8,6.822,8,1.574,10
4,20,2013,0.008309,3,84,3,165.8,3,4.977,3,0.5685,5
4,21,2013,0.001014,9,58,9,77.97,9,10.38,9,8.427,16
4,22,2013,0.003108,3,62,3,127.1,3,2.33,3,3.866,10
4,23,2013,0.002132,13,51,13,71.12,13,11.8,13,2.162,18
4,24,2013,0.005283,3,63,3,112.3,3,7.418,3,0.7595,7
4,25,2013,0.0019,7,54,7,76.51,7,5.455,7,1.775,8
4,26,2013,0.001904,6,55.5,6,65.19,6,13.57,6,2.27,8
4,27,2013,0.0007123,2,70,2,89.22,2,8.48,2,1.96,3
4,28,2013,0.001864,6,56,6,78.11,6,8.622,6,3.638,7
4,29,2013,0.00304,13,67,13,81.97,13,5.68,13,1.384,14
4,30,2013,0.003223,8,51,8,63.49,8,7.995,8,1.645,15
4,1,2012,0.0033,3,57,3,78.36,3,5.105,3,1.238,6
4,2,2012,0.001445,4,53,4,92.5,4,11.66,4,2.887,7
4,3,2012,0.007947,9,54,9,72.32,9,7.868,9,3.171,14
4,4,2012,0.005535,3,87,3,207.5,3,3.006,3,0.6877,5
4,5,2012,0.01276,3,59,3,144,3,2.995,3,1.722,8
4,6,2012,0.009598,2,75,2,165.2,2,1.948,2,0.6136,6
4,7,2012,0.004729,8,83,8,143.1,8,9.698,8,0.6013,19
4,8,2012,0.004357,5,57,5,160.1,5,2.805,5,0.5974,11
4,9,2012,0.02499,5,50,5,67.97,5,12.32,5,2.529,11
4,10,2012,0.0006682,1,56,1,64.26,1,3.41,1,1.385,8
4,11,2012,0.01124,2,59.5,2,275.2,2,10.19,2,0.6774,7
4,12,2012,0.001453,4,51,4,75.01,4,10.93,4,2.902,6
4,13,2012,0.003212,4,47.5,4,60.14,4,15.21,4,2.17,9
4,14,2012,0.002587,7,52,7,71.03,7,5.224,7,2.005,15
4,15,2012,0.00216,8,54,8,71.25,8,12.52,8,2.685,10
4,16,2012,0.003647,7,54,7,97.07,7,10.1,7,3.266,10
4,17,2012,0.007266,4,58.5,4,161.5,4,1.196,4,0.9314,7
4,18,2012,0.002605,3,56,3,78.22,3,15.38,3,0.7109,7
4,19,2012,0.02042,4,98,4,250.4,4,2.06,4,0.6791,5
4,20,2012,0.001627,3,53,3,67.71,3,14.07,3,3.243,7
4,21,2012,0.001944,8,46,8,59.21,8,10.25,8,1.561,11
4,22,2012,0.006078,6,55.5,6,73.8,6,9.137,6,3.626,6
4,23,2012,0.006358,3,54,3,79.01,3,8.919,3,2.489,3
4,24,2012,0.006776,5,59,5,104.8,5,2.989,5,2.2,10
4,25,2012,0.005067,3,59,3,79.5,3,12.22,3,0.7107,7
4,26,2012,0.001351,2,57,2,71.25,2,12.73,2,2.726,10
4,27,2012,0.00617,6,56,6,70.14,6,4.163,6,3.211,7
4,28,2012,0.006278,6,59.5,6,78.32,6,5.124,6,2.146,10
4,29,2012,0.004088,6,61,6,83.78,6,4.97,6,3.013,6
4,30,2012,0.003879,4,50,4,113.7,4,2.965,4,0.7082,5
12,1,2012,0.004178,8,42.5,8,88.39,8,15.27,8,2.892,11
12,2,2012,0.003919,12,42,12,70.98,12,21.17,12,2.508,17
12,3,2012,0.004114,12,42,12,88.32,12,29.77,12,2.408,17
12,4,2012,0.004111,5,42,5,92.88,5,28.48,5,1.61,10
12,5,2012,0.0005227,4,83,4,131.5,4,3.82,4,0.6308,6
12,6,2012,0.04725,1,73,1,79.75,1,9.329,1,0.3338,2
12,7,2012,0.005229,1,84,1,92.12,1,5.256,1,0.4026,4
12,8,2012,0.01445,3,79,3,104.5,3,7.027,3,3.608,3
12,9,2012,0.0004018,5,59,5,198.8,5,3.412,5,1.564,6
12,10,2012,0.004767,6,68.5,6,96.36,6,6.066,6,0.9848,10
12,11,2012,0.001684,9,50,9,81.03,9,9.105,9,1.117,20
12,12,2012,0.002468,3,50,3,74.63,3,2.571,3,2.349,4
12,13,2012,0.008696,4,63,4,82.15,4,4.847,4,0.8736,4
12,14,2012,0.003789,5,52,5,73.21,5,18.49,5,3.406,6
12,15,2012,0.01317,1,56,1,193.7,1,2.683,1,0.7127,1
12,16,2012,0.01698,4,56.5,4,119.6,4,1.651,4,1.759,8
12,17,2012,0.003165,3,58,3,81.07,3,1.806,3,1.284,14
12,18,2012,0.003785,8,61.5,8,89.27,8,12.9,8,1.314,8
12,19,2012,0.003073,3,41,3,61.78,3,13.12,3,1.754,5
12,20,2012,0.001641,8,71.5,8,91.02,8,14.83,8,2.13,15
12,21,2012,0.009206,2,52,2,55.65,2,6.693,2,3.13,13
12,22,2012,0.005415,4,59,4,112.1,4,10.11,4,4.451,15
12,23,2012,0.001487,2,100,2,115.2,2,12.9,2,3.908,11
12,24,2012,0.003314,1,86,1,99.13,1,16.1,1,3.174,3
12,25,2012,0.00057,7,65,7,77.34,7,11.86,7,3.958,7
12,26,2012,0.00221,7,64,7,74,7,6.019,7,2.206,9
12,27,2012,0.009807,7,51,7,157.1,7,3.216,7,1.964,7
12,28,2012,0.01906,5,68,5,109.3,5,0.8754,5,3.506,7
12,29,2012,0.003988,3,79,3,120.4,3,11.89,3,4.054,3
12,30,2012,0.01687,5,80,5,180.8,5,0.9191,5,0.4834,8
12,31,2012,0.002672,5,68,5,138.5,5,8.202,5,0.643,7
12,1,2013,0.001663,1,54,1,79,1,10.22,1,0.6333,1
12,2,2013,0.00352,1,85,1,95.8,1,11.19,1,1.12,3
12,3,2013,0.001016,5,55,5,70.72,5,14.49,5,1.723,9
12,4,2013,0.001841,5,65,5,82.55,5,15.06,5,3.234,6
12,5,2013,0.006356,7,53,7,83.1,7,12.1,7,1.35,10
12,6,2013,0.00603,4,56,4,84.1,4,17.43,4,5.196,12
12,7,2013,0.01654,3,95,3,210.5,3,1.057,3,0.8774,3
12,8,2013,0.00126,2,54.5,2,80.15,2,21.73,2,1.817,4
12,9,2013,0.01534,7,77,7,107.3,7,2.092,7,0.8346,8
12,10,2013,0.008102,4,39,4,54.08,4,8.685,4,2.171,4
12,11,2013,0.01471,6,64,6,84.61,6,2.016,6,1.703,7
12,12,2013,0.008354,6,73,6,86.02,6,4.109,6,0.9373,7
12,13,2013,0.01074,12,52,12,101.4,12,4.509,12,1.745,15
12,14,2013,0.005891,2,81.5,2,100.5,2,6.319,2,2.839,3
12,15,2013,0.01381,4,49,4,57.38,4,4.595,4,2.9,5
12,16,2013,0.009125,7,57,7,78.16,7,5.005,7,0.8037,12
12,17,2013,0.004211,7,58,7,74.35,7,2.288,7,3.991,9
12,18,2013,0.014,7,53,7,68.07,7,2.635,7,0.9123,13
12,19,2013,0.005472,7,73,7,81.87,7,5.093,7,1.25,8
12,20,2013,0.01551,3,83,3,110.6,3,3.007,3,3.744,5
12,21,2013,0.004932,6,51.5,6,141.3,6,2.361,6,2.81,8
12,22,2013,0.05261,2,56,2,127,2,3.9,2,4.81,6
12,23,2013,0.0007939,7,52,7,63.35,7,14.73,7,1.081,11
12,24,2013,0.003274,3,53,3,70.65,3,10.05,3,5.189,5
12,25,2013,0.004421,3,158,3,199.5,3,3.372,3,1.379,6
12,26,2013,0.003002,6,88,6,158.4,6,3.644,6,1.281,10
12,27,2013,0.003589,3,56,3,67,3,15.44,3,4.696,8
12,28,2013,0.001774,7,55,7,123.6,7,6.792,7,4.555,13
12,29,2013,0.02436,1,54,1,66.15,1,3.516,1,1.784,1
12,30,2013,0.001403,10,54.5,10,95.87,10,5.259,10,3.614,16
12,31,2013,nan,0,nan,0,nan,0,nan,0,9.971,2
9,1,2014,0.002329,24,53,24,81.15,24,13.42,24,0.8903,37
9,2,2014,0.008159,8,54.5,8,77.2,8,11.66,8,1.215,12
9,3,2014,0.0037,10,73,10,90.28,10,10.17,10,0.8664,16
9,4,2014,0.003524,9,63,9,68.82,9,13.54,9,1.536,16
9,5,2014,0.003076,3,85,3,91.77,3,15.5,3,0.8644,5
9,6,2014,0.2581,1,91,1,183.8,1,0.05617,1,0.2343,2
9,7,2014,0.001752,5,75,5,106.5,5,1.913,5,0.8935,8
9,8,2014,0.0123,25,85,25,104.7,25,0.9683,25,1.097,29
9,9,2014,0.01172,8,71.5,8,103.3,8,2.511,8,1.699,10
9,10,2014,0.004048,11,70,11,86.39,11,8.807,11,1.091,19
9,11,2014,0.001977,11,69,11,86.36,11,9.538,11,1.441,11
9,12,2014,0.002168,8,54,8,71.1,8,14.26,8,1.275,9
9,14,2014,0.005144,3,74,3,78.81,3,8.881,3,1.501,5
9,15,2014,0.003813,12,66.5,12,84.81,12,21.83,12,1.018,22
9,16,2014,0.002639,6,67,6,76.06,6,14.19,6,1.021,11
9,17,2014,0.0052,14,67.5,14,82.26,14,9.492,14,0.8338,16
9,18,2014,0.002642,8,53,8,83.22,8,14.53,8,1.689,9
9,19,2014,0.002129,17,54,17,98.18,17,13.94,17,4.289,24
9,20,2014,0.0009852,2,67,2,74.81,2,19.21,2,1.315,3
9,21,2014,nan,0,nan,0,nan,0,nan,0,11.84,2
9,22,2014,0.004298,11,56,11,81.49,11,5.788,11,0.9741,17
9,23,2014,0.006709,7,80,7,94.72,7,16.84,7,1.125,15
